,517363683,8491571998,8491572020,8491571958,8491571962,2930651686,8491572001,2930651380,8491571980,8491571932,2930651399,8507475178,2930651637,8510604381,8510602814,8507475214,8507475221,8510602801,8510602792,2930651803,8510604350,8510602815,8510604329,8510602793,8510602812,3220825573,3220768749,3220768750,3220768740,3220768688,11862733086,3220768866,3220764315,3220768878,3978688253,11587829557,10038426183,11587829562,11587829547,10038426191,11587829564,2930651388,7069237567,2930651794,10038426121,2930651887,10038426190,10038404790,10038426205,10038426174,11587830769,10038426159,10038426182,11587829546,10038404813,10038404812,10038426120,10038404811,10038426119,10038404809,3220769379,10038426160,2598273971,10038426118,2869786078,4942071587,10038426173,11862712699,2364423573,11862728168,4942055582,4942072330,11862709761,2598273755,2869786049,3220769445,3023106967,10269161344,11862725669,10240386278,10240386281,10269161371,10240385803,10240399174,10240492954,10240493822,10240386295,10269138713,11805013997,10240426414,10240426428,10240467454,10240426444,10240439003,10240426488,10240455423,10240455602,11862725699,11617938464,11617940670,7061117721,11862725705,7061117725,10038426206,10242747433,10038426233,7061117745,10038426224,2869787821,11860349398,10038426223,11860346543,2869786004,4942055393,2833057318,10974812233,2598276584,10552751274,10216339474,10758869689,11860317784,11860309617,10758869692,2315744844,10758869693,10216355229,10758869695,10758869700,10216355231,10758869694,2315744779,3220769420,2315744886,4942055409,4942055585,4942055391,10177903582,10758869698,4942055442,10758869704,3220769414,10177959021,2315744821,10216420473,10216410067,10177959024,2315744890,3220769412,11860352577,10177959029,10216410066,4942055390,10216410064,10177959030,4942055351,2329231785,2316093471,4942055386,4942055572,10177959025,10216410062,10177959033,10177959031,2329231703,10216355339,10177959034,7065485851,2315744804,10216339476,10216339475,2315651425,4942055460,10547879654,3220769737,4942055422,10758905115,11842150275,2315744855,4942055603,10552751279,2812796249,10547836979,10547879647,10547879666,10552751271,10547836980,10547836975,10547879672,2913229292,5581048574,2869785664,2833057350,2812801310,10547879676,5581047695,5578527825,2812801312,11860317864,5581048556,10552742919,2833057302,10552720097,10552742923,11432275283,10547836996,11842150309,11842150312,10552720096,11148281685,10216420487,10216420488,10552720098,2833057367,10216420489,3220769703,11148281647,2329071977,10216428845,2329071753,5578527400,10216428850,10216428855,3220769155,11850041278,10216428885,10216428863,4942055554,11432275150,10216420503,3220769137,10216428890,11432275140,11841299515,10216428893,11842166368,11850041314,11432275141,11432275138,5957049368,11849964844,11849972555,11849972554,6027092758,11432275212,4942055583,11850061697,11850061701,11849972568,11850036892,5957049369,4597689141,11432275152,5957049492,4597690102,11850018690,5957049508,5957049628,11841299562,4597690166,4597690133,4597690163,2329071820,4597690160,2315644081,11850036913,5957049310,11432259255,2907007808,5957049568,5578527412,5580115240,5580114619,5957049567,5581049234,5580115309,5581049303,2316798536,5581311462,5581311477,5578527735,5578527734,11406800191,11432275023,2329071836,2329071817,5578527722,5581311378,5578527420,5581311389,5578527755,2907008023,5578527398,3220769865,11850155580,5581311256,2907008086,11422160826,2328951286,11406800158,11406800213,5581311306,5581311321,2316798564,3220769872,11850111767,11422160807,11406800101,3220769877,11850111763,11406800232,5580115548,5581311305,6758616390,11406800151,6027095397,2316798449,11422160764,5578527386,2315643231,3077406575,5636466002,5581311119,3220769900,5636465981,5580115347,5636465991,11406800143,11422160808,5636465986,5636465990,11422160783,6027095810,2329071855,11422160779,5581309140,5581309136,5581310380,2316798363,11432275321,11422160713,11422160605,3220769381,11432275411,11432275408,6027095401,5581310160,11432275405,11432275407,11432275406,11432275400,11432275323,2315639846,2329069175,5581310591,5581309162,3367830651,11409235846,11422160731,11432275324,2907008052,11422160676,5636462656,2907007873,5636462658,5636461598,5636461580,11409235842,5636462655,11422160720,5636462654,5636462650,5581309286,5636461577,5636461592,5636461605,5650945578,5636461590,5636461619,5636461589,5636461588,5636461593,5636461607,5636461610,5636462629,5636461611,5636462646,5636461581,5636462637,5636462645,2315639620,5636461568,5581310562,5636461614,2907007889,5636462628,11409252810,2315639015,5636461616,6027014938,11422160660,2316798561,3367798960,5581309100,5581308700,11593802319,11593802321,5581311088,11422115361,5581311080,5581310610,5581309007,3367811189,5581308839,5581309006,5581309725,5581309135,11593802284,5581308994,11593802287,5581309776,5581308719,5581308872,5581310168,5581310397,5581308921,5581308887,5581308861,5581308878,5533074122,5533074121,5533074180,5533074293,4396948045,4396948040,4396948015
517363683,0,114,129,178,204,405,408,429,561,600,2019,4303,4481,4647,4840,6081,6144,6153,6772,6867,7073,7184,7780,7970,7985,9402,11576,11646,14946,17558,20401,21958,22138,22222,22554,22911,23044,23190,23261,23263,23338,23519,23751,23765,23769,23863,23921,23925,24065,24068,24555,24616,24740,24849,26101,26259,26266,26286,26329,26366,26440,26463,26583,26676,26807,27167,27540,28836,28995,29825,29970,30196,31346,31352,31381,31487,31615,32000,32038,32056,32104,32112,32124,32184,32208,32212,32275,32318,32531,32584,32685,32786,32788,32830,32954,32974,34236,34259,34477,34605,34616,34675,34751,35051,35083,35208,35293,35357,35604,35938,36007,36311,36434,36527,37073,37143,37176,37590,37760,37825,37837,37864,37968,37993,37994,38000,38029,38053,38073,38136,38139,38197,38246,38260,38298,38308,38316,38328,38352,38362,38391,38411,38449,38454,38481,38490,38504,38524,38524,38534,38536,38567,38575,38615,38658,38667,38680,38681,38692,38693,38706,38713,38740,38783,38826,38827,38828,38849,38870,38891,38907,38920,38922,38936,38939,39029,39032,39070,39075,39379,39418,39502,39519,39550,39606,39639,39671,39684,39701,39731,39810,39874,39884,39892,39915,40034,40040,40055,40062,40121,40126,40185,40286,40374,40440,40449,40581,40621,40949,41506,41627,41718,41909,42288,42448,42453,42461,42498,42532,42582,42799,42893,43010,43109,43112,43329,43442,43452,43561,43737,43752,43839,43871,43900,43963,43984,44008,44043,44226,44338,44361,44386,44396,44408,44490,44573,44700,44714,44842,44993,45097,45193,45539,45548,45629,45791,45801,45839,45922,45956,45975,46010,46025,46068,46119,46145,46278,46396,46404,46624,46850,46876,46978,47706,47716,48108,48499,48591,48766,48872,48888,49071,49267,49466,49518,49560,49690,49875,50111,50147,50338,50527,50552,50583,50588,50608,50623,50635,50675,50838,50891,50937,50938,50982,50987,50993,51056,51059,51066,51165,51181,51424,51441,51599,51770,52148,52406,52597,52693,52783,52849,52866,52878,52992,53039,53044,53084,53124,53179,53185,53220,53415,53468,53824,53861,54204,54471,54581,54944,55144,55296,55358,55383,55445,55450,55458,55462,55476,55487,55545,55584,55692,55772,56253,56535,56717,56755,56823,56824,56837,56894,56905,56926,56976,56984,57026,57048,57118,57138,57152,57167,57173,57193,57196,57219,57234,57243,57258,57261,57270,57272,57293,57330,57360,57393,57399,57426,57453,57467,57469,57474,57508,57511,57517,57522,57545,57576,57576,57612,57715,58045,58071,58200,58245,59122,59174,59270,59450,59497,59521,59602,59610,59634,60009,60085,60166,60186,60499,60618,60670,60756,60790,60803,60804,60915,61092,61203,61613,65090,66647,66667,68214,70628,70701,71314
2315639015,57576,57691,57705,57754,57780,57447,57984,57146,58137,58177,55556,57840,53094,58183,58377,56846,56783,56774,57412,50709,57712,57805,58400,58590,58605,60042,46000,45934,42635,45900,37174,35622,49972,35359,36218,37446,50878,37383,37096,51097,37317,36837,37069,36592,51602,36690,51755,51758,51899,51902,37382,52449,52574,38829,53935,54093,54099,54119,54163,54199,31136,54296,31279,54509,30768,30413,55374,31960,42974,30971,29564,27384,26229,26228,26194,26364,28742,29127,25975,29183,29231,29239,29251,29311,29335,29339,29402,29444,29658,29711,29812,29913,29915,29957,30081,30100,31363,23316,28702,28830,30226,23732,30091,49030,28054,49187,30904,49337,21976,21637,49986,21265,21141,23007,20507,51123,24697,24283,24113,21709,23442,23415,21687,21541,21714,21548,21749,21772,21620,21855,21394,21337,21287,21515,21339,21226,25837,22047,21286,22081,21531,21123,21085,21594,21618,21197,21030,21661,24224,21060,21673,21116,21109,21141,21795,22387,20854,21003,21829,21219,21028,21238,21266,22502,23768,21353,28126,20684,23813,23703,22372,21454,23672,22342,21465,22749,22438,21604,21601,24480,24230,24357,24340,24300,24460,24493,24525,22910,23437,17850,17765,17706,22059,23118,17878,17541,22215,25660,17930,23556,23561,23619,23720,18329,25295,23855,23987,24056,26006,24643,24764,25152,17846,25425,15132,27510,15120,25635,15191,14998,25936,26030,26147,23551,26249,26466,25976,17905,26698,26874,26889,18292,22788,27037,23005,24426,18460,18496,14778,23380,23403,23428,20527,22363,27024,22087,22214,23756,23884,14011,13996,16164,13465,15423,24671,13716,13293,24880,15050,15335,15103,11565,15153,13352,25161,15310,11834,11179,11176,10956,12405,12432,12026,9869,12499,9473,11035,10942,11117,10679,10695,10349,12766,12567,12515,10122,12227,7700,12648,7428,7237,7807,16108,16088,14335,6967,16036,11317,9007,9634,11462,11015,8596,15677,15896,15666,12863,15824,15895,8255,11743,11995,7979,8443,19240,7272,15403,6822,12230,12140,12205,12057,17707,12183,9938,12318,9927,18629,12453,12541,16795,17595,16465,17400,11777,10719,13827,4839,7089,18142,6737,25633,6650,6589,21654,21662,6653,6667,6631,6489,6654,25968,6180,5699,10680,14692,2665,19820,751,739,19892,681,649,600,717,594,2959,582,20135,562,409,11318,383,505,481,379,582,318,649,609,534,407,283,215,219,317,388,139,249,441,352,15482,150,627,53,655,0,85,49,20712,1017,3881,17556,17601,8093,8146,7946,3427,7718,7825,17576,8274,18990,17983,18059,18140,8850,18474,9281,18645,20113,19756,22376,18778,18889,19454,20169,19975,9067,9757,9777,12191,13738,13811,14424
2315639620,57469,57584,57599,57648,57674,57341,57878,57040,58031,58070,55450,57734,52988,58077,58270,56740,56677,56667,57306,50602,57606,57698,58294,58484,58499,59936,45893,45828,42528,45794,37068,35516,49530,35252,36112,37004,50436,36942,36654,50655,36876,36396,36628,36150,51161,36249,51313,51317,51457,51460,36941,52008,52132,38387,53493,53651,53658,53678,53721,53758,31029,53855,31173,54068,30662,30307,54932,31853,42533,30865,29122,27277,26123,26122,26088,26257,28300,28686,25868,28741,28789,28798,28809,28870,28893,28898,28960,29003,29216,29270,29371,29471,29473,29516,29640,29659,30922,23210,28260,28388,29785,23625,29650,48589,27613,48746,30463,48895,21869,21531,49544,21158,21034,22565,20401,50681,24255,23841,23672,21268,23335,23309,21246,21099,21272,21107,21307,21331,21179,21413,20953,20895,20846,21074,20897,20784,25395,21606,20845,21640,21089,20681,20644,21152,21177,20756,20588,21219,24117,20618,21231,20675,20667,20700,21354,21945,20412,20561,21387,20777,20587,20797,20825,22061,23327,20911,27684,20243,23371,23262,22266,21012,23230,22236,21023,22307,22332,21162,21160,24038,23788,23915,23898,23858,24019,24052,24083,22468,22995,17743,17658,17599,21617,22676,17772,17435,21773,25553,17823,23449,23454,23513,23614,18222,24853,23749,23881,23949,25564,24201,24323,25046,17739,24983,15026,27068,15013,25193,15084,14891,25495,25588,25706,23444,25807,26024,25534,17798,26257,26432,26447,18185,22681,26595,22899,24320,18354,18389,14671,23274,23297,23322,20085,22257,26582,21980,22108,23649,23778,13904,13889,16057,13358,15317,24565,13610,13186,24774,14943,15228,14996,11459,15047,12911,25054,15203,11727,11073,11070,10849,12299,12325,11919,9763,12392,9366,10594,10501,10675,10368,10353,9907,12660,12461,12409,9680,11785,7593,12207,7321,7131,7701,16001,15982,13893,6860,15930,10876,8565,9192,11021,10574,8154,15571,15790,15560,12521,15718,15789,7813,11301,11553,7537,8001,18798,6830,15296,6381,11789,11698,11763,11616,17601,11741,9831,11876,9486,18523,12011,12099,16689,17154,16359,17293,11336,10277,13386,4398,6983,18035,6631,25192,6544,6482,21212,21220,6547,6560,6525,6382,6547,25526,5738,5258,10238,14250,2224,19714,645,632,19785,619,721,700,541,765,2517,437,20029,470,580,10876,554,359,343,513,282,619,208,255,291,417,417,653,480,344,136,560,276,0,89,15040,375,1068,495,1097,441,356,392,20606,575,3439,17114,17160,7652,7704,7504,3869,7277,7384,17135,7832,18548,17541,17618,17699,8408,18032,8839,18203,19671,19314,21935,18337,18447,19012,19728,19533,9509,10199,10219,12633,14179,14253,14865
2315639846,55692,55807,55822,55871,55896,55564,56101,55263,56253,56293,53672,55957,51211,56300,56493,54963,54900,54890,55528,48825,55829,55921,56517,56707,56722,58159,44116,44045,40746,44012,39968,33734,46130,33998,33138,33604,47036,33541,33254,47255,33475,32995,33227,32750,47760,32848,47913,47916,48057,48060,33540,48608,48732,34987,50093,50251,50257,50277,50321,50357,33929,50454,33786,50667,34297,31475,51532,38289,39132,39278,25722,28446,38836,27291,38829,27155,24900,25285,38609,25341,25389,25397,25409,25469,25493,25497,25560,25602,25816,25869,25970,26071,26073,26115,26239,26258,27521,35950,24860,24988,26384,36366,26249,45188,24212,45345,27062,45495,27630,34271,46144,33899,33775,19165,26161,47281,21466,21052,20882,17867,37893,37867,17845,17699,17872,17706,17907,17930,17778,18013,17552,17495,17541,17673,17490,17603,22606,18205,17545,18239,17301,17706,17744,17364,17210,17682,17799,17168,36858,17829,17265,17763,17770,17910,17302,18545,17975,17876,17336,17988,17902,18008,18035,18660,20889,18122,24284,18144,20933,20824,38910,18115,20793,38939,18234,18907,39035,18265,18370,21601,21351,21477,21460,21420,21581,21614,21646,20030,19595,27673,35094,27566,19179,20239,27489,34870,19335,40111,27342,23113,23108,23049,23278,35657,22415,40452,40584,23603,22164,14186,14307,24582,25494,13404,28233,23668,28221,13194,28149,28342,13496,12799,12681,43111,12871,13087,14216,38735,14677,11955,11970,39122,43874,12118,43966,43987,39291,39326,29986,44341,44364,44389,15367,39692,15264,44575,44703,44717,44845,30754,30858,38136,31299,31308,45632,31551,31561,45841,31682,31717,31735,33538,31785,24832,46122,31905,33806,33924,31739,31518,34377,34404,32588,33727,35244,33001,21969,22062,22237,29270,29255,26517,38186,37987,37935,28582,20778,31558,21199,31286,31477,30906,41528,41508,16023,31747,41456,18218,27467,28095,17961,18408,24409,41097,41316,41086,31423,41244,41315,26715,30203,17428,26439,27802,7993,25733,40823,26182,13918,13827,13893,13910,43127,14035,34177,14088,29287,44049,14223,14229,42215,8372,41885,42820,14905,15248,12140,25728,32509,43562,32157,334,32070,32009,4314,4306,32073,32087,32051,31909,32074,0,19787,20268,17579,17761,26599,45240,26171,26159,45312,26146,26248,26227,26067,26291,26892,25963,45555,25997,26106,18217,26080,25886,25870,26039,25808,26145,25734,25781,25817,25944,25943,26180,26007,25870,25663,26087,25802,25526,25615,18328,25901,26595,26022,26623,25968,25882,25918,46132,24950,22086,14471,14426,20166,20218,20313,29396,20541,20565,16233,20654,15814,15826,16215,16134,21230,15801,21662,15630,16937,16741,9651,15031,17045,16439,17154,16960,35035,35725,35745,38159,39706,39779,40392
2315643231,52693,52808,52822,52871,52897,52564,53101,52263,53254,53294,50673,52957,48211,53300,53494,51963,51900,51891,52529,45826,52829,52922,53517,53707,53722,55159,41117,41046,37747,41012,36468,30734,43130,30998,30139,30604,44037,30542,30254,44256,30476,29996,30228,29751,44761,29849,44914,44917,45057,45060,30541,45608,45732,31987,47093,47251,47258,47278,47321,47358,30430,47455,30286,47668,30797,27976,48532,34789,36133,34600,22722,24946,29858,23791,29823,23655,21900,22286,29603,22341,22389,22398,22409,22470,22493,22498,22560,22603,22816,22870,22971,23071,23074,23116,23240,23259,24522,26945,21861,21988,23385,27361,23250,42189,21213,42346,24063,42495,21377,25266,43145,24893,24770,16166,19909,44281,17966,17552,17382,14868,27070,27044,14846,14699,14872,14707,14907,14931,14779,15014,14553,14495,14446,14674,14398,14384,19106,15206,14343,15240,14689,14281,14244,14752,14678,14206,14299,14720,27853,14329,14732,14125,14118,14411,14854,15545,14372,14224,14888,14488,14249,14508,14536,15661,17287,14622,21284,14542,17331,17222,26001,13773,17190,25971,14734,15907,26067,13623,14870,17998,17748,17875,17858,17818,17978,18012,18043,16428,16595,17251,21394,17107,15577,16636,17280,21170,15733,29289,17331,19511,19506,19447,19676,21957,18813,27484,27616,20001,19164,17702,17824,20980,17105,18484,14533,20669,14521,18694,14450,14643,18995,19089,19207,30143,19308,19525,18294,25035,19758,19933,19948,25422,30906,20096,30998,31019,25591,25626,16286,31373,31396,31421,8296,25992,19343,31607,31735,31749,31877,17054,17158,24436,17599,17608,32664,17851,17861,32873,17982,18017,18035,19838,18085,10914,33154,18205,20106,20224,17820,17599,20677,20704,18669,19809,21544,19083,8051,8144,8318,15352,15336,12598,24449,24250,24198,14664,6859,17639,7281,17367,17558,16988,27790,27771,2104,17828,27719,4299,13549,14176,4042,4490,10490,27360,27579,27349,17504,27507,27578,12796,16285,3510,12521,13884,7191,11814,27086,12264,0,90,155,173,29390,298,20259,351,15369,30312,486,492,28478,5546,28148,29082,1168,1511,1778,11991,18772,29824,18420,13584,18333,18271,9604,9612,18336,18350,18314,18171,18337,13918,6050,6531,3842,4024,12861,31503,12434,12421,31574,12408,12511,12490,12330,12554,13155,12226,31818,12259,12369,4480,12343,12148,12133,12302,12071,12408,11997,12044,12080,12207,12206,12443,12269,12133,11926,12350,12065,11789,11878,4814,12164,12858,12284,12886,12230,12145,12181,32395,11213,8349,5506,5552,6429,6481,6576,15658,6803,6828,6909,6917,6940,7316,7392,7473,7493,7806,7924,7977,8063,8097,10327,8111,8221,8399,8510,8920,21298,21988,22008,24422,25969,26042,26655
2315644081,46068,46182,46197,46246,46272,45939,46476,45638,46629,46668,44048,46332,41586,46675,46869,45338,45275,45266,45904,39201,46204,46296,46892,47082,47097,48534,34492,34421,31122,34387,27393,24109,38967,23846,24705,29273,39873,29211,28923,40092,29145,28665,28897,28419,40597,28518,40750,40754,40894,40897,29210,41445,41569,30656,42930,43088,43094,43114,43158,43194,21354,43291,21210,43504,21721,18900,44369,24674,34802,23685,21391,15871,18944,14715,18909,14851,20569,20955,18689,21010,21058,21066,21078,21138,21162,21166,21229,21272,21485,21538,21640,21740,21742,21785,21909,21928,23191,16031,20529,20657,22054,16446,21919,40857,19881,41015,22732,41164,10463,14352,41813,13979,13855,14834,8994,42950,15758,15344,15463,13537,16156,16129,13515,13368,13541,13375,13576,13600,13448,13682,13222,13164,13115,13343,13166,13053,16898,13875,13113,13908,13358,12950,12913,13421,13446,13025,12857,13488,16938,12887,13500,12943,12936,12969,13623,14214,12681,12830,13656,13046,12855,13066,13094,14329,14397,13180,19953,12512,14441,14332,15086,13281,14363,15057,13292,14576,15152,13431,13428,13555,13805,13679,13695,14991,13782,13815,13847,14737,15264,6337,10479,6193,13886,14945,6365,10255,14042,18374,6416,12043,12048,12106,12207,11043,14617,16570,16702,12543,17833,16470,16592,13639,6190,17252,3619,19337,3607,17462,3535,3728,17764,17857,17975,19229,18076,18293,17803,14121,18526,18701,18716,14508,19992,18864,20084,20104,14677,14712,5372,20459,20482,20507,15964,15077,18851,20693,20821,20834,20963,6139,6243,13522,6685,6694,21750,6936,6947,21959,7067,7102,7121,8923,7171,0,22239,7291,9192,9310,7550,7770,9763,9790,8124,10620,10629,9254,2863,2955,3130,7790,7775,3003,14524,14723,14775,7102,4054,10667,4475,10395,10586,10016,18263,18244,9772,10856,18192,6614,5987,4770,6871,6916,5111,17833,18052,17822,9943,17980,18051,5097,8723,7404,5373,6912,18105,6080,17662,6529,10914,11005,11070,11087,19863,11213,13287,11265,8396,20785,11400,11406,19054,16460,18725,19659,12083,12425,12692,8513,15672,20401,16023,24498,16110,16172,20518,20526,16189,16203,16215,16272,16311,24832,11752,12232,14756,14939,10686,22079,13556,13543,22151,13530,13633,13611,13452,13676,10980,13348,22395,13381,13491,15394,13465,13270,13254,13424,13193,13530,13119,13166,13202,13329,13328,13564,13391,13255,13047,13471,13187,12911,13000,15729,13286,13980,13406,14008,13352,13267,13303,22971,12335,12154,16421,16466,16683,16736,16536,16780,16763,16787,17823,17172,17855,18230,18306,18387,17748,18721,18179,18892,18978,19011,21241,19025,19136,19313,19425,19834,22420,23110,23130,25544,27091,27164,27777
2315651425,38907,39022,39037,39085,39111,38778,39316,38477,39468,39508,36887,39171,34426,39515,39708,38177,38115,38105,38743,32040,39044,39136,39732,39922,39936,41373,27331,27402,25475,28740,18505,18463,33320,18199,19059,28073,34227,28011,27723,34445,27945,27465,27697,27220,34951,27121,35103,35107,35247,35250,27813,35798,35922,29456,37283,37441,37448,37468,37511,37548,12467,37645,12610,37858,12100,19717,38722,13291,33602,12302,26475,16687,7560,15532,7526,15667,28455,28840,6869,28896,28943,28952,28964,29024,29047,29052,29115,29157,29371,29424,29525,29626,29628,29670,29794,29813,31076,7062,28782,28910,30307,7478,30172,39658,28135,39815,30985,39964,11279,5383,40613,5011,5134,23087,12748,41750,19511,19097,19216,21790,1069,1043,21768,21621,21794,21629,21829,21853,21701,21936,21475,21417,21368,21596,21419,21306,20651,22128,21367,22162,21611,21203,21166,21674,21699,21278,21110,21741,7970,21140,21753,21197,21189,21222,21876,22467,20935,21083,21909,21299,21109,21319,21347,22583,18150,21433,28206,21104,18195,18085,0,21534,18117,29,21545,22829,125,21684,21682,17309,17558,17432,17449,18744,17536,17569,17600,18879,23517,14184,4607,14041,19730,19087,14213,4831,19886,3287,14264,15796,15801,15860,15961,4043,18370,1542,1674,16296,26086,24723,24845,17393,14206,25505,11467,27591,11479,25715,11551,11601,26017,26110,26228,4201,26330,26546,26056,8248,26779,26954,26969,8635,4964,27117,5056,5077,8804,8839,13245,5431,5454,5479,27011,8078,27105,5665,5793,5806,5935,13590,13486,9989,14136,14567,6722,14387,12783,6931,14540,14825,14593,10806,14643,15086,7212,14800,11075,11192,14899,15120,11646,11673,14050,12503,12512,14426,17949,18042,18217,17367,17383,18090,14064,14263,14314,18055,19141,14672,19562,14944,15134,15323,11644,11675,24859,15405,11715,21701,19170,19856,21958,22003,20198,12075,12080,12086,19551,12152,12159,20184,19677,22490,20198,18427,33192,20497,15705,20047,26001,26092,26157,26174,13971,26300,17835,26352,19912,14216,26487,26493,14312,31547,16767,14917,27170,27512,27779,22031,19741,18443,20092,38576,20179,20241,35605,35613,20258,20272,20284,20341,20380,38910,26838,27319,29843,30026,24205,20122,21620,21633,20193,21702,21722,21772,21780,21822,24498,21915,20437,21948,21963,30481,21989,21992,22016,22030,22039,22054,22058,22066,22068,22090,22126,22156,22190,22195,22222,22250,22263,22266,22270,30816,22308,22313,22318,22342,22372,22373,22409,21014,22841,25672,31508,31553,29918,29970,29770,24246,29543,29650,32910,30098,32942,33317,33393,33474,30674,33807,31105,33978,34065,34098,36328,34112,34223,34400,34511,34921,29886,31443,31463,33010,35424,35498,36110
2315744779,38139,38254,38269,38318,38344,38011,38548,37710,38701,38740,36120,38404,33658,38747,38941,37410,37347,37337,37976,31272,38276,38368,38964,39154,39169,40606,26563,26493,23193,26459,22533,16181,28577,16445,15585,16051,29483,15989,15701,29702,15923,15442,15675,15197,30207,15295,30360,30364,30504,30507,15988,31055,31179,17434,32540,32698,32704,32724,32768,32804,16495,32901,16351,33114,16862,14041,33979,20854,21579,21843,8169,11011,21401,9856,21394,9720,7347,7732,21174,7788,7836,7844,7856,7916,7940,7944,8007,8050,8263,8316,8417,8518,8520,8562,8686,8706,9968,18515,7307,7435,8832,18931,8697,27635,6659,27793,9509,27942,10195,16836,28591,16464,16340,1612,8727,29728,4031,3617,3447,314,20458,20432,293,146,319,153,354,378,226,460,0,57,106,121,158,168,5171,653,212,686,251,271,309,314,342,350,364,384,19423,394,396,427,435,476,518,992,540,541,552,553,566,573,601,1107,3454,687,6731,710,3499,3389,21475,780,3358,21504,799,1354,21600,930,935,4166,3916,4042,4026,3985,4146,4179,4211,2596,2042,10238,17659,10131,1745,2804,10054,17435,1901,22676,9907,5678,5673,5615,5843,18222,4980,23017,23149,6169,4611,3366,3488,7148,8060,4148,10799,6115,10786,4358,10715,10908,4659,4753,4871,25677,4972,5189,5302,21300,5422,5597,5612,21687,26439,5760,26531,26552,21856,21891,12552,26906,26929,26954,6256,22257,6350,27140,27268,27282,27410,13319,13423,20701,13865,13873,28197,14116,14126,28406,14247,14282,14300,16103,14350,13222,28687,14470,16371,16489,14729,14950,16943,16969,15304,17799,17809,16433,10359,10452,10626,17197,17213,14906,21703,21902,21954,16971,11550,18206,11972,18478,18668,18857,25443,25424,12448,18939,25372,12495,15856,16484,12752,12797,12798,25012,25232,25001,19382,25160,25230,15104,18592,13284,14829,16192,13631,14122,24842,14571,14553,14644,14709,14726,27043,14852,21369,14904,17676,27964,15039,15045,26234,15275,25904,26838,15722,16064,16331,16555,23754,27580,24106,17218,24193,24255,17310,17318,24272,24285,24297,24355,24394,17552,17632,18113,18395,18578,18728,29259,21598,21585,29330,21572,21675,21654,21494,21718,19022,21390,29574,21423,21533,19033,21507,21312,21297,21466,21235,21572,21161,21208,21244,21371,21370,21607,21433,21297,21090,21514,21229,20953,21042,19368,21328,22022,21448,22050,21394,21309,21345,30151,20377,19931,20060,20105,20982,21034,21130,24822,21357,21381,21462,21470,21494,21869,21945,22026,22047,22360,22478,22531,22617,22650,22663,22664,22775,22952,23064,23473,30462,31152,31172,33586,35133,35206,35819
2315744804,38849,38964,38979,39028,39054,38721,39258,38420,39411,39450,36830,39114,34368,39457,39651,38120,38057,38048,38686,31982,38986,39078,39674,39864,39879,41316,27273,27203,23903,27169,22514,16891,29287,17155,16295,16761,30193,16699,16411,30412,16633,16153,16385,15907,30917,16006,31070,31074,31214,31217,16698,31765,31889,18144,33250,33408,33415,33434,33478,33514,16476,33612,16332,33824,16843,14022,34689,20835,22289,21824,8879,10992,21058,9837,21023,9701,8057,8442,20803,8498,8546,8554,8566,8626,8650,8654,8717,8760,8973,9026,9128,9228,9230,9273,9397,9416,10679,18145,8017,8145,9542,18561,9407,28345,7369,28503,10219,28652,9824,16466,29301,16093,15970,2322,8356,30438,4012,3598,3428,1024,20088,20061,1003,856,1029,863,1064,1088,936,1170,710,652,603,831,654,541,5152,1363,601,1396,846,438,400,909,934,512,345,976,19053,375,988,431,424,457,1110,1702,169,318,1144,534,343,554,582,1817,3084,668,7441,0,3128,3018,21104,769,2987,21134,780,2064,21230,919,916,3795,3545,3672,3655,3615,3775,3809,3840,2225,2752,9528,16949,9421,1374,2433,9344,16725,1530,22306,9197,5308,5303,5244,5473,17512,4610,22647,22779,5798,5321,3958,4080,6777,7349,4740,10088,6825,10076,4950,10004,10197,5252,5345,5463,25306,5564,5781,5291,20590,6014,6189,6204,20977,26069,6352,26161,26181,21146,21181,11841,26536,26559,26584,6246,21547,6339,26770,26898,26911,27040,12609,12713,19991,13154,13163,27827,13406,13416,28036,13537,13572,13590,15393,13640,12512,28316,13760,15661,15779,14019,14240,16232,16259,14594,17089,17099,15723,9649,9741,9916,16487,16503,14196,20993,21192,21244,16261,10840,17496,11262,17768,17958,18147,24733,24713,12437,18229,24662,12484,15146,15774,12741,12786,12088,24302,24521,24291,18671,24449,24520,14394,17882,13273,14118,15481,13620,13412,24132,13861,14542,14633,14698,14715,26333,14841,20659,14893,16966,27254,15028,15034,25524,15265,25194,26128,15711,16053,16320,15845,23044,26870,23396,17810,23483,23545,17299,17307,23562,23575,23587,23644,23684,18144,17621,18102,18385,18567,18018,28549,20888,20875,28620,20862,20965,20943,20784,21008,18312,20680,28864,20713,20823,19023,20797,20602,20586,20756,20525,20862,20451,20498,20534,20661,20660,20896,20723,20587,20379,20803,20519,20243,20332,19357,20618,21312,20738,21340,20684,20599,20635,29441,19667,19486,20049,20094,20971,21024,21119,24112,21346,21371,21451,21460,21483,21858,21934,22015,22036,22349,22467,22520,22606,22639,22652,22653,22764,22942,23053,23463,29752,30442,30462,32876,34423,34496,35109
