,nP_share,nV_share,Platform_rev
195,0.2515,0.235,323.254
196,0.2465,0.295,315.32624
197,0.2435,0.25,318.551
198,0.2435,0.2,306.9602
199,0.2575,0.21,328.35508
200,0.252,0.21,324.48684000000003
201,0.247,0.245,310.89652
202,0.265,0.245,339.61744
203,0.264,0.285,340.32204
204,0.268,0.25,349.93084
205,0.2625,0.265,345.79152
206,0.2665,0.26,343.11136
207,0.2595,0.275,335.23512
208,0.2745,0.265,358.82052000000004
209,0.271,0.28,354.61276
210,0.272,0.29,352.03292
211,0.2705,0.275,342.31544
212,0.274,0.25,359.63728
213,0.284,0.265,373.54544000000004
214,0.268,0.26,345.94539999999995
215,0.275,0.27,352.86944000000005
216,0.2765,0.295,365.47172
217,0.2735,0.28,352.47943999999995
218,0.287,0.295,370.55624
219,0.282,0.25,365.83548
220,0.2815,0.28,358.81948
221,0.284,0.265,357.91064000000006
222,0.276,0.225,352.94928000000004
223,0.3035,0.245,391.83164
224,0.2875,0.27,361.4824
225,0.2885,0.26,370.75148
226,0.2935,0.27,376.90144
227,0.301,0.31,386.87356
228,0.2955,0.275,380.2116
229,0.302,0.31,389.71964
230,0.298,0.27,376.22152
231,0.291,0.305,377.77896
232,0.292,0.315,372.17632000000003
233,0.2875,0.38,375.30964
234,0.305,0.29,392.36336
235,0.317,0.265,409.75088000000005
236,0.3135,0.265,404.10875999999996
237,0.3095,0.295,394.8728
238,0.299,0.345,379.12088
239,0.3135,0.295,404.48772
240,0.3145,0.32,404.95912
241,0.3195,0.275,411.33432
242,0.3235,0.32,421.46752000000004
243,0.331,0.345,428.55988
244,0.3265,0.3,418.1374
245,0.315,0.345,396.9624
246,0.322,0.315,419.95276
247,0.3305,0.345,425.04512
248,0.3335,0.27,428.00864
249,0.336,0.28,438.07548
250,0.3205,0.33,413.4688
251,0.3195,0.29,411.47784
252,0.334,0.29,425.97880000000004
253,0.324,0.32,413.17068000000006
254,0.328,0.3,423.16288
255,0.3415,0.32,435.41584
256,0.3355,0.33,433.60900000000004
257,0.348,0.325,441.45276
258,0.337,0.33,432.223
259,0.345,0.31,444.70584
260,0.3465,0.38,445.90188
261,0.3415,0.35,430.21888
262,0.343,0.405,440.90020000000004
263,0.355,0.33,458.86732000000006
264,0.3465,0.36,437.34636
265,0.352,0.315,451.73104
266,0.3455,0.305,440.83304
267,0.362,0.32,467.60972000000004
268,0.3535,0.355,450.05248000000006
269,0.3535,0.37,459.60940000000005
270,0.348,0.37,446.09172
271,0.3555,0.37,461.07912
272,0.3505,0.35,450.47920000000005
273,0.3595,0.37,462.85911999999996
274,0.357,0.33,453.00036
275,0.3635,0.33,471.26311999999996
276,0.372,0.31,474.50532000000004
277,0.368,0.355,463.4522
278,0.3825,0.335,488.07768
279,0.355,0.335,450.33412
280,0.371,0.365,470.19164
281,0.3685,0.375,468.775
282,0.3665,0.375,473.70776
283,0.371,0.385,470.86412
284,0.3715,0.4,472.19812
285,0.368,0.365,465.60404000000005
286,0.3725,0.345,471.49868000000004
287,0.366,0.43,465.22956
288,0.373,0.37,481.40740000000005
289,0.383,0.38,486.56636000000003
290,0.3865,0.35,498.72352
291,0.3665,0.365,468.49951999999996
292,0.374,0.385,478.60604
293,0.3805,0.37,487.52740000000006
294,0.394,0.37,513.07408
295,0.3865,0.38,493.85968
296,0.388,0.395,499.64476
297,0.388,0.355,502.55055999999996
298,0.3735,0.355,475.1142
299,0.4045,0.345,524.52196
300,0.402,0.415,2558.7396
301,0.3865,0.39,2460.947
302,0.3945,0.325,2553.5951999999997
303,0.403,0.32,2608.31
304,0.403,0.245,2601.7496
305,0.404,0.21,2638.8502
306,0.396,0.245,2523.9354
307,0.3925,0.2,2507.6827999999996
308,0.39,0.175,2483.0544
309,0.3925,0.16,2521.0429999999997
310,0.375,0.14,2443.9824
311,0.3765,0.135,2409.2124
312,0.3685,0.145,2393.8873999999996
313,0.368,0.145,2367.7564
314,0.3455,0.105,2217.2403999999997
315,0.327,0.115,2149.3776
316,0.313,0.145,2045.5718
317,0.3095,0.11,1992.5661999999998
318,0.3015,0.1,1950.9707999999996
319,0.2885,0.095,1861.0618
320,0.287,0.12,1922.3092
321,0.2935,0.125,1922.0954
322,0.286,0.095,1860.8359999999998
323,0.28,0.12,1852.2613999999999
324,0.2685,0.1,1749.114
325,0.269,0.12,1758.2193999999997
326,0.2695,0.09,1789.5092
327,0.252,0.215,1635.081
328,0.266,0.115,1756.393
329,0.2715,0.11,1812.4254
330,0.2735,0.11,1802.4454
331,0.2645,0.1,1743.9214
332,0.2535,0.065,1687.9302
333,0.238,0.14,1607.8754
334,0.2275,0.105,1511.7728
335,0.237,0.125,1533.8244
336,0.2235,0.09,1523.1042
337,0.225,0.115,1488.822
338,0.232,0.09,1549.8776
339,0.216,0.125,1430.4107999999999
340,0.211,0.11,1404.332
341,0.2175,0.11,1469.181
342,0.2135,0.085,1440.172
343,0.2165,0.105,1475.2282
344,0.2145,0.1,1433.4773999999998
345,0.2165,0.055,1433.5005999999998
346,0.215,0.08,1406.5113999999999
347,0.2025,0.08,1342.0554000000002
348,0.2005,0.125,1336.214
349,0.1965,0.12,1286.6148
350,0.1955,0.1,1308.8062
351,0.206,0.115,1343.8264
352,0.2165,0.095,1471.3708
353,0.196,0.09,1314.5965999999999
354,0.2025,0.07,1363.8162
355,0.1935,0.135,1286.6664
356,0.192,0.105,1277.4360000000001
357,0.199,0.095,1337.5711999999999
358,0.1985,0.105,1320.6268
359,0.1915,0.08,1252.4438
360,0.193,0.085,1331.7176
361,0.1815,0.085,1244.4486
362,0.1755,0.115,1172.4438
363,0.193,0.065,1291.4678
364,0.186,0.085,1223.0364
365,0.192,0.105,1302.1817999999998
366,0.1855,0.12,1228.1419999999998
367,0.184,0.08,1242.7502
368,0.207,0.06,1403.9982
369,0.1845,0.1,1235.8782
370,0.173,0.045,1123.8357999999998
371,0.1715,0.1,1140.6201999999998
372,0.1705,0.07,1164.6008000000002
373,0.167,0.075,1104.82
374,0.1745,0.085,1143.4324000000001
375,0.1805,0.075,1202.497
376,0.1775,0.16,1211.8096
377,0.1725,0.105,1156.6248
378,0.182,0.075,1221.973
379,0.174,0.07,1157.9231999999997
380,0.1795,0.075,1256.4704
381,0.171,0.09,1160.6046
382,0.166,0.085,1094.6725999999999
383,0.172,0.09,1178.3468
384,0.161,0.095,1069.4818
385,0.162,0.065,1106.7408
386,0.167,0.125,1119.8139999999999
387,0.1675,0.1,1091.8885999999998
388,0.1745,0.095,1191.3016
389,0.163,0.075,1087.1336000000001
390,0.1755,0.085,1173.8136
391,0.1705,0.07,1166.1056
392,0.1875,0.11,1263.2082
393,0.1615,0.05,1101.8486
394,0.17,0.075,1156.06
395,0.157,0.09,1046.2999999999997
396,0.154,0.065,1000.2776
397,0.1485,0.095,1013.7972
398,0.1555,0.09,1016.8292
399,0.1735,0.075,1137.23
