,nP_share,nV_share,Platform_rev
182,0.5055,0.455,284.75496
183,0.4935,0.425,246.27792
184,0.492,0.44,265.58599999999996
185,0.5305,0.495,277.04355999999996
186,0.5315,0.49,279.23292
187,0.5335,0.53,211.38443999999998
188,0.543,0.5,262.30539999999996
189,0.561,0.43,217.19039999999995
190,0.5255,0.515,281.88883999999996
191,0.547,0.535,311.10695999999996
192,0.5505,0.54,348.98143999999996
193,0.5655,0.58,340.26044
194,0.5515,0.53,348.65639999999996
195,0.5815,0.525,364.9646
196,0.567,0.595,348.18971999999997
197,0.582,0.535,387.8778
198,0.5765,0.56,369.2565199999999
199,0.5805,0.54,312.30484
200,0.607,0.6,831.3470800000001
201,0.5945,0.57,804.0427999999999
202,0.5875,0.58,802.28812
203,0.6015,0.545,811.7900400000001
204,0.579,0.615,786.1524
205,0.5925,0.615,802.41264
206,0.6,0.575,815.4500400000001
207,0.6075,0.57,826.30092
208,0.6065,0.57,820.10888
209,0.6035,0.61,819.8156
210,0.598,0.58,806.2221999999999
211,0.585,0.58,782.04132
212,0.6015,0.62,815.61984
213,0.5975,0.625,817.96052
214,0.588,0.58,783.15444
215,0.5995,0.6,817.02304
216,0.593,0.63,797.22824
217,0.6035,0.6,810.34352
218,0.588,0.595,786.9564
219,0.5855,0.59,786.6309200000001
220,0.606,0.595,827.31972
221,0.583,0.625,783.41896
222,0.602,0.615,807.8314399999999
223,0.5915,0.625,790.30904
224,0.589,0.575,791.02204
225,0.583,0.565,777.2292399999999
226,0.5885,0.575,787.7230400000001
227,0.588,0.57,782.37048
228,0.605,0.61,813.3773600000001
229,0.5935,0.575,790.66384
230,0.5905,0.545,784.831
231,0.5935,0.585,798.4158400000001
232,0.602,0.6,809.67392
233,0.597,0.595,806.2114799999999
234,0.6055,0.615,812.30164
235,0.599,0.585,799.9058
236,0.5945,0.6,793.9767200000001
237,0.595,0.61,792.92872
238,0.592,0.555,794.98132
239,0.5965,0.605,793.95952
240,0.6025,0.61,807.63484
241,0.6065,0.59,805.7822
242,0.605,0.64,803.7154400000001
243,0.599,0.635,797.6846
244,0.606,0.585,808.9634400000001
245,0.6025,0.63,807.53644
246,0.6105,0.62,821.88048
247,0.5845,0.67,772.597
248,0.598,0.615,796.92652
249,0.603,0.585,807.6145200000001
250,0.605,0.605,800.76464
251,0.592,0.56,789.27172
252,0.6085,0.6,812.9898400000001
253,0.6105,0.58,820.6152
254,0.5995,0.6,804.1792
255,0.6005,0.635,800.4813200000001
256,0.5965,0.565,802.5415599999999
257,0.606,0.605,807.4964400000001
258,0.603,0.66,803.0422800000001
259,0.591,0.64,789.73344
260,0.594,0.615,793.7671200000001
261,0.5975,0.585,799.9929199999999
262,0.604,0.59,806.7660400000001
263,0.612,0.655,819.2814000000001
264,0.5935,0.585,784.7483199999999
265,0.603,0.62,808.1574
266,0.594,0.605,787.22544
267,0.5925,0.585,794.7724800000001
268,0.6015,0.635,791.01216
269,0.606,0.635,806.4624000000001
270,0.5935,0.595,789.00256
271,0.599,0.64,801.2049200000001
272,0.606,0.62,803.92956
273,0.6,0.61,798.6729600000001
274,0.5915,0.635,786.95276
275,0.604,0.625,804.97132
276,0.614,0.6,823.77332
277,0.6045,0.61,803.37768
278,0.594,0.67,789.58068
279,0.5915,0.59,780.2139199999999
280,0.596,0.65,795.01484
281,0.6195,0.575,821.6666399999999
282,0.5975,0.645,787.6064
283,0.6125,0.615,823.86404
284,0.596,0.635,789.6467600000001
285,0.6155,0.615,815.56844
286,0.5985,0.61,805.97448
287,0.5975,0.595,794.97644
288,0.5925,0.635,784.72356
289,0.602,0.625,795.72632
290,0.5955,0.64,800.1510000000001
291,0.5975,0.575,795.93776
292,0.5955,0.605,796.20228
293,0.6045,0.595,811.4666400000001
294,0.6155,0.62,820.7090000000001
295,0.607,0.57,812.23456
296,0.6035,0.59,801.86312
297,0.598,0.615,792.88204
298,0.607,0.575,807.62404
299,0.6015,0.575,800.86452
300,0.596,0.59,3963.7654
301,0.6055,0.55,4021.5518
302,0.593,0.575,3931.6911999999998
303,0.6055,0.5,4005.0728
304,0.595,0.48,3927.8336
305,0.612,0.395,4098.8442
306,0.6,0.305,3997.6187999999997
307,0.593,0.33,3940.5627999999997
308,0.5945,0.265,3946.8399999999997
309,0.589,0.215,3909.7771999999995
310,0.5705,0.24,3790.1104
311,0.572,0.2,3810.0802
312,0.531,0.205,3576.393
313,0.5205,0.245,3474.6281999999997
314,0.4855,0.21,3212.0072
315,0.496,0.2,3303.221
316,0.475,0.215,3156.2149999999997
317,0.4785,0.205,3216.5699999999997
318,0.4645,0.225,3082.8745999999996
319,0.458,0.2,3037.3336
320,0.4675,0.17,3090.9968
321,0.431,0.155,2893.8814
322,0.4295,0.125,2905.0162
323,0.398,0.13,2724.1168
324,0.392,0.14,2623.0846
325,0.3655,0.135,2488.5176
326,0.355,0.16,2372.4794
327,0.375,0.14,2531.1443999999997
328,0.3565,0.135,2420.7205999999996
329,0.3395,0.155,2290.1764000000003
330,0.3355,0.115,2293.0448
331,0.3205,0.115,2171.4067999999997
332,0.3105,0.135,2096.5769999999998
333,0.308,0.1,2079.6802
334,0.285,0.16,1910.2721999999999
335,0.304,0.11,2061.5732
336,0.2875,0.095,1947.3446
337,0.2655,0.11,1777.7225999999998
338,0.2535,0.12,1726.6104
339,0.2605,0.115,1748.4746
340,0.2565,0.1,1745.4864
341,0.2475,0.19,1667.0112
342,0.2615,0.115,1788.9717999999998
343,0.2485,0.14,1651.3946
344,0.267,0.07,1785.6239999999998
345,0.2535,0.12,1711.0955999999999
346,0.2445,0.09,1658.5158
347,0.256,0.11,1728.404
348,0.247,0.115,1660.1168
349,0.2365,0.095,1609.8542
350,0.237,0.095,1598.7743999999998
351,0.2345,0.095,1611.0004
352,0.218,0.13,1493.5978
353,0.2245,0.07,1527.1484
354,0.2155,0.115,1479.0133999999998
355,0.2225,0.13,1542.9286
356,0.2115,0.1,1450.4994
357,0.22,0.06,1557.5672
358,0.2195,0.075,1490.914
359,0.195,0.06,1308.9191999999998
360,0.2115,0.12,1470.4218
361,0.2,0.085,1356.8247999999999
362,0.193,0.12,1336.7329999999997
363,0.1965,0.11,1320.5874
364,0.2035,0.07,1380.6212
365,0.1965,0.08,1361.3418
366,0.197,0.085,1338.0261999999998
367,0.1835,0.08,1212.7828
368,0.167,0.11,1086.1419999999998
369,0.182,0.125,1249.2898
370,0.1895,0.125,1283.656
371,0.1795,0.09,1243.4288
372,0.1815,0.06,1247.3447999999999
373,0.173,0.07,1186.2898
374,0.185,0.08,1274.2588
375,0.175,0.13,1179.9542
376,0.1685,0.045,1154.404
377,0.1655,0.04,1158.8775999999998
378,0.168,0.12,1143.1229999999998
379,0.177,0.07,1206.1745999999998
380,0.1755,0.085,1183.9913999999999
381,0.159,0.095,1085.9255999999998
382,0.1755,0.085,1197.2046
383,0.1725,0.075,1138.4736
384,0.172,0.1,1203.2804
385,0.1745,0.115,1202.0506
386,0.1665,0.07,1128.8478
387,0.1675,0.09,1102.1095999999998
388,0.1655,0.1,1131.4407999999999
389,0.164,0.065,1140.9340000000002
390,0.178,0.045,1208.8741999999997
391,0.1635,0.11,1098.093
392,0.1605,0.1,1114.6758
393,0.1595,0.06,1096.0654
394,0.1545,0.085,1039.3901999999998
395,0.1665,0.115,1123.4723999999999
396,0.1555,0.08,1085.4764
397,0.1495,0.105,993.221
398,0.159,0.06,1099.2851999999998
399,0.154,0.09,1055.1686
