,state,action,reward,next_state,fare,comm_rate,discount,Marketing
430,[[317  13]],1,1201.28052,[[327  17]],1.2,0.55,0.0,False
431,[[327  17]],1,1166.4876,[[345  15]],1.2,0.5,0.0,False
432,[[345  15]],2,1140.5084,[[329  20]],1.2,0.5,0.0,False
433,[[329  20]],1,958.18068,[[319  19]],1.2,0.45,0.0,False
434,[[319  19]],1,866.51424,[[336  15]],1.2,0.4,0.0,False
435,[[336  15]],2,925.0255999999999,[[352  13]],1.2,0.4,0.0,False
436,[[352  13]],1,735.3641399999999,[[324  14]],1.2,0.35,0.0,False
437,[[324  14]],1,610.54692,[[307  12]],1.2,0.3,0.0,False
438,[[307  12]],0,801.26144,[[341  11]],1.2,0.35,0.0,False
439,[[341  11]],1,675.5415599999999,[[329  21]],1.2,0.3,0.0,False
440,[[329  21]],1,529.9766,[[316  15]],1.2,0.25,0.0,False
441,[[316  15]],1,446.59192,[[337  23]],1.2,0.2,0.0,False
442,[[337  23]],0,602.5561,[[359  15]],1.2,0.25,0.0,False
443,[[359  15]],0,628.39536,[[313  18]],1.2,0.3,0.0,False
444,[[313  18]],1,572.4051999999999,[[344  26]],1.2,0.25,0.0,False
445,[[344  26]],1,436.09904,[[323  14]],1.2,0.2,0.0,False
446,[[323  14]],1,325.62576,[[321  22]],1.2,0.15,0.0,False
447,[[321  22]],1,198.86527999999998,[[307  18]],1.2,0.1,0.0,False
448,[[307  18]],1,105.08262,[[315  19]],1.2,0.05,0.0,False
449,[[315  19]],0,202.61144000000002,[[313  20]],1.2,0.1,0.0,False
450,[[313  20]],1,123.11012000000001,[[350  20]],1.2,0.05,0.0,False
451,[[350  20]],1,0.0,[[336  22]],1.2,0.0,0.0,False
452,[[336  22]],1,0.0,[[339  21]],1.2,0.0,0.0,False
453,[[339  21]],1,0.0,[[335  27]],1.2,0.0,0.0,False
454,[[335  27]],1,0.0,[[319  31]],1.2,0.0,0.0,False
455,[[319  31]],1,0.0,[[331  33]],1.2,0.0,0.0,False
456,[[331  33]],1,0.0,[[339  27]],1.2,0.0,0.0,False
457,[[339  27]],2,0.0,[[325  28]],1.2,0.0,0.0,False
458,[[325  28]],0,104.235,[[312  31]],1.2,0.05,0.0,False
459,[[312  31]],2,115.04938,[[343  32]],1.2,0.05,0.0,False
460,[[343  32]],2,116.89508,[[356  30]],1.2,0.05,0.0,False
461,[[356  30]],2,112.7958,[[339  37]],1.2,0.05,0.0,False
462,[[339  37]],0,240.98532,[[357  24]],1.2,0.1,0.0,False
463,[[357  24]],2,224.06124,[[342  35]],1.2,0.1,0.0,False
464,[[342  35]],0,346.3692,[[347  37]],1.2,0.15,0.0,False
465,[[347  37]],2,332.38259999999997,[[339  39]],1.2,0.15,0.0,False
466,[[339  39]],1,229.80568,[[344  39]],1.2,0.1,0.0,False
467,[[344  39]],2,232.66976,[[358  32]],1.2,0.1,0.0,False
468,[[358  32]],0,350.8026,[[347  26]],1.2,0.15,0.0,False
469,[[347  26]],0,466.20488,[[350  38]],1.2,0.2,0.0,False
470,[[350  38]],2,510.72032,[[383  33]],1.2,0.2,0.0,False
471,[[383  33]],0,631.8622,[[371  27]],1.2,0.25,0.0,False
472,[[371  27]],2,569.2016,[[352  34]],1.2,0.25,0.0,False
473,[[352  34]],0,741.14004,[[371  34]],1.2,0.3,0.0,False
474,[[371  34]],2,792.21588,[[397  31]],1.2,0.3,0.0,False
475,[[397  31]],2,722.0043599999999,[[355  29]],1.2,0.3,0.0,False
476,[[355  29]],0,853.00488,[[372  24]],1.2,0.35,0.0,False
477,[[372  24]],1,748.26396,[[372  41]],1.2,0.3,0.0,False
478,[[372  41]],2,776.7095999999999,[[385  32]],1.2,0.3,0.0,False
479,[[385  32]],2,760.7210399999999,[[381  29]],1.2,0.3,0.0,False
480,[[381  29]],1,623.8045,[[371  32]],1.2,0.25,0.0,False
481,[[371  32]],2,626.5029,[[378  23]],1.2,0.25,0.0,False
482,[[378  23]],2,672.369,[[396  23]],1.2,0.25,0.0,False
483,[[396  23]],0,752.8832399999999,[[386  31]],1.2,0.3,0.0,False
484,[[386  31]],1,675.9739999999999,[[406  30]],1.2,0.25,0.0,False
485,[[406  30]],2,650.2615999999999,[[394  38]],1.2,0.25,0.0,False
486,[[394  38]],1,539.6279999999999,[[402  33]],1.2,0.2,0.0,False
487,[[402  33]],1,389.24712,[[396  29]],1.2,0.15,0.0,False
