,nP_share,nV_share,Platform_rev
192,0.147,0.125,98.2329
193,0.136,0.105,182.13004
194,0.1305,0.11,83.71842
195,0.146,0.09,100.00654
196,0.1335,0.125,89.4285
197,0.1415,0.125,192.29948000000002
198,0.1485,0.14,195.075
199,0.1335,0.16,173.622
200,0.142,0.1,96.96404
201,0.1475,0.19,0.0
202,0.1445,0.14,0.0
203,0.155,0.13,103.94973999999999
204,0.156,0.155,0.0
205,0.149,0.135,0.0
206,0.1655,0.135,0.0
207,0.1545,0.14,0.0
208,0.1605,0.18,0.0
209,0.1485,0.155,94.65972000000001
210,0.1615,0.175,106.37971999999999
211,0.163,0.185,212.97964000000002
212,0.1665,0.185,220.90715999999998
213,0.159,0.18,104.20182
214,0.167,0.135,225.00704000000002
215,0.159,0.185,326.15477999999996
216,0.156,0.185,205.96092
217,0.159,0.15,100.58261999999999
218,0.1715,0.175,233.1788
219,0.169,0.17,107.85481999999999
220,0.161,0.15,204.94675999999998
221,0.1795,0.15,350.37528
222,0.176,0.16,356.11896
223,0.1695,0.17,228.06876
224,0.1725,0.175,111.51306
225,0.169,0.145,228.9946
226,0.181,0.145,120.14366
227,0.168,0.18,111.71094
228,0.179,0.185,113.34844
229,0.1865,0.145,249.2642
230,0.188,0.165,362.55377999999996
231,0.1835,0.165,356.44422
232,0.184,0.16,236.32011999999997
233,0.19,0.19,243.56560000000002
234,0.1835,0.185,124.59832
235,0.197,0.21,130.27966
236,0.189,0.2,252.46488
237,0.189,0.215,252.0306
238,0.187,0.195,245.31328000000002
239,0.1945,0.205,253.9804
240,0.181,0.195,115.72814000000001
241,0.1895,0.19,0.0
242,0.192,0.205,127.31892
243,0.206,0.175,0.0
244,0.1965,0.225,127.76892000000001
245,0.2085,0.18,276.42611999999997
246,0.186,0.2,239.03640000000001
247,0.203,0.17,386.41566
248,0.2035,0.19,532.23464
249,0.209,0.22,535.2424
250,0.212,0.18,411.62825999999995
251,0.1945,0.23,241.44316000000003
252,0.206,0.185,131.41024
253,0.2105,0.205,0.0
254,0.2215,0.25,0.0
255,0.2015,0.245,0.0
256,0.21,0.215,0.0
257,0.217,0.2,141.03044
258,0.2285,0.165,0.0
259,0.2235,0.18,0.0
260,0.223,0.195,147.0005
261,0.2165,0.205,0.0
262,0.2335,0.3,152.64218
263,0.2315,0.23,311.40812
264,0.2235,0.225,429.7742999999999
265,0.2305,0.235,448.82807999999994
266,0.243,0.19,317.56728
267,0.2255,0.245,288.21907999999996
268,0.247,0.235,161.52692000000002
269,0.2455,0.255,326.56996
270,0.238,0.22,158.25206
271,0.2245,0.225,294.99244
272,0.226,0.26,287.25268
273,0.249,0.195,487.79567999999995
274,0.247,0.265,638.9573600000001
275,0.232,0.195,451.40963999999997
276,0.2605,0.265,677.0110400000001
277,0.236,0.21,453.45611999999994
278,0.252,0.23,323.49756
279,0.246,0.24,161.24688
280,0.2505,0.235,321.08063999999996
281,0.251,0.31,476.54922
282,0.252,0.205,327.28212
283,0.258,0.27,489.2949
284,0.2605,0.245,498.4512
285,0.2585,0.185,347.00216
286,0.2595,0.255,493.85681999999997
287,0.2575,0.24,643.8706400000001
288,0.273,0.25,687.44808
289,0.2645,0.205,825.9355999999999
290,0.2675,0.25,688.56088
291,0.2575,0.225,661.92416
292,0.2745,0.2,711.01872
293,0.272,0.24,876.9110000000001
294,0.2705,0.26,697.8016
295,0.272,0.21,690.4067200000001
296,0.272,0.2,699.45016
297,0.2625,0.195,506.49425999999994
298,0.279,0.23,355.49652000000003
299,0.279,0.205,183.3945
300,0.285,0.275,363.78276000000005
301,0.288,0.21,370.9992
302,0.261,0.215,166.18398000000002
303,0.2835,0.235,366.22488
304,0.2785,0.24,177.31352
305,0.2945,0.295,376.73408
306,0.2935,0.27,186.45260000000002
307,0.302,0.35,0.0
308,0.2935,0.275,0.0
309,0.282,0.32,177.9468
310,0.2935,0.265,191.02862
311,0.2815,0.305,177.93698
312,0.305,0.285,397.31744000000003
313,0.3025,0.28,194.54192
314,0.3055,0.27,194.4761
315,0.292,0.295,362.72164
316,0.32,0.31,611.5404
317,0.2985,0.315,577.43478
318,0.309,0.28,588.231
319,0.3015,0.285,386.40779999999995
320,0.2995,0.3,189.69788
321,0.3105,0.3,390.17052
322,0.314,0.36,609.13758
323,0.3105,0.27,794.4832799999999
324,0.313,0.29,595.51566
325,0.3125,0.25,394.72796
326,0.3375,0.315,434.40792
327,0.32,0.315,609.86136
328,0.339,0.355,433.06043999999997
329,0.328,0.325,414.51844
330,0.3235,0.335,200.93192
331,0.325,0.3,409.41988000000003
332,0.3235,0.355,408.37972
333,0.328,0.315,621.4176600000001
334,0.328,0.285,818.70992
335,0.329,0.275,840.55528
336,0.3265,0.29,1057.393
337,0.3375,0.28,1097.4236999999998
338,0.326,0.315,1274.78184
339,0.3425,0.285,1544.72248
340,0.3345,0.285,1487.9961599999997
341,0.3335,0.265,1675.3587200000002
342,0.3395,0.245,1739.0292800000002
343,0.347,0.24,1764.04736
344,0.338,0.26,1518.4195599999998
345,0.3465,0.215,1774.58736
346,0.355,0.24,2038.27446
347,0.3475,0.17,2227.469
348,0.344,0.195,2412.81986
349,0.3405,0.155,2167.7364
350,0.3355,0.14,1923.98238
351,0.3305,0.11,2136.4882
352,0.3215,0.155,2268.88904
353,0.335,0.175,2397.57056
354,0.316,0.12,1981.8523999999998
355,0.317,0.135,1856.53764
356,0.314,0.155,1616.21936
357,0.3125,0.105,1392.4409799999999
358,0.304,0.125,1173.8517599999998
359,0.293,0.145,1340.1442599999998
360,0.2855,0.115,1117.1468399999999
361,0.276,0.14,888.1656
362,0.284,0.14,1127.0004
