,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_IDLE_TIME,P2_IDLE_TIME,P1_REVENUE,P2_REVENUE,P1_ACTUAL_INC,P2_ACTUAL_INC,P1_COST,P2_COST,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,OUT,mu,P1_INFORMED,P2_INFORMED,inc_dif,platform_id,P1_hate,P2_hate,MIN_WAGE_SUB,TOM_OUT,TOM_platform_id,P1_U,P2_U,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.011646476351981945,0.011646476351981946,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010024226172234904,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.013534988873820198,0.0135349888738202,1.0,0.0,173.8,,71.744,,57.6,,26.4025,,11.0,0.0,1.0,10561.0,10428.0,43.71,105.61,71.744,26.4025,17.935999999999993,89.67999999999999,57.6,0.0,1.0,1.0,0.0,-0.20000000000000004,1.0,0.0,0.0,12.258500000000005,,1.0,,,0.0,0.0,3463.0,60.0,0.0,220.0,0.0,4371.0,0.0,330.0,6190.0,0.0,0.0,0.0,0.0,6965.0
2,0.010096904688939598,0.010121130861174497,0.010000000000000007,0.010000000000000007,0.016141730150256668,0.01530248331073031,3.0,5.0,166.61666666666667,207.2133333333333,63.25866666666666,45.7488,57.6,57.6,27.465833333333336,21.727,8.625,0.0,1.0,9551.625,11519.375,46.20625,95.51625,52.315000000000005,23.8790625,13.078749999999998,65.39375,57.60000000000001,0.0,1.0,0.5,0.75,-0.2,1.625,0.0,0.0,29.164062500000004,,1.0,,,0.0,0.0,4854.25,96.75,0.0,172.5,0.0,4620.625,0.0,258.75,4931.0,0.0,0.0,0.0,0.0,6665.125
3,0.010314940239053678,0.010266487894583882,0.010000000000000007,0.010000000000000007,0.018627453341765007,0.0181512607570231,9.0,6.0,280.7518518518518,219.11666666666667,30.184177777777776,42.99333333333333,57.60000000000001,57.600000000000016,11.1625,19.88416666666667,5.733333333333333,0.0,1.0,5860.466666666666,15365.866666666667,25.647333333333332,58.60466666666666,35.307840000000006,14.651166666666665,8.826959999999996,44.1348,57.600000000000016,0.0,1.0,0.6,0.6,-0.20000000000000007,1.4,0.0,0.0,36.94332666666666,,1.0,,,0.0,0.0,7569.866666666667,86.0,0.0,114.66666666666667,0.0,2564.733333333333,0.0,172.0,3295.733333333333,0.0,0.0,0.0,0.0,7796.0
4,0.010471774739584232,0.010531704551175193,0.010000576708491067,0.010000576708491067,0.02171826695791412,0.02051596586360328,6.0,10.0,154.49166666666667,237.64166666666668,70.90346666666666,38.248,57.6,57.60000000000001,29.29041666666667,17.30125,7.9375,0.0,1.25,8718.875,12387.625,39.833749999999995,87.18875000000001,50.4938,21.797187500000003,12.623449999999995,63.11725,57.600000000000016,0.0,1.0,0.6875,0.75,-0.2000000000000001,1.625,0.0,0.0,28.9033875,,1.0,,,0.0,0.0,5863.5,95.625,0.0,158.75,0.0,3983.375,0.0,238.125,4735.5,0.0,0.0,0.0,0.0,6524.125
5,0.01085685101935746,0.01083775557921021,0.010002014770387846,0.010001151888714858,0.02531834724243874,0.023961953979566148,14.0,11.0,290.15119047619044,263.0863636363636,28.890285714285714,34.58327272727273,57.600000000000016,57.600000000000016,9.731964285714286,13.530000000000001,5.28,0.0,1.32,4561.24,16694.56,16.5336,45.6124,31.395200000000003,11.4031,7.848799999999999,39.244,57.59999999999998,0.0,1.0,0.88,0.76,-0.20000000000000007,1.44,0.0,0.0,37.607899999999994,,1.0,,,0.0,0.0,7120.24,79.2,0.0,105.6,0.0,1653.36,0.0,158.4,2907.88,0.0,0.0,0.0,0.0,9574.32
6,0.011150153342278743,0.011030293719096829,0.010003447482781602,0.01000281612522147,0.029466804603058363,0.026931749510787112,10.0,7.0,216.82166666666666,138.4452380952381,52.372800000000005,70.73485714285714,57.60000000000001,57.60000000000001,20.23025,31.485000000000003,9.941176470588236,0.0,1.588235294117647,9945.823529411764,11072.941176470587,43.76529411764706,99.45823529411767,59.93364705882353,24.864558823529418,14.983411764705878,74.91705882352942,57.600000000000016,0.0,1.0,1.0,0.8235294117647058,-0.20000000000000007,1.411764705882353,0.0,0.0,22.530911764705884,,1.0,,,0.0,0.0,4145.411764705882,83.17647058823529,0.0,198.8235294117647,0.0,4376.529411764706,0.0,298.2352941176471,5569.294117647059,0.0,0.0,0.0,0.0,6927.529411764706
7,0.011271284203453238,0.011222831858983444,0.010005548815057443,0.010004250334363887,0.03319578272748187,0.029942498880612404,5.0,7.0,129.79666666666668,152.55952380952382,82.95040000000002,63.22285714285715,57.6,57.60000000000001,32.7005,29.489642857142854,12.166666666666666,0.0,1.25,12331.0,8584.5,56.91833333333333,123.31,71.44266666666665,30.8275,17.860666666666663,89.30333333333333,57.600000000000016,0.0,1.0,0.6666666666666666,0.8333333333333334,-0.20000000000000004,1.5833333333333333,0.0,0.0,16.984833333333327,,1.0,,,0.0,0.0,2143.0,76.66666666666667,0.0,241.83333333333334,0.0,5691.833333333333,0.0,365.0,6639.166666666667,0.0,0.0,0.0,0.0,6441.5
8,0.011547978327165719,0.011488048515574757,0.010006504638795157,0.01000754486645093,0.03711008367321592,0.03314645082671896,10.0,10.0,192.49833333333333,208.85333333333335,58.062400000000004,48.736000000000004,57.60000000000001,57.60000000000001,23.70225,21.260499999999997,8.9,0.0,1.5,8992.55,12040.55,40.623000000000005,89.9255,53.39920000000001,22.481375,13.349799999999998,66.749,57.6,0.0,1.0,0.95,0.95,-0.2000000000000001,1.5,0.0,0.0,26.682175,,1.0,,,0.0,0.0,5081.75,121.1,0.0,177.8,0.0,4062.3,0.0,267.0,4930.25,0.0,0.0,0.0,0.0,6958.8
9,0.011777491344400965,0.011708672321791352,0.010009787102885163,0.010010314282161259,0.041169341779188205,0.03765796244212304,9.0,7.0,155.76851851851853,161.4547619047619,72.50382222222223,56.016000000000005,57.60000000000001,57.60000000000001,29.04138888888889,28.199642857142855,10.375,0.0,1.5,11469.25,9495.375,54.715624999999996,114.69249999999998,65.2904,28.673124999999995,16.3226,81.61300000000001,57.600000000000016,0.0,1.0,0.875,0.9375,-0.20000000000000004,1.4375,0.0,0.0,20.982725,,1.0,,,0.0,0.0,2530.6875,115.625,0.0,207.5,0.0,5471.5625,0.0,311.25,5997.6875,0.0,0.0,0.0,0.0,6964.6875
