,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P1_fare,P2_fare,P1_revenue,P2_revenue,P1_min_wage_sub,P2_min_wage_sub,P1_profit,P2_profit,P1_remaining_capital,P2_remaining_capital,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,P1_hate,P2_hate,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.011646476351982286,0.011646476351982278,0.0,0.0,,,,,,,,1.2,1.0,0.0,0.0,0.0,0.0,-500.0,-500.0,49500.0,49500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000000000000163,0.010000737359393353,0.010000000000000163,0.010000000000000163,0.013547090682313462,0.013510785256834995,19.0,17.0,11.531578947368422,10.853921568627452,7.0017543859649125,6.185294117647058,10.758333333333333,8.818518518518518,9.731372549019607,1.2,1.0,13.46048,11.998999999999999,28.378799999999988,33.38249999999999,-514.91832,-521.3834999999999,48985.08168,48978.616500000004,-36.429664814814814,-12.178990712842413,11.211574074074074,0.11454451002195161,0.0,0.4722222222222222,1.0,0.4722222222222222,1.0,0.6111111111111112,0.5833333333333334,1.4722222222222223,0.7072077777777778,6.616203703703704,2.2222222222222223,1.9444444444444444,0.0,6876.25,72.38888888888889,0.0,5.0,0.0,9.444444444444445,275.72222222222223,14.166666666666666,261.30555555555554,4.722222222222222,0.0,0.0,324.5833333333333
2,0.010016401128387127,0.010016537274801597,0.010000000000000163,0.010000000000000163,0.01566396161452111,0.015628444164539727,39.0,29.0,11.940598290598288,12.088505747126435,4.079487179487179,2.520114942528736,9.896236559139785,11.099333333333332,10.433333333333334,1.2,1.0,51.46648,36.18480000000001,57.6252,106.23799999999999,-506.15872,-570.0532,48478.92296,48408.5633,-20.684311764705893,-11.295543411790192,12.003676470588237,0.2845498321946296,0.0,0.8235294117647058,1.0,0.8382352941176471,1.0441176470588236,0.7058823529411765,0.6323529411764706,1.4264705882352942,1.2889894117647058,3.4144607843137256,3.5294117647058822,2.6470588235294117,0.0,7453.85294117647,96.33823529411765,0.0,7.25,0.0,16.470588235294116,515.3529411764706,24.705882352941178,476.3529411764706,8.235294117647058,0.0,0.0,108.52941176470588
3,0.010031029479770836,0.010042334844070208,0.010000034895728305,0.010000000000000163,0.018033394574083414,0.01803103064759223,45.0,60.0,10.86296296296296,11.799999999999995,0.912962962962963,5.021111111111111,9.95,9.243939393939394,9.600936329588015,1.2,1.0,70.83791999999998,66.08,132.6301,94.41650000000001,-561.79218,-528.3365,47917.13078000001,47880.226800000004,-21.31702476190476,-12.109975088064592,11.398412698412702,0.26550852543699444,0.0,0.8476190476190476,1.0,0.8952380952380953,1.0571428571428572,0.6761904761904762,0.7238095238095238,1.5714285714285714,1.3039801904761907,3.26047619047619,3.4285714285714284,3.1333333333333333,0.0,6974.657142857143,101.91428571428571,0.0,6.904761904761905,0.0,16.952380952380953,488.2761904761905,25.428571428571427,486.67619047619047,8.476190476190476,0.0,0.0,93.71428571428571
4,0.010050058583107323,0.01008448309384567,0.010000077815873667,0.010000039515633602,0.020798247336423308,0.02082008702691775,62.0,61.0,10.998118279569892,10.14863387978142,6.111827956989247,2.948087431693989,7.776068376068376,7.986060606060606,7.898936170212766,1.2,1.0,64.03536,77.05340000000002,17.600599999999986,122.89599999999999,-453.56524,-545.8426,47463.56554,47334.3842,-25.300100271002705,-12.561131624056173,10.576829268292684,0.1231125019566252,0.0,0.7642276422764228,1.0,0.8373983739837398,1.1219512195121952,0.7804878048780488,0.7642276422764228,1.4959349593495934,1.1470630894308946,4.542818428184282,2.186991869918699,2.7398373983739837,0.0,7549.430894308943,127.5691056910569,0.0,4.40650406504065,0.0,15.284552845528456,362.0406504065041,22.926829268292682,430.1788617886179,7.642276422764228,0.0,0.0,145.0
5,0.010073516862223842,0.010154759025833049,0.010000152564785276,0.01000016410589371,0.023763315014661696,0.02375609656552637,77.0,71.0,10.029870129870124,9.354460093896714,1.5686147186147184,0.8910798122065727,8.572587719298246,8.708695652173912,8.63735632183908,1.2,1.0,136.62016000000003,98.1438,74.82289999999998,199.454,-438.20273999999995,-601.3102,47025.3628,46733.074,-14.793479729729745,-12.185832374803455,9.70585585585585,0.2398730565648117,0.0,0.9797297297297297,1.0,1.1013513513513513,1.1689189189189189,0.7972972972972973,0.8175675675675675,1.4797297297297298,1.5862429729729737,1.243581081081081,3.9054054054054053,2.5135135135135136,0.0,7086.094594594595,62.148648648648646,0.0,9.932432432432432,0.0,19.594594594594593,507.7364864864865,29.39189189189189,590.5945945945946,9.797297297297296,0.0,0.0,12.466216216216216
6,0.010112862459167966,0.010184804349788964,0.010000292800299786,0.01000032900968092,0.02744855608466939,0.02708219442152154,90.0,85.0,10.907777777777778,10.783725490196078,2.788703703703704,7.2070588235294135,8.699007936507938,7.415040650406504,8.277866666666666,1.2,1.0,136.79856000000004,59.697199999999995,83.86309999999997,39.976499999999994,-447.0645399999999,-480.2793,46578.29826,46252.7947,-25.45702019047618,-12.001223652177233,10.847523809523812,0.26711360800491474,0.0,0.7142857142857143,1.0,0.8742857142857143,1.1828571428571428,0.8457142857142858,0.88,1.4857142857142858,1.122832914285714,4.934761904761905,3.342857142857143,1.4285714285714286,0.0,7390.5771428571425,120.37142857142857,0.0,3.7885714285714287,0.0,14.285714285714286,354.7657142857143,21.428571428571427,407.1771428571429,7.142857142857143,0.0,0.0,175.71428571428572
7,0.010121405447739661,0.010219289448419952,0.010000440104239143,0.010000545234839602,0.031325062164070994,0.030835922121912336,104.0,79.0,10.41778846153846,11.036286919831221,8.42724358974359,3.5434599156118143,6.677956989247312,9.248958333333333,8.41,1.2,1.0,46.078,93.4602,5.905299999999997,155.129,-459.82730000000004,-561.6688,46118.470960000006,45691.1259,-36.150318032786906,-12.323550055639318,10.68479052823315,0.11464013432229517,0.0,0.5191256830601093,1.0,0.7759562841530054,1.3442622950819672,0.912568306010929,0.9016393442622951,1.4316939890710383,0.762503825136612,6.31894353369763,1.4972677595628416,2.6885245901639343,0.0,7492.11475409836,83.39890710382514,0.0,3.0163934426229506,0.0,10.382513661202186,261.95081967213116,15.573770491803279,291.3169398907104,5.191256830601093,0.0,0.0,295.73770491803276
8,0.010186621649097744,0.010309902051788932,0.010000562447511931,0.010000910422128527,0.0356400649391574,0.034953199432926865,95.0,94.0,9.08842105263158,8.081028368794325,0.8382456140350878,0.4785460992907801,8.337943262411349,7.7677536231884075,8.055913978494624,1.2,1.0,146.03103999999996,126.3848,176.8494,246.06449999999995,-530.81836,-619.6796999999999,45587.65260000001,45071.4462,-13.43481834215167,-11.601699840159357,8.587389770723105,0.1297862490798275,0.0,0.9841269841269841,1.0,1.2275132275132274,1.3915343915343916,0.9047619047619048,0.9206349206349206,1.4973544973544974,1.4413536507936509,0.6593474426807759,3.64021164021164,2.4497354497354498,0.0,6659.460317460317,29.798941798941797,0.0,11.735449735449736,0.0,19.682539682539684,475.6825396825397,29.523809523809526,529.6666666666666,9.841269841269842,0.0,0.0,9.761904761904763
9,0.010213852348663715,0.010427752232622364,0.01000084148792145,0.010001128723487891,0.03975879382015718,0.03996010657997646,94.0,106.0,11.18989361702128,8.66446540880503,4.430319148936169,1.3437106918238997,8.043037974683545,7.53495145631068,7.7554945054945055,1.2,1.0,128.47264,133.9996,40.567899999999995,288.12350000000004,-412.09526,-654.1239,45175.55734000001,44417.3223,-17.164374,-11.671348880273538,9.851416666666667,0.15645264020379032,0.0,0.91,1.0,1.3,1.535,0.93,0.965,1.53,1.312361200000001,2.794416666666666,3.255,2.68,0.0,7376.0,112.315,0.0,6.79,0.0,18.2,423.42,27.3,484.04,9.1,0.0,0.0,55.35
