,x,supply_share,date
0,0.0,623.8520998312868,2014-06-01 08:00:00.000000
1,0.4611646696449085,880.7339572834254,2014-06-15 04:02:18.823720
2,0.8980578654380381,1137.6124550021457,2014-06-28 06:36:05.987215
3,1.3106795873793888,1504.5860571147125,2014-07-10 15:41:21.490487
4,1.6747572505403303,1871.559659227279,2014-07-21 13:49:30.793401
5,2.0145634398494936,2275.228269737709,2014-07-31 18:29:08.436090
6,2.4271840507139912,2605.503503718994,2014-08-13 03:34:21.059451
7,2.839805772655342,2862.3853611711324,2014-08-25 12:39:36.562723
8,3.2281549096680635,3229.35728341699,2014-09-06 04:16:17.525860
9,3.640776631609413,3596.3292056628475,2014-09-18 13:21:33.029132
10,4.029125768622134,4036.69618430456,2014-09-30 04:58:13.992269
11,4.441747490563484,4477.063162946273,2014-10-12 14:03:29.495541
12,4.854369212504836,4917.430141587985,2014-10-24 23:08:44.998813
13,5.194174290737146,5467.888864890127,2014-11-04 03:48:19.761591
14,5.4854364212659,5981.650899927695,2014-11-12 21:30:51.203921
15,5.7524270779428734,6532.109623229835,2014-11-20 21:44:50.986028
16,6.043689208471626,7082.568346531976,2014-11-29 15:27:22.428358
17,6.407766871632568,7522.935325173689,2014-12-10 13:35:31.731272
18,6.7961160086452885,7999.998992079974,2014-12-22 05:12:12.694409
19,7.208738841663492,8366.97259419254,2015-01-03 14:17:31.077592
20,7.669902400231547,8550.457715382116,2015-01-17 10:19:47.021400
21,8.08252523324975,8880.7329493634,2015-01-29 19:25:05.404583
22,8.300971831146315,9504.586729061397,2015-02-05 08:41:58.986331
23,8.543688791817807,10201.83388528854,2015-02-12 15:27:21.348392
24,8.737865026939446,10862.384353251107,2015-02-18 11:15:46.149827
25,8.95631162483601,11559.63318934496,2015-02-25 00:32:39.731575
26,9.29611670306832,12146.788600911672,2015-03-07 05:12:14.494353
27,9.63592178130063,12697.247324213811,2015-03-17 09:51:49.257131
28,9.999999444461574,13211.00935925138,2015-03-28 07:59:58.560044
29,10.364077107622515,13761.468082553522,2015-04-08 06:08:07.862958
30,10.752427355712086,14238.531749459808,2015-04-19 21:44:51.706006
31,11.14077760380166,14678.89872810152,2015-05-01 13:21:35.549054
32,11.626213747298346,14899.082217422378,2015-05-16 02:52:26.032997
33,12.063106943091476,15045.87065034738,2015-05-29 05:26:13.196493
34,12.548543086588165,14972.477273818233,2015-06-12 18:57:03.680437
35,13.033981452238557,14825.68716102652,2015-06-27 08:27:59.924202
36,13.398059115399496,14311.926805855664,2015-07-08 06:36:09.227115
37,13.737864193631806,13834.861459082667,2015-07-18 11:15:43.989894
38,14.174757389424936,13504.586225101384,2015-07-31 13:49:31.153389
39,14.635923170146697,13614.677969761811,2015-08-14 09:51:52.857020
40,15.048543781011194,13798.164770818095,2015-08-26 18:57:05.480381
41,15.24271779397913,14532.11029517652,2015-09-01 14:45:24.521994
42,15.41262144417214,15266.054139668237,2015-09-06 17:05:14.783294
43,15.606795457140068,16036.696352291232,2015-09-12 12:53:33.824907
44,15.800971692261706,16770.641876649657,2015-09-18 08:41:58.626342
45,15.995145705229644,17467.889872810152,2015-09-24 04:30:17.667955
46,16.213592303126205,18128.44034077272,2015-09-30 17:47:11.249703
47,16.432038901022775,18752.293280537364,2015-10-07 07:04:04.831451
48,16.650485498919338,19412.84374849993,2015-10-13 20:20:58.413199
49,16.868932096815904,20073.3942164625,2015-10-20 09:37:51.994947
50,17.111651279641098,20660.55046796257,2015-10-27 16:23:20.116830
51,17.35436824031259,21284.40340772721,2015-11-03 23:08:42.478890
52,17.621360008066414,21908.257187425206,2015-11-11 23:22:45.140908
53,17.888349553666536,22605.50434365235,2015-11-19 23:36:42.043104
