,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,mu,INFORMED,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
0,0.009999999999999832,0.009999999999999832,0.011646476351981828,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.009999999999999832,0.010000375205286068,0.013583396107791409,5.0,7.2,0.0,1.0,8403.2,12746.4,42.522,84.03200000000001,47.91360000000001,21.008000000000003,11.978400000000002,59.891999999999996,26.905600000000003,1.0,1.0,0.0,0.0,6441.8,89.4,0.0,144.0,0.0,4252.2,0.0,216.0,4151.0,0.0,0.0,0.0,0.0,6304.6
2,0.010020127903311412,0.010000945548630596,0.01578340374845465,6.0,11.0,0.0,1.0,12537.5,8463.166666666666,54.248333333333335,125.375,80.6016,31.34375,20.1504,100.752,49.25785,1.0,1.0,0.0,0.0,1605.8333333333333,48.333333333333336,0.0,220.0,0.0,5424.833333333333,0.0,330.0,7112.666666666667,0.0,0.0,0.0,0.0,6857.333333333333
3,0.010020127903311412,0.01000213064556491,0.01805759819106902,12.0,6.916666666666667,0.0,1.0,6931.166666666667,14220.75,28.460833333333337,69.31166666666667,46.96346666666667,17.327916666666667,11.740866666666667,58.70433333333333,29.635550000000006,1.0,1.0,0.0,0.0,7136.333333333333,101.25,0.0,138.33333333333334,0.0,2846.0833333333335,0.0,207.5,4085.0833333333335,0.0,0.0,0.0,0.0,7084.416666666667
4,0.010027238848529064,0.01000383348501318,0.02079039641816631,20.0,8.85,0.0,1.05,8655.15,12375.15,34.809000000000005,86.5515,59.584799999999994,21.637875,14.896199999999999,74.48100000000002,37.94692500000001,1.0,1.0,0.0,0.0,5510.9,127.05,0.0,176.15,0.0,3480.9,0.0,265.5,5174.25,0.0,0.0,0.0,0.0,6864.25
5,0.010064371162618897,0.010005773137792908,0.023781243664384645,17.0,11.647058823529411,0.0,1.0588235294117647,11929.764705882353,8987.0,52.98470588235293,119.29764705882353,76.7051294117647,29.824411764705882,19.176282352941175,95.88141176470587,46.880717647058816,1.0,1.0,0.0,0.0,2201.1176470588234,99.88235294117646,0.0,232.94117647058823,0.0,5298.470588235294,0.0,349.4117647058824,6631.294117647059,0.0,0.0,0.0,0.0,6785.882352941177
6,0.010074360169825837,0.010008514587699042,0.027264665030786586,21.0,9.666666666666666,0.0,1.0,9935.095238095239,11052.857142857143,43.963809523809516,99.35095238095239,63.99832380952382,24.837738095238098,15.999580952380954,79.99790476190476,39.16058571428571,1.0,1.0,0.0,0.0,3774.714285714286,129.1904761904762,0.0,191.85714285714286,0.0,4396.380952380952,0.0,290.0,5538.714285714285,0.0,0.0,0.0,0.0,7278.142857142857
7,0.010100706857655675,0.01001186252223539,0.03071386501081728,27.0,8.777777777777779,0.0,1.037037037037037,7944.148148148148,13086.407407407407,26.584074074074078,79.44148148148149,60.57422222222225,19.860370370370372,15.143555555555562,75.7177777777778,40.71385185185184,1.0,1.0,0.0,0.0,6230.666666666667,131.66666666666666,0.0,173.44444444444446,0.0,2658.4074074074074,0.0,263.3333333333333,5285.740740740741,0.0,0.0,0.0,0.0,6855.740740740741
8,0.010112279874707116,0.010015479679653808,0.035022216242633936,30.0,8.2,0.0,1.1,6871.266666666666,14195.233333333334,21.47000000000001,68.71266666666666,54.536959999999986,17.178166666666666,13.634239999999997,68.17120000000001,37.35879333333334,1.0,1.0,0.0,0.0,6269.0,123.0,0.0,163.5,0.0,2147.0,0.0,246.0,4724.266666666666,0.0,0.0,0.0,0.0,7926.233333333334
9,0.010159887358367776,0.010020345092772947,0.039666517260931726,21.0,12.19047619047619,0.0,1.1904761904761905,12767.095238095239,8125.238095238095,59.29380952380953,127.67095238095239,79.29539047619049,31.917738095238096,19.823847619047623,99.11923809523809,47.377652380952384,1.0,1.0,0.0,0.0,1489.1904761904761,97.47619047619048,0.0,243.47619047619048,0.0,5929.380952380952,0.0,365.7142857142857,6837.714285714285,0.0,0.0,0.0,0.0,6636.047619047619
10,0.010223041247229248,0.010026397652981436,0.04449378195567978,22.0,11.954545454545455,0.0,1.2727272727272727,11883.681818181818,8998.363636363636,50.77090909090909,118.83681818181817,78.73236363636362,29.709204545454543,19.683090909090904,98.41545454545454,49.0231590909091,1.0,1.0,0.0,0.0,2550.181818181818,119.22727272727273,0.0,239.0909090909091,0.0,5077.090909090909,0.0,358.6363636363636,6806.590909090909,0.0,0.0,0.0,0.0,6448.181818181818
11,0.010246093131311711,0.010033405091507337,0.04975361981626056,30.0,9.066666666666666,0.0,1.2,8155.566666666667,12854.666666666666,27.182333333333336,81.55566666666668,62.35306666666667,20.38891666666667,15.588266666666668,77.94133333333333,41.96415,1.0,1.0,0.0,0.0,5482.4,136.0,0.0,180.76666666666668,0.0,2718.233333333333,0.0,272.0,5437.333333333333,0.0,0.0,0.0,0.0,7372.266666666666
