,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,rh_U,alt_U,ACTUAL_WT,U_dif,mu,nDAYS_HAILED,INFORMED,plat_revenue,MATCHING_T,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000001426,0.010000000000001426,0.011646476351983959,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000869776401241,0.010000290376266359,0.01354467032061622,42.0,-16.525093253968254,-10.688716086972327,9.918650793650793,0.6353608021208219,1.0,1.0,1.0,2.447382857142857,3.7690476190476194,0.0,6831.285714285715,79.71428571428571,0.0,6.0,0.0,15.238095238095237,368.9761904761905,22.857142857142858,429.57142857142856,7.619047619047619,0.0,0.0,146.42857142857142
2,0.01000852550744776,0.010000939549333251,0.01568590246490754,81.0,-13.313630692729767,-11.153811342336807,9.168518518518525,0.2218700006964651,1.0,1.037037037037037,1.0,2.453097777777778,0.9337448559670782,0.0,7138.049382716049,48.4320987654321,0.0,10.481481481481481,0.0,19.753086419753085,494.08641975308643,29.62962962962963,553.641975308642,9.876543209876543,0.0,0.0,7.592592592592593
3,0.010012616915891554,0.010002038874024293,0.018182100846048693,118.0,-15.125986534839921,-11.188950605314638,11.075423728813552,0.4389265171438201,1.0,1.0338983050847457,1.0,2.6942176271186438,1.410875706214689,0.0,7199.771186440678,69.01694915254237,0.0,8.05084745762712,0.0,19.491525423728813,579.8728813559322,29.23728813559322,615.9661016949152,9.745762711864407,0.0,0.0,15.635593220338983
4,0.01002628702384235,0.010003677255591328,0.020880391713899733,166.0,-13.937592637215529,-11.344028979188673,8.96184738955823,0.33180411058678916,1.0,1.0301204819277108,1.0,2.5657127710843355,1.4459839357429718,0.0,7694.746987951808,71.93975903614458,0.0,8.927710843373495,0.0,19.518072289156628,450.95180722891564,29.27710843373494,573.6024096385543,9.759036144578314,0.0,0.0,14.819277108433734
5,0.010038512734638563,0.010005717626888167,0.024026326909644357,189.0,-14.261087624926512,-10.90427613497601,9.588712522045855,0.42871876345300286,1.0,1.0423280423280423,1.0,2.4740114285714285,2.49320987654321,0.0,6962.41798941799,113.7989417989418,0.0,6.08994708994709,0.0,18.835978835978835,425.73015873015873,28.253968253968253,527.3015873015873,9.417989417989418,0.0,0.0,35.79365079365079
6,0.010076052668573345,0.010008320837898725,0.02749452594873274,184.0,-11.137584646739134,-11.016409958411508,4.144021739130434,0.05245209122445586,1.0,1.076086956521739,1.0,2.4112226086956534,0.0,0.0,7106.527173913043,0.0,0.0,15.0,0.0,20.0,248.6413043478261,30.0,552.6358695652174,10.0,0.0,0.0,0.0
7,0.01010763919596488,0.010011768860881965,0.03134730810811552,225.0,-11.717077567901244,-10.547531301621547,5.760074074074076,0.22637304503571393,1.0,1.0622222222222222,1.0,2.4128591999999998,0.17703703703703705,0.0,6830.586666666667,10.622222222222222,0.0,13.893333333333333,0.0,20.0,334.9822222222222,30.0,553.1155555555556,10.0,0.0,0.0,0.0
8,0.010150152639632742,0.0100158387655976,0.03541527667674149,243.0,-12.158327137631453,-10.984989091575423,5.328737997256524,0.24445728251059146,1.0,1.131687242798354,1.0,2.555896296296297,0.0,0.0,6881.065843621399,0.0,0.0,15.0,0.0,20.0,319.724279835391,30.0,592.8395061728395,10.0,0.0,0.0,0.0
9,0.010175197486846574,0.010021198899322901,0.04008643584633438,274.0,-13.240318684103816,-10.900413332808917,8.39860097323601,0.3385949993311018,1.0,1.1496350364963503,1.0,2.5297064233576645,1.058515815085158,0.0,6860.270072992701,59.02189781021898,0.0,9.974452554744525,0.0,19.854014598540147,440.4051094890511,29.78102189781022,581.1569343065694,9.927007299270073,0.0,0.0,4.489051094890511
10,0.010227911852926966,0.01002723551267004,0.04495318762608819,265.0,-11.202784790356402,-10.674032133461976,4.655220125786164,0.12545399339186478,1.0,1.211320754716981,1.0,2.3832932830188702,0.0,0.0,7024.132075471698,0.0,0.0,15.0,0.0,20.0,279.31320754716984,30.0,544.9018867924528,10.0,0.0,0.0,0.0
11,0.010251765127337885,0.010034224619858863,0.05026564173465833,320.0,-13.372089635416675,-10.635450698261792,9.11453125,0.47348740147034596,1.0,1.1875,1.0,2.5251708750000015,1.0769270833333326,0.0,7282.590625,64.615625,0.0,7.621875,0.0,20.0,482.25625,30.0,584.2875,10.0,0.0,0.0,0.0
12,0.010270382553905496,0.010042079752745948,0.05582934494446806,345.0,-15.86826797906602,-10.873674836097383,9.38932367149759,0.5925628486205841,1.0,1.1942028985507247,1.0,2.487315130434782,4.3505797101449275,0.0,7107.56231884058,150.51304347826087,0.0,1.9188405797101449,0.0,16.405797101449274,302.3246376811594,24.608695652173914,463.4173913043478,8.202898550724637,0.0,0.0,110.52173913043478
13,0.010322529517364905,0.01005130045892292,0.0617136049479407,282.0,-11.876157476359346,-11.066527000683456,4.903723404255319,0.14722001716543826,1.0,1.2411347517730495,1.0,2.5242076595744662,0.0,0.0,7256.230496453901,0.0,0.0,15.0,0.0,20.0,294.22340425531917,30.0,584.0531914893617,10.0,0.0,0.0,0.0
