,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,wu,nDAYS_HAILED,nDAYS_TRY,INFORMED,plat_revenue_wod,MATCHING_T,rh_Ux,rh_P,OUT_TOMORROW,fulfilled,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000000163,0.010000000000000163,0.011646476351982326,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010036358222778041,0.010000000000000163,0.01354709068231348,140.4,189.0936,-23.377513871082616,-10.419144689847952,10.786217948717951,0.3227251968016965,0.8397435897435898,1.0,0.8397435897435898,1.0,1.0,1.3468205128205133,3.867521367521366,0.01037290484900382,0.07957599321782843,0.9358974358974359,0.8397435897435898,0.0,7283.096153846154,133.49358974358975,0.0,3.717948717948718,0.0,16.794871794871796,415.12179487179486,25.192307692307693,462.8397435897436,8.397435897435898,0.0,0.0,98.5576923076923
2,0.010092017145563209,0.010000054062860642,0.015688953207003854,120.60000000000001,201.6162,-12.980198175787732,-10.941074962590386,8.2136815920398,0.23249553604742348,1.0,1.0,1.0522388059701493,1.0746268656716418,1.0,1.6717761194029845,0.6041044776119403,0.010664584152658677,0.07968369513816698,0.917910447761194,1.0,0.0,6972.238805970149,36.24626865671642,0.0,12.432835820895523,0.0,20.0,456.57462686567163,30.0,579.4328358208955,10.0,0.0,0.0,0.0
3,0.010189572301433235,0.010000199748209851,0.01812942106652886,139.5,230.94964800000002,-12.005599480286744,-10.595055270045927,5.7482795698924765,0.22461094336387624,1.0,1.0,1.1419354838709677,1.1483870967741936,1.0,1.6555530322580647,0.0,0.011024747244969187,0.07981713182839333,0.9290322580645162,1.0,0.0,7246.729032258065,0.0,0.0,15.0,0.0,20.0,344.89677419354837,30.0,572.6903225806452,10.0,0.0,0.0,0.0
4,0.010248705230305924,0.010000518428345862,0.020950055018350393,149.4,210.32301600000002,-22.753297941767062,-10.571699715149034,10.102510040160649,0.36049097485304776,0.8734939759036144,1.0,1.0481927710843373,1.1746987951807228,1.0,1.4077845783132532,3.685441767068273,0.010805681398784189,0.0797463333912461,0.927710843373494,0.8734939759036144,0.0,7728.746987951808,143.32530120481928,0.0,3.644578313253012,0.0,17.46987951807229,385.0240963855422,26.204819277108435,484.2710843373494,8.734939759036145,0.0,0.0,77.8012048192771
5,0.01033313106121861,0.01000075386295909,0.023958830914290966,154.8,266.73624,-13.876876518087855,-11.104639890526961,8.905426356589148,0.2924346854817732,0.9941860465116279,1.0,1.2674418604651163,1.2965116279069768,1.0,1.723102325581395,0.5676356589147286,0.010954033104994303,0.07979218162496471,0.9302325581395349,0.9941860465116279,0.0,7014.726744186047,30.482558139534884,0.0,11.372093023255815,0.0,19.88372093023256,500.2674418604651,29.825581395348838,601.5348837209302,9.94186046511628,0.0,0.0,3.5755813953488373
6,0.010414898708877147,0.010001250714662638,0.02716533112997714,144.9,236.13984000000002,-13.826755676328508,-10.99659424261945,7.736231884057979,0.24001885813621682,0.9875776397515528,1.0,1.2981366459627328,1.360248447204969,1.0,1.6296745341614909,0.6289855072463768,0.011026799058620343,0.07981802986258955,0.9254658385093167,0.9875776397515528,0.0,6829.223602484472,30.099378881987576,0.0,11.807453416149068,0.0,19.751552795031056,426.4347826086956,29.627329192546583,563.3726708074535,9.875776397515528,0.0,0.0,7.6397515527950315
7,0.010547230565090165,0.01000187127340175,0.030707685587848883,138.6,224.98250400000003,-11.33681215728715,-10.388188397620468,4.429329004329004,0.16070555799448796,1.0,1.0,1.4155844155844155,1.4610389610389611,1.0,1.6232503896103891,0.0,0.011595418508423301,0.08003123124814883,0.9285714285714286,1.0,0.0,7417.396103896104,0.0,0.0,15.0,0.0,20.0,265.7597402597403,30.0,559.1688311688312,10.0,0.0,0.0,0.0
8,0.01056326882993006,0.010002568513949617,0.03464955523235907,123.3,167.00997600000002,-23.6951400243309,-10.688719511669813,10.780413625304131,0.3554927446026076,0.8467153284671532,1.0,1.3941605839416058,1.5693430656934306,1.0,1.3545010218978097,3.939416058394161,0.010625000036297462,0.07967328089136687,0.8832116788321168,0.8467153284671532,0.0,7255.80291970803,142.09489051094891,0.0,2.927007299270073,0.0,16.934306569343065,410.45985401459853,25.401459854014597,465.2700729927007,8.467153284671532,0.0,0.0,94.27007299270073
9,0.010643841641472735,0.010003426323681215,0.03891517731056236,146.70000000000002,242.406864,-13.063445211315612,-10.772196054671472,7.597955010224958,0.2344689517328111,0.9938650306748467,1.0,1.5766871165644172,1.6012269938650308,1.0,1.6523985276073612,0.9371165644171777,0.011122949347451644,0.0798561433512411,0.9141104294478528,0.9938650306748467,0.0,7949.325153374233,52.45398773006135,0.0,10.754601226993865,0.0,19.87730061349693,399.6503067484663,29.8159509202454,572.0920245398773,9.938650306748466,0.0,0.0,3.773006134969325
