,nP_share,nV_share,Platform_rev
351,0.049,0.045,346.62919999999997
352,0.0505,0.045,332.49199999999996
353,0.0605,0.05,430.79679999999996
354,0.055,0.015,389.6258
355,0.0505,0.045,344.41339999999997
356,0.0515,0.04,363.1984
357,0.049,0.025,351.401
358,0.0545,0.045,345.9568
359,0.0535,0.02,390.94759999999997
360,0.048,0.025,328.83299999999997
361,0.0515,0.045,359.1262
362,0.0515,0.015,346.34799999999996
363,0.049,0.035,353.1176
364,0.0535,0.01,384.1454
365,0.037,0.015,247.796
366,0.049,0.02,339.476
367,0.0445,0.03,317.5088
368,0.0495,0.05,329.08979999999997
369,0.044,0.065,330.67659999999995
370,0.0415,0.04,311.144
371,0.041,0.03,284.73879999999997
372,0.042,0.025,297.10080000000005
373,0.0405,0.03,295.266
374,0.0455,0.045,333.67420000000004
375,0.0515,0.025,354.03340000000003
376,0.0485,0.04,325.47040000000004
377,0.05,0.025,341.3062
378,0.0415,0.055,283.39279999999997
379,0.047,0.05,316.36839999999995
380,0.044,0.025,307.429
381,0.0485,0.005,311.32599999999996
382,0.039,0.025,240.91979999999998
383,0.045,0.035,320.139
384,0.0425,0.03,269.2954
385,0.042,0.025,278.9016
386,0.039,0.035,280.0164
387,0.0545,0.04,404.33019999999993
388,0.047,0.055,337.5412
389,0.0475,0.02,321.9614
390,0.043,0.02,285.33259999999996
391,0.047,0.025,315.6832
392,0.0485,0.03,329.92359999999996
393,0.0485,0.045,378.7546
394,0.0495,0.025,336.4086
395,0.0435,0.055,286.3188
396,0.046,0.045,296.8904
397,0.0515,0.035,361.4986
398,0.0485,0.045,353.01159999999993
399,0.047,0.045,330.592
