,nP_share,nV_share,Platform_rev
192,0.0755,0.07,96.06944000000001
193,0.0885,0.05,112.51212000000001
194,0.0805,0.095,99.48628
195,0.0785,0.05,102.79220000000001
196,0.0885,0.065,114.47088
197,0.094,0.075,125.08408
198,0.0845,0.065,112.04792
199,0.081,0.11,100.60056
200,0.0895,0.045,111.01264
201,0.083,0.08,104.45479999999999
202,0.0915,0.09,117.73752
203,0.095,0.085,127.2434
204,0.092,0.095,115.63892000000001
205,0.087,0.09,110.47752
206,0.0855,0.095,109.71996000000001
207,0.0945,0.115,122.57796
208,0.087,0.07,106.79136
209,0.097,0.09,122.92648000000001
210,0.094,0.09,122.74192000000001
211,0.0885,0.06,114.1458
212,0.0945,0.09,122.57723999999999
213,0.101,0.055,126.91256
214,0.0955,0.085,120.7846
215,0.0975,0.08,126.62376
216,0.099,0.1,129.08796
217,0.0985,0.1,122.365
218,0.103,0.075,129.23728
219,0.1015,0.06,131.29384
220,0.108,0.07,138.33468
221,0.1025,0.1,127.86980000000001
222,0.109,0.075,141.09951999999998
223,0.1065,0.105,135.93828
224,0.099,0.11,126.21264000000001
225,0.1055,0.07,132.54032
226,0.106,0.085,133.17292000000003
227,0.111,0.115,149.56080000000003
228,0.1125,0.11,141.39588
229,0.116,0.095,150.33476000000002
230,0.1075,0.105,135.39628
231,0.1155,0.095,146.6418
232,0.118,0.105,148.66804000000002
233,0.1175,0.09,148.55036
234,0.1195,0.095,148.16296
235,0.1175,0.12,151.77116
236,0.1145,0.1,146.79524
237,0.123,0.13,156.70463999999998
238,0.1245,0.13,163.31544000000002
239,0.127,0.09,159.88011999999998
240,0.1235,0.095,152.17363999999998
241,0.13,0.115,175.14579999999998
242,0.129,0.135,157.57464000000002
243,0.1285,0.125,163.65256
244,0.1305,0.12,167.41992
245,0.1285,0.095,160.34404
246,0.1235,0.115,161.13128
247,0.136,0.11,172.25896
248,0.139,0.125,173.41168
249,0.131,0.11,165.43052
250,0.128,0.115,167.33744000000002
251,0.1375,0.11,179.54404000000002
252,0.137,0.14,174.09836
253,0.136,0.115,169.50016
254,0.1505,0.13,189.50696
255,0.1465,0.095,187.13644
256,0.145,0.125,185.08744
257,0.143,0.125,177.8426
258,0.138,0.13,169.78956
259,0.1465,0.135,185.70976000000002
260,0.1515,0.125,193.5246
261,0.1465,0.14,184.28692
262,0.1525,0.145,192.50799999999998
263,0.1525,0.125,195.24196
264,0.1495,0.16,191.89204
265,0.1625,0.145,201.94628
266,0.147,0.12,184.8612
267,0.164,0.135,206.27120000000002
268,0.153,0.16,192.87384
269,0.156,0.145,196.81284
270,0.1535,0.155,192.7718
271,0.1545,0.16,192.31968
272,0.1685,0.16,206.89100000000002
273,0.1675,0.11,210.50296
274,0.1705,0.13,214.74532000000002
275,0.162,0.16,201.21756
276,0.1565,0.145,194.99875999999998
277,0.1705,0.165,214.66971999999998
278,0.177,0.145,225.87024
279,0.1735,0.15,221.08552
280,0.1705,0.155,214.54792
281,0.1855,0.125,232.89796
282,0.166,0.155,207.0904
283,0.177,0.165,224.1528
284,0.176,0.155,220.29476
285,0.175,0.165,216.37036
286,0.171,0.16,213.43884
287,0.1805,0.17,229.23631999999998
288,0.1795,0.16,224.90272
289,0.1835,0.155,228.85544
290,0.184,0.145,231.59200000000004
291,0.189,0.16,235.95396
292,0.194,0.185,240.98444
293,0.1945,0.135,246.52168
294,0.196,0.205,248.88676
295,0.1945,0.185,246.68644
296,0.1915,0.13,241.62220000000002
297,0.209,0.185,271.2158
298,0.194,0.165,238.31804
299,0.204,0.195,253.86684
300,0.1975,0.175,1208.6306
301,0.1945,0.155,1223.5466000000001
302,0.2075,0.1,1318.4236
303,0.192,0.085,1204.0602
304,0.191,0.075,1211.8576
305,0.177,0.06,1126.4850000000001
306,0.169,0.07,1103.0066
307,0.162,0.03,1030.5522
308,0.1335,0.055,868.7202
309,0.1265,0.05,802.9654
310,0.1205,0.065,799.8886
311,0.1255,0.06,819.4322
312,0.1235,0.035,824.3355999999999
313,0.112,0.05,728.5274
314,0.112,0.065,738.9428
315,0.1135,0.07,744.4915999999998
316,0.1085,0.025,692.7736
317,0.09,0.055,581.1582
318,0.0945,0.045,618.6234
319,0.0875,0.04,578.2816
320,0.094,0.04,648.746
321,0.1025,0.05,679.7757999999999
322,0.0895,0.03,589.1342
323,0.0705,0.05,496.6932
324,0.0795,0.045,505.0116
325,0.0835,0.04,549.5683999999999
326,0.079,0.025,514.3045999999999
327,0.078,0.06,532.4712
328,0.0875,0.04,571.1673999999999
329,0.075,0.03,503.7546
330,0.085,0.025,568.1299999999999
331,0.069,0.03,454.9668
332,0.0675,0.045,493.98839999999996
333,0.0705,0.04,475.6278
334,0.0655,0.045,458.0846
335,0.0655,0.02,452.61979999999994
336,0.0595,0.045,397.71139999999997
337,0.07,0.025,492.05359999999996
338,0.063,0.025,421.6344
339,0.0605,0.035,433.25260000000003
340,0.0545,0.025,379.8826
341,0.0595,0.015,400.7192
342,0.0565,0.02,370.98979999999995
343,0.061,0.04,449.8664
344,0.049,0.045,316.48819999999995
345,0.051,0.025,347.0616
346,0.057,0.03,395.199
347,0.054,0.02,376.5174
348,0.063,0.035,444.32399999999996
349,0.0535,0.015,384.0788
350,0.0445,0.02,314.8112
351,0.049,0.02,352.8698
352,0.04,0.015,277.553
353,0.05,0.04,342.1569999999999
354,0.0535,0.03,354.9008
355,0.051,0.04,372.64919999999995
356,0.046,0.04,300.299
357,0.0555,0.045,404.95379999999994
358,0.0485,0.03,314.098
359,0.0435,0.04,275.8782
360,0.051,0.03,359.028
361,0.05,0.04,335.3614
362,0.043,0.025,303.212
363,0.0525,0.03,357.8262
364,0.055,0.03,393.8954
365,0.045,0.035,334.5996
366,0.0425,0.035,297.424
367,0.048,0.035,333.33299999999997
368,0.048,0.055,324.8574
369,0.0475,0.02,340.9328
370,0.054,0.015,387.50339999999994
371,0.0425,0.06,292.0918
372,0.049,0.015,336.59299999999996
373,0.048,0.025,349.5204
374,0.0455,0.02,332.0494
375,0.045,0.035,314.6724
376,0.045,0.04,305.298
377,0.047,0.035,316.5244
378,0.045,0.03,309.3078
379,0.05,0.04,325.1962
380,0.058,0.04,412.20619999999997
381,0.051,0.025,363.8208
382,0.0505,0.055,346.6358
383,0.0515,0.025,345.5824
384,0.045,0.03,303.216
385,0.051,0.04,354.222
386,0.05,0.05,353.5846
387,0.0455,0.05,309.4864
388,0.0545,0.02,402.42099999999994
389,0.044,0.025,302.125
390,0.0475,0.035,330.2192
391,0.0515,0.035,354.0664
392,0.054,0.005,376.827
393,0.0395,0.045,277.20640000000003
394,0.0455,0.03,305.6572
395,0.0435,0.035,296.0718
396,0.0415,0.02,288.0038
397,0.046,0.05,340.4624
398,0.0465,0.03,326.46720000000005
399,0.0415,0.09,297.2618
