,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,wu,nDAYS_HAILED,nDAYS_TRY,INFORMED,plat_revenue_wod,MATCHING_T,rh_Ux,rh_P,OUT_TOMORROW,fulfilled,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000000163,0.010000000000000163,0.01164647635198229,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.010028562411216238,0.010000000000000163,0.013474479831356582,164.0,0.0,-37.50756654810298,-11.330331495694935,10.689735772357725,0.19698202233365972,0.6829268292682927,1.0,0.6829268292682927,1.0,1.0,0.0,5.967073170731706,0.010278657670400666,0.07954141385827082,0.9451219512195121,0.6829268292682927,0.0,6685.3109756097565,163.02439024390245,0.0,1.4939024390243902,0.0,13.658536585365853,283.359756097561,20.48780487804878,404.5792682926829,6.829268292682927,0.0,0.0,195.0
2,0.010105477552198025,0.010000012642424555,0.015567935122075667,179.0,0.0,-15.895977234636877,-11.060523920959042,8.938175046554935,0.2320673922395236,0.9664804469273743,1.0,1.011173184357542,1.0502793296089385,1.0,0.0,0.8768156424581006,0.010733146934727005,0.07971002414681799,0.88268156424581,0.9664804469273743,0.0,6861.6033519553075,31.99441340782123,0.0,10.893854748603353,0.0,19.329608938547487,483.6815642458101,28.99441340782123,577.6368715083798,9.664804469273744,0.0,0.0,20.614525139664803
3,0.010217035725717864,0.01000024358120291,0.01803418254958054,160.0,0.0,-12.29366807291667,-11.144828953056702,6.070000000000003,0.13806301044453845,1.0,1.0,1.1875,1.225,1.0,0.0,0.0,0.01124627026198437,0.0799002376084298,0.94375,1.0,0.0,7313.45625,0.0,0.0,15.0,0.0,20.0,364.2,30.0,584.34375,10.0,0.0,0.0,0.0
4,0.010335581030118602,0.010000602744061738,0.02066827934499072,160.0,0.0,-11.461752170138894,-10.393300125697797,5.2939583333333315,0.1764997692591173,1.0,1.0,1.20625,1.24375,1.0,0.0,0.0,0.011293624147357389,0.07991748603491651,0.9125,1.0,0.0,7240.03125,0.0,0.0,15.0,0.0,20.0,317.6375,30.0,547.09375,10.0,0.0,0.0,0.0
5,0.010430929397797682,0.010001336733605603,0.02370516989868885,172.0,73.01872,-12.570429360465118,-11.130128391547014,6.593895348837211,0.17786258889572515,1.0,1.0,1.2732558139534884,1.2732558139534884,1.0,0.42452744186046504,0.0020348837209302325,0.011133701296662475,0.07986092408915456,0.9244186046511628,1.0,0.0,7082.726744186047,0.12209302325581395,0.0,14.912790697674419,0.0,20.0,395.51162790697674,30.0,590.4418604651163,10.0,0.0,0.0,0.0
6,0.010516962223553378,0.010001819553994347,0.027489531689703393,154.0,62.29357999999999,-14.012610227272729,-10.633170882039726,8.281060606060606,0.3437435432158024,0.987012987012987,1.0,1.422077922077922,1.474025974025974,1.0,0.4045037662337664,0.5136363636363636,0.011473472922851,0.07999227454982509,0.922077922077922,0.987012987012987,0.0,7410.396103896104,22.83116883116883,0.0,12.525974025974026,0.0,19.74025974025974,466.04545454545456,29.61038961038961,558.577922077922,9.87012987012987,0.0,0.0,7.987012987012987
7,0.01067639394317185,0.010002733956446673,0.03125402840843454,158.0,66.35996,-11.892757278481017,-10.933139176509588,4.999789029535868,0.1598001638917079,1.0,1.0,1.5443037974683544,1.5569620253164558,1.0,0.41999974683544306,0.0,0.012381207305918067,0.08035050161074829,0.9746835443037974,1.0,0.0,7638.7531645569625,0.0,0.0,15.0,0.0,20.0,299.9873417721519,30.0,582.8987341772151,10.0,0.0,0.0,0.0
8,0.010745786118495696,0.010003608166173848,0.035314977352885704,133.0,54.05192,-15.342948308270671,-11.094428302205333,8.558646616541354,0.25957050444962004,0.9624060150375939,1.0,1.4736842105263157,1.5789473684210527,1.0,0.40640541353383475,0.9457393483709273,0.011233621365951671,0.0798971676843016,0.9097744360902256,0.9624060150375939,0.0,7475.443609022556,33.62406015037594,0.0,11.902255639097744,0.0,19.24812030075188,456.77443609022555,28.872180451127818,564.609022556391,9.62406015037594,0.0,0.0,23.1203007518797
9,0.010920495255989615,0.010004766912549853,0.039504865514857115,160.0,67.10458,-11.802092621527773,-10.940514205162975,4.78625,0.12534982788578036,1.0,1.0,1.58125,1.6,1.0,0.41940362499999984,0.0,0.012499195374729596,0.08037678832418584,0.88125,1.0,0.0,7720.1125,0.0,0.0,15.0,0.0,20.0,287.175,30.0,581.85625,10.0,0.0,0.0,0.0
10,0.010987039786714312,0.010006335566128942,0.044417352101495056,201.0,79.61928,-15.773609190160313,-10.677671371952792,8.768159203980103,0.28972420773550245,0.9701492537313433,1.0,1.572139303482587,1.63681592039801,1.0,0.3961158208955224,1.356218905472637,0.011224637903274513,0.07989722761086912,0.9303482587064676,0.9701492537313433,0.0,7086.885572139304,63.014925373134325,0.0,8.63681592039801,0.0,19.402985074626866,444.7164179104478,29.104477611940297,546.5621890547263,9.701492537313433,0.0,0.0,18.35820895522388
