,Unnamed: 0,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,mu,INFORMED,working_U,working_P,OUT_TOMORROW,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
0,0,0.01,0.01,0.0116464763519819,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.01,0.01,0.0116464763519819,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.0100870390892958,0.01,0.0132929527039638,12.0,11.416666666666666,0.0,1.0,12440.583333333334,8504.833333333334,59.86833333333332,124.40583333333332,74.74266666666666,31.10145833333333,18.685666666666663,93.42833333333331,43.64120833333333,1.0,1.0,0.0111605211906106,0.0798649983437703,0.8333333333333334,0.0,0.0,1618.25,82.75,0.0,228.33333333333331,0.0,5986.833333333333,0.0,342.5,6453.75,0.0,0.0,0.0,0.0,6886.583333333333
3,1,0.0100870390892958,0.01,0.0132929527039638,12.0,11.416666666666666,0.0,1.0,12440.583333333334,8504.833333333334,59.86833333333332,124.40583333333332,74.74266666666666,31.10145833333333,18.685666666666663,93.42833333333331,43.64120833333333,1.0,1.0,0.0111605211906106,0.0798649983437703,0.8333333333333334,0.0,0.0,1618.25,82.75,0.0,228.33333333333331,0.0,5986.833333333333,0.0,342.5,6453.75,0.0,0.0,0.0,0.0,6886.583333333333
4,2,0.010261841416591,0.0100002780714924,0.0156655375655147,16.0,10.5625,0.0,1.125,11243.8125,9700.75,49.405625,112.438125,72.34119999999999,28.10953125,18.0853,90.4265,44.23166875,1.0,1.0,0.0119024897778221,0.0801400374208934,0.9375,0.0,0.0,2837.75,127.375,0.0,210.1875,0.0,4940.5625,0.0,316.875,6303.25,0.0,0.0,0.0,0.0,6863.0
5,2,0.010261841416591,0.0100002780714924,0.0156655375655147,16.0,10.5625,0.0,1.125,11243.8125,9700.75,49.405625,112.438125,72.34119999999999,28.10953125,18.0853,90.4265,44.23166875,1.0,1.0,0.0119024897778221,0.0801400374208934,0.9375,0.0,0.0,2837.75,127.375,0.0,210.1875,0.0,4940.5625,0.0,316.875,6303.25,0.0,0.0,0.0,0.0,6863.0
6,3,0.0102720322793264,0.0100002780714924,0.0176750681722812,20.0,7.9,0.0,1.1,6927.9,14157.6,25.261000000000003,69.279,51.10528000000001,17.31975,12.776320000000002,63.88159999999999,33.785529999999994,1.0,1.0,0.0103857530555635,0.0795815567443082,1.0,0.0,0.0,6551.5,118.5,0.0,158.0,0.0,2526.1,0.0,237.0,4401.8,0.0,0.0,0.0,0.0,7606.1
7,3,0.0102720322793264,0.0100002780714924,0.0176750681722812,20.0,7.9,0.0,1.1,6927.9,14157.6,25.261000000000003,69.279,51.10528000000001,17.31975,12.776320000000002,63.88159999999999,33.785529999999994,1.0,1.0,0.0103857530555635,0.0795815567443082,1.0,0.0,0.0,6551.5,118.5,0.0,158.0,0.0,2526.1,0.0,237.0,4401.8,0.0,0.0,0.0,0.0,7606.1
8,4,0.0102846169863648,0.0100009108229341,0.0201529116088188,19.0,7.736842105263157,0.0,1.1578947368421053,7040.315789473684,14056.736842105263,27.154210526315783,70.40315789473685,50.184252631578936,17.600789473684213,12.546063157894734,62.730315789473686,32.58346315789474,1.0,1.0,0.0107354307165534,0.0797112927574756,0.8947368421052632,0.0,0.0,6191.210526315789,116.05263157894736,0.0,153.78947368421052,0.0,2715.4210526315787,0.0,232.10526315789477,4324.894736842105,0.0,0.0,0.0,0.0,7865.526315789473
9,4,0.0102846169863648,0.0100009108229341,0.0201529116088188,19.0,7.736842105263157,0.0,1.1578947368421053,7040.315789473684,14056.736842105263,27.154210526315783,70.40315789473685,50.184252631578936,17.600789473684213,12.546063157894734,62.730315789473686,32.58346315789474,1.0,1.0,0.0107354307165534,0.0797112927574756,0.8947368421052632,0.0,0.0,6191.210526315789,116.05263157894736,0.0,153.78947368421052,0.0,2715.4210526315787,0.0,232.10526315789477,4324.894736842105,0.0,0.0,0.0,0.0,7865.526315789473
