,state,action,reward,next_state,fare,comm_rate,discount,Marketing
306,[[613  30]],2,1562.59024,[[608  24]],1.2,0.4,0.0,False
307,[[608  24]],0,1605.55428,[[550  35]],1.2,0.45,0.0,False
308,[[550  35]],1,1516.28256,[[588  26]],1.2,0.4,0.0,False
309,[[588  26]],0,1698.5521800000001,[[570  29]],1.2,0.45,0.0,False
310,[[570  29]],2,1612.5595199999998,[[551  28]],1.2,0.45,0.0,False
311,[[551  28]],1,1447.06832,[[565  27]],1.2,0.4,0.0,False
312,[[565  27]],2,1404.9860800000001,[[551  24]],1.2,0.4,0.0,False
313,[[551  24]],2,1390.6312000000003,[[536  24]],1.2,0.4,0.0,False
314,[[536  24]],0,1512.9577800000002,[[532  29]],1.2,0.45,0.0,False
315,[[532  29]],0,1695.2648,[[533  23]],1.2,0.5,0.0,False
316,[[533  23]],0,1896.18044,[[523  20]],1.2,0.55,0.0,False
317,[[523  20]],0,2027.43024,[[524  29]],1.2,0.6,0.0,False
318,[[524  29]],1,1845.7868,[[514  22]],1.2,0.55,0.0,False
319,[[514  22]],2,1912.1542,[[536  21]],1.2,0.55,0.0,False
320,[[536  21]],2,1776.27252,[[489  27]],1.2,0.55,0.0,False
321,[[489  27]],1,1721.6036,[[527  26]],1.2,0.5,0.0,False
322,[[527  26]],2,1682.0800000000002,[[514  25]],1.2,0.5,0.0,False
323,[[514  25]],1,1483.87014,[[508  19]],1.2,0.45,0.0,False
324,[[508  19]],2,1455.20982,[[504  18]],1.2,0.45,0.0,False
325,[[504  18]],0,1710.5821999999998,[[521  19]],1.2,0.5,0.0,False
326,[[521  19]],0,1836.6387600000003,[[504  22]],1.2,0.55,0.0,False
327,[[504  22]],0,1848.3196799999998,[[469  16]],1.2,0.6,0.0,False
328,[[469  16]],0,1979.64754,[[469  16]],1.2,0.65,0.0,False
329,[[469  16]],1,1830.74328,[[459  19]],1.2,0.6,0.0,False
330,[[459  19]],0,2106.4188599999998,[[483  14]],1.2,0.65,0.0,False
331,[[483  14]],0,2055.6925199999996,[[453  27]],1.2,0.7,0.0,False
332,[[453  27]],2,2054.241,[[453  14]],1.2,0.7,0.0,False
333,[[453  14]],2,2094.3420399999995,[[443  21]],1.2,0.7,0.0,False
334,[[443  21]],0,2232.4986,[[444  17]],1.2,0.75,0.0,False
335,[[444  17]],0,2292.56256,[[435  17]],1.2,0.8,0.0,False
336,[[435  17]],0,2333.8885199999995,[[426  19]],1.2,0.85,0.0,False
337,[[426  19]],2,2561.4872399999995,[[450  15]],1.2,0.85,0.0,False
338,[[450  15]],0,2361.74364,[[403  18]],1.2,0.9,0.0,False
339,[[403  18]],1,2408.09182,[[425  16]],1.2,0.85,0.0,False
340,[[425  16]],1,2190.90528,[[420  18]],1.2,0.8,0.0,False
341,[[420  18]],1,1905.5819999999999,[[389  17]],1.2,0.75,0.0,False
342,[[389  17]],0,2084.66496,[[396  15]],1.2,0.8,0.0,False
343,[[396  15]],1,2042.7839999999999,[[411  17]],1.2,0.75,0.0,False
344,[[411  17]],0,2089.8518400000003,[[396  17]],1.2,0.8,0.0,False
345,[[396  17]],1,2067.4133999999995,[[417  21]],1.2,0.75,0.0,False
346,[[417  21]],0,2083.29504,[[402  12]],1.2,0.8,0.0,False
347,[[402  12]],0,1933.8604999999998,[[355  14]],1.2,0.85,0.0,False
348,[[355  14]],1,2137.8105600000004,[[396  16]],1.2,0.8,0.0,False
349,[[396  16]],0,2304.39454,[[401  17]],1.2,0.85,0.0,False
350,[[401  17]],0,2212.6802399999997,[[366  20]],1.2,0.9,0.0,False
351,[[366  20]],1,2227.2645199999997,[[388  17]],1.2,0.85,0.0,False
