,nP_share,nV_share,Platform_rev
0,0.0,0.0,0.0
1,0.0115,0.0,0.0
2,0.015,0.025,0.0
3,0.023,0.025,0.0
4,0.0275,0.035,19.35682
5,0.0395,0.085,0.0
6,0.0455,0.075,0.0
7,0.063,0.075,0.0
8,0.058,0.055,44.6342
9,0.0615,0.05,0.0
10,0.073,0.1,0.0
11,0.0745,0.07,0.0
12,0.0755,0.05,56.141920000000006
13,0.0695,0.095,104.44388000000001
14,0.078,0.07,116.84136
15,0.088,0.065,128.85664
16,0.0735,0.095,108.62544
17,0.0735,0.06,110.232
18,0.092,0.12,199.50348
19,0.077,0.08,169.46454
20,0.0775,0.09,226.9964
21,0.08,0.05,181.58141999999998
22,0.083,0.08,129.19076
23,0.092,0.075,70.2994
24,0.0855,0.085,64.23234
25,0.0795,0.09,117.60192
26,0.0905,0.045,68.88766000000001
27,0.093,0.075,0.0
28,0.0685,0.12,0.0
29,0.0775,0.095,0.0
30,0.0775,0.05,0.0
31,0.0905,0.07,64.47628
32,0.0735,0.14,0.0
33,0.0755,0.105,57.8716
34,0.0815,0.08,124.00304
35,0.083,0.07,123.95384
36,0.0775,0.115,114.4282
37,0.081,0.12,59.663700000000006
38,0.078,0.04,0.0
39,0.072,0.11,0.0
40,0.0795,0.07,57.51912
41,0.0815,0.065,116.24564000000001
42,0.086,0.085,184.31777999999997
43,0.0905,0.09,129.62276
44,0.078,0.075,165.52422
45,0.083,0.075,179.9679
46,0.087,0.065,188.39177999999998
47,0.0745,0.05,219.31544000000002
48,0.0755,0.065,302.80819999999994
49,0.09,0.095,327.85859999999997
50,0.0835,0.075,241.48352
51,0.083,0.1,304.56199999999995
52,0.091,0.105,394.98996
53,0.09,0.08,453.1976399999999
54,0.075,0.08,452.06016
55,0.0945,0.095,457.23299999999995
56,0.076,0.08,315.96708
57,0.0835,0.07,352.4080799999999
58,0.092,0.095,477.58899999999994
59,0.0935,0.11,403.0116
60,0.0895,0.11,375.21227999999996
61,0.079,0.095,279.8854
62,0.0905,0.045,322.08709999999996
63,0.092,0.095,382.53624
64,0.0835,0.07,300.9238
65,0.0805,0.13,329.52323999999993
66,0.0865,0.095,314.488
67,0.09,0.105,263.10767999999996
68,0.09,0.075,261.64992
69,0.091,0.05,314.40459999999996
70,0.09,0.09,319.6935
71,0.0945,0.055,338.0784
72,0.086,0.095,258.82312
73,0.0915,0.08,318.4851
74,0.0975,0.065,336.79859999999996
75,0.103,0.075,299.45336000000003
76,0.0925,0.05,330.8245
77,0.1025,0.085,299.77239999999995
78,0.0945,0.115,272.29872
79,0.0855,0.06,185.65686
80,0.0965,0.09,128.84684
81,0.0955,0.13,195.96443999999997
82,0.0925,0.08,136.00252
83,0.094,0.105,137.27068
84,0.1,0.07,141.40768
85,0.097,0.08,137.25220000000002
86,0.11,0.08,219.12024
87,0.0975,0.1,140.22948
88,0.099,0.095,207.93455999999998
89,0.112,0.07,304.10839999999996
90,0.1,0.05,209.77061999999998
91,0.097,0.11,138.1486
92,0.109,0.07,76.57082
93,0.108,0.05,0.0
94,0.112,0.09,76.61918
95,0.113,0.07,0.0
96,0.1165,0.08,0.0
97,0.1165,0.1,0.0
98,0.1135,0.145,0.0
99,0.1005,0.06,0.0
100,0.1175,0.065,80.80372
101,0.114,0.105,81.33959999999999
102,0.1145,0.085,165.63704
103,0.11,0.1,153.8366
104,0.117,0.095,80.97276
105,0.11,0.165,146.85992
106,0.1135,0.09,75.36308000000001
107,0.114,0.115,80.38332
108,0.1195,0.11,0.0
109,0.116,0.09,81.64341999999999
110,0.131,0.08,0.0
111,0.1115,0.115,0.0
112,0.12,0.115,0.0
113,0.115,0.13,0.0
114,0.114,0.135,0.0
115,0.1265,0.15,84.82996
116,0.121,0.165,83.8667
117,0.135,0.125,0.0
118,0.129,0.105,0.0
119,0.133,0.135,0.0
120,0.1325,0.17,0.0
121,0.141,0.13,0.0
122,0.1195,0.115,0.0
123,0.1265,0.165,85.67086
124,0.1325,0.105,0.0
125,0.134,0.16,89.22838
126,0.135,0.17,92.57628
127,0.14,0.18,0.0
128,0.1395,0.145,94.33098
129,0.1515,0.14,0.0
130,0.143,0.135,91.45144
131,0.1465,0.135,197.50756
132,0.1445,0.15,96.59266
133,0.1375,0.155,184.34968
134,0.1535,0.14,198.36848
135,0.1505,0.195,298.34471999999994
136,0.1365,0.115,183.99096
137,0.1585,0.18,105.78002000000001
138,0.1405,0.135,183.66952
139,0.1595,0.185,104.26756
140,0.1515,0.145,202.731
141,0.166,0.15,325.92551999999995
142,0.165,0.17,219.83280000000002
143,0.157,0.11,101.98592000000001
144,0.173,0.135,116.50120000000001
145,0.17,0.135,222.35888000000003
146,0.1595,0.175,316.04411999999996
147,0.166,0.145,439.21784
148,0.1795,0.135,470.32640000000004
149,0.1735,0.165,567.2965
150,0.177,0.175,462.20376
151,0.1695,0.145,572.0886
152,0.174,0.165,595.1667
153,0.1695,0.155,556.1784
154,0.1735,0.165,453.14768000000004
155,0.176,0.135,570.7592
156,0.172,0.155,557.7312999999999
157,0.179,0.135,595.1258
158,0.1825,0.16,495.42992000000004
159,0.163,0.185,528.3466000000001
160,0.1905,0.115,739.66932
161,0.173,0.12,670.86204
162,0.1725,0.11,682.2349199999999
163,0.1865,0.125,613.4644999999999
164,0.1885,0.1,491.23616000000004
165,0.188,0.155,620.3033
166,0.176,0.145,450.04552
167,0.175,0.155,582.4897
168,0.186,0.145,600.8363999999999
169,0.1975,0.16,528.61376
170,0.1835,0.155,587.6125999999999
171,0.1865,0.15,728.1851999999999
172,0.194,0.12,893.7300399999999
173,0.1875,0.16,830.0019
174,0.1965,0.135,795.9887999999999
175,0.1815,0.14,808.4432999999999
176,0.201,0.09,1082.18928
177,0.19,0.09,979.8832
178,0.2,0.125,1170.7387199999998
179,0.1885,0.095,1142.8934399999998
180,0.1865,0.1,1182.4737999999998
181,0.1985,0.085,1429.9373
182,0.197,0.095,1448.6648
183,0.1885,0.145,1487.4043199999999
184,0.179,0.095,1397.0323199999998
185,0.188,0.105,1474.45464
186,0.189,0.11,1581.3798
187,0.1955,0.14,1649.77072
188,0.195,0.095,1676.54994
189,0.1935,0.055,1529.4995999999999
190,0.1845,0.075,1483.03008
191,0.1765,0.05,1400.0373599999998
192,0.1755,0.1,1504.8446399999998
193,0.176,0.055,1583.6323999999997
194,0.177,0.075,1778.0085
195,0.1775,0.09,1609.1322799999998
196,0.1725,0.11,1505.51076
197,0.185,0.075,1511.5180799999998
198,0.1785,0.075,1331.12034
199,0.1665,0.09,1117.716
200,0.168,0.055,1200.20802
201,0.1635,0.115,1315.14552
202,0.1605,0.085,1376.89032
203,0.1795,0.115,1548.7799599999998
204,0.175,0.105,1414.8441599999996
205,0.173,0.105,1289.09066
206,0.1715,0.085,1164.0315999999998
207,0.1765,0.075,1339.1257
208,0.169,0.09,1316.7477599999997
209,0.1535,0.065,1214.2487999999998
210,0.1545,0.095,1360.46196
211,0.156,0.095,1295.64786
212,0.173,0.095,1544.7842799999999
213,0.163,0.07,1494.04444
214,0.1735,0.11,1509.6808999999998
215,0.174,0.06,1505.02248
216,0.1645,0.07,1494.22336
217,0.153,0.105,1365.7253999999998
218,0.154,0.12,1343.7359000000001
219,0.171,0.055,1344.9873599999999
220,0.1755,0.07,1470.17232
221,0.164,0.085,1211.0285
222,0.1645,0.075,1348.2599999999998
223,0.1605,0.125,1196.5536000000002
224,0.16,0.095,1197.3999400000002
225,0.16,0.08,1179.13708
226,0.156,0.095,1227.7072799999999
227,0.1585,0.09,1179.08494
228,0.17,0.06,1184.6493999999998
229,0.171,0.09,1259.70504
230,0.153,0.085,1003.2677999999999
231,0.175,0.095,1287.26752
232,0.1525,0.115,1023.2846
