,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,rh_U,alt_U,ACTUAL_WT,U_dif,mu,nDAYS_HAILED,INFORMED,plat_revenue,plat_revenue_wod,MATCHING_T,rh_Ux,rh_P,OUT_TOMORROW,fulfilled,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
29,0.010729213268952665,0.010015814836773024,0.20342868046203638,66.0,-12.454997348484852,-10.513188807585253,9.248989898989898,0.3374189342347079,1.0,1.803030303030303,1.0,0.3821454545454546,0.3821454545454546,0.7944444444444445,0.011075340085974111,0.031606868215394546,0.9242424242424242,1.0,0.0,7023.909090909091,47.666666666666664,0.0,11.818181818181818,0.0,20.0,507.27272727272725,30.0,519.8030303030303,10.0,0.0,0.0,0.0
30,0.010762593326731924,0.010016820011467732,0.2138832120120202,64.0,-14.246683029513889,-10.791189738474145,8.480208333333332,0.31830233576808803,0.984375,1.71875,1.0,0.8480306249999995,0.8480306249999995,0.2875,0.011050763224289816,0.0316007616407079,0.96875,0.984375,0.0,7152.734375,7.640625,0.0,13.359375,0.0,19.6875,491.5625,29.53125,591.390625,9.84375,0.0,0.0,9.609375
31,0.010793468835324161,0.010017821349377174,0.2249004649137297,56.0,-14.59091845238095,-11.524196106808626,8.468452380952382,0.16778981114316469,0.9821428571428571,1.9107142857142858,1.0,0.42364250000000003,0.42364250000000003,0.5446428571428571,0.011412737694976758,0.031679053987252785,0.9821428571428571,0.9821428571428571,0.0,8162.696428571428,21.696428571428573,0.0,12.785714285714286,0.0,19.642857142857142,475.42857142857144,29.464285714285715,591.0357142857143,9.821428571428571,0.0,0.0,10.982142857142858
32,0.010831075677895105,0.01001878961225284,0.23593583235993087,62.0,-13.44179977598566,-11.008590183516644,9.346236559139786,0.25934390893562415,1.0,1.7580645161290323,1.0,0.0,0.0,0.6836021505376343,0.01137183637729215,0.031691859852371974,0.9838709677419355,1.0,0.0,6793.193548387097,41.016129032258064,0.0,10.935483870967742,0.0,20.0,519.758064516129,30.0,583.4354838709677,10.0,0.0,0.0,0.0
33,0.010852025317020363,0.010019809443810678,0.2470525370068981,67.0,-29.563904187396354,-10.726899432428004,9.886567164179107,0.17058009603356825,0.7910447761194029,1.671641791044776,1.0,0.0,0.0,3.9320895522388075,0.011071569957785127,0.031606174949407435,0.9850746268656716,0.7910447761194029,0.0,7012.014925373134,107.41791044776119,0.0,5.134328358208955,0.0,15.82089552238806,357.2686567164179,23.73134328358209,399.2089552238806,7.91044776119403,0.0,0.0,128.50746268656715
34,0.010912420134626644,0.01002071641233516,0.25846046502206727,56.0,-11.617864632936511,-10.547961569756259,5.9023809523809545,0.10429202409143187,1.0,1.9464285714285714,1.0,0.39613107142857124,0.39613107142857124,0.0,0.012561463679872325,0.03194210951624754,1.0,1.0,0.0,5604.142857142857,0.0,0.0,15.0,0.0,20.0,354.14285714285717,30.0,543.1607142857143,10.0,0.0,0.0,0.0
35,0.010935119070117282,0.010022023385159545,0.26999862144390874,54.0,-12.95224619341564,-10.921101215404777,8.345987654320988,0.35664871210978305,1.0,1.7777777777777777,1.0,0.0,0.0,0.2219135802469136,0.011071015327024777,0.03160197109112899,0.9814814814814815,1.0,0.0,7085.222222222223,13.314814814814815,0.0,13.444444444444445,0.0,20.0,487.44444444444446,30.0,574.4444444444445,10.0,0.0,0.0,0.0
36,0.010939907927641055,0.010023188823057258,0.28124185306942834,54.0,-38.073287962962965,-12.155748052406713,12.609876543209875,0.23866338002138945,0.7407407407407407,1.6481481481481481,1.0,0.0,0.0,4.817901234567903,0.010691232126544903,0.031521945576276314,0.9814814814814815,0.7407407407407407,0.0,7961.666666666667,129.62962962962962,0.0,5.0,0.0,14.814814814814815,467.51851851851853,22.22222222222222,486.14814814814815,7.407407407407407,0.0,0.0,159.44444444444446
37,0.010967930691452783,0.010024768048096952,0.2922555928792854,52.0,-12.806699412393167,-11.281663949242365,7.230128205128205,0.14927503142181597,1.0,2.019230769230769,1.0,0.0,0.0,0.022435897435897436,0.011981356293103589,0.03183321541806277,0.9615384615384616,1.0,0.0,6912.903846153846,1.3461538461538463,0.0,14.711538461538462,0.0,20.0,432.46153846153845,30.0,591.2115384615385,10.0,0.0,0.0,0.0
38,0.01097598197530026,0.010026522120115337,0.30341741869501165,65.0,-33.78427452991453,-10.659015483261076,12.099230769230774,0.3188697242487373,0.7076923076923077,1.7230769230769232,1.0,0.0,0.0,4.934102564102565,0.010564130255986978,0.03149571934083855,0.9692307692307692,0.7076923076923077,0.0,7598.661538461539,116.27692307692308,0.0,3.4615384615384617,0.0,14.153846153846153,429.9076923076923,21.23076923076923,403.44615384615383,7.076923076923077,0.0,0.0,179.76923076923077
39,0.010980953052707678,0.010027665676642367,0.3147889888112114,69.0,-35.88008220611917,-10.834765369921206,10.89975845410628,0.35235035123823427,0.7101449275362319,1.681159420289855,1.0,0.2796666666666667,0.2796666666666667,5.28864734299517,0.010724228323251473,0.03152768507800152,0.9855072463768116,0.7101449275362319,0.0,7259.0,139.05797101449275,0.0,3.9130434782608696,0.0,14.202898550724637,336.6666666666667,21.304347826086957,382.92753623188406,7.101449275362318,0.0,0.0,178.2608695652174
40,0.010996495822832122,0.010028765197701413,0.3262161871485468,61.0,-15.26521862477231,-10.618753040497879,8.961202185792349,0.2941098737392757,0.9672131147540983,2.1475409836065573,1.0,0.7792727868852459,0.7792727868852459,0.5948087431693989,0.011470314085076039,0.031694154825002645,1.0,0.9672131147540983,0.0,7454.754098360656,15.524590163934427,0.0,12.540983606557377,0.0,19.34426229508197,501.9836065573771,29.016393442622952,536.1147540983607,9.672131147540984,0.0,0.0,20.16393442622951
