,state,action,reward,next_state,fare,comm_rate,discount,Marketing
740,[[248  15]],0,1246.47852,[[264  22]],1.2,0.7,0.0,False
741,[[264  22]],2,1196.7992399999998,[[246  15]],1.2,0.7,0.0,False
742,[[246  15]],1,1177.06212,[[261  18]],1.2,0.65,0.0,False
743,[[261  18]],0,1288.0114799999997,[[270  14]],1.2,0.7,0.0,False
744,[[270  14]],0,1399.7831999999999,[[271  13]],1.2,0.75,0.0,False
745,[[271  13]],2,1295.4191999999998,[[256  11]],1.2,0.75,0.0,False
746,[[256  11]],0,1497.2067200000001,[[269  12]],1.2,0.8,0.0,False
747,[[269  12]],1,1343.4137999999998,[[267  22]],1.2,0.75,0.0,False
748,[[267  22]],2,1394.8014,[[275  12]],1.2,0.75,0.0,False
749,[[275  12]],0,1475.9795199999999,[[274  11]],1.2,0.8,0.0,False
750,[[274  11]],2,1602.9193599999999,[[295  18]],1.2,0.8,0.0,False
751,[[295  18]],1,1372.9947,[[268  20]],1.2,0.75,0.0,False
752,[[268  20]],0,1623.008,[[287  13]],1.2,0.8,0.0,False
753,[[287  13]],0,1512.37032,[[261  22]],1.2,0.85,0.0,False
754,[[261  22]],2,1648.1007,[[282  12]],1.2,0.85,0.0,False
755,[[282  12]],0,1831.4261999999999,[[297  12]],1.2,0.9,0.0,False
756,[[297  12]],1,1604.73302,[[277  18]],1.2,0.85,0.0,False
757,[[277  18]],0,1794.90204,[[290  21]],1.2,0.9,0.0,False
758,[[290  21]],1,1536.3059799999999,[[257  17]],1.2,0.85,0.0,False
759,[[257  17]],2,1718.7618799999998,[[298  21]],1.2,0.85,0.0,False
760,[[298  21]],2,1678.9094599999999,[[295  17]],1.2,0.85,0.0,False
761,[[295  17]],2,1489.7694999999999,[[266  15]],1.2,0.85,0.0,False
762,[[266  15]],1,1606.34496,[[285  10]],1.2,0.8,0.0,False
763,[[285  10]],0,1604.40492,[[285  12]],1.2,0.85,0.0,False
764,[[285  12]],1,1677.16352,[[299  15]],1.2,0.8,0.0,False
765,[[299  15]],1,1246.5474,[[250  20]],1.2,0.75,0.0,False
766,[[250  20]],1,1391.8315599999999,[[275  14]],1.2,0.7,0.0,False
767,[[275  14]],1,1160.8357799999999,[[270  15]],1.2,0.65,0.0,False
768,[[270  15]],0,1371.9733999999999,[[280  17]],1.2,0.7,0.0,False
769,[[280  17]],0,1447.1064000000001,[[282  16]],1.2,0.75,0.0,False
770,[[282  16]],0,1527.16128,[[273  15]],1.2,0.8,0.0,False
771,[[273  15]],0,1655.6796399999998,[[284  16]],1.2,0.85,0.0,False
