,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,mu,INFORMED,working_U,working_P,OUT_TOMORROW,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
177,0.053367081960911625,9.687216419998322e-07,0.7777244253192778,14.0,8.0,0.0,13.714285714285714,6709.571428571428,14369.857142857143,24.020714285714288,67.09571428571428,62.88999999999999,16.77392857142857,0.0,62.88999999999999,46.11607142857142,1.0,1.0,0.27329083901073375,0.36321985377312865,0.5714285714285714,0.0,0.0,7191.142857142857,120.0,0.0,159.57142857142858,0.0,2402.0714285714284,0.0,240.0,4307.5,0.0,0.0,0.0,0.0,7178.714285714285
178,0.052154397371086805,9.218630914219052e-07,0.7777244253192778,15.0,5.6,0.0,15.4,4859.533333333334,16379.266666666666,20.134666666666668,48.59533333333334,41.9928,12.148833333333336,0.0,41.9928,29.843966666666667,1.0,1.0,0.1865981317202824,0.3268101769541623,0.8,0.0,0.0,9593.8,81.26666666666667,0.0,110.93333333333334,0.0,2013.4666666666667,0.0,168.0,2846.0666666666666,0.0,0.0,0.0,0.0,6785.466666666666
179,0.05348569061125923,8.928419174021105e-07,0.7777244253192778,9.0,9.11111111111111,0.0,14.555555555555555,8185.555555555556,12828.555555555555,34.57555555555555,81.85555555555555,69.49155555555555,20.46388888888889,0.0,69.49155555555555,49.02766666666667,1.0,1.0,0.3504220606942,0.39249905660630996,0.3333333333333333,0.0,0.0,5306.0,130.0,0.0,181.55555555555554,0.0,3457.5555555555557,0.0,273.3333333333333,4728.0,0.0,0.0,0.0,0.0,7522.555555555556
180,0.05225007729420327,8.548570303747199e-07,0.7777244253192778,14.0,6.928571428571429,0.0,19.142857142857142,5661.5,15487.57142857143,20.899285714285718,56.614999999999995,52.55885714285715,14.153749999999999,0.0,52.55885714285715,38.40510714285714,1.0,1.0,0.3701802669694345,0.4528679566373691,0.42857142857142855,0.0,0.0,6397.857142857143,103.92857142857143,0.0,138.14285714285714,0.0,2089.9285714285716,0.0,207.85714285714286,3571.5714285714284,0.0,0.0,0.0,0.0,9089.714285714286
181,0.05162428211866159,8.297632218676009e-07,0.7777244253192778,13.0,7.384615384615385,0.0,20.153846153846153,5827.153846153846,15292.461538461539,20.306153846153848,58.27153846153847,55.89692307692308,14.567884615384617,0.0,55.89692307692308,41.32903846153847,1.0,1.0,0.33502972186863567,0.42146094855143446,0.6153846153846154,0.0,0.0,7130.2307692307695,110.76923076923077,0.0,147.07692307692307,0.0,2030.6153846153845,0.0,221.53846153846155,3796.5384615384614,0.0,0.0,0.0,0.0,8162.2307692307695
182,0.053444063293211864,8.145639911817097e-07,0.7777244253192778,8.0,11.875,0.0,26.125,11431.75,9468.25,52.99249999999999,114.3175,90.21499999999999,28.579375,0.0,90.21499999999999,61.63562499999999,1.0,1.0,0.5857013267951782,0.6156594575898412,0.5,0.0,0.0,2565.875,106.0,0.0,236.75,0.0,5299.25,0.0,356.25,6132.5,0.0,0.0,0.0,0.0,6902.375
183,0.054564780976055084,8.006040534913638e-07,0.7777244253192778,7.0,13.428571428571429,0.0,22.285714285714285,13881.285714285714,6982.428571428572,69.41000000000001,138.81285714285713,102.08342857142857,34.70321428571428,0.0,102.08342857142857,67.38021428571429,1.0,1.0,0.46545938931005376,0.5001202247771844,0.5714285714285714,0.0,0.0,604.7142857142857,63.857142857142854,0.0,268.57142857142856,0.0,6941.0,0.0,402.85714285714283,6940.285714285715,0.0,0.0,0.0,0.0,6377.714285714285
184,0.054537838336625837,7.80116743429909e-07,0.7777244253192778,14.0,7.142857142857143,0.0,17.071428571428573,6318.5,14817.142857142857,23.587857142857143,63.18500000000001,57.516571428571424,15.796250000000002,0.0,57.516571428571424,41.72032142857143,1.0,1.0,0.2710198036162011,0.3843717834407415,0.5714285714285714,0.0,0.0,7290.0,107.14285714285714,0.0,141.92857142857142,0.0,2358.785714285714,0.0,214.28571428571428,3959.714285714286,0.0,0.0,0.0,0.0,7527.142857142857
185,0.054200461306361615,7.31149973564631e-07,0.7777244253192778,12.0,7.666666666666667,0.0,19.916666666666668,6577.166666666667,14524.0,25.724999999999998,65.77166666666668,58.78933333333333,16.44291666666667,0.0,58.78933333333333,42.34641666666666,1.0,1.0,0.4048469765611324,0.44436927992860736,0.4166666666666667,0.0,0.0,5540.75,115.0,0.0,152.83333333333334,0.0,2572.5,0.0,230.0,4004.6666666666665,0.0,0.0,0.0,0.0,8983.25
186,0.052762867630399585,7.139755317910921e-07,0.7777244253192778,16.0,6.9375,0.0,20.875,5607.8125,15540.25,21.42,56.07812500000001,51.30225,14.019531250000002,0.0,51.30225,37.282718749999994,1.0,1.0,0.35963859223999683,0.413628690177125,0.5625,0.0,0.0,8441.75,104.0625,0.0,138.75,0.0,2142.0,0.0,208.125,3465.8125,0.0,0.0,0.0,0.0,7098.5
187,0.052512765776387374,6.737880640338198e-07,0.7777244253192778,13.0,7.615384615384615,0.0,21.46153846153846,6776.615384615385,14330.153846153846,27.044615384615387,67.76615384615384,59.52738461538461,16.94153846153846,0.0,59.52738461538461,42.585846153846155,1.0,1.0,0.3610441811112572,0.45635262953997996,0.5384615384615384,0.0,0.0,6337.153846153846,111.92307692307692,0.0,151.84615384615384,0.0,2704.4615384615386,0.0,228.46153846153845,4072.153846153846,0.0,0.0,0.0,0.0,7993.0
188,0.05239694817865659,6.260502503101536e-07,0.7777244253192778,12.0,8.083333333333334,0.0,20.75,7304.666666666667,13770.833333333334,31.36583333333333,73.04666666666667,61.333666666666666,18.261666666666667,0.0,61.333666666666666,43.072,1.0,1.0,0.32647857428375765,0.42560932451587524,0.5,0.0,0.0,7318.916666666667,121.25,0.0,159.75,0.0,3136.5833333333335,0.0,242.5,4168.083333333333,0.0,0.0,0.0,0.0,6451.916666666667
