,state,action,reward,next_state,fare,comm_rate,discount,Marketing
0,-1,-1,0.0,-1,1.2,0.1,0.0,True
1,-1,-1,18.145000000000003,-1,1.2,0.1,0.0,True
2,-1,-1,28.84012,-1,1.2,0.1,0.0,True
3,-1,-1,41.80524,-1,1.2,0.1,0.0,True
4,-1,-1,49.77252,-1,1.2,0.1,0.0,True
5,-1,-1,49.10776,-1,1.2,0.1,0.0,True
6,-1,-1,64.46180000000001,-1,1.2,0.1,0.0,True
7,-1,-1,80.22196,-1,1.2,0.1,0.0,True
8,-1,-1,100.02584,-1,1.2,0.1,0.0,True
9,-1,-1,120.81144,-1,1.2,0.1,0.0,True
10,-1,-1,105.77744000000001,-1,1.2,0.1,0.0,True
11,-1,-1,108.86040000000001,-1,1.2,0.1,0.0,True
12,-1,-1,103.51508000000001,-1,1.2,0.1,0.0,True
13,-1,-1,114.30016,-1,1.2,0.1,0.0,True
14,-1,-1,114.79716,-1,1.2,0.1,0.0,True
15,-1,-1,110.23580000000001,-1,1.2,0.1,0.0,True
16,-1,-1,130.80108,-1,1.2,0.1,0.0,True
17,-1,-1,102.85932000000001,-1,1.2,0.1,0.0,True
18,-1,-1,125.25452,-1,1.2,0.1,0.0,True
19,-1,-1,106.28783999999999,-1,1.2,0.1,0.0,True
20,-1,-1,106.25632,-1,1.2,0.1,0.0,True
21,-1,-1,125.49284,-1,1.2,0.1,0.0,True
22,-1,-1,123.17488,-1,1.2,0.1,0.0,True
23,-1,-1,112.45016000000001,-1,1.2,0.1,0.0,True
24,-1,-1,128.55972000000003,-1,1.2,0.1,0.0,True
25,-1,-1,121.10084,-1,1.2,0.1,0.0,True
26,-1,-1,116.98508000000001,-1,1.2,0.1,0.0,True
27,-1,-1,114.39276,-1,1.2,0.1,0.0,True
28,-1,-1,126.04184000000001,-1,1.2,0.1,0.0,True
29,-1,-1,113.06952,-1,1.2,0.1,0.0,True
30,-1,-1,126.06172000000001,-1,1.2,0.1,0.0,True
31,-1,-1,132.57139999999998,-1,1.2,0.1,0.0,True
32,-1,-1,124.84136000000001,-1,1.2,0.1,0.0,True
33,-1,-1,121.90216000000001,-1,1.2,0.1,0.0,True
34,-1,-1,107.26832,-1,1.2,0.1,0.0,True
35,-1,-1,109.09796,-1,1.2,0.1,0.0,True
36,-1,-1,146.79632,-1,1.2,0.1,0.0,True
37,-1,-1,116.7522,-1,1.2,0.1,0.0,True
38,-1,-1,110.00988000000001,-1,1.2,0.1,0.0,True
39,-1,-1,119.24216,-1,1.2,0.1,0.0,True
40,-1,-1,131.34408000000002,-1,1.2,0.1,0.0,True
41,-1,-1,116.04512,-1,1.2,0.1,0.0,True
42,-1,-1,136.45015999999998,-1,1.2,0.1,0.0,True
43,-1,-1,119.18792,-1,1.2,0.1,0.0,True
44,-1,-1,118.91272000000001,-1,1.2,0.1,0.0,True
45,-1,-1,120.08427999999999,-1,1.2,0.1,0.0,True
46,-1,-1,116.91792,-1,1.2,0.1,0.0,True
47,-1,-1,143.34004,-1,1.2,0.1,0.0,True
48,-1,-1,139.56580000000002,-1,1.2,0.1,0.0,True
49,-1,-1,123.81824,-1,1.2,0.1,0.0,True
50,-1,-1,133.87712,-1,1.2,0.1,0.0,True
51,-1,-1,133.89120000000003,-1,1.2,0.1,0.0,True
52,-1,-1,132.48148,-1,1.2,0.1,0.0,True
53,-1,-1,141.14100000000002,-1,1.2,0.1,0.0,True
54,-1,-1,109.93200000000002,-1,1.2,0.1,0.0,True
55,-1,-1,124.54080000000002,-1,1.2,0.1,0.0,True
56,-1,-1,128.7852,-1,1.2,0.1,0.0,True
57,-1,-1,144.59232,-1,1.2,0.1,0.0,True
58,-1,-1,124.48096,-1,1.2,0.1,0.0,True
59,-1,-1,123.62528000000002,-1,1.2,0.1,0.0,True
60,-1,-1,131.6584,-1,1.2,0.1,0.0,True
61,-1,-1,145.48092000000003,-1,1.2,0.1,0.0,True
62,-1,-1,143.09916,-1,1.2,0.1,0.0,True
63,-1,-1,111.41055999999999,-1,1.2,0.1,0.0,True
64,-1,-1,119.80076,-1,1.2,0.1,0.0,True
65,-1,-1,144.61368,-1,1.2,0.1,0.0,True
66,-1,-1,113.81544000000001,-1,1.2,0.1,0.0,True
67,-1,-1,117.05340000000001,-1,1.2,0.1,0.0,True
68,-1,-1,126.25136,-1,1.2,0.1,0.0,True
69,-1,-1,140.31616000000002,-1,1.2,0.1,0.0,True
70,-1,-1,130.19304,-1,1.2,0.1,0.0,True
71,-1,-1,129.60724,-1,1.2,0.1,0.0,True
72,-1,-1,131.23684000000003,-1,1.2,0.1,0.0,True
73,-1,-1,170.77124,-1,1.2,0.1,0.0,True
74,-1,-1,132.61232,-1,1.2,0.1,0.0,True
75,-1,-1,137.3474,-1,1.2,0.1,0.0,True
76,-1,-1,138.46764,-1,1.2,0.1,0.0,True
77,-1,-1,129.97832,-1,1.2,0.1,0.0,True
78,-1,-1,136.55052,-1,1.2,0.1,0.0,True
79,-1,-1,132.82139999999998,-1,1.2,0.1,0.0,True
80,-1,-1,147.3076,-1,1.2,0.1,0.0,True
81,-1,-1,155.8666,-1,1.2,0.1,0.0,True
82,-1,-1,139.72388,-1,1.2,0.1,0.0,True
83,-1,-1,156.37896,-1,1.2,0.1,0.0,True
84,-1,-1,148.50704,-1,1.2,0.1,0.0,True
85,-1,-1,135.2058,-1,1.2,0.1,0.0,True
86,-1,-1,132.44936,-1,1.2,0.1,0.0,True
87,-1,-1,143.75776000000002,-1,1.2,0.1,0.0,True
88,-1,-1,148.4988,-1,1.2,0.1,0.0,True
89,-1,-1,159.86972,-1,1.2,0.1,0.0,True
90,-1,-1,165.38432,-1,1.2,0.1,0.0,True
91,-1,-1,148.28324,-1,1.2,0.1,0.0,True
92,-1,-1,147.4364,-1,1.2,0.1,0.0,True
93,-1,-1,157.46376,-1,1.2,0.1,0.0,True
94,-1,-1,137.19016,-1,1.2,0.1,0.0,True
95,-1,-1,148.21624,-1,1.2,0.1,0.0,True
96,-1,-1,147.91396,-1,1.2,0.1,0.0,True
97,-1,-1,172.46496000000002,-1,1.2,0.1,0.0,True
98,-1,-1,177.70688,-1,1.2,0.1,0.0,True
99,-1,-1,160.90212,-1,1.2,0.1,0.0,True
100,-1,-1,176.14484000000002,-1,1.2,0.1,0.0,False
101,-1,-1,159.3286,-1,1.2,0.1,0.0,False
102,-1,-1,169.36832000000004,-1,1.2,0.1,0.0,False
103,-1,-1,163.80108,-1,1.2,0.1,0.0,False
104,-1,-1,168.84699999999998,-1,1.2,0.1,0.0,False
105,-1,-1,170.48344000000003,-1,1.2,0.1,0.0,False
106,-1,-1,149.37188,-1,1.2,0.1,0.0,False
107,-1,-1,168.38660000000002,-1,1.2,0.1,0.0,False
108,-1,-1,176.81228,-1,1.2,0.1,0.0,False
109,-1,-1,178.90376,-1,1.2,0.1,0.0,False
110,-1,-1,182.36188,-1,1.2,0.1,0.0,False
111,-1,-1,181.18988000000002,-1,1.2,0.1,0.0,False
112,-1,-1,185.29356,-1,1.2,0.1,0.0,False
113,-1,-1,186.38944,-1,1.2,0.1,0.0,False
114,-1,-1,176.62868,-1,1.2,0.1,0.0,False
115,-1,-1,193.86792,-1,1.2,0.1,0.0,False
116,-1,-1,177.79816,-1,1.2,0.1,0.0,False
117,-1,-1,179.8948,-1,1.2,0.1,0.0,False
118,-1,-1,188.88304,-1,1.2,0.1,0.0,False
119,-1,-1,197.04996,-1,1.2,0.1,0.0,False
120,-1,-1,177.20056,-1,1.2,0.1,0.0,False
121,-1,-1,213.55676,-1,1.2,0.1,0.0,False
122,-1,-1,198.29588,-1,1.2,0.1,0.0,False
123,-1,-1,186.80580000000003,-1,1.2,0.1,0.0,False
124,-1,-1,203.16568,-1,1.2,0.1,0.0,False
125,-1,-1,202.36448000000001,-1,1.2,0.1,0.0,False
126,-1,-1,218.85680000000002,-1,1.2,0.1,0.0,False
127,-1,-1,216.06655999999998,-1,1.2,0.1,0.0,False
128,-1,-1,201.16512,-1,1.2,0.1,0.0,False
129,-1,-1,205.6992,-1,1.2,0.1,0.0,False
130,-1,-1,206.77143999999998,-1,1.2,0.1,0.0,False
131,-1,-1,199.16776000000002,-1,1.2,0.1,0.0,False
132,-1,-1,214.69407999999999,-1,1.2,0.1,0.0,False
133,-1,-1,212.21404,-1,1.2,0.1,0.0,False
134,-1,-1,220.09980000000002,-1,1.2,0.1,0.0,False
135,-1,-1,209.03972,-1,1.2,0.1,0.0,False
136,-1,-1,214.39376000000001,-1,1.2,0.1,0.0,False
137,-1,-1,197.33436,-1,1.2,0.1,0.0,False
