,Unnamed: 0,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,wu,nDAYS_HAILED,nDAYS_TRY,INFORMED,plat_revenue_wod,MATCHING_T,rh_Ux,rh_P,OUT_TOMORROW,fulfilled,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0,0.0100000000000001,0.0100000000000001,0.0116464763519822,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.0100000000000001,0.0100000000000001,0.0116464763519822,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0.0100448098828127,0.0100000000000001,0.0135349888738206,149.0,224.3708,-19.739024142431013,-10.923522400680666,10.2897091722595,0.3228667761768183,0.9194630872483222,1.0,0.9194630872483222,1.0,1.0,1.5058442953020137,2.253691275167785,0.0104811799496654,0.0796159747557017,0.8926174496644296,0.9194630872483222,0.0,6977.6308724832215,85.69127516778524,0.0,6.664429530201343,0.0,18.389261744966444,482.16107382550337,27.583892617449663,519.7651006711409,9.194630872483222,0.0,0.0,49.53020134228188
3,1,0.0100448098828127,0.0100000000000001,0.0135349888738206,149.0,224.3708,-19.739024142431013,-10.923522400680666,10.2897091722595,0.3228667761768183,0.9194630872483222,1.0,0.9194630872483222,1.0,1.0,1.5058442953020137,2.253691275167785,0.0104811799496654,0.0796159747557017,0.8926174496644296,0.9194630872483222,0.0,6977.6308724832215,85.69127516778524,0.0,6.664429530201343,0.0,18.389261744966444,482.16107382550337,27.583892617449663,519.7651006711409,9.194630872483222,0.0,0.0,49.53020134228188
4,2,0.0101407509506194,0.0100000425449112,0.0156050285230511,170.0,289.56352,-13.476804575163406,-11.101025936447895,8.152941176470582,0.2262816455131317,0.9941176470588236,1.0,1.076470588235294,1.0941176470588236,1.0,1.703314823529412,0.4047058823529411,0.0109552307843095,0.0797915923909212,0.9411764705882352,0.9941176470588236,0.0,6798.588235294118,20.66470588235294,0.0,11.988235294117649,0.0,19.88235294117647,464.8941176470588,29.823529411764707,593.2470588235294,9.941176470588236,0.0,0.0,3.6176470588235294
5,2,0.0101407509506194,0.0100000425449112,0.0156050285230511,170.0,289.56352,-13.476804575163406,-11.101025936447895,8.152941176470582,0.2262816455131317,0.9941176470588236,1.0,1.076470588235294,1.0941176470588236,1.0,1.703314823529412,0.4047058823529411,0.0109552307843095,0.0797915923909212,0.9411764705882352,0.9941176470588236,0.0,6798.588235294118,20.66470588235294,0.0,11.988235294117649,0.0,19.88235294117647,464.8941176470588,29.823529411764707,593.2470588235294,9.941176470588236,0.0,0.0,3.6176470588235294
6,3,0.0102435874835427,0.0100002646778903,0.0179365801061409,158.0,255.70136,-11.62543052039381,-10.511677702612593,5.329324894514767,0.2077296180025833,1.0,1.0,1.1075949367088609,1.1075949367088609,1.0,1.6183630379746845,0.0,0.0110702158656489,0.0798335251261978,0.9177215189873418,1.0,0.0,7109.911392405063,0.0,0.0,15.0,0.0,20.0,319.75949367088606,30.0,557.1898734177215,10.0,0.0,0.0,0.0
7,3,0.0102435874835427,0.0100002646778903,0.0179365801061409,158.0,255.70136,-11.62543052039381,-10.511677702612593,5.329324894514767,0.2077296180025833,1.0,1.0,1.1075949367088609,1.1075949367088609,1.0,1.6183630379746845,0.0,0.0110702158656489,0.0798335251261978,0.9177215189873418,1.0,0.0,7109.911392405063,0.0,0.0,15.0,0.0,20.0,319.75949367088606,30.0,557.1898734177215,10.0,0.0,0.0,0.0
8,4,0.0103668172058618,0.0100005596437607,0.0208290657701357,147.0,238.53792,-11.83610364701437,-10.730302127236444,5.847505668934243,0.2322965659801946,1.0,1.0,1.1700680272108843,1.1904761904761905,1.0,1.6227069387755102,0.0,0.0115467872452775,0.0800139231918389,0.9591836734693876,1.0,0.0,7121.965986394558,0.0,0.0,15.0,0.0,20.0,350.8503401360544,30.0,559.0,10.0,0.0,0.0,0.0
9,4,0.0103668172058618,0.0100005596437607,0.0208290657701357,147.0,238.53792,-11.83610364701437,-10.730302127236444,5.847505668934243,0.2322965659801946,1.0,1.0,1.1700680272108843,1.1904761904761905,1.0,1.6227069387755102,0.0,0.0115467872452775,0.0800139231918389,0.9591836734693876,1.0,0.0,7121.965986394558,0.0,0.0,15.0,0.0,20.0,350.8503401360544,30.0,559.0,10.0,0.0,0.0,0.0
10,5,0.0104018315250222,0.0100011866085832,0.0235681389644959,147.0,226.39296,-21.86207562358276,-11.43182007909034,10.251587301587303,0.2413856988148355,0.8979591836734694,1.0,1.1156462585034013,1.217687074829932,1.0,1.540088163265306,2.594557823129251,0.0106102720598414,0.0796642947260626,0.9251700680272108,0.8979591836734694,0.0,6882.489795918367,92.91836734693878,0.0,6.503401360544218,0.0,17.959183673469386,459.421768707483,26.93877551020408,536.5850340136054,8.979591836734693,0.0,0.0,62.755102040816325
