,nP_share,nV_share,Platform_rev
190,0.1545,0.14,404.46864000000005
191,0.16,0.12,323.00159999999994
192,0.148,0.135,397.94960000000003
193,0.149,0.125,302.04786
194,0.16,0.155,309.01236
195,0.161,0.155,211.82659999999998
196,0.1575,0.145,105.20886
197,0.164,0.125,109.06852
198,0.153,0.15,102.46962
199,0.1615,0.17,212.038
200,0.154,0.155,105.00926000000001
201,0.171,0.175,0.0
202,0.161,0.175,0.0
203,0.165,0.175,107.93718
204,0.1765,0.16,0.0
205,0.174,0.185,118.86840000000001
206,0.17,0.195,221.77076
207,0.1635,0.18,325.8558
208,0.174,0.16,352.24289999999996
209,0.1765,0.18,349.79135999999994
210,0.1635,0.185,212.10648000000003
211,0.173,0.14,117.2362
212,0.163,0.195,213.2398
213,0.171,0.155,225.58968
214,0.175,0.185,350.19185999999996
215,0.179,0.17,482.10496000000006
216,0.1935,0.165,509.86632000000003
217,0.1955,0.17,518.57512
218,0.1785,0.2,576.2727
219,0.1895,0.19,504.24160000000006
220,0.1875,0.18,605.3061
221,0.1905,0.105,494.15544
222,0.189,0.135,622.6679999999999
223,0.193,0.2,756.1106399999999
224,0.2075,0.115,817.0155599999998
225,0.2015,0.155,792.0574799999999
226,0.1835,0.165,575.267
227,0.1995,0.125,800.7699599999999
228,0.195,0.145,631.0479
229,0.1925,0.165,513.83992
230,0.1885,0.13,488.20856000000003
231,0.1945,0.14,375.34344
232,0.1965,0.145,254.86524
233,0.2005,0.135,256.19236
234,0.193,0.145,374.88605999999993
235,0.1915,0.175,511.98488
236,0.2,0.165,645.0752
237,0.2045,0.155,802.1868
238,0.195,0.19,886.4007599999999
239,0.1965,0.14,888.2810999999999
240,0.2025,0.155,799.6791599999999
241,0.2085,0.17,806.8665599999999
242,0.2095,0.165,986.46548
243,0.217,0.125,1009.2479599999999
244,0.2085,0.145,837.44676
245,0.2065,0.135,927.6440599999999
246,0.222,0.165,1023.6071999999998
247,0.2045,0.14,923.7176199999999
248,0.201,0.145,1013.63712
249,0.212,0.105,1120.49216
250,0.2235,0.12,1020.0342599999999
251,0.214,0.105,1100.65408
252,0.203,0.125,1052.81072
253,0.222,0.105,1003.8356999999999
254,0.2135,0.115,824.8916399999999
255,0.205,0.12,798.51756
256,0.2105,0.145,974.90554
257,0.2,0.1,895.1866
258,0.2205,0.11,1174.8787200000002
259,0.2105,0.1,1252.1313
260,0.209,0.085,1373.8852
261,0.1995,0.07,1321.5318
262,0.21,0.105,1511.22576
263,0.198,0.095,1454.0024400000002
264,0.2035,0.085,1643.9135999999999
265,0.1915,0.13,1442.4916
266,0.1975,0.055,1304.0449999999998
267,0.1995,0.075,1199.59758
268,0.1925,0.09,1036.58528
269,0.1925,0.095,889.82152
270,0.2,0.095,941.9330199999999
271,0.2025,0.09,942.9537599999999
272,0.183,0.1,881.2313999999999
273,0.184,0.085,844.5655399999998
274,0.187,0.11,858.33062
275,0.19,0.125,986.4236799999999
276,0.2,0.08,1228.6439999999998
277,0.1845,0.07,1236.1187999999997
278,0.1735,0.09,1271.16616
279,0.191,0.11,1347.50594
280,0.1965,0.1,1554.2063999999998
281,0.183,0.05,1441.2016799999997
282,0.1865,0.115,1475.5382399999999
283,0.1725,0.08,1451.8210199999999
284,0.1985,0.07,1752.20266
285,0.1745,0.08,1547.1562600000002
286,0.1735,0.075,1388.2156799999998
287,0.181,0.095,1385.2696
288,0.1675,0.095,1104.3470000000002
289,0.1795,0.075,1031.4439200000002
290,0.175,0.035,949.78576
291,0.1605,0.06,752.3573399999999
292,0.171,0.085,674.4474
293,0.1555,0.085,751.6766599999999
294,0.163,0.065,748.8441799999999
295,0.1565,0.065,626.02368
296,0.1625,0.095,752.7830799999999
297,0.1555,0.105,729.7749199999998
298,0.157,0.07,621.46668
299,0.1695,0.075,577.8609
300,0.161,0.12,422.89167999999995
301,0.1635,0.09,334.52946
302,0.1445,0.13,394.53376
303,0.155,0.095,304.09626000000003
304,0.1535,0.07,415.83472
305,0.168,0.105,568.7244
306,0.1535,0.09,625.49484
307,0.1665,0.05,681.23232
308,0.166,0.11,665.2632
309,0.1535,0.07,501.9722
310,0.171,0.065,577.4223
311,0.1625,0.055,690.18828
312,0.1635,0.08,549.7725
313,0.1605,0.08,545.1966
314,0.148,0.125,593.47344
315,0.159,0.115,642.0726
316,0.161,0.105,564.0044
317,0.1545,0.15,423.63912
318,0.1685,0.105,574.0147999999999
319,0.168,0.115,574.8471
