,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,nDAYS_HAILED,INFORMED,MATCHING_T,VoT,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000000163,0.010000000000000163,0.011646476351982309,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0.010001566118633983,0.010000277325646512,0.013462378022863748,17.0,33.23068000000001,-26.538512254901963,-10.51594232993599,10.53235294117647,2.063092524055047,1.0,1.0,1.0,3.301960784313725,10.629999999999999,0.0,9465.588235294117,89.58823529411765,0.0,8.823529411764707,0.0,16.470588235294116,433.8235294117647,24.705882352941178,517.2352941176471,8.235294117647058,0.0,0.0,108.52941176470588
2,0.010001566118633983,0.010000887881360047,0.01562844416453972,32.0,58.39456,-64.90696796875001,-10.387369796858875,11.841666666666667,5.377891790209365,1.0,1.03125,1.0,8.25,10.629999999999997,0.0,5679.8125,52.96875,0.0,2.34375,0.0,5.625,215.5,8.4375,175.46875,2.8125,0.0,0.0,442.03125
3,0.01002302654180597,0.010002008494731048,0.018069699999561876,48.0,87.06376,-12.677743692129633,-11.234745288197884,5.62326388888889,0.14349749648638868,1.0,1.1041666666666667,1.0,0.0,10.629999999999997,0.0,7352.125,0.0,0.0,15.0,0.0,20.0,337.3958333333333,30.0,547.3125,10.0,0.0,0.0,0.0
4,0.010031042636445279,0.01000349578134204,0.021088846246625943,75.0,151.2994,-25.952156814814817,-11.130118083555208,11.108444444444448,1.4643354999781433,1.0,1.12,1.0,2.9960000000000004,10.629999999999997,0.0,7417.333333333333,114.16,0.0,5.786666666666667,0.0,17.866666666666667,486.74666666666667,26.8,532.64,8.933333333333334,0.0,0.0,65.6
5,0.010036410237311933,0.01000537358939812,0.02431718615280638,95.0,188.5226,-21.40690570175438,-11.298869896106824,10.603157894736846,0.9053075257773793,1.0,1.1263157894736842,1.0,2.2485964912280703,10.629999999999997,0.0,7320.505263157895,89.6,0.0,6.7894736842105265,0.0,18.526315789473685,501.2736842105263,27.789473684210527,560.1789473684211,9.263157894736842,0.0,0.0,45.31578947368421
6,0.01006863969424744,0.01000811162196662,0.027677099982453546,126.0,236.21695999999997,-18.78807455908289,-11.244027338041402,8.646164021164022,0.7768037991616297,1.0,1.1666666666666667,1.0,1.3335978835978834,10.630000000000022,0.0,6375.769841269841,50.73015873015873,0.0,10.674603174603174,0.0,19.047619047619047,438.75396825396825,28.571428571428573,528.2063492063492,9.523809523809524,0.0,0.0,29.285714285714285
7,0.010090238183483206,0.010012085056046643,0.031067492396349535,117.0,217.38024000000001,-23.81333751187084,-11.26952027437931,9.868803418803415,1.1467079675799938,1.0,1.2478632478632479,1.0,3.5199430199430206,10.630000000000015,0.0,7174.7692307692305,127.09401709401709,0.0,5.0256410256410255,0.0,17.264957264957264,380.9316239316239,25.897435897435898,493.2991452991453,8.632478632478632,0.0,0.0,84.1025641025641
8,0.010125799051510499,0.010016161971684869,0.035113550464312936,113.0,211.34539999999998,-14.49969287118977,-10.965963701190143,7.651179941002951,0.32344355610165354,1.0,1.238938053097345,1.0,0.1700589970501475,10.630000000000013,0.0,6795.522123893806,4.761061946902655,0.0,14.070796460176991,0.0,19.82300884955752,448.86725663716817,29.734513274336283,561.1858407079646,9.91150442477876,0.0,0.0,5.442477876106195
9,0.01014629381958392,0.01002060710823059,0.03980578060950954,153.0,297.63496,-16.551445370370367,-11.280100098137659,8.805773420479305,0.4813535525417953,1.0,1.3202614379084967,1.0,1.2338779956427015,10.630000000000038,0.0,7067.653594771242,57.95424836601307,0.0,9.712418300653594,0.0,19.477124183006534,454.3137254901961,29.215686274509803,579.1307189542483,9.738562091503267,0.0,0.0,16.07843137254902
10,0.010203184769308468,0.010026600081921137,0.044707077744160634,153.0,275.68576,-12.577374872912133,-10.45153803277737,5.544117647058825,0.2366467966361693,1.0,1.3398692810457515,1.0,0.07875816993464052,10.630000000000038,0.0,7425.294117647059,4.7254901960784315,0.0,14.411764705882353,0.0,20.0,327.921568627451,30.0,543.0718954248366,10.0,0.0,0.0,0.0
11,0.010268667974372035,0.010033475917251261,0.05043534492569305,165.0,307.50944,-13.149527037037034,-11.21829802055262,6.102424242424242,0.2250640181942677,1.0,1.4666666666666666,1.0,0.0,10.630000000000043,0.0,7462.496969696969,0.0,0.0,15.0,0.0,20.0,366.1454545454545,30.0,565.1515151515151,10.0,0.0,0.0,0.0
12,0.010280852525224034,0.010041999648837339,0.0560638739380238,144.0,278.59608000000003,-21.743406404321,-11.204430416809636,10.575347222222225,1.0625978595036603,1.0,1.5763888888888888,1.0,2.676273148148148,10.630000000000033,0.0,7031.145833333333,109.32638888888889,0.0,6.25,0.0,18.333333333333332,473.94444444444446,27.5,537.6388888888889,9.166666666666666,0.0,0.0,51.25
13,0.010300242507592802,0.010049892431385831,0.062285166855530406,171.0,329.64092,-37.95277197855751,-10.879623972985662,10.920857699805069,2.8135981696841914,1.0,1.608187134502924,1.0,5.452339181286548,10.630000000000045,0.0,7697.368421052632,147.31578947368422,0.0,1.631578947368421,0.0,14.152046783625732,328.1111111111111,21.228070175438596,407.0233918128655,7.076023391812866,0.0,0.0,179.82456140350877
