x, y
0.024448386360611578, 0
0.9779936542088904, 554.0166204986149
2.0048885580454985, 664.8199445983379
2.958433825893778, 775.6232686980609
3.985328729730385, 886.4265927977839
5.012223633566994, 886.4265927977839
5.965768901415274, 1108.0332409972298
6.992663805251881, 1218.8365650969529
8.01955870908849, 1329.6398891966758
8.97310397693677, 1551.2465373961218
9.999998880773376, 1772.8531855955678
11.026893784609983, 2105.2631578947367
11.980439052458266, 2437.6731301939058
13.007333956294872, 2548.4764542936286
13.96087922414315, 2659.2797783933515
14.98777412797976, 3102.4930747922435
16.014669031816368, 3545.7063711911355
16.968214299664645, 4099.72299168975
17.995109203501258, 4653.739612188366
19.022004107337864, 5096.952908587257
20.04889901117447, 5318.559556786703
21.002444279022747, 5983.379501385041
21.955989546871027, 6426.592797783933
22.982884450707637, 6204.986149584487
24.009779354544246, 6759.002770083102
24.963324622392527, 7534.626038781163
25.990219526229136, 10193.905817174515
27.01711443006574, 12299.168975069251
28.04400933390235, 14072.02216066482
28.99755460175063, 14847.64542936288
30.02444950558724, 15955.67867036011
30.977994773435512, 16509.695290858726
32.00488967727212, 17285.318559556785
32.9584349451204, 18504.15512465374
33.98532984895701, 19722.991689750692
35.012224752793614, 20277.008310249308
36.03911965663023, 21828.25484764543
36.992664924478504, 22936.288088642657
38.01955982831511, 23933.518005540165
38.973105096163394, 25484.764542936286
40, 27479.2243767313
41.026894903836606, 28365.650969529084
41.98044017168489, 29473.684210526313
