,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
0,[[0 0]],1,0.0,0.0,[[0 0]],0,0,1.2,0.05,0.0,True
1,[[0 0]],0,13.3106,11.233825,[[19  1]],19,1,1.2,0.1,0.0,True
2,[[19  1]],2,29.511560000000003,26.788945000000002,[[40  3]],40,3,1.2,0.1,0.0,True
3,[[40  3]],2,39.897200000000005,37.32715,[[58  4]],58,4,1.2,0.1,0.0,True
4,[[58  4]],2,44.49844,42.522305,[[62  5]],62,5,1.2,0.1,0.0,True
5,[[62  5]],1,26.337339999999998,53.7821675,[[73  8]],73,8,1.2,0.05,0.0,True
6,[[73  8]],0,71.55168,80.22396,[[96 12]],96,12,1.2,0.1,0.0,True
7,[[96 12]],2,87.00032,77.20504,[[121   8]],121,8,1.2,0.1,0.0,True
8,[[121   8]],1,41.36672,106.15084,[[116  19]],116,19,1.2,0.05,0.0,True
9,[[116  19]],2,49.06832,86.98353999999999,[[125  12]],125,12,1.2,0.05,0.0,True
10,[[125  12]],0,91.73424,93.63678,[[129  12]],129,12,1.2,0.1,0.0,True
11,[[129  12]],2,107.50344,101.54793000000001,[[147  12]],147,12,1.2,0.1,0.0,True
12,[[147  12]],0,160.81313999999998,118.44164250000001,[[158  14]],158,14,1.2,0.15,0.0,True
13,[[158  14]],0,237.04840000000002,139.85105,[[154  18]],154,18,1.2,0.2,0.0,True
14,[[154  18]],1,190.27805999999998,140.2747575,[[173  18]],173,18,1.2,0.15,0.0,True
15,[[173  18]],2,158.052,130.30649999999997,[[145  19]],145,19,1.2,0.15,0.0,True
16,[[145  19]],0,202.40896,123.97112000000001,[[139  16]],139,16,1.2,0.2,0.0,True
17,[[139  16]],2,201.01472,111.25684000000001,[[131  13]],131,13,1.2,0.2,0.0,True
18,[[131  13]],2,219.61008,114.24126000000001,[[153  11]],153,11,1.2,0.2,0.0,True
19,[[153  11]],1,205.05083999999997,136.84135500000002,[[167  17]],167,17,1.2,0.15,0.0,True
20,[[167  17]],0,229.99008,128.40876,[[162  14]],162,14,1.2,0.2,0.0,True
21,[[162  14]],0,246.3926,115.279075,[[136  12]],136,12,1.2,0.25,0.0,True
22,[[136  12]],0,408.4212,176.12265000000002,[[179  20]],179,20,1.2,0.3,0.0,True
23,[[179  20]],0,430.77202,141.62650250000002,[[166  10]],166,10,1.2,0.35,0.0,True
24,[[166  10]],0,459.90384,188.16798,[[156  24]],156,24,1.2,0.4,0.0,True
25,[[156  24]],0,575.16444,176.175555,[[176  14]],176,14,1.2,0.45,0.0,True
26,[[176  14]],0,551.5438,151.77297500000003,[[151  10]],151,10,1.2,0.5,0.0,True
27,[[151  10]],1,503.56602,161.2857525,[[148  15]],148,15,1.2,0.45,0.0,True
28,[[148  15]],2,580.05414,159.6267675,[[164  10]],164,10,1.2,0.45,0.0,True
29,[[164  10]],1,455.60112000000004,170.80014,[[165  18]],165,18,1.2,0.4,0.0,True
