,hex_address,value
0,871969534ffffff,296.57805
1,871969c8bffffff,268.26689999999996
2,871969c9bffffff,302.23546363636365
3,871969526ffffff,308.48184545454546
4,871969522ffffff,308.51959999999997
5,871969531ffffff,294.7353428571428
6,871969535ffffff,300.1047236842105
7,871969c9effffff,312.4383
8,871969536ffffff,286.2719142857143
9,871968269ffffff,297.45405
10,871969c8affffff,278.99969999999996
11,871969504ffffff,301.47005
12,871969533ffffff,326.9982
13,871968249ffffff,307.4958
14,871969524ffffff,297.5424
15,871969532ffffff,295.25669999999997
16,871969c9affffff,295.8635
17,87196826bffffff,313.6199142857143
18,87196824dffffff,287.7807
19,871969c9dffffff,299.82336
20,871969520ffffff,311.84999999999997
21,871969c98ffffff,315.46245
22,871969530ffffff,302.962725
23,871969523ffffff,334.4082
24,871969c99ffffff,285.76559999999995
25,87196826dffffff,307.5726
26,871968240ffffff,0.0
27,871969c9cffffff,0.0
28,871968248ffffff,0.0
29,871969c89ffffff,0.0
30,871969cd2ffffff,0.0
31,871969c8effffff,0.0
32,871969c83ffffff,0.0
33,87196826effffff,0.0
34,871968263ffffff,0.0
35,871969c81ffffff,0.0
36,87196826affffff,0.0
37,871969c8dffffff,0.0
38,87196824cffffff,0.0
39,871969c88ffffff,0.0
40,871969506ffffff,0.0
41,871969c93ffffff,0.0
42,871969525ffffff,0.0
43,871968241ffffff,0.0
44,871968268ffffff,0.0
45,871968245ffffff,0.0
46,871969cd6ffffff,0.0
47,87196826cffffff,0.0
48,871969514ffffff,0.0
49,871969521ffffff,0.0
50,871969cabffffff,0.0
51,871969c8cffffff,0.0
52,871968244ffffff,0.0
53,871969c91ffffff,0.0
54,871969cd0ffffff,0.0
