,hex_address,value
0,871969534ffffff,229.44044444444444
1,871969c8bffffff,232.503
2,871969c9bffffff,224.66673529411764
3,871969526ffffff,232.66975000000002
4,871969522ffffff,229.755
5,871969531ffffff,217.73715789473687
6,871969535ffffff,223.81421875
7,871969c9effffff,232.195875
8,871969536ffffff,230.63331818181817
9,871968269ffffff,221.19674999999998
10,871969c8affffff,249.54
11,871969504ffffff,230.1567
12,871969533ffffff,241.05
13,871968249ffffff,217.737
14,871969524ffffff,226.40057142857145
15,871969532ffffff,231.54999999999998
16,871969c9affffff,230.70021428571428
17,87196826bffffff,234.1405
18,87196824dffffff,243.4695
19,871969c9dffffff,227.51175
20,871969520ffffff,219.40875
21,871969c98ffffff,236.17680000000001
22,871969530ffffff,225.43235294117648
23,871969523ffffff,230.553
24,871969c99ffffff,231.648
25,87196826dffffff,204.6285
26,87196826affffff,230.43075
27,871968248ffffff,232.3305
28,87196824cffffff,243.75
29,871969506ffffff,0.0
30,87196826effffff,0.0
31,871969c8effffff,0.0
32,871968244ffffff,0.0
33,871969c91ffffff,0.0
34,871968245ffffff,0.0
35,871969521ffffff,0.0
36,871969cabffffff,0.0
37,871969c89ffffff,0.0
38,871969514ffffff,0.0
39,871969cd0ffffff,0.0
40,87196826cffffff,0.0
41,871968263ffffff,0.0
42,871969c93ffffff,0.0
43,871969c8dffffff,0.0
44,871969c83ffffff,0.0
45,871969525ffffff,0.0
46,871969cd6ffffff,0.0
47,871968268ffffff,0.0
48,871968241ffffff,0.0
49,871969c8cffffff,0.0
50,871969cd2ffffff,0.0
51,871969c9cffffff,0.0
52,871969c81ffffff,0.0
53,871968240ffffff,0.0
54,871969c88ffffff,0.0
