hex_address,sim1,sim2,sim3,sim4,sim5,ave_max
871968240ffffff,0.0,0.0,1.0,0.0,1.0,0.4
871968241ffffff,2.0,3.0,3.0,3.0,2.0,2.6
871968244ffffff,2.0,2.0,2.0,2.0,1.0,1.8
871968245ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871968248ffffff,2.0,2.0,1.0,1.0,2.0,1.6
871968249ffffff,3.0,4.0,4.0,3.0,4.0,3.6
87196824cffffff,2.0,2.0,2.0,3.0,2.0,2.2
87196824dffffff,6.0,5.0,6.0,5.0,6.0,5.6
871968263ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871968268ffffff,1.0,1.0,2.0,2.0,2.0,1.6
871968269ffffff,7.0,7.0,8.0,7.0,7.0,7.2
87196826affffff,1.0,2.0,2.0,2.0,1.0,1.6
87196826bffffff,7.0,7.0,8.0,7.0,6.0,7.0
87196826cffffff,1.0,1.0,2.0,2.0,1.0,1.4
87196826dffffff,4.0,2.0,3.0,3.0,3.0,3.0
87196826effffff,1.0,1.0,1.0,0.0,0.0,0.6
871969504ffffff,6.0,5.0,7.0,4.0,6.0,5.6
871969506ffffff,3.0,4.0,3.0,3.0,3.0,3.2
871969514ffffff,2.0,3.0,2.0,2.0,2.0,2.2
871969520ffffff,7.0,7.0,5.0,6.0,9.0,6.8
871969521ffffff,5.0,7.0,4.0,5.0,6.0,5.4
871969522ffffff,10.0,9.0,11.0,9.0,13.0,10.4
871969523ffffff,4.0,3.0,3.0,4.0,3.0,3.4
871969524ffffff,8.0,8.0,7.0,7.0,11.0,8.2
871969525ffffff,5.0,5.0,5.0,5.0,5.0,5.0
871969526ffffff,13.0,12.0,13.0,14.0,12.0,12.8
871969530ffffff,13.0,10.0,11.0,9.0,10.0,10.6
871969531ffffff,9.0,8.0,6.0,6.0,8.0,7.4
871969532ffffff,9.0,8.0,8.0,9.0,8.0,8.4
871969533ffffff,3.0,3.0,3.0,5.0,3.0,3.4
871969534ffffff,11.0,14.0,12.0,13.0,12.0,12.4
871969535ffffff,13.0,13.0,11.0,11.0,15.0,12.6
871969536ffffff,9.0,8.0,10.0,7.0,8.0,8.4
871969c81ffffff,0.0,0.0,0.0,0.0,1.0,0.2
871969c83ffffff,2.0,3.0,2.0,2.0,3.0,2.4
871969c88ffffff,1.0,2.0,1.0,1.0,1.0,1.2
871969c89ffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8affffff,6.0,5.0,4.0,5.0,5.0,5.0
871969c8bffffff,2.0,3.0,2.0,2.0,2.0,2.2
871969c8cffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8dffffff,1.0,1.0,1.0,1.0,1.0,1.0
871969c8effffff,0.0,1.0,1.0,1.0,1.0,0.8
871969c91ffffff,4.0,3.0,3.0,4.0,3.0,3.4
871969c93ffffff,2.0,2.0,2.0,2.0,2.0,2.0
871969c98ffffff,6.0,6.0,5.0,8.0,5.0,6.0
871969c99ffffff,6.0,6.0,5.0,5.0,6.0,5.6
871969c9affffff,6.0,7.0,9.0,8.0,9.0,7.8
871969c9bffffff,14.0,14.0,12.0,14.0,13.0,13.4
871969c9cffffff,7.0,6.0,5.0,10.0,6.0,6.8
871969c9dffffff,8.0,9.0,7.0,6.0,6.0,7.2
871969c9effffff,6.0,4.0,6.0,6.0,5.0,5.4
871969cabffffff,1.0,1.0,1.0,1.0,2.0,1.2
871969cd0ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd2ffffff,0.0,0.0,0.0,0.0,0.0,0.0
871969cd6ffffff,0.0,0.0,0.0,0.0,0.0,0.0
