,hex_address,value
0,871969520ffffff,238.5520231213873
1,871969c9dffffff,250.08474576271186
2,871969c9bffffff,186.2867469879518
3,871969c9cffffff,289.9588477366255
4,87196824dffffff,219.77092511013217
5,871969514ffffff,211.6
6,871968269ffffff,235.4550898203593
7,871969533ffffff,246.41379310344828
8,871969535ffffff,180.32077922077923
9,871969521ffffff,274.14925373134326
10,871969532ffffff,213.74692874692875
11,871969536ffffff,221.9777777777778
12,87196826bffffff,230.40652818991097
13,871969530ffffff,190.54066985645932
14,871969524ffffff,220.66899766899766
15,871969c9affffff,207.55027932960894
16,871969534ffffff,167.85254027261462
17,871968249ffffff,204.06410256410257
18,871969504ffffff,188.10270270270271
19,871968241ffffff,277.8611111111111
20,871969c98ffffff,232.70542635658916
21,871969522ffffff,192.56737588652481
22,871969526ffffff,206.59194630872483
23,871969c9effffff,270.8358208955224
24,871969531ffffff,211.85981308411215
25,871969525ffffff,276.5633802816901
26,871969c99ffffff,232.63861386138615
27,87196826dffffff,255.35384615384615
28,871969523ffffff,268.29411764705884
29,871969c8affffff,262.51190476190476
30,871969c93ffffff,369.1212121212121
31,871969506ffffff,195.0843373493976
32,87196824cffffff,231.78125
33,871969cabffffff,180.0
34,871969c91ffffff,238.45454545454547
35,871969c83ffffff,312.75757575757575
36,871968268ffffff,245.13333333333333
37,871968248ffffff,279.0
38,871969c8bffffff,330.85185185185185
39,87196826cffffff,180.0
40,87196826affffff,260.55555555555554
41,871969c88ffffff,333.75
42,871968244ffffff,180.07692307692307
43,871969c89ffffff,180.0
44,871969c8dffffff,180.0
45,87196826effffff,180.0
46,871969c8cffffff,817.0
47,871968245ffffff,180.0
48,871969c8effffff,0.0
49,871968263ffffff,0.0
50,871969c81ffffff,0.0
51,871968240ffffff,0.0
52,871969cd6ffffff,0.0
53,871969cd0ffffff,0.0
54,871969cd2ffffff,0.0
