,hex_address,value
0,871969520ffffff,305.6676300578035
1,871969c9dffffff,365.8135593220339
2,871969c9bffffff,283.4626506024096
3,871969c9cffffff,535.7448559670781
4,87196824dffffff,327.2026431718062
5,871969514ffffff,511.6666666666667
6,871968269ffffff,328.44610778443115
7,871969533ffffff,374.63793103448273
8,871969535ffffff,246.26363636363635
9,871969521ffffff,408.04477611940297
10,871969532ffffff,297.73955773955777
11,871969536ffffff,288.63456790123456
12,87196826bffffff,304.3620178041543
13,871969530ffffff,267.3939393939394
14,871969524ffffff,335.5034965034965
15,871969c9affffff,314.9972067039106
16,871969534ffffff,248.7534076827757
17,871968249ffffff,345.4230769230769
18,871969504ffffff,315.28648648648647
19,871968241ffffff,469.3888888888889
20,871969c98ffffff,395.6046511627907
21,871969522ffffff,296.3936170212766
22,871969526ffffff,286.53557046979864
23,871969c9effffff,394.2686567164179
24,871969531ffffff,279.65732087227417
25,871969525ffffff,434.27464788732397
26,871969c99ffffff,346.4306930693069
27,87196826dffffff,509.38461538461536
28,871969523ffffff,391.8235294117647
29,871969c8affffff,413.32738095238096
30,871969c93ffffff,570.5757575757576
31,871969506ffffff,379.71084337349396
32,87196824cffffff,373.875
33,871969cabffffff,392.42857142857144
34,871969c91ffffff,468.09090909090907
35,871969c83ffffff,563.5757575757576
36,871968268ffffff,406.26666666666665
37,871968248ffffff,419.8235294117647
38,871969c8bffffff,448.74074074074076
39,87196826cffffff,551.7
40,87196826affffff,410.1111111111111
41,871969c88ffffff,413.75
42,871968244ffffff,431.15384615384613
43,871969c89ffffff,180.0
44,871969c8dffffff,180.0
45,87196826effffff,848.0
46,871969c8cffffff,180.0
47,871968245ffffff,180.0
48,871968263ffffff,0.0
49,871969cd6ffffff,0.0
50,871969c8effffff,0.0
51,871969cd2ffffff,0.0
52,871969c81ffffff,0.0
53,871969cd0ffffff,0.0
54,871968240ffffff,0.0
