pax,veh_id,WAIT_TIME,nREJECTS,TRAVEL_TIME,LOST_PATIENCE
0,572.0,103.0,0.0,354.0,False
1,Unfulfilled,195.0,0.0,0.0,True
2,Unfulfilled,195.0,0.0,0.0,True
3,579.0,79.0,1.0,686.0,False
4,Unfulfilled,195.0,0.0,0.0,True
5,368.0,233.0,0.0,442.0,False
6,648.0,363.0,0.0,418.0,False
7,648.0,1142.0,0.0,485.0,False
8,644.0,273.0,0.0,460.0,False
9,364.0,77.0,0.0,494.0,False
10,468.0,334.0,1.0,998.0,False
11,28.0,142.0,0.0,395.0,False
12,580.0,262.0,0.0,1060.0,False
13,272.0,65.0,0.0,518.0,False
14,384.0,187.0,0.0,604.0,False
15,316.0,261.0,0.0,306.0,False
16,404.0,216.0,0.0,437.0,False
17,296.0,261.0,0.0,545.0,False
18,Unfulfilled,195.0,0.0,0.0,True
19,496.0,186.0,0.0,391.0,False
20,92.0,88.0,0.0,386.0,False
21,Unfulfilled,195.0,0.0,0.0,True
22,84.0,118.0,0.0,512.0,False
23,92.0,201.0,0.0,313.0,False
24,560.0,82.0,0.0,523.0,False
25,Unfulfilled,195.0,0.0,0.0,True
26,536.0,114.0,0.0,600.0,False
27,436.0,143.0,0.0,624.0,False
28,640.0,56.0,0.0,402.0,False
29,600.0,163.0,0.0,707.0,False
30,Unfulfilled,195.0,0.0,0.0,True
31,560.0,297.0,2.0,962.0,False
32,28.0,151.0,0.0,487.0,False
33,624.0,32.0,0.0,477.0,False
34,392.0,173.0,0.0,376.0,False
35,Unfulfilled,195.0,0.0,0.0,True
36,Unfulfilled,195.0,0.0,0.0,True
37,288.0,240.0,0.0,913.0,False
38,Unfulfilled,195.0,0.0,0.0,True
39,540.0,157.0,0.0,697.0,False
40,416.0,618.0,0.0,711.0,False
41,320.0,137.0,0.0,968.0,False
42,Unfulfilled,195.0,0.0,0.0,True
43,Unfulfilled,195.0,0.0,0.0,True
44,648.0,773.0,0.0,1028.0,False
45,292.0,96.0,0.0,487.0,False
46,204.0,272.0,0.0,466.0,False
47,500.0,168.0,0.0,749.0,False
48,428.0,133.0,1.0,631.0,False
49,Unfulfilled,195.0,0.0,0.0,True
50,16.0,220.0,0.0,676.0,False
51,Unfulfilled,195.0,0.0,0.0,True
52,68.0,136.0,0.0,343.0,False
53,116.0,703.0,0.0,1032.0,False
54,68.0,81.0,0.0,740.0,False
55,288.0,280.0,0.0,674.0,False
56,Unfulfilled,195.0,0.0,0.0,True
57,388.0,245.0,0.0,1423.0,False
58,768.0,784.0,0.0,1006.0,False
59,Unfulfilled,195.0,0.0,0.0,True
60,Unfulfilled,195.0,0.0,0.0,True
61,Unfulfilled,195.0,0.0,0.0,True
62,Unfulfilled,195.0,0.0,0.0,True
63,Unfulfilled,195.0,0.0,0.0,True
64,134.0,165.0,1.0,0.0,True
65,Unfulfilled,195.0,0.0,0.0,True
66,449.0,333.0,1.0,682.0,False
67,740.0,205.0,0.0,491.0,False
68,712.0,380.0,0.0,608.0,False
69,616.0,161.0,0.0,1064.0,False
70,472.0,293.0,0.0,470.0,False
71,Unfulfilled,195.0,0.0,0.0,True
72,616.0,273.0,0.0,701.0,False
73,136.0,266.0,0.0,475.0,False
74,780.0,72.0,0.0,873.0,False
75,388.0,48.0,0.0,307.0,False
76,56.0,89.0,0.0,347.0,False
77,328.0,222.0,0.0,534.0,False
78,512.0,316.0,0.0,1026.0,False
79,912.0,18.0,2.0,348.0,False
80,88.0,298.0,0.0,323.0,False
81,286.0,847.0,2.0,582.0,False
82,Unfulfilled,195.0,0.0,0.0,True
83,145.0,165.0,1.0,0.0,True
84,344.0,504.0,0.0,511.0,False
85,12.0,165.0,1.0,0.0,True
86,440.0,0.0,0.0,415.0,False
87,376.0,232.0,0.0,531.0,False
88,532.0,132.0,0.0,571.0,False
89,220.0,162.0,0.0,339.0,False
90,696.0,181.0,0.0,619.0,False
91,184.0,382.0,0.0,842.0,False
92,460.0,39.0,0.0,384.0,False
93,700.0,146.0,0.0,428.0,False
94,69.0,165.0,1.0,0.0,True
