veh,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR
31,91.8918918918919,257.96,32.245,810.0,37,34,3.0,264.96,7.792941176470587,26496.0,2.248823529411765,5.544117647058823,324.2,30,40.525,66.24,65,90-100
32,88.23529411764706,244.7905,30.5988125,657.0,34,30,4.0,265.03000000000003,8.834333333333335,26503.0,2.583,6.251333333333333,311.048,26,38.881,66.25750000000001,94,80-90
33,80.95238095238095,261.039,32.629875,1038.0,42,34,8.0,256.5,7.544117647058823,25650.0,2.074411764705882,5.469705882352941,325.164,34,40.6455,64.125,371,80-90
34,78.94736842105263,238.35399999999998,29.794249999999998,724.0,38,30,8.0,269.96,8.998666666666667,26996.0,3.003,5.995666666666668,305.844,30,38.2305,67.49,574,70-80
35,87.17948717948718,266.4465,33.3058125,557.0,39,34,5.0,267.35,7.863235294117648,26735.0,2.243529411764706,5.6197058823529416,333.284,36,41.6605,66.8375,194,80-90
36,81.08108108108108,226.64699999999996,28.330874999999995,753.0,37,30,7.0,261.86,8.728666666666667,26186.0,3.0033333333333334,5.725333333333333,292.11199999999997,26,36.513999999999996,65.465,270,80-90
37,79.48717948717949,247.09199999999998,30.886499999999998,995.0,39,31,8.0,256.72,8.281290322580647,25672.0,2.5212903225806453,5.76,311.272,35,38.909,64.18,407,70-80
38,72.97297297297297,212.567,26.570875,1191.0,37,27,10.0,259.54,9.612592592592593,25954.0,3.549259259259259,6.0633333333333335,277.452,27,34.6815,64.885,438,70-80
39,71.7948717948718,232.90799999999996,29.113499999999995,1059.0,39,28,11.0,261.92,9.354285714285714,26192.0,2.9439285714285717,6.410357142857143,298.388,27,37.2985,65.48,781,70-80
40,97.22222222222221,279.6425,34.9553125,1076.0,36,35,1.0,256.71,7.334571428571428,25671.0,1.696,5.638571428571429,343.82,37,42.9775,64.1775,148,90-100
41,80.95238095238095,283.2535,35.4066875,1053.0,42,34,8.0,261.21,7.6826470588235285,26121.0,1.6641176470588235,6.018529411764706,348.556,35,43.5695,65.3025,550,80-90
42,89.47368421052632,276.914,34.61425,696.0,38,34,4.0,259.64,7.6364705882352935,25964.0,1.8564705882352943,5.78,341.824,38,42.728,64.91,179,80-90
43,85.36585365853658,283.589,35.448625,728.0,41,35,6.0,259.02,7.400571428571428,25902.0,1.6542857142857141,5.7462857142857136,348.344,37,43.543,64.755,360,80-90
44,91.42857142857143,233.654,29.20675,1010.0,35,32,3.0,258.68,8.08375,25868.0,2.7628125,5.3209375,298.324,30,37.2905,64.67,345,90-100
45,87.87878787878788,235.976,29.497,891.0,33,29,4.0,259.68,8.95448275862069,25968.0,2.779310344827586,6.175172413793104,300.896,28,37.612,64.92,80,80-90
46,89.1891891891892,267.7425,33.4678125,778.0,37,33,4.0,261.91,7.936666666666667,26191.0,2.123030303030303,5.8136363636363635,333.22,37,41.6525,65.4775,87,80-90
47,88.57142857142857,237.986,29.74825,1174.0,35,31,4.0,256.52,8.274838709677418,25652.0,2.519032258064516,5.755806451612904,302.116,26,37.7645,64.13,122,80-90
48,88.09523809523809,287.919,35.989875,792.0,42,37,5.0,258.18,6.977837837837838,25818.0,1.607027027027027,5.37081081081081,352.464,40,44.058,64.545,365,80-90
49,86.04651162790698,278.284,34.7855,1057.0,43,37,6.0,253.68,6.856216216216216,25368.0,1.5475675675675675,5.308648648648649,341.704,32,42.713,63.42,291,80-90
50,86.11111111111111,258.90650000000005,32.363312500000006,905.0,36,31,5.0,265.35,8.55967741935484,26535.0,2.3703225806451615,6.189354838709677,325.244,33,40.6555,66.3375,200,80-90
51,81.08108108108108,225.8015,28.2251875,1164.0,37,30,7.0,257.13,8.571,25713.0,2.9853333333333336,5.5856666666666674,290.084,29,36.2605,64.2825,292,80-90
52,79.54545454545455,251.87149999999997,31.483937499999996,597.0,44,35,9.0,258.21,7.377428571428571,25821.0,2.319714285714286,5.057714285714286,316.424,34,39.553,64.5525,515,70-80
53,91.8918918918919,266.8455,33.3556875,716.0,37,34,3.0,266.89,7.849705882352941,26689.0,2.125,5.724705882352942,333.568,32,41.696,66.7225,213,90-100
54,87.17948717948718,263.93499999999995,32.99187499999999,881.0,39,34,5.0,261.38,7.687647058823529,26138.0,2.117058823529412,5.570588235294117,329.28,34,41.16,65.345,356,80-90
55,79.48717948717949,234.92949999999996,29.366187499999995,578.0,39,31,8.0,264.41,8.529354838709677,26441.0,2.856451612903226,5.672903225806452,301.032,28,37.629,66.1025,414,70-80
56,88.88888888888889,239.06599999999997,29.883249999999997,769.0,36,32,4.0,267.16,8.34875,26716.0,2.805625,5.543125,305.856,29,38.232,66.79,198,80-90
57,73.17073170731707,228.084,28.5105,754.0,41,30,11.0,260.0,8.666666666666666,26000.0,2.9143333333333334,5.7523333333333335,293.084,26,36.6355,65.0,574,70-80
58,82.85714285714286,219.94400000000002,27.493000000000002,567.0,35,29,6.0,262.8,9.062068965517241,26280.0,3.152758620689655,5.9093103448275865,285.644,22,35.7055,65.7,235,80-90
59,80.95238095238095,265.6725,33.2090625,1201.0,42,34,8.0,256.27,7.53735294117647,25627.0,1.98,5.557352941176471,329.74,35,41.2175,64.0675,349,80-90
