,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR,nV
sum,16854.855243421967,51109.27099999999,6388.658874999999,165746.0,7771.0,6526.0,1245.0,52238.26,1610.7460504178537,5223826.0,462.95219688733795,1147.7938535305157,64168.836,6361.0,8021.1045,13059.565,63743.0,80-9070-8080-9090-10090-10080-9070-8080-9080-9080-9090-10080-9090-10080-9080-9080-9070-8090-10080-9080-9080-9080-9080-9080-9090-10080-9090-10080-9080-9080-9090-10080-9080-9070-8080-9080-9070-8070-8070-8090-10080-9080-9080-9090-10080-9080-9080-9080-9080-9080-9080-9070-8090-10080-9070-8080-9070-8080-9080-9080-9080-9080-9080-9080-9080-9070-8080-9080-9080-9080-9090-10080-9080-9080-9080-9060-7080-9080-9090-10080-9070-8080-9080-9080-9070-8090-10080-9070-8070-8080-9080-9090-10080-9080-9080-9080-9080-9080-9080-9080-9080-9080-9090-10080-9070-8070-8080-9090-10080-9080-9080-9080-9080-9080-9070-8090-10070-8080-9080-9080-9070-8070-8080-9090-10080-9090-10070-8080-9080-9060-7080-9080-9090-10070-8080-9070-8080-9080-9080-9070-8080-9080-9080-9080-9080-9080-9080-9080-9080-9080-9080-9080-9070-8070-8080-9070-8080-9080-9070-8070-8090-10080-9070-8080-9090-10080-9080-9090-10090-10070-8080-9090-10080-9070-8070-8070-8070-8080-9070-8080-9080-9090-10080-9080-9080-9080-9080-9070-8080-9080-9080-9070-8090-10080-9080-9080-9070-8070-8070-8080-90,200
mean,84.27427621710987,255.54635500000018,31.943294375000022,828.73,38.855,32.63,6.225,261.19130000000007,8.053730252089274,26119.13,2.31476098443669,5.738969267652578,320.84417999999994,31.805,40.10552249999999,65.29782500000002,318.715,,200
std,5.767578838150652,16.50083669833748,2.062604587292185,246.48034384002602,3.4863661230167144,2.46647878319269,2.6323031931186254,4.494591424184378,0.668739728405533,449.45914241843786,0.4097718031951811,0.40707489971239835,16.43136201830154,4.664306354523062,2.0539202522876927,1.1236478560460945,180.38076359293925,,200
