,WAIT_TIME,nREJECTS,TRAVEL_TIME,LOST_PATIENCE,nP
sum,2536111.0,1198.0,3707303.0,3478.0,10000
mean,253.6111,0.1198,370.7303,0.3478,10000
std,191.16133898500894,0.3750493650209143,328.397995862157,0.4762959644848762,10000
