veh,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR
1,80.95238095238095,258.338,32.29225,530.0,42,34,8.0,262.28000000000003,7.714117647058824,26228.0,2.0791176470588235,5.635,323.908,26,40.4885,65.57000000000001,467,80-90
2,88.88888888888889,247.354,30.91925,561.0,36,32,4.0,266.36,8.32375,26636.0,2.335625,5.988125,313.944,20,39.243,66.59,69,80-90
3,88.88888888888889,248.262,31.03275,789.0,36,32,4.0,260.28000000000003,8.133750000000001,26028.0,2.2396875,5.8940625,313.332,23,39.1665,65.07000000000001,112,80-90
4,87.5,255.89849999999998,31.987312499999998,646.0,40,35,5.0,265.35,7.581428571428572,26535.0,2.1234285714285717,5.457999999999999,322.236,23,40.2795,66.3375,161,80-90
5,71.73913043478261,253.194,31.64925,585.0,46,33,13.0,258.36,7.829090909090909,25836.0,2.076969696969697,5.752121212121213,317.784,24,39.723,64.59,700,70-80
6,87.8048780487805,262.96250000000003,32.870312500000004,692.0,41,36,5.0,259.83,7.217499999999999,25983.0,1.9647222222222223,5.252777777777778,327.92,29,40.99,64.9575,363,80-90
7,73.33333333333333,243.0665,30.3833125,616.0,45,33,12.0,256.87,7.783939393939394,25687.0,2.1454545454545455,5.638484848484849,307.284,18,38.4105,64.2175,685,70-80
8,78.04878048780488,234.49149999999997,29.311437499999997,386.0,41,32,9.0,266.45,8.3265625,26645.0,2.5946875,5.7318750000000005,301.104,17,37.638,66.6125,414,70-80
9,82.92682926829268,252.688,31.586,416.0,41,34,7.0,260.0,7.647058823529412,26000.0,2.14,5.5070588235294125,317.688,25,39.711,65.0,207,80-90
10,91.8918918918919,243.11050000000003,30.388812500000004,405.0,37,34,3.0,266.63,7.8420588235294115,26663.0,2.382058823529412,5.46,309.76800000000003,19,38.721000000000004,66.6575,154,90-100
