,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_IDLE_TIME,P2_IDLE_TIME,P1_REVENUE,P2_REVENUE,P1_ACTUAL_INC,P2_ACTUAL_INC,P1_COST,P2_COST,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,OUT,mu,P1_INFORMED,P2_INFORMED,inc_dif,platform_id,P1_hate,P2_hate,MIN_WAGE_SUB,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
575,0.3374227062183287,0.33902426465520186,0.3158874703090778,0.3020266884558457,0.9803981133928601,0.9803564067540704,54.0,61.0,250.23827160493826,255.73989071038253,53.71857777777778,51.85416393442622,49.49316296296297,48.80557704918032,15.010787037037032,14.245819672131145,8.765217391304347,0.0,195.89565217391305,5842.008695652174,15189.391304347826,13.719478260869563,58.42008695652176,52.72962782608697,14.60502173913044,13.18240695652174,65.91203478260874,49.12844347826086,0.0,1.0,1.0,1.0,-0.023509239130434796,1.5304347826086957,0.0,0.0,11.003837391304344,0.0,0.0,6625.704347826087,131.47826086956522,0.0,173.16521739130434,0.0,1371.9478260869564,0.0,262.95652173913044,4470.060869565217,0.0,0.0,0.0,0.0,8563.686956521738
576,0.33787977006790215,0.33962815711064087,0.3161812244459235,0.30352880226030254,0.9804370091492381,0.9803961356634073,58.0,54.0,259.97959770114943,241.61728395061726,48.85958620689657,57.75342222222221,49.118696551724135,49.12605555555556,13.678879310344824,16.190046296296302,8.883928571428571,0.0,197.51785714285714,5955.848214285715,15067.580357142857,14.560892857142859,59.55848214285713,53.147685714285714,14.889620535714283,13.286921428571423,66.43460714285712,49.12224464285714,0.0,1.0,1.0,1.0,-0.023380096726190486,1.4821428571428572,0.0,0.0,10.864179464285712,0.0,0.0,6938.232142857143,133.25892857142858,0.0,175.79464285714286,0.0,1456.0892857142858,0.0,266.51785714285717,4499.758928571428,0.0,0.0,0.0,0.0,8129.348214285715
577,0.33841320742018577,0.33989737431052186,0.3141527261783288,0.30692576327692866,0.9804737537662477,0.9804336596949784,50.0,57.0,239.98033333333333,249.20116959064327,57.74880000000001,53.32957192982457,49.95365400000001,48.81263508771929,16.442450000000004,15.196140350877196,9.158878504672897,0.0,199.22429906542055,6311.411214953271,14693.542056074766,16.096728971962612,63.11411214953271,55.3946317757009,15.778528037383177,13.848657943925222,69.24328971962619,49.34582149532709,0.0,1.0,1.0,1.0,-0.028037947819314644,1.5327102803738317,0.0,0.0,9.729717757009345,0.0,0.0,6367.317757009346,137.38317757009347,0.0,181.89719626168224,0.0,1609.6728971962616,0.0,274.76635514018693,4701.738317757009,0.0,0.0,0.0,0.0,8326.224299065421
578,0.33875708003353827,0.33997362033203127,0.31629427368715907,0.3058938135239808,0.9805111164299415,0.9804730152637141,62.0,61.0,269.1733870967742,264.08743169398906,45.76108387096775,48.32760655737705,48.226798387096764,48.2861344262295,12.380362903225807,13.062745901639348,7.926829268292683,0.0,192.869918699187,5087.512195121952,15999.065040650406,11.129430894308946,50.87512195121954,47.03391219512199,12.718780487804885,11.758478048780493,58.79239024390246,48.25622520325203,0.0,1.0,1.0,1.0,-0.005338025067750679,1.4959349593495934,0.0,0.0,13.94109349593495,0.0,0.0,7726.170731707317,118.90243902439025,0.0,155.71544715447155,0.0,1112.9430894308944,0.0,237.8048780487805,3974.569105691057,0.0,0.0,0.0,0.0,8272.894308943089
579,0.33991069636841564,0.34030798440060883,0.3170194527117842,0.30699895306336666,0.9805507073742895,0.9805064872664044,47.0,53.0,231.15851063829786,243.81666666666666,61.29150638297873,57.61599999999999,51.08026595744681,49.551813207547156,17.677765957446812,15.882877358490571,9.83,0.0,199.19,6690.59,14272.04,16.558100000000007,66.90589999999999,59.343488000000015,16.726474999999997,14.835872,74.17935999999997,50.27018600000001,0.0,1.0,1.0,1.0,-0.04729554166666666,1.53,0.0,0.0,7.653173000000002,0.0,0.0,6057.37,147.45,0.0,194.02,0.0,1655.81,0.0,294.9,5034.78,0.0,0.0,0.0,0.0,8214.67
580,0.34107371430649425,0.3411055133040853,0.31701471841207784,0.30792301039123854,0.9805921813577018,0.9805463471885477,55.0,49.0,248.1439393939394,233.39727891156463,53.345279999999995,60.57750204081633,49.17548363636363,50.67796734693877,15.323818181818181,17.369693877551025,9.442307692307692,0.0,201.54807692307693,6515.096153846154,14471.759615384615,17.04951923076923,65.15096153846154,56.752769230769225,16.287740384615386,14.188192307692304,70.94096153846155,49.88338461538462,0.0,1.0,1.0,1.0,-0.039237179487179495,1.4711538461538463,0.0,0.0,9.418355769230766,0.0,0.0,6674.528846153846,141.6346153846154,0.0,187.2403846153846,0.0,1704.951923076923,0.0,283.2692307692308,4810.1442307692305,0.0,0.0,0.0,0.0,7797.2307692307695
581,0.34157221027146734,0.34144421692571064,0.31700426079764626,0.3099798440174716,0.9806238315302866,0.9805792395069234,62.0,57.0,261.8833333333333,255.63216374269004,48.608722580645185,51.965305263157894,48.7095370967742,49.40239122807018,13.433870967741932,14.258771929824565,8.260504201680673,0.0,196.92436974789916,5531.596638655462,15533.344537815126,12.644369747899159,55.315966386554635,50.2164974789916,13.828991596638659,12.554124369747898,62.7706218487395,49.041408403361345,0.0,1.0,1.0,1.0,-0.021696008403361357,1.4789915966386555,0.0,0.0,12.6539025210084,0.0,0.0,7171.436974789916,123.90756302521008,0.0,162.3361344537815,0.0,1264.436974789916,0.0,247.81512605042016,4267.1596638655465,0.0,0.0,0.0,0.0,8361.90756302521
582,0.34173313615517487,0.34170648692274463,0.31700084174495596,0.3119710405271454,0.9806605454708246,0.9806166296885606,57.0,54.0,256.60087719298247,244.41049382716048,50.87938245614036,56.86044444444446,48.770764912280704,49.22406481481481,14.128421052631584,15.817824074074073,8.936936936936936,0.0,204.74774774774775,5980.117117117117,15040.225225225226,14.197297297297293,59.80117117117116,53.78908828828826,14.95029279279279,13.447272072072066,67.23636036036038,48.991289189189196,0.0,1.0,1.0,1.0,-0.02065185810810812,1.4864864864864864,0.0,0.0,10.152493693693692,0.0,0.0,6813.504504504504,134.05405405405406,0.0,176.4954954954955,0.0,1419.7297297297298,0.0,268.1081081081081,4560.387387387387,0.0,0.0,0.0,0.0,8226.720720720721
583,0.34223233693308985,0.34192054226325935,0.3144949671557269,0.3146117261348262,0.9806982553497495,0.9806540014445843,58.0,55.0,257.97959770114943,243.01363636363638,50.18554482758623,56.706443636363666,49.39228448275861,49.43011090909091,13.955689655172414,16.026000000000003,8.84070796460177,0.0,201.75221238938053,5985.345132743363,15041.716814159292,14.584867256637173,59.85345132743363,53.359433628318584,14.963362831858408,13.339858407079644,66.69929203539822,49.410695575221254,0.0,1.0,1.0,1.0,-0.02938949115044248,1.4867256637168142,0.0,0.0,11.01462477876106,0.0,0.0,6457.796460176991,132.61061946902655,0.0,174.10619469026548,0.0,1458.486725663717,0.0,265.2212389380531,4526.858407079646,0.0,0.0,0.0,0.0,8583.920353982301
584,0.34282808982545865,0.3421683796270112,0.3164550297090724,0.3144547145871585,0.980735284250374,0.9806931620959771,55.0,59.0,253.77,254.18418079096045,51.1010909090909,52.13537627118644,49.38844727272728,48.90091186440679,14.550136363636362,14.490381355932206,8.526315789473685,0.0,209.55263157894737,5807.684210526316,15239.061403508771,14.236315789473682,58.07684210526317,51.636378947368414,14.519210526315792,12.9090947368421,64.54547368421053,49.13612631578947,0.0,1.0,1.0,1.0,-0.02366929824561403,1.5175438596491229,0.0,0.0,12.018957894736841,0.0,0.0,6758.1140350877195,127.89473684210526,0.0,168.5701754385965,0.0,1423.6315789473683,0.0,255.78947368421052,4384.0526315789475,0.0,0.0,0.0,0.0,8480.947368421053
