,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P1_fare,P2_fare,P1_revenue,P2_revenue,P1_profit,P2_profit,P1_min_wage_sub,P2_min_wage_sub,P1_remaining_capital,P2_remaining_capital,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,P1_hate,P2_hate,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
568,0.1720606157254402,0.19124340379132818,0.15219152710580025,0.1676791232655187,0.98017349030316,0.980178589598177,326.0,338.0,3.3895194274028646,4.503451676528597,0.0,0.0,3.393149284253578,4.50414201183432,3.9586847389558235,1.4,1.4,544.03944,568.53944,44.03944000000001,68.53944000000001,0.0,0.0,-56123.98512000001,-53870.698559999975,-11.620342971887549,-12.788297245756151,3.9565512048192764,-0.07650334657907881,0.0,1.0,1.0,223.77710843373495,236.0015060240964,1.0,1.0,1.5090361445783131,1.6755706024096382,0.0,0.9442771084337349,0.7424698795180723,0.0,6947.112951807229,0.0,0.0,15.0,0.0,20.0,237.39307228915663,30.0,497.96084337349396,10.0,0.0,0.0,0.0
569,0.17220199815393683,0.1914657999202099,0.1529830242732781,0.16860076246685046,0.9802124655741471,0.9802175643279392,315.0,345.0,5.046190476190476,4.928115942028982,0.01708994708994709,0.0,5.029259259259259,4.929565217391304,4.977146464646465,1.4,1.4,530.43004,574.1246,30.430039999999963,74.12459999999999,0.0,0.0,-56093.55508000001,-53796.57395999997,-12.019115959595966,-12.82017708033461,4.9844696969697,-0.04918143899926573,0.0,1.0,1.0,227.08030303030304,240.03787878787878,1.0,1.0,1.5227272727272727,1.6735676363636354,0.008156565656565655,0.8212121212121212,0.8106060606060606,0.0,6867.824242424243,0.4893939393939394,0.0,14.88030303030303,0.0,20.0,298.57878787878786,30.0,497.2469696969697,10.0,0.0,0.0,0.0
570,0.1724431368779836,0.19173428770216358,0.15269626986922444,0.1683253145427071,0.9802510728688513,0.9802556534866503,297.0,333.0,3.334231200897868,3.647147147147146,0.0,0.0,3.337991021324355,3.6472472472472472,3.5014550264550266,1.4,1.4,489.98432,560.83384,-10.015679999999975,60.83384000000001,0.0,0.0,-56103.57076000001,-53735.74011999997,-11.390488042328052,-12.723675138451302,3.4996296296296294,-0.08107510379516479,0.0,1.0,1.0,229.1936507936508,242.05873015873016,1.0,1.0,1.5285714285714285,1.6679653333333326,0.0,0.7158730158730159,0.7968253968253968,0.0,6620.2444444444445,0.0,0.0,15.0,0.0,20.0,209.9777777777778,30.0,495.24285714285713,10.0,0.0,0.0,0.0
571,0.17262260454322845,0.1915850452567524,0.15299097054975383,0.16968705220062705,0.9802887718657906,0.980295517860319,290.0,341.0,3.161494252873566,5.1840175953079175,0.0,0.06735092864125122,3.1619540229885055,5.117595307917889,4.218806127839408,1.4,1.4,477.46776,569.59952,-22.53224,69.59951999999998,0.0,0.0,-56126.10300000001,-53666.14059999997,-11.639307554146866,-12.814363871587314,4.2544902271526635,-0.06844361606763734,0.0,1.0,1.0,228.9080824088748,242.17749603803486,1.0,1.0,1.5404120443740095,1.6593776228209192,0.0363972530375066,0.7242472266244057,0.7004754358161648,0.0,6998.031695721078,2.1838351822503963,0.0,14.671949286846276,0.0,20.0,253.08557844690966,30.0,492.18700475435816,10.0,0.0,0.0,0.0
572,0.17300689461823265,0.19179452855535875,0.15261521113845813,0.16971578575274426,0.9803278872123126,0.9803345117049466,289.0,348.0,3.1667243367935427,4.090804597701149,0.0,0.0,3.1700115340253747,4.090804597701149,3.6730507587650445,1.4,1.4,487.35708,597.45252,-12.642920000000004,97.45252000000005,0.0,0.0,-56138.74592000001,-53568.68807999997,-11.676161172161189,-12.941241283031225,3.671559392987964,-0.06058730797322729,0.0,1.0,1.0,226.0894819466248,238.8006279434851,1.0,1.0,1.5463108320251178,1.7029978021978018,0.0,0.6797488226059655,0.9638932496075353,0.0,6894.014128728414,0.0,0.0,15.0,0.0,20.0,220.29356357927787,30.0,507.7645211930926,10.0,0.0,0.0,0.0
573,0.17315965267679748,0.19215868336697411,0.15261995975621814,0.16892950013825947,0.9803668493254393,0.980373524783744,308.0,322.0,4.164556277056279,3.1166149068322992,0.0,0.0,4.167316017316017,3.1210662525879918,3.6325661375661373,1.4,1.4,531.0849600000001,542.39696,31.084960000000137,42.396960000000036,0.0,0.0,-56107.66096000001,-53526.29111999997,-11.664946455026474,-12.812735364678547,3.6289417989418,-0.058482527143397696,0.0,1.0,1.0,228.11111111111111,240.44920634920635,1.0,1.0,1.511111111111111,1.7039395555555552,0.0,1.0904761904761904,0.6968253968253968,0.0,6825.9047619047615,0.0,0.0,15.0,0.0,20.0,217.73650793650793,30.0,508.1015873015873,10.0,0.0,0.0,0.0
574,0.1731997782704438,0.19231426437369747,0.15260539414747246,0.16893353934317687,0.9804059980794374,0.9804118108964848,318.0,351.0,4.60110062893082,4.075925925925928,0.008962264150943396,0.0,4.593291404612159,4.07659069325736,4.3221973094170405,1.4,1.4,535.42412,584.1631600000001,35.424120000000016,84.16316000000006,0.0,0.0,-56072.236840000005,-53442.12795999997,-11.755315994020929,-12.76670408876607,4.325560538116586,-0.058907292987942554,0.0,1.0,1.0,226.73094170403587,239.17937219730942,1.0,1.0,1.5246636771300448,1.6735235874439476,0.004260089686098655,0.8923766816143498,0.8116591928251121,0.0,6793.056801195815,0.2556053811659193,0.0,14.880418535127056,0.0,20.0,259.2780269058296,30.0,497.2421524663677,10.0,0.0,0.0,0.0
575,0.17330219320554704,0.19233504278862842,0.1523587220745801,0.16876573356642932,0.9804436147329395,0.9804486263977028,318.0,328.0,4.053039832285115,4.812296747967477,0.0,0.0,4.055607966457023,4.813770325203252,4.440557275541795,1.4,1.4,539.2242800000001,548.8602,39.224280000000135,48.86019999999996,0.0,0.0,-56033.01256,-53393.267759999966,-11.867418575851378,-12.734328227699619,4.438544891640861,-0.05748090484364674,0.0,1.0,1.0,226.11455108359132,237.9860681114551,1.0,1.0,1.5077399380804954,1.6843413003095988,0.0,1.0123839009287925,0.7337461300309598,0.0,6842.589783281734,0.0,0.0,15.0,0.0,20.0,266.312693498452,30.0,501.0882352941176,10.0,0.0,0.0,0.0
576,0.17321414216747574,0.19255993256406137,0.15267721822484365,0.16899410426213216,0.9804812904278473,0.9804850867998726,327.0,345.0,5.778950050968397,3.8172946859903387,0.31926605504587147,0.0,5.463251783893985,3.8187922705314006,4.618998015873016,1.4,1.4,564.6667600000001,578.71212,64.66676000000007,78.71212000000003,0.0,0.0,-55968.3458,-53314.55563999997,-12.10669305555556,-12.700206430020561,4.771850198412694,0.019126595079650015,0.0,1.0,1.0,223.84970238095238,236.26785714285714,1.0,1.0,1.5133928571428572,1.7014566666666666,0.15535714285714283,1.0238095238095237,0.8690476190476191,0.0,6891.075892857143,9.321428571428571,0.0,13.772321428571429,0.0,20.0,276.9895833333333,30.0,507.20089285714283,10.0,0.0,0.0,0.0
577,0.17333263062315718,0.19276330626940696,0.1524748268183035,0.1697484078888863,0.980518412096037,0.980523197083664,295.0,347.0,4.735141242937854,4.034101825168107,0.00977401129943503,0.0,4.725762711864407,4.03554274735831,4.35269989615784,1.4,1.4,493.16764,588.11704,-6.832359999999994,88.11703999999997,0.0,0.0,-55975.17816,-53226.43859999997,-11.833883800623072,-12.811068105501485,4.356230529595015,-0.06131439572320951,0.0,1.0,1.0,233.46728971962617,246.3348909657321,1.0,1.0,1.5404984423676011,1.684244049844237,0.004491173416407062,0.8068535825545171,0.8317757009345794,0.0,6857.778816199377,0.26947040498442365,0.0,14.929906542056075,0.0,20.0,261.1043613707165,30.0,501.0514018691589,10.0,0.0,0.0,0.0
