,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P1_fare,P2_fare,P1_revenue,P2_revenue,P1_remaining_capital,P2_remaining_capital,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,P1_hate,P2_hate,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.0100173419723335,0.010065246475224528,0.009981380391246122,0.009981380391246122,0.010000000000000163,0.010000000000000163,98.0,127.0,10.602551020408162,10.176509186351701,5.009863945578229,3.7660104986876637,7.829761904761905,7.608722741433022,7.696139359698681,1.2,1.0,109.88032000000001,144.8036,49609.88032,49644.8036,-21.596280962962965,-10.75381554187133,10.362074074074078,0.1717840768430204,0.0,0.7866666666666666,1.0,0.7866666666666666,1.0,0.0,0.0,1.5644444444444445,1.1319285333333338,4.307777777777778,0.0,0.0,0.0,7101.404444444444,127.26666666666667,0.0,3.062222222222222,0.0,15.733333333333333,363.2577777777778,23.6,422.03555555555556,7.866666666666666,0.0,0.0,131.2
1,0.01007374660875281,0.010137061414674428,0.009981443278070837,0.009981517942151711,0.010000000000000163,0.010000000000000163,106.0,111.0,8.43066037735849,10.733033033033035,0.4949685534591195,3.1477477477477485,7.935691823899371,8.25718954248366,8.09334935897436,1.2,1.0,176.02599999999998,146.0506,49285.906319999995,49290.8542,-14.396410215053757,-11.13610810551821,9.60837173579109,0.18176081697782795,0.0,0.9585253456221198,1.0,1.055299539170507,1.1290322580645162,0.0,0.0,1.5115207373271888,1.4842239631336407,1.8519201228878654,0.0,0.0,0.0,7506.907834101383,85.60829493087557,0.0,9.059907834101383,0.0,19.170506912442395,465.38709677419354,28.755760368663594,551.2903225806451,9.585253456221198,0.0,0.0,25.506912442396313
2,0.010175720691922338,0.010263650865806951,0.009981578341542535,0.009981772847434801,0.010000000000000163,0.010000000000000163,121.0,107.0,4.699311294765838,5.309968847352025,0.0,0.0,4.700826446280991,5.3099688473520255,4.9866959064327485,1.2,1.0,204.09351999999998,156.26440000000002,48989.99984,48947.1186,-11.40424368908381,-10.97715374234029,4.985891812865498,0.09056391419643646,0.0,1.0,1.0,1.1929824561403508,1.2280701754385965,0.0,0.0,1.469298245614035,1.5805171929824566,0.0,0.0,0.0,0.0,6976.543859649123,0.0,0.0,15.0,0.0,20.0,299.1535087719298,30.0,587.578947368421,10.0,0.0,0.0,0.0
3,0.010194830069353776,0.010383523784187026,0.00998187893578099,0.009982095833587374,0.010000000000000163,0.010000000000000163,128.0,104.0,10.830078124999998,6.3626602564102575,5.146744791666668,0.06842948717948717,7.657543859649124,6.2942307692307695,6.945058626465662,1.2,1.0,154.0628,146.3688,48644.06264,48593.4874,-18.381177059386975,-10.779693137960532,8.827442528735634,0.15712599341397365,0.0,0.8577586206896551,1.0,1.1293103448275863,1.2974137931034482,0.0,0.0,1.4482758620689655,1.2949637931034481,2.870258620689656,0.0,0.0,0.0,7268.1551724137935,84.73706896551724,0.0,7.262931034482759,0.0,17.155172413793103,357.4310344827586,25.732758620689655,481.25,8.577586206896552,0.0,0.0,87.47844827586206
4,0.010234221048098447,0.010424155370362733,0.009982214027545799,0.009982674399563081,0.010000000000000163,0.010000000000000163,106.0,120.0,8.361006289308177,10.674722222222224,0.3963836477987421,5.323333333333335,7.964622641509434,7.736947791164659,7.864638447971782,1.2,1.0,168.92248,108.4512,48312.98512,48201.9386,-18.585126216814164,-10.5734844110818,9.589528023598824,0.18903785244911897,0.0,0.8362831858407079,1.0,1.3008849557522124,1.5044247787610618,0.0,0.0,1.5309734513274336,1.227317168141593,3.012463126843658,0.0,0.0,0.0,7149.221238938053,80.06194690265487,0.0,7.048672566371682,0.0,16.72566371681416,394.62389380530976,25.088495575221238,444.853982300885,8.36283185840708,0.0,0.0,100.6858407079646
5,0.010298510080957621,0.01059171490938115,0.00998254134655579,0.009983317845379829,0.010000000000000163,0.010000000000000163,143.0,109.0,8.888111888111881,5.945412844036695,1.6235431235431237,0.007951070336391438,7.582725060827252,5.9374617737003055,6.853726287262872,1.2,1.0,219.85088000000002,164.9786,48032.835999999996,47866.9172,-13.296215950176377,-10.997900161630271,7.615277777777781,0.14689131254835022,0.0,0.9761904761904762,1.0,1.4801587301587302,1.5634920634920635,0.0,0.0,1.4325396825396826,1.52710111111111,0.9247354497354499,0.0,0.0,0.0,7342.773809523809,40.84126984126984,0.0,11.321428571428571,0.0,19.523809523809526,401.4325396825397,29.285714285714285,566.4404761904761,9.761904761904763,0.0,0.0,14.642857142857142
6,0.010390757390760282,0.010662561046903265,0.009982997286551875,0.009984453925221987,0.010000000000000163,0.010000000000000163,132.0,103.0,5.584343434343435,9.26229773462783,0.0,2.063430420711974,5.586742424242424,7.725694444444445,6.487353801169592,1.2,1.0,221.94168000000002,139.75500000000002,47754.77768,47506.6722,-13.464741725768333,-10.882384887430485,7.196382978723406,0.23756755311613706,0.0,0.9702127659574468,1.0,1.6553191489361703,1.7617021276595746,0.0,0.0,1.4382978723404256,1.5391348085106387,0.9043971631205674,0.0,0.0,0.0,7090.497872340426,35.94468085106383,0.0,12.127659574468085,0.0,19.404255319148938,377.5191489361702,29.106382978723403,567.6851063829787,9.702127659574469,0.0,0.0,18.319148936170212
7,0.010451807856246994,0.010792603877694117,0.009983504002477366,0.009985455794762876,0.010000000000000163,0.010000000000000163,108.0,119.0,5.8966049382716035,8.152380952380952,0.0,0.5049019607843136,5.897222222222222,7.647478991596639,6.814757709251102,1.2,1.0,179.17152,173.47760000000002,47433.9492,47180.1498,-11.993403989231526,-11.009103345179247,7.079148311306902,0.14572142530980983,0.0,1.0,1.0,1.6651982378854626,1.722466960352423,0.0,0.0,1.524229074889868,1.5535203524229082,0.26468428781204106,0.0,0.0,0.0,7233.281938325991,15.881057268722467,0.0,13.361233480176212,0.0,20.0,408.8678414096916,30.0,581.6299559471365,10.0,0.0,0.0,0.0
8,0.010503908462609408,0.01090871721605493,0.009984143614342031,0.009986729394027142,0.010000000000000163,0.010000000000000163,128.0,84.0,9.397656250000002,6.875396825396827,2.2729166666666663,0.0035714285714285713,7.930144927536232,6.871825396825397,7.483417085427137,1.2,1.0,182.44024000000002,119.45919999999998,47116.389440000006,46799.609,-15.40121379716982,-10.813026606975953,8.398270440251572,0.1568986381315983,0.0,0.9386792452830188,1.0,1.820754716981132,1.9481132075471699,0.0,0.0,1.3962264150943395,1.424053962264151,1.3737421383647797,0.0,0.0,0.0,7373.028301886792,44.7122641509434,0.0,10.471698113207546,0.0,18.77358490566038,421.47169811320754,28.160377358490567,521.1367924528302,9.38679245283019,0.0,0.0,37.7122641509434
9,0.010524712973825377,0.011059500977301339,0.009984787226767084,0.009987745206006739,0.010000000000000163,0.010000000000000163,106.0,121.0,10.607861635220127,7.228374655647383,3.838993710691823,0.06005509641873279,8.061797752808989,7.169834710743801,7.547857142857142,1.2,1.0,141.31016000000002,179.6132,46757.69960000001,46479.2222,-15.607310792951543,-10.659189595365437,8.806461086637297,0.2473525875979824,0.0,0.9251101321585903,1.0,1.9427312775330396,2.0748898678414096,0.0,0.0,1.5330396475770924,1.4137592951541855,1.8246696035242287,0.0,0.0,0.0,7040.074889867841,63.42290748898679,0.0,8.964757709251101,0.0,18.502202643171806,418.90748898678413,27.75330396475771,534.2026431718061,9.251101321585903,0.0,0.0,46.05726872246696
