,P_WOM_U,P_MARKETING_U,P_EXPERIENCE_U,P_SHARE,V_WOM_U,V_MARKETING_U,V_EXPERIENCE_U,V_SHARE
0,0.010000000000000163,0.011646476351982274,0.010000000000000163,0.0,0.010000000000000007,0.01164647635198195,0.010000000000000007,0.0
1,0.010000350735376437,0.013547090682313443,0.010030122489127867,0.014,0.010000407831832868,0.013656006958748365,0.010023041246028175,0.01
2,0.010001141167686321,0.015663961614521084,0.010110405965719077,0.016,0.010001060362765445,0.016020712065328534,0.010023041246028175,0.035
3,0.010002145256830304,0.01828674457693547,0.010180518556930016,0.0265,0.010001629385683606,0.017909224587166803,0.010056675021896545,0.02
4,0.010004013563447298,0.021167099595724045,0.010421188741137158,0.0415,0.010003723471910364,0.020039773278861396,0.010199529801784308,0.045
5,0.010006793308404286,0.024259984518705785,0.010647673864800694,0.0465,0.010006107033230429,0.02312270714003978,0.010442056350086312,0.04
6,0.01001014806877837,0.02794614023387224,0.010914208080155132,0.045,0.010009245603232665,0.026213520756188897,0.010558111618935264,0.06
7,0.010014377143381109,0.032060956929773,0.011106844484158407,0.0515,0.010012894215296424,0.029780526957079924,0.010997983424876226,0.04
8,0.01002004430045765,0.036564668554844804,0.011556363613429575,0.061,0.01001937187531768,0.033694827902813966,0.011131547967856713,0.07
9,0.010028476082575581,0.040699105124542806,0.011856264968124822,0.0775,0.010028300746937523,0.03844049593310364,0.011999856752631832,0.045
10,0.01003644361875427,0.04589900084852641,0.012299724293300014,0.068,0.01003860481358372,0.04306514587846518,0.012590359875771123,0.065
11,0.010047317937145679,0.051158036974602486,0.012917918680335394,0.0765,0.01004968839093185,0.04973503061943362,0.012811840557366526,0.09
12,0.010059112244220679,0.05709462159509004,0.01356354454109192,0.0695,0.01006146413872046,0.05433632966701712,0.01282609929377932,0.085
13,0.010073371128465953,0.0627763536030609,0.014489531264705341,0.0755,0.010071341298298737,0.060503283874093795,0.012659497319905486,0.115
14,0.010089281305547535,0.06932061890629691,0.01475892590407639,0.0775,0.010087333218032396,0.06754255900433048,0.01351940080798455,0.04
15,0.010106898595469106,0.07612673519641984,0.015243177928854074,0.0835,0.010105094199878473,0.07491211411611594,0.01430453177824107,0.07
16,0.010127426904504017,0.08272085699796411,0.01575303480020904,0.0755,0.010127869390257926,0.08223437925481321,0.015048090932730396,0.055
17,0.010147965227418149,0.09017246335430816,0.01638704741810342,0.0835,0.010146608917770836,0.08932882411310869,0.016666323838401872,0.055
18,0.010172117290932496,0.09778891482026235,0.017186546168813086,0.083,0.01017610460373137,0.09625158587306118,0.01725623549967015,0.08
19,0.01019863657194137,0.10529074198970127,0.017644245002351188,0.083,0.010199562785839077,0.10408397060053616,0.017967216531555683,0.065
20,0.0102268233891624,0.11338641347985255,0.01882818855912168,0.0865,0.01023080858201359,0.11050997574076335,0.01882897763849253,0.095
21,0.010258487473167913,0.12223517179191522,0.01975103155545944,0.0855,0.010269956638273346,0.11830055370923176,0.019566793220125025,0.08
22,0.010292526808601292,0.13164464901048337,0.020936973864340434,0.0845,0.010309398340280678,0.12757672259086958,0.020543805613368788,0.085
23,0.010333452406618359,0.14125956395518308,0.021901240326827453,0.0875,0.010346268468031675,0.1355292724828705,0.021852774252346493,0.075
24,0.010373207301852408,0.15051957937208518,0.02362545514254083,0.0865,0.010383634090645365,0.14442632778938452,0.022313206645632105,0.105
25,0.010424263348885859,0.1607425009510262,0.025417803256394148,0.0935,0.010421104552525661,0.15628349597152136,0.022590166569432107,0.1
26,0.010473466237390344,0.17087979047491283,0.027250716050047193,0.0895,0.010461050172989093,0.16449594971707499,0.022644671322977535,0.11
27,0.010530536048203903,0.1811247745888242,0.028868462375076853,0.095,0.010508382425248692,0.17533594233836627,0.02322691217099825,0.1
28,0.010608631057468346,0.19188651853421182,0.029890502650033637,0.0875,0.01057516538528036,0.18508377013164584,0.026776004916378014,0.055
29,0.01066916423298447,0.20260293183459024,0.032587348390459125,0.105,0.010641076321443186,0.19691949239994094,0.029933881522826312,0.1
30,0.010740512792682528,0.21347045649454288,0.03433972717466428,0.0885,0.010701808569822408,0.21025782034469984,0.03079367357384845,0.085
31,0.010818742318606868,0.22465862918204377,0.03747227880609903,0.1115,0.010748233373862057,0.22129801341838495,0.033522748417055374,0.115
32,0.010903023018185163,0.23595788622796995,0.03970161345839319,0.0995,0.010845796534931007,0.23125700809222166,0.03530609150159659,0.085
33,0.010993885466123466,0.2473405951881484,0.041089779923484185,0.1045,0.010915715041063178,0.24398051378010902,0.03810082380270123,0.06
34,0.011097825624137901,0.2584377020671302,0.04431468504817459,0.1075,0.011012398437291212,0.25631873067642147,0.04023878901952145,0.105
35,0.011210426332265664,0.26972854515149486,0.04709883688544421,0.106,0.011180333789711266,0.2672687814527134,0.044100559978145944,0.09
36,0.011337144424893635,0.2814220261076281,0.05016252308194226,0.108,0.011352344292482452,0.28000824984036066,0.048257747201989484,0.09
37,0.011444437885975297,0.29302785674984944,0.05534583880188577,0.1105,0.011534482269403306,0.28997247644259067,0.04886443421638134,0.135
38,0.011580170614686336,0.3046509682905013,0.05993091971857118,0.11,0.011646448631549358,0.3011916951854289,0.05164330621357653,0.105
39,0.011718862453654465,0.3167513501146652,0.06437812597860855,0.1145,0.01176697917852123,0.3133713267657215,0.05327364639713844,0.115
40,0.01188758768627758,0.3283448861099611,0.06802823444739986,0.111,0.011883356056961381,0.3255557729182356,0.05518331187986644,0.105
41,0.012072922965294958,0.3402469628031628,0.07095900141631861,0.127,0.012008873318127467,0.3366183883600072,0.06142523430912633,0.08
