,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
1,1,46427503,46560239,2020-10-27 17:26:00,1900-01-01 18:01:00,0 days 00:35:00,4.8348186,52.3801535,4.9131617,52.4181852,True,3.0,2971.0,2302.549714268427,0.0,1109.0,2.0,"[['WALK', 992, 1199], ['BUS', 1109, 6503], ['WALK', 868, 1102]]",9220
6,6,46435042,46324210,2020-10-27 17:46:00,1900-01-01 18:02:00,0 days 00:16:00,4.8251815,52.3817624,4.9102859,52.3575679,True,3.0,2662.0,959.4532932260712,0.0,1884.0,2.0,"[['WALK', 289, 348], ['TRAM', 1884, 7496], ['WALK', 487, 610]]",7830
7,7,7025532003,46481439,2020-10-27 17:36:00,1900-01-01 18:25:00,0 days 00:49:00,4.8375132,52.3822265,4.92976,52.39249,True,3.0,2732.0,2393.2312631270715,1.0,466.0,272.0,"[['WALK', 976, 1146], ['RAIL', 360, 4345], ['WALK', 124, 162], ['SUBWAY', 106, 1845], ['WALK', 894, 1083]]",10288
8,8,46559535,4450642114,2020-10-27 17:17:00,1900-01-01 17:28:00,0 days 00:11:00,4.9017235,52.4181676,4.8348417,52.3827976,True,3.0,2215.0,1440.56784960664,0.0,1020.0,2.0,"[['WALK', 488, 592], ['BUS', 1020, 6012], ['WALK', 705, 847]]",9590
32,32,46393080,46431836,2020-10-27 17:42:00,1900-01-01 18:01:00,0 days 00:19:00,4.868674,52.3729951,4.8367607,52.3810887,True,3.0,1128.0,794.2772405951716,0.0,480.0,2.0,"[['WALK', 332, 400], ['BUS', 480, 3076], ['WALK', 314, 394]]",3441
41,42,46428319,46472901,2020-10-27 17:12:00,1900-01-01 17:27:00,0 days 00:15:00,4.8254265,52.3803344,4.91275,52.39042,True,3.0,3295.0,1248.9753533708306,1.0,1929.0,356.0,"[['WALK', 344, 418], ['TRAM', 1584, 6201], ['WALK', 179, 234], ['SUBWAY', 345, 4019], ['WALK', 487, 594]]",11013
62,63,5832473463,46433214,2020-10-27 17:53:00,1900-01-01 18:01:00,0 days 00:08:00,4.8842211,52.3858918,4.8125856,52.3813971,True,3.0,1669.0,540.1889172846205,0.0,1215.0,2.0,"[['WALK', 127, 143], ['BUS', 1215, 6346], ['WALK', 325, 396]]",5317
65,66,46434295,46299720,2020-10-27 17:24:00,1900-01-01 17:40:00,0 days 00:16:00,4.8272361,52.3815508,4.9111697,52.3519667,True,3.0,2634.0,1305.8791127724328,0.0,1344.0,242.0,"[['WALK', 762, 945], ['SUBWAY', 1344, 13614], ['WALK', 286, 359]]",8440
68,69,46440549,46347931,2020-10-27 17:21:00,1900-01-01 18:00:00,0 days 00:39:00,4.8324922,52.3830037,4.9139489,52.362854,True,3.0,2632.0,932.8997593919214,0.0,1884.0,2.0,"[['WALK', 502, 638], ['TRAM', 1884, 7496], ['WALK', 244, 294]]",7752
69,70,46435545,46208355,2020-10-27 17:37:00,1900-01-01 17:48:00,0 days 00:11:00,4.8302301,52.3818815,4.88803,52.3321036,True,3.0,2414.0,1616.191345847291,0.0,849.0,242.0,"[['WALK', 679, 837], ['SUBWAY', 849, 8241], ['WALK', 644, 778]]",8506
76,77,46439188,2021881823,2020-10-27 17:59:00,1900-01-01 18:29:00,0 days 00:30:00,4.8202984,52.3827158,4.9019193,52.3599259,True,3.0,2153.0,440.5908195447478,0.0,1789.0,2.0,"[['WALK', 268, 323], ['TRAM', 1789, 7122], ['WALK', 94, 116]]",7514
77,78,46430670,46338775,2020-10-27 17:11:00,1900-01-01 17:41:00,0 days 00:30:00,4.8194259,52.3808621,4.8979534,52.3607142,True,3.0,2269.0,559.5058721708073,0.0,1789.0,2.0,"[['WALK', 249, 288], ['TRAM', 1789, 7122], ['WALK', 229, 270]]",7352
79,80,4711946262,1410596244,2020-10-27 17:18:00,1900-01-01 18:01:00,0 days 00:43:00,4.9070173,52.3408676,4.8207096,52.3794554,True,3.0,2457.0,1017.9446691659087,2.0,1272.0,374.0,"[['WALK', 312, 393], ['BUS', 223, 1127], ['WALK', 121, 157], ['SUBWAY', 813, 8227], ['WALK', 138, 180], ['BUS', 236, 1229], ['WALK', 240, 287]]",9161
80,81,46439914,46176385,2020-10-27 17:39:00,1900-01-01 17:50:00,0 days 00:11:00,4.8152835,52.3828497,4.8871582,52.3242797,True,3.0,3122.0,817.1453984910971,2.0,1591.0,881.0,"[['WALK', 144, 178], ['BUS', 360, 2817], ['WALK', 111, 143], ['SUBWAY', 949, 9292], ['WALK', 101, 130], ['BUS', 282, 1252], ['WALK', 294, 363]]",10404
84,85,46489930,46441283,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.9478853,52.3951235,4.8337086,52.3831674,True,3.0,3204.0,1213.1179022423798,1.0,2154.0,52.0,"[['WALK', 229, 277], ['BUS', 1494, 9339], ['WALK', 148, 193], ['BUS', 660, 4729], ['WALK', 621, 742]]",11692
91,92,46443194,46222600,2020-10-27 17:37:00,1900-01-01 17:48:00,0 days 00:11:00,4.8318061,52.3835906,4.8845094,52.3349534,True,3.0,2499.0,1698.7129849383998,0.0,849.0,242.0,"[['WALK', 816, 991], ['SUBWAY', 849, 8241], ['WALK', 592, 706]]",8176
98,99,1015851389,46426633,2020-10-27 17:46:00,1900-01-01 18:01:00,0 days 00:15:00,4.9108843,52.3892908,4.8331163,52.3800062,True,3.0,2651.0,911.4202481074184,1.0,1823.0,70.0,"[['WALK', 421, 508], ['BUS', 600, 4610], ['WALK', 112, 145], ['BUS', 1223, 6619], ['WALK', 225, 256]]",10280
112,113,46422602,46413931,2020-10-27 17:06:00,1900-01-01 17:34:00,0 days 00:28:00,4.8331655,52.3792016,4.8928348,52.3774051,True,3.0,2204.0,642.6442330732447,1.0,1524.0,137.0,"[['WALK', 336, 411], ['TRAM', 908, 3480], ['TRAM', 616, 2328], ['WALK', 207, 230]]",5062
117,118,46445176,46324098,2020-10-27 17:48:00,1900-01-01 18:21:00,0 days 00:33:00,4.8308259,52.38405,4.8888782,52.3574649,True,3.0,2467.0,1049.7321503594787,0.0,1584.0,2.0,"[['WALK', 507, 628], ['TRAM', 1584, 6201], ['WALK', 374, 420]]",6115
124,125,46440972,1525017081,2020-10-27 17:27:00,1900-01-01 17:43:00,0 days 00:16:00,4.8185808,52.3831766,4.9110721,52.3605137,True,3.0,2671.0,855.7675714179695,0.0,1962.0,2.0,"[['WALK', 329, 411], ['TRAM', 1962, 7870], ['WALK', 378, 444]]",8119
132,133,46436529,46306779,2020-10-27 17:08:00,1900-01-01 17:24:00,0 days 00:16:00,4.8240588,52.382074,4.9126703,52.3536075,True,3.0,2595.0,1279.578097738259,0.0,1344.0,242.0,"[['WALK', 943, 1192], ['SUBWAY', 1344, 13614], ['WALK', 66, 86]]",8383
134,135,2016733905,46427650,2020-10-27 17:21:00,1900-01-01 18:01:00,0 days 00:40:00,4.8591154,52.32589,4.8316998,52.3801898,True,3.0,2219.0,1412.6918721708075,1.0,799.0,285.0,"[['WALK', 379, 474], ['BUS', 240, 1267], ['WALK', 181, 236], ['SUBWAY', 559, 6011], ['WALK', 575, 700]]",7625
151,152,46425655,46421764,2020-10-27 17:52:00,1900-01-01 18:01:00,0 days 00:09:00,4.8537943,52.3799449,4.8131428,52.3790704,True,3.0,1115.0,854.9121127740458,0.0,420.0,2.0,"[['WALK', 42, 44], ['BUS', 420, 2622], ['WALK', 651, 810]]",3297
154,155,46437209,3773775382,2020-10-27 17:01:00,1900-01-01 17:15:00,0 days 00:14:00,4.837412,52.3822436,4.9273306,52.3976716,True,3.0,3229.0,1345.0231278098324,1.0,2064.0,80.0,"[['WALK', 790, 977], ['BUS', 1482, 11162], ['BUS', 582, 3079], ['WALK', 295, 367]]",9820
173,175,546597119,46329362,2020-10-27 17:20:00,1900-01-01 17:36:00,0 days 00:16:00,4.8237452,52.3826139,4.9094269,52.3586041,True,3.0,2698.0,909.9729323252463,0.0,1962.0,2.0,"[['WALK', 338, 416], ['TRAM', 1962, 7870], ['WALK', 396, 492]]",7846
201,203,46419555,46489808,2020-10-27 17:19:00,1900-01-01 17:33:00,0 days 00:14:00,4.8259928,52.3785464,4.928863,52.395106,True,3.0,3178.0,662.7216315756358,2.0,2151.0,505.0,"[['WALK', 252, 311], ['TRAM', 1584, 6201], ['WALK', 179, 234], ['SUBWAY', 345, 4019], ['WALK', 71, 90], ['BUS', 222, 1282], ['WALK', 20, 25]]",10869
202,204,46566460,46421833,2020-10-27 17:49:00,1900-01-01 18:01:00,0 days 00:12:00,4.908004,52.4205859,4.8361044,52.3790465,True,3.0,2162.0,603.5914060081838,2.0,1159.0,504.0,"[['WALK', 72, 84], ['BUS', 60, 691], ['WALK', 3, 1], ['BUS', 1020, 6012], ['WALK', 215, 282], ['SUBWAY', 79, 1051], ['WALK', 209, 236]]",8638
212,214,46432931,46565946,2020-10-27 17:33:00,1900-01-01 17:45:00,0 days 00:12:00,4.8368357,52.3813611,4.9086004,52.4200973,True,3.0,2411.0,1795.0332330667918,0.0,960.0,2.0,"[['WALK', 891, 1099], ['BUS', 960, 6039], ['WALK', 558, 695]]",8952
213,215,46321619,46443012,2020-10-27 17:45:00,1900-01-01 18:05:00,0 days 00:20:00,4.8887811,52.356872,4.8285967,52.3835516,True,3.0,2431.0,935.4071879562048,0.0,1646.0,2.0,"[['WALK', 402, 470], ['TRAM', 1646, 6326], ['WALK', 381, 464]]",6515
215,217,46430542,46303734,2020-10-27 17:31:00,1900-01-01 17:34:00,0 days 00:03:00,4.8307797,52.3807988,4.882287,52.352861,True,3.0,1921.0,466.0854736797101,1.0,1524.0,16.0,"[['WALK', 296, 373], ['TRAM', 1065, 4230], ['WALK', 42, 53], ['TRAM', 459, 1729], ['WALK', 43, 39]]",5858
217,219,46440372,2021881745,2020-10-27 17:41:00,1900-01-01 17:57:00,0 days 00:16:00,4.8285528,52.3829516,4.8973167,52.359271,True,3.0,2168.0,575.6514736813234,0.0,1711.0,2.0,"[['WALK', 297, 371], ['TRAM', 1711, 6748], ['WALK', 158, 204]]",6481
224,226,46440059,46437209,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8237326,52.3829015,4.837412,52.3822436,True,1.0,725.0,939.1155263154496,0.0,0.0,0.0,"[['WALK', 725, 939]]",939
240,242,46355756,46278428,2020-10-27 17:55:00,1900-01-01 18:13:00,0 days 00:18:00,4.8325658,52.3646901,4.9585426,52.3465101,True,3.0,3110.0,1614.834601483089,2.0,1540.0,229.0,"[['WALK', 202, 235], ['SUBWAY', 954, 9912], ['WALK', 24, 27], ['SUBWAY', 184, 2324], ['WALK', 73, 93], ['BUS', 402, 2384], ['WALK', 1042, 1256]]",11151
247,249,46414165,344367373,2020-10-27 17:31:00,1900-01-01 17:40:00,0 days 00:09:00,4.7942315,52.3773472,4.8681218,52.3466354,True,3.0,2824.0,916.514428564284,1.0,1866.0,219.0,"[['WALK', 533, 666], ['TRAM', 702, 3782], ['WALK', 100, 129], ['BUS', 1164, 6520], ['WALK', 106, 121]]",7672
253,255,46405109,46281060,2020-10-27 17:38:00,1900-01-01 18:03:00,0 days 00:25:00,4.8092236,52.37547,4.8538099,52.3474191,True,3.0,2090.0,955.735962400047,1.0,1288.0,31.0,"[['WALK', 197, 239], ['BUS', 704, 4367], ['WALK', 64, 81], ['TRAM', 584, 3287], ['WALK', 510, 634]]",6094
259,261,46492765,46253955,2020-10-27 17:53:00,1900-01-01 18:08:00,0 days 00:15:00,4.8779996,52.3959977,4.8706925,52.341592,True,3.0,2334.0,1220.9788345724671,1.0,1149.0,197.0,"[['WALK', 327, 413], ['BUS', 540, 3723], ['WALK', 216, 283], ['SUBWAY', 609, 5713], ['WALK', 445, 523]]",7730
263,265,46526413,1707274672,2020-10-27 17:03:00,1900-01-01 17:18:00,0 days 00:15:00,4.9172718,52.4070532,4.8101466,52.377805,True,3.0,3412.0,880.6338571366342,1.0,2340.0,370.0,"[['WALK', 232, 282], ['BUS', 1806, 13446], ['WALK', 172, 225], ['BUS', 534, 3655], ['WALK', 298, 372]]",13003
264,266,1472217420,46531324,2020-10-27 17:28:00,1900-01-01 17:42:00,0 days 00:14:00,4.8107044,52.3759796,4.914059,52.4083595,True,3.0,2970.0,869.8789924748462,1.0,2041.0,227.0,"[['WALK', 218, 254], ['BUS', 580, 3852], ['WALK', 195, 255], ['BUS', 1461, 12162], ['WALK', 289, 359]]",12162
280,282,46395354,2021881776,2020-10-27 17:31:00,1900-01-01 17:49:00,0 days 00:18:00,4.8176795,52.373455,4.897596,52.3594198,True,3.0,2526.0,588.7688571334074,0.0,2029.0,2.0,"[['WALK', 334, 391], ['TRAM', 2029, 8206], ['WALK', 161, 196]]",7011
307,310,2821156679,46565946,2020-10-27 17:12:00,1900-01-01 18:10:00,0 days 00:58:00,4.8110493,52.3732524,4.9086004,52.4200973,True,3.0,3175.0,1790.0861729155783,1.0,1499.0,227.0,"[['WALK', 289, 349], ['BUS', 617, 4097], ['WALK', 195, 255], ['BUS', 882, 7975], ['WALK', 965, 1184]]",10787
311,314,46405306,296151909,2020-10-27 17:45:00,1900-01-01 17:59:00,0 days 00:14:00,4.8195044,52.3754702,4.9129353,52.3933355,True,3.0,2549.0,423.3948872146608,1.0,2208.0,4.0,"[['WALK', 78, 89], ['TRAM', 1728, 6298], ['WALK', 238, 312], ['BUS', 480, 4844], ['WALK', 21, 20]]",10764
314,317,46415227,298911892,2020-10-27 17:26:00,1900-01-01 17:39:00,0 days 00:13:00,4.8122018,52.3775993,4.8759923,52.3442272,True,3.0,2645.0,489.8276691642954,1.0,2167.0,61.0,"[['WALK', 165, 193], ['TRAM', 1206, 4877], ['WALK', 60, 76], ['TRAM', 961, 3934], ['WALK', 192, 219]]",7521
315,318,481100542,46374887,2020-10-27 17:43:00,1900-01-01 18:16:00,0 days 00:33:00,4.8186844,52.3741303,4.9096339,52.3693053,True,3.0,2661.0,1080.9103759333846,1.0,1599.0,194.0,"[['WALK', 219, 266], ['TRAM', 150, 1068], ['WALK', 196, 257], ['SUBWAY', 1449, 14306], ['WALK', 453, 556]]",7761
335,338,46371281,1738396247,2020-10-27 17:04:00,1900-01-01 17:37:00,0 days 00:33:00,4.8312483,52.3684411,4.9070331,52.3758871,True,3.0,2524.0,1327.7584135155903,0.0,1417.0,2.0,"[['WALK', 544, 654], ['TRAM', 1417, 4664], ['WALK', 561, 673]]",6355
347,350,252315538,1715224352,2020-10-27 17:54:00,1900-01-01 18:01:00,0 days 00:07:00,4.7712317,52.3987224,4.821837,52.3749778,True,3.0,2219.0,1044.4384811935702,1.0,1322.0,55.0,"[['WALK', 510, 650], ['BUS', 780, 5365], ['WALK', 7, 6], ['BUS', 542, 3408], ['WALK', 325, 387]]",5884
352,355,46286560,46413259,2020-10-27 17:49:00,1900-01-01 18:09:00,0 days 00:20:00,4.8588913,52.3488429,4.8165803,52.3771612,True,3.0,2152.0,736.3151879610456,1.0,1428.0,117.0,"[['WALK', 155, 182], ['BUS', 942, 4663], ['WALK', 83, 107], ['TRAM', 486, 2743], ['WALK', 369, 446]]",5334
358,361,46523070,46364523,2020-10-27 17:45:00,1900-01-01 18:01:00,0 days 00:16:00,4.9630097,52.4059587,4.8321198,52.3669651,True,3.0,2838.0,1025.0328571350203,2.0,1796.0,218.0,"[['WALK', 140, 183], ['BUS', 409, 2560], ['WALK', 160, 209], ['SUBWAY', 900, 9241], ['WALK', 44, 54], ['SUBWAY', 487, 5442], ['WALK', 480, 577]]",13953
367,370,46557068,46440551,2020-10-27 17:49:00,1900-01-01 18:13:00,0 days 00:24:00,4.8786181,52.4172897,4.8349198,52.382971,True,3.0,1855.0,1305.2729548732796,0.0,780.0,2.0,"[['WALK', 384, 477], ['BUS', 780, 4729], ['WALK', 689, 827]]",9147
374,377,410449460,46366150,2020-10-27 17:48:00,1900-01-01 18:01:00,0 days 00:13:00,4.8468015,52.3723525,4.8286954,52.3673353,True,3.0,1223.0,1392.3006014895425,0.0,84.0,2.0,"[['WALK', 417, 504], ['TRAM', 84, 408], ['WALK', 720, 887]]",2112
381,384,46263141,46391814,2020-10-27 17:36:00,1900-01-01 18:01:00,0 days 00:25:00,4.8433038,52.3433541,4.8096965,52.3726817,True,3.0,2312.0,1728.023405995277,1.0,557.0,345.0,"[['WALK', 758, 923], ['SUBWAY', 309, 2864], ['WALK', 163, 214], ['TRAM', 248, 1636], ['WALK', 489, 589]]",6131
386,389,1525015237,46414775,2020-10-27 17:05:00,1900-01-01 18:01:00,0 days 00:56:00,4.9426596,52.3371462,4.8134461,52.3774748,True,3.0,3028.0,1017.6809172862338,2.0,1779.0,440.0,"[['WALK', 257, 317], ['BUS', 402, 2648], ['WALK', 208, 273], ['SUBWAY', 1129, 11547], ['WALK', 163, 214], ['TRAM', 248, 1636], ['WALK', 181, 212]]",13056
405,408,46417382,46179502,2020-10-27 17:34:00,1900-01-01 18:19:00,0 days 00:45:00,4.82278,52.3781,4.8882029,52.324964,True,3.0,2826.0,1770.785578933443,1.0,1131.0,272.0,"[['WALK', 1144, 1423], ['SUBWAY', 849, 8241], ['WALK', 101, 130], ['BUS', 282, 1252], ['WALK', 178, 216]]",9593
432,435,46514574,46406060,2020-10-27 17:31:00,1900-01-01 18:01:00,0 days 00:30:00,4.9121604,52.4031899,4.8196267,52.3757645,True,3.0,2857.0,488.7078947317473,1.0,2089.0,370.0,"[['WALK', 65, 77], ['BUS', 1607, 12184], ['WALK', 172, 225], ['BUS', 482, 3408], ['WALK', 161, 185]]",11666
438,441,2613220870,1525015210,2020-10-27 17:55:00,1900-01-01 18:21:00,0 days 00:26:00,4.8327473,52.3760374,4.9110494,52.3605751,True,3.0,2534.0,1138.3244435968438,0.0,1362.0,242.0,"[['WALK', 708, 859], ['SUBWAY', 1362, 13565], ['WALK', 222, 278]]",7892
445,448,46404228,46343002,2020-10-27 17:53:00,1900-01-01 18:24:00,0 days 00:31:00,4.8190837,52.375334,4.8939935,52.3616877,True,3.0,2427.0,747.487127808219,0.0,1797.0,2.0,"[['WALK', 199, 235], ['TRAM', 1797, 7184], ['WALK', 429, 511]]",6169
450,453,1838674586,46406060,2020-10-27 17:33:00,1900-01-01 17:48:00,0 days 00:15:00,4.8733471,52.3657347,4.8196267,52.3757645,True,3.0,1574.0,822.7489398423336,0.0,906.0,2.0,"[['WALK', 505, 636], ['TRAM', 906, 4189], ['WALK', 161, 185]]",4382
460,463,46412944,46344791,2020-10-27 17:14:00,1900-01-01 17:45:00,0 days 00:31:00,4.8235447,52.3771252,4.8875068,52.3620872,True,3.0,2157.0,563.4137744277081,0.0,1684.0,2.0,"[['WALK', 297, 359], ['TRAM', 1684, 6828], ['WALK', 174, 203]]",5871
467,470,885659107,46414923,2020-10-27 17:13:00,1900-01-01 17:25:00,0 days 00:12:00,4.8914606,52.3358611,4.8127555,52.3775439,True,3.0,1708.0,703.5891202927456,1.0,972.0,165.0,"[['WALK', 268, 324], ['SUBWAY', 724, 7361], ['WALK', 163, 214], ['TRAM', 248, 1636], ['WALK', 140, 164]]",9313
468,471,46212063,2932503163,2020-10-27 17:13:00,1900-01-01 17:25:00,0 days 00:12:00,4.8810934,52.3328633,4.8175493,52.3774578,True,3.0,2598.0,1810.4855939676152,1.0,910.0,225.0,"[['WALK', 933, 1157], ['SUBWAY', 724, 7361], ['WALK', 163, 214], ['TRAM', 186, 1260], ['WALK', 367, 438]]",8533
469,472,46400223,3325025275,2020-10-27 17:48:00,1900-01-01 17:59:00,0 days 00:11:00,4.8142777,52.3744928,4.8865856,52.3249696,True,3.0,2518.0,971.27348119841,2.0,1656.0,93.0,"[['WALK', 293, 355], ['TRAM', 246, 1693], ['WALK', 196, 257], ['SUBWAY', 469, 5156], ['WALK', 102, 132], ['BUS', 941, 4382], ['WALK', 178, 225]]",9771
485,488,46399060,46571771,2020-10-27 17:29:00,1900-01-01 18:13:00,0 days 00:44:00,4.81125,52.37427,4.7363517,52.4224903,True,3.0,2938.0,1657.3397293171215,1.0,1457.0,202.0,"[['WALK', 82, 89], ['BUS', 617, 4097], ['WALK', 160, 209], ['BUS', 840, 9012], ['WALK', 1037, 1357]]",9463
486,489,46364523,433807091,2020-10-27 17:29:00,1900-01-01 18:13:00,0 days 00:44:00,4.8321198,52.3669651,4.7351873,52.4190025,True,3.0,2690.0,1808.742857133408,1.0,1094.0,176.0,"[['WALK', 480, 577], ['SUBWAY', 254, 2747], ['WALK', 205, 269], ['BUS', 840, 9012], ['WALK', 735, 961]]",11064
487,490,2821156681,46201004,2020-10-27 17:06:00,1900-01-01 17:18:00,0 days 00:12:00,4.8086736,52.3734913,4.8797903,52.3304337,True,3.0,2660.0,570.2613007496112,2.0,2118.0,90.0,"[['WALK', 181, 225], ['BUS', 697, 4455], ['WALK', 111, 143], ['SUBWAY', 659, 7256], ['WALK', 102, 132], ['BUS', 762, 3463], ['WALK', 58, 68]]",9198
491,494,46173600,46394901,2020-10-27 17:31:00,1900-01-01 17:58:00,0 days 00:27:00,4.8882739,52.3235236,4.86461,52.3734,True,3.0,2500.0,1113.6059022456077,2.0,1365.0,242.0,"[['WALK', 320, 393], ['BUS', 374, 1670], ['WALK', 112, 146], ['SUBWAY', 203, 2134], ['WALK', 151, 198], ['TRAM', 788, 2751], ['WALK', 310, 375]]",7370
493,496,1580111772,5604910199,2020-10-27 17:39:00,1900-01-01 18:01:00,0 days 00:22:00,4.794162,52.3420601,4.8215432,52.3722964,True,3.0,2167.0,800.4169774326067,1.0,1438.0,59.0,"[['WALK', 80, 83], ['BUS', 300, 1986], ['WALK', 3, 0], ['BUS', 1138, 5867], ['WALK', 587, 715]]",5038
497,500,46413608,3781193220,2020-10-27 17:22:00,1900-01-01 18:02:00,0 days 00:40:00,4.8156673,52.3772526,4.9126085,52.3672408,True,3.0,2927.0,1018.042714276495,0.0,2097.0,2.0,"[['WALK', 265, 324], ['TRAM', 2097, 8479], ['WALK', 563, 693]]",8555
503,506,46274584,46412541,2020-10-27 17:23:00,1900-01-01 18:01:00,0 days 00:38:00,4.9024,52.34589,4.8195284,52.3770912,True,3.0,2091.0,856.5048646553342,2.0,1206.0,198.0,"[['WALK', 200, 241], ['TRAM', 296, 1235], ['WALK', 121, 157], ['SUBWAY', 724, 7361], ['WALK', 163, 214], ['TRAM', 186, 1260], ['WALK', 203, 243]]",8156
546,549,46560239,46395987,2020-10-27 17:09:00,1900-01-01 18:01:00,0 days 00:52:00,4.9131617,52.4181852,4.8133237,52.3735576,True,3.0,3066.0,1387.1313157837849,1.0,1820.0,159.0,"[['WALK', 804, 1026], ['BUS', 1161, 6442], ['WALK', 83, 107], ['BUS', 659, 3971], ['WALK', 200, 253]]",14502
550,553,46393239,6721680607,2020-10-27 17:22:00,1900-01-01 17:35:00,0 days 00:13:00,4.8161225,52.3730189,4.9532654,52.4217992,True,3.0,2738.0,930.8189774326066,1.0,1697.0,283.0,"[['WALK', 468, 570], ['BUS', 617, 4097], ['WALK', 199, 261], ['BUS', 1080, 12032], ['WALK', 91, 98]]",14280
564,567,46399060,46315508,2020-10-27 17:43:00,1900-01-01 18:24:00,0 days 00:41:00,4.81125,52.37427,4.911325,52.3554368,True,3.0,2205.0,570.5637669138482,2.0,1297.0,458.0,"[['WALK', 82, 89], ['BUS', 617, 4097], ['WALK', 32, 39], ['RAIL', 360, 4345], ['WALK', 232, 304], ['SUBWAY', 320, 2914], ['WALK', 104, 136]]",8599
567,570,46414693,46440472,2020-10-27 17:06:00,1900-01-01 17:14:00,0 days 00:08:00,4.8190545,52.3774912,4.8705292,52.3830201,True,3.0,1648.0,389.2991278146724,1.0,1255.0,71.0,"[['WALK', 289, 346], ['TRAM', 592, 2793], ['BUS', 663, 2917], ['WALK', 33, 42]]",4672
573,576,46476566,46402177,2020-10-27 17:02:00,1900-01-01 17:20:00,0 days 00:18:00,4.9287851,52.3914168,4.8102221,52.3748848,True,3.0,3504.0,1533.5346992310283,1.0,1855.0,399.0,"[['WALK', 802, 985], ['SUBWAY', 107, 1727], ['WALK', 69, 87], ['TRAM', 1748, 6909], ['WALK', 379, 459]]",11789
574,577,46408537,46486807,2020-10-27 17:30:00,1900-01-01 17:43:00,0 days 00:13:00,4.827492,52.3762089,4.92541,52.39403,True,3.0,2990.0,1226.628015026106,1.0,1766.0,230.0,"[['WALK', 185, 221], ['TRAM', 1660, 5867], ['WALK', 106, 137], ['SUBWAY', 106, 1845], ['WALK', 703, 868]]",10740
599,602,46425288,3325021390,2020-10-27 17:50:00,1900-01-01 18:35:00,0 days 00:45:00,4.8097141,52.3797609,4.8842946,52.3249268,True,3.0,2429.0,1074.9721353285322,2.0,1401.0,164.0,"[['WALK', 501, 599], ['TRAM', 246, 1693], ['WALK', 196, 257], ['SUBWAY', 759, 7374], ['WALK', 101, 130], ['BUS', 396, 1814], ['WALK', 66, 86]]",10236
602,605,46540815,46400222,2020-10-27 17:54:00,1900-01-01 18:01:00,0 days 00:07:00,4.7326118,52.4115565,4.8089575,52.3744942,True,3.0,2403.0,684.5122932309115,1.0,1808.0,55.0,"[['WALK', 425, 548], ['BUS', 1080, 8843], ['WALK', 7, 6], ['BUS', 728, 4317], ['WALK', 108, 129]]",9709
604,607,46296053,46392329,2020-10-27 17:39:00,1900-01-01 18:01:00,0 days 00:22:00,4.8468231,52.3509826,4.8143606,52.3728152,True,3.0,2062.0,758.4279172830072,1.0,1408.0,25.0,"[['WALK', 284, 344], ['BUS', 868, 4731], ['TRAM', 540, 2790], ['WALK', 345, 413]]",5062
611,614,46202647,46410374,2020-10-27 17:36:00,1900-01-01 17:51:00,0 days 00:15:00,4.860789,52.3307719,4.8281871,52.3765731,True,3.0,2447.0,2172.695210512305,0.0,470.0,242.0,"[['WALK', 945, 1192], ['SUBWAY', 470, 5145], ['WALK', 790, 979]]",7016
612,615,46407225,2016733846,2020-10-27 17:56:00,1900-01-01 18:10:00,0 days 00:14:00,4.82559,52.375939,4.8591224,52.3252502,True,3.0,2180.0,1158.5347217935814,2.0,851.0,396.0,"[['WALK', 234, 279], ['TRAM', 82, 637], ['WALK', 196, 257], ['SUBWAY', 469, 5156], ['WALK', 99, 128], ['BUS', 300, 1743], ['WALK', 404, 492]]",7596
614,617,178873238,46404852,2020-10-27 17:55:00,1900-01-01 18:01:00,0 days 00:06:00,4.8439258,52.3516239,4.8164383,52.3753999,True,3.0,1958.0,735.3442932260714,1.0,1332.0,25.0,"[['WALK', 379, 474], ['BUS', 868, 4731], ['TRAM', 464, 2446], ['WALK', 222, 261]]",4601
616,619,46532219,2284093726,2020-10-27 17:06:00,1900-01-01 18:01:00,0 days 00:55:00,4.7575772,52.4087391,4.862706,52.364816,True,3.0,3072.0,1420.8879172830068,1.0,1801.0,141.0,"[['WALK', 389, 499], ['BUS', 1140, 7224], ['WALK', 41, 51], ['TRAM', 661, 3237], ['WALK', 700, 868]]",10654
629,632,46544971,46406589,2020-10-27 17:48:00,1900-01-01 18:00:00,0 days 00:12:00,4.8907095,52.4129777,4.8331542,52.3758044,True,3.0,2470.0,1615.9193909643311,1.0,1044.0,134.0,"[['WALK', 376, 472], ['BUS', 755, 6963], ['WALK', 337, 445], ['SUBWAY', 289, 3185], ['WALK', 579, 697]]",9639
631,634,46405518,46375432,2020-10-27 17:05:00,1900-01-01 17:33:00,0 days 00:28:00,4.8277754,52.3755905,4.8951392,52.3694227,True,3.0,2139.0,958.6417894651078,0.0,1342.0,2.0,"[['WALK', 135, 152], ['TRAM', 1342, 4895], ['WALK', 660, 805]]",5615
