,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
10262,10370,46562099,46420852,2020-10-27 17:31:00,1900-01-01 18:01:00,0 days 00:30:00,4.9123483,52.4186834,4.9302494,52.3788851,True,3.0,2681.0,1399.2925112732105,2.0,1286.0,310.0,"[['WALK', 627, 797], ['BUS', 482, 1922], ['WALK', 158, 207], ['SUBWAY', 254, 3527], ['WALK', 240, 315], ['BUS', 550, 3305], ['WALK', 60, 78]]",12318
10272,10380,46454791,2001274970,2020-10-27 17:16:00,1900-01-01 17:55:00,0 days 00:39:00,4.9186556,52.3862703,4.8063996,52.3474837,True,3.0,3199.0,1429.0844661497167,1.0,1706.0,315.0,"[['WALK', 472, 567], ['SUBWAY', 348, 3923], ['WALK', 92, 119], ['TRAM', 1358, 6851], ['WALK', 614, 741]]",13089
10273,10381,46457355,5713213376,2020-10-27 17:06:00,1900-01-01 17:37:00,0 days 00:31:00,4.9475781,52.38684,4.8965575,52.3814368,True,3.0,1796.0,1041.188120286292,1.0,730.0,202.0,"[['WALK', 160, 201], ['BUS', 476, 2875], ['WALK', 160, 209], ['SUBWAY', 254, 3527], ['WALK', 544, 629]]",6906
10282,10391,46410382,46481940,2020-10-27 17:32:00,1900-01-01 18:01:00,0 days 00:29:00,4.9022551,52.3767277,4.9401587,52.3925507,True,3.0,1326.0,465.9025338228564,1.0,461.0,451.0,"[['WALK', 303, 328], ['SUBWAY', 106, 1845], ['WALK', 71, 90], ['BUS', 355, 2180], ['WALK', 40, 46]]",5177
10292,10401,46420912,46424308,2020-10-27 17:02:00,1900-01-01 17:21:00,0 days 00:19:00,4.9300664,52.3789146,4.8427617,52.3795209,True,3.0,2514.0,645.5326014992227,1.0,1799.0,202.0,"[['WALK', 39, 51], ['BUS', 631, 3230], ['WALK', 118, 153], ['BUS', 1168, 6123], ['WALK', 356, 441]]",7337
10297,10406,46453876,46280466,2020-10-27 17:58:00,1900-01-01 18:18:00,0 days 00:20:00,4.9219542,52.38608,4.8712068,52.3472807,True,3.0,1861.0,947.8095939660024,1.0,856.0,196.0,"[['WALK', 561, 656], ['SUBWAY', 443, 4690], ['WALK', 89, 114], ['TRAM', 413, 1556], ['WALK', 159, 176]]",8284
10300,10409,46286727,46416772,2020-10-27 17:58:00,1900-01-01 18:43:00,0 days 00:45:00,4.8355146,52.3488132,4.906402,52.3781054,True,3.0,2601.0,1227.4657819270476,0.0,1297.0,242.0,"[['WALK', 386, 451], ['SUBWAY', 1297, 12795], ['WALK', 676, 774]]",7644
10302,10411,46474110,5420352485,2020-10-27 17:29:00,1900-01-01 18:02:00,0 days 00:33:00,4.9440105,52.3907785,4.8840199,52.3749022,True,3.0,1874.0,532.9566917203952,2.0,1034.0,389.0,"[['WALK', 131, 153], ['BUS', 433, 2706], ['WALK', 115, 149], ['SUBWAY', 107, 1727], ['WALK', 69, 87], ['TRAM', 494, 1415], ['WALK', 136, 141]]",7605
10307,10416,46470245,359038020,2020-10-27 17:54:00,1900-01-01 18:14:00,0 days 00:20:00,4.9450972,52.3898922,4.8419374,52.3459112,True,3.0,2687.0,1010.7395112683696,2.0,1431.0,428.0,"[['WALK', 151, 175], ['BUS', 433, 2706], ['WALK', 115, 149], ['SUBWAY', 753, 7441], ['WALK', 44, 54], ['SUBWAY', 245, 3410], ['WALK', 518, 630]]",12007
10310,10419,46369309,46449210,2020-10-27 17:28:00,1900-01-01 17:39:00,0 days 00:11:00,4.9445836,52.3680576,4.9143388,52.3850749,True,3.0,2282.0,1404.3821954813584,1.0,917.0,253.0,"[['WALK', 293, 374], ['BUS', 811, 3043], ['WALK', 237, 311], ['SUBWAY', 106, 1845], ['WALK', 582, 718]]",6643
