,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
0,0.010000000000000163,0.011646476351982297,0.010000000000000163,0.0,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010000000000000007,0.011646476351981946,0.010000000000000007,0.0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
1,0.010000367048649745,0.013510785256835032,0.010000000000000163,0.011,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010000081566366581,0.013898043128604662,0.010000000000000007,0.0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
2,0.010000994293592995,0.015605028523051182,0.010000000000000163,0.0155,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010000734097299159,0.016141730150256675,0.010000000000000007,0.0,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
3,0.010001998800824802,0.017926054248642267,0.01010782220761313,0.03,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010001505933542583,0.01862745334176501,0.0100328496038233,0.03,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
4,0.010003457700749278,0.020807197242927834,0.010322411052069224,0.0425,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010003007459701835,0.022065561702757145,0.01006791698650539,0.06,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
5,0.010006017955314741,0.023807811207860973,0.010477862703469416,0.052,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010005396841535206,0.02515637531890627,0.010228439755715569,0.055,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
6,0.010009093148968536,0.02728953109793335,0.010684867036222054,0.0565,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010007666008236988,0.02883651984975471,0.010387000641722703,0.06,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
7,0.010013770664531426,0.031122484466007773,0.010978748231838633,0.0595,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010013209183511007,0.03215361012581869,0.010639357093335213,0.055,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
8,0.010019442735066372,0.03503038377481755,0.011350014809790436,0.0715,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010017737756993687,0.03706912983461158,0.011163795345289324,0.07,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
9,0.010026326218776445,0.03949236854590039,0.011661579846408967,0.0645,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010025381207936343,0.04103226437392069,0.011869958199880544,0.055,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
10,0.010034398457794642,0.04416269229302034,0.0119716983642255,0.07,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.01003185153506101,0.04657806883601727,0.01246858047239627,0.055,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
11,0.01004337775692993,0.0496177073480937,0.012333809601454129,0.0735,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010041726882315211,0.050637326941989566,0.0131401985683382,0.06,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
12,0.01005509810505862,0.05517812165496802,0.012745528217079239,0.069,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010052773779896709,0.05582795690427239,0.013458297710926772,0.075,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
13,0.010067662337651178,0.061201526799747163,0.013417294781826813,0.07,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010069065113084577,0.06153477784694654,0.013655612784956216,0.1,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
14,0.010081922980959031,0.06795893340066304,0.014106718040555868,0.0785,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010084305777742743,0.0706410950500812,0.014906143299077156,0.065,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
15,0.010099262813335112,0.07484647426598835,0.014728870680510084,0.0775,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010104318370071662,0.07955207844669694,0.01543858817588407,0.08,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
16,0.01011708744309864,0.08182132695056205,0.015866694822468982,0.0895,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010130531652210452,0.08441337796841245,0.015799591833887346,0.105,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
17,0.010137583570721318,0.08904938613910199,0.01694192288681133,0.078,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010142820878977277,0.09114476857192345,0.015585946765282055,0.12,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
18,0.01016329609148004,0.09695780781681818,0.01739556654954036,0.092,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010167192792359019,0.09876789140277782,0.01729774472806024,0.065,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
19,0.010191135781385825,0.10495516213651586,0.018303639864572972,0.0865,0.010000000000000163,0.010000000000000163,0.010000000000000163,0.0,0.010191479335479066,0.1079548610297683,0.018619283599236088,0.075,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.0
