,P_WOM_U,P_MARKETING_U,P_EXPERIENCE_U,P_SHARE,V_WOM_U,V_MARKETING_U,V_EXPERIENCE_U,V_SHARE,yw,ym,yp,yi,yr,yprof,yc
255,0.5952917339345587,0.7821852131817995,0.5730754390576456,0.586,0.662203784431974,0.7820178638769303,0.6380346894243298,0.655,2.1341600350124796,0.0,2.142888892447675,253.39341985206906,61.62632373064194,47.0836222694917,14.538446619521274
256,0.5939601405606689,0.7821852131817995,0.5731603414238146,0.577,0.6609657579650801,0.7820178638769303,0.6368287969650721,0.65,2.1313922083247028,0.0,2.1401909710615827,253.68628207869048,61.46728169161479,46.96575371392043,14.497273136065392
257,0.5940948816625561,0.7821852131817995,0.5732256553163261,0.588,0.661740145163748,0.7820178638769303,0.6413915465280229,0.63,2.1493441492988965,0.0,2.1581333215833265,252.8447880307056,61.876294455767464,47.25756104135297,14.614478572785533
258,0.594006146202001,0.7821852131817995,0.5733817857122678,0.594,0.6655034529118352,0.7820178638769303,0.645711429466823,0.615,2.156980447720705,0.0,2.1657215502851623,252.5392240016884,62.02098252715701,47.358839409852074,14.65788827567598
259,0.5936647886814866,0.7821852131817995,0.5733867256385449,0.5695,0.6660954916652126,0.7820178638769303,0.645873465060476,0.66,2.1742923117551083,0.0,2.1830326673559943,251.91602378142935,62.28773546833348,47.53737680840123,14.746103818303286
260,0.5934894309674327,0.7821852131817995,0.573326544529741,0.578,0.6643604092285399,0.7820178638769303,0.6447900469333194,0.63,2.1683697078257986,0.0,2.177188296007203,252.0060687946269,62.269664634057456,47.52820895560146,14.732945995198085
261,0.5932024819922969,0.7821852131817995,0.5733208768728525,0.5905,0.6639987706664199,0.7820178638769303,0.6429571009341208,0.645,2.1832939576555552,0.0,2.19220930903185,251.6144197750191,62.41839071678991,47.62085278026939,14.789028253262597
262,0.5924711606848929,0.7821852131817995,0.5734256321828313,0.577,0.6670141017325143,0.7820178638769303,0.6409714781735283,0.695,2.1984127810752465,0.0,2.2071645204132477,251.01437723148288,62.68178716744346,47.799831834263216,14.873445649922322
263,0.5928584516658428,0.7821852131817995,0.5733279791369797,0.5765,0.6619449736695937,0.7820178638769303,0.6417634441922043,0.635,2.181405968305182,0.0,2.190291525452527,251.60045456866774,62.433589147485485,47.63241522843339,14.792664235794172
264,0.5946215601713715,0.7821852131817995,0.5733489677785684,0.5825,0.6615952217661265,0.7820178638769303,0.6449230221482054,0.65,2.1857666681702104,0.0,2.1948223161069995,251.34900756344987,62.56113443210029,47.72384085055512,14.828783898287254
