,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
0,0.010000000000000163,0.011646476351982278,0.010000000000000163,0.0,0.010000000000000163,0.011646476351982314,0.010000000000000163,0.0,0.010000000000000007,0.01164647635198195,0.010000000000000007,0.0,0.010000000000000007,0.01164647635198195,0.010000000000000007,0.0
1,0.010000318108829797,0.013474479831356585,0.01000025811936108,0.007,0.010000334422103114,0.013522887065327864,0.010027208577915286,0.011,0.01000040783183287,0.013656006958748365,0.010000000000000007,0.0,0.01000008156636658,0.013292952703963907,0.010022270828119613,0.01
2,0.010001019984662183,0.01554294352959296,0.01003112684850141,0.018,0.010000936511921077,0.01566396161452115,0.010072095233458467,0.0145,0.010001059715723364,0.016262748235184837,0.010023047961635006,0.01,0.01000040783183287,0.015665537565514795,0.010022270828119613,0.02
3,0.010001923024551272,0.01789226825603013,0.010164194837692358,0.0215,0.010002274520841481,0.01822796699184065,0.010108906773114022,0.0215,0.010001750638299573,0.01886948951162132,0.010064924121416281,0.03,0.010001545353581559,0.018272278841951272,0.010076210713748616,0.01
4,0.010003300985421312,0.020558730599433365,0.010224619869385596,0.0295,0.01000414434291039,0.020819327888134103,0.01026975110988614,0.034,0.010002483440992964,0.0214762307880578,0.010208903290130179,0.015,0.010003059490230138,0.02195242337279971,0.01014553225749825,0.04
5,0.010005790689600702,0.023870051707694274,0.010417576545480872,0.0305,0.010006734333077442,0.02371102557663187,0.010372725405775699,0.0355,0.010004856537626085,0.025076311072582413,0.010229300172754778,0.04,0.010005453834238336,0.025794539827180638,0.010368238791214925,0.025
6,0.010008846629277462,0.02733084540810457,0.010689161619090339,0.053,0.010009423921316743,0.02693117471509152,0.010513323003875991,0.0385,0.010007685833802822,0.029039445611891493,0.01058843988872525,0.05,0.01000755047429274,0.02853017894351601,0.010563789541656692,0.035
7,0.010013124597232638,0.030823849150132938,0.010975926904546567,0.048,0.010012672474014253,0.030663062724987897,0.01060205973684534,0.0455,0.010011903651714784,0.03188822305818432,0.010673395906028435,0.065,0.010011170828739997,0.03244447988925004,0.010900172500248075,0.025
8,0.0100184446699358,0.03488531643495229,0.011218128616009376,0.0425,0.01001759187808173,0.034787337415506894,0.010976157573494261,0.0535,0.0100154829190955,0.03731300943535272,0.010547930195845824,0.075,0.010016588141044112,0.03481706475080096,0.011205938233650806,0.06
9,0.010024366824938045,0.039540990103999765,0.011405678369778426,0.0495,0.010022721054440334,0.03957200675740158,0.011315882108474421,0.0595,0.010023429018449404,0.04524854456405944,0.010727517225703469,0.04,0.010022485986576386,0.03849720928164942,0.011484447783530931,0.06
10,0.01003165061122031,0.04413782622587279,0.011573890469321974,0.058,0.010029841266542515,0.044736518446568015,0.011542152266552034,0.048,0.010029818946743534,0.04945371527322488,0.0111033359285552,0.04,0.010028832334977452,0.044043013743745994,0.012256426252118233,0.04
11,0.01004039621426648,0.04904631297294576,0.011887649382008736,0.053,0.010038423026479077,0.049688857521136595,0.01214314351851425,0.0625,0.01004079832759068,0.05534681448016446,0.011234007558510157,0.055,0.010035904108869821,0.04994303726270143,0.012393260215629191,0.08
12,0.010049410822879842,0.054940615118404965,0.012079634970154607,0.0505,0.010048747577614285,0.05488487893089025,0.012483904910022645,0.058,0.010047887792564656,0.060803419687613644,0.011542230259933102,0.04,0.010042982693947681,0.05422039246321993,0.012646889194564595,0.06
13,0.010060218385408357,0.06069322766428992,0.012514209745408124,0.051,0.010060393817569829,0.06088656991051027,0.012760939223342328,0.05,0.01006173173391232,0.06756575314452067,0.01153313515047544,0.075,0.010051665791662914,0.06125178783848588,0.01275767672226279,0.055
14,0.01007273238010527,0.06738588067832676,0.01299279700378144,0.056,0.010072318251603787,0.06746171166877603,0.013099254701807322,0.06,0.010076544939350509,0.0740960614167798,0.011653842511492409,0.065,0.010065267201445379,0.06785582422258496,0.013029507136434113,0.05
15,0.010086539437095482,0.07372992193702536,0.01361988756493142,0.0575,0.01008687949668114,0.07354211268104126,0.01359984631275769,0.058,0.010095100962733352,0.08012498277563405,0.011572179496176479,0.085,0.010084853524206246,0.07481588802689998,0.013062510818364148,0.075
16,0.0101047445301299,0.08073113254880489,0.013915516781598405,0.0555,0.010104166038835929,0.08063864677059096,0.014016365888890967,0.064,0.010109504641877829,0.0864558138901796,0.011857425669767425,0.055,0.0101009251144566,0.08095890315866658,0.013462869792333243,0.065
17,0.010122141199166025,0.08831581170861667,0.013943023177058533,0.067,0.010122898005770507,0.08743068789189319,0.014538958611767294,0.06,0.01012515685536456,0.09356179029768773,0.012681977468767933,0.02,0.010119230878602474,0.08899151729699131,0.013803973433455472,0.055
18,0.010141591912530803,0.09645240387839682,0.014296694391244395,0.0705,0.010145433320170913,0.09510173933142044,0.015343959005507104,0.064,0.01014751158568623,0.10108639302098982,0.013360930753613654,0.06,0.01013621795447864,0.09855518090173387,0.01396476371878239,0.085
19,0.010164258848715165,0.10395135126690451,0.014840301561782926,0.056,0.010168757555370202,0.10327504721554552,0.016333673726306723,0.0675,0.01016564519328263,0.1084131628743312,0.013394940674504242,0.085,0.010156619823754763,0.10522226676886248,0.014032249716211665,0.095
20,0.01018826609387863,0.1130509965358157,0.015549775729560456,0.06,0.010195373742641966,0.11160625649694246,0.016798070121424338,0.0575,0.01018925293453259,0.116931098703748,0.01355143443231295,0.075,0.01018192972175292,0.11575782346785153,0.014418376064835594,0.055
