,Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles,date
8079,UBER,UBER,UBER,2021,9,September,10557442,0,56492,2021-09-28
35275,UBER,UBER,UBER,2021,10,October,12086389,0,59108,2021-10-28
38806,UBER,UBER,UBER,2021,11,November,11819597,0,59896,2021-11-28
18409,UBER,UBER,UBER,2021,12,December,11802074,0,60776,2021-12-28
17628,UBER,UBER,UBER,2022,1,January,10826336,0,59725,2022-01-28
8505,UBER,UBER,UBER,2022,2,February,11440898,0,60334,2022-02-28
10033,UBER,UBER,UBER,2022,3,March,13136268,0,62431,2022-03-28
37668,UBER,UBER,UBER,2022,4,April,13010980,0,62997,2022-04-28
27529,UBER,UBER,UBER,2022,5,May,13325434,0,63904,2022-05-28
20602,UBER,UBER,UBER,2022,6,June,13049858,4010,64305,2022-06-28
