x, y
2, 1.0088502314947037
3.0480943448409246, 1.1327437500075956
4.026313601005718, 1.2566372685204876
5.004536055700616, 1.3805315972344596
5.982758510395513, 1.3982304398217071
7.030852855236438, 1.3628319444461323
8.009072111401231, 1.469026620371777
9.057166456242157, 1.6106197916729963
9.686023063146711, 1.8584076388998603
10.803992496663769, 1.964602314825505
11.991830621796746, 2.0707969907511496
13.039924966637672, 2.4424783564909056
14.088019311478595, 2.5132745370409753
15.066241766173492, 2.6371680555538677
15.974589132192259, 2.7964600694423343
17.162430455855343, 2.814159722230662
18.00090593172808, 3.1504425925948434
19.049000276569007, 2.9203543981563063
20.027222731263905, 2.2831863426024386
21.005441987428696, 3.398230439821707
21.9836644421236, 3.6106197916729963
23.031758786964524, 3.6460174768474913
24.00998124165942, 3.8938053240743553
25.058075586500344, 4.548672222215471
25.96642295251911, 3.9469026620371777
27.014520495890142, 4.2477878472268635
28.06261484073107, 4.106194675925645
28.970959008219726, 4.4070798611153315
30.01905335306065, 4.566371875003798
31.067147697901575, 4.318584027776934
31.97549826245045, 4.088495833338397
33.02359260729138, 4.654866898141115
34.00181186345616, 4.796460069442334
35.049906208297095, 4.637168055553868
35.958256772845964, 4.867256249992405
37.00635111768689, 4.76106157406676
38.05444546252781, 4.672566550929442
39.0326647186926, 4.902654745367979
40.080759063533534, 4.938053240743554
40.9891096280824, 5.345132291657805
42.03720397292332, 5.30973460648331
43.01542322908812, 5.044247916669199
43.99364888231312, 4.884955902780732
44.971868138477916, 5.769910995360384
45.95008739464271, 6.017698842587247
46.92831304786771, 5.7168136573975605
47.97640739270864, 5.5929201388846685
49.024501737549556, 3.7345133101858883
50.07259608239049, 5.858406828698781
50.980940249879154, 1.0619475694575258
52.029034594720066, 0.7433635416805919
53.21687911691326, 1.6460182870485711
54.055354592786, 2.4778760416654007
54.96369876027466, 3.061946759256446
56.011793105115586, 3.38053078703338
57.12976253863264, 2.9734517361191286
57.96823801450538, 2.318584027776934
59.0163323593463, 1.8584076388998603
59.99455161551111, 2.1769916666767943
61.04264596035202, 1.6814159722230662
62.16061539386909, 2.0707969907511496
63.068965958417955, 2.3893810185280833
64.04718521458275, 2.9734517361191286
65.09527955942367, 3.30973460648331
66.00363012397254, 4.088495833338397
67.05172446881346, 3.8053094907359584
67.96006863630213, 4.2477878472268635
69.21778185011124, 4.637168055553868
69.98638863436805, 4.902654745367979
71.03448297920897, 3.840707986111533
72.50181506198628, 2.7079650463050173
72.99092149153857, 4.230088194438537
73.96914714476357, 4.530973379628223
75.08711018122042, 5.097345254632021
75.99546074576928, 4.884955902780732
77.04355509061021, 5.026548263880871
78.021774346775, 5.168141435182091
79, 4.530973379628223
