x, y
0, 126.98508656928172
0.42060924253253185, 190.47617663601886
0.799158138431585, 190.47617663601886
1.598316276863171, 190.47617663601886
2.8601459298600167, 190.47617663601886
4.121975582856861, 190.47617663601886
6.561514195583596, 190.47617663601886
8.412196403046137, 253.97017313856344
11.35646687697161, 317.4612632053006
13.964246876232258, 571.428529908062
16.698213691591086, 825.3987030466201
20.525761071815854, 1206.3510563186633
22.208201892744484, 1333.333236452143
23.427969273708598, 1587.303409590701
24.7739234707709, 2031.7468529294813
26.330177475601342, 2412.699206201519
27.71819009389787, 2793.651559473562
28.81177836036081, 2984.127736109581
30.073608013357653, 3301.5889993148817
31.167192429022084, 3428.5711794483614
32.891691671184944, 3555.556266017643
34.153521324181796, 3809.523532720399
35.247109590644726, 4253.969882494981
36.550997664875794, 4888.88950246978
37.770768896638415, 5396.8269423111
38.906415584335576, 5650.794209013861
39.873817034700316, 6031.746562285899
40.71503551976538, 6285.713828988661
41.85068220746255, 6603.175092193961
