,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,rh_U,alt_U,ACTUAL_WT,U_dif,mu,nDAYS_HAILED,INFORMED,plat_revenue,MATCHING_T,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000001426,0.010000000000001426,0.011646476351983955,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0.01001543653619121,0.010000283850957041,0.013522887065329158,38.0,-10.008040277777777,-10.526439873521786,10.428070175438597,0.026036022252384976,1.0,1.0,1.0,-2.486769473684211,1.1030701754385965,0.0,7917.8421052631575,33.81578947368421,0.0,11.763157894736842,0.0,18.94736842105263,559.5,28.42105263157895,546.1842105263158,9.473684210526315,0.0,0.0,32.36842105263158
2,0.010050353125500991,0.010000946557799558,0.01572157750998828,80.0,-11.935142083333332,-11.986414714557576,10.695833333333336,0.036805702310121376,1.0,1.0,1.0,-2.7256109999999993,3.9147916666666682,0.0,7139.1125,127.2625,0.0,3.625,0.0,16.5,406.8625,24.75,533.45,8.25,0.0,0.0,107.625
3,0.010111339787701535,0.0100020232875711,0.018201778929836054,83.0,-8.438227409638554,-10.487748456432978,6.909236947791165,-0.143317873451715,1.0,1.0240963855421688,1.0,-2.5476607228915658,0.05120481927710843,0.0,7265.807228915663,3.072289156626506,0.0,14.63855421686747,0.0,20.0,411.48192771084337,30.0,590.6144578313254,10.0,0.0,0.0,0.0
4,0.01024343659907417,0.010003640474847818,0.021062951719505525,177.0,-8.280002840552418,-10.698122345339918,6.613465160075331,-0.18302567485728677,1.0,1.0564971751412429,1.0,-2.5261545762711863,0.059698681732580035,0.0,7613.966101694915,3.5819209039548023,0.0,14.35593220338983,0.0,20.0,393.225988700565,30.0,584.6610169491526,10.0,0.0,0.0,0.0
5,0.010371066682046362,0.010006030340063482,0.02423177356509838,204.0,-9.297061002178644,-10.647518075973283,8.883169934640529,-0.012374664470426988,1.0,1.0833333333333333,1.0,-2.4857364705882357,1.5241830065359474,0.0,6724.053921568628,73.36274509803921,0.0,8.323529411764707,0.0,19.41176470588235,441.53921568627453,29.11764705882353,552.6078431372549,9.705882352941176,0.0,0.0,18.08823529411765
6,0.010526672689665841,0.010009360498124476,0.027673654087847204,203.0,-8.60296865079365,-10.506698909315505,7.819129720853859,-0.007760732495190149,1.0,1.1231527093596059,1.0,-2.4843215763546813,0.24170771756978648,0.0,7112.487684729064,14.502463054187192,0.0,13.364532019704434,0.0,20.0,454.6453201970443,30.0,572.9704433497537,10.0,0.0,0.0,0.0
7,0.010769307733719922,0.010013089412735293,0.031565458332448955,237.0,-7.880900105485233,-11.037609115635894,5.043600562587906,-0.18243835004263717,1.0,1.0759493670886076,1.0,-2.5894207594936725,0.0,0.0,7244.713080168776,0.0,0.0,15.0,0.0,20.0,302.61603375527426,30.0,602.1729957805907,10.0,0.0,0.0,0.0
8,0.01103793807530048,0.010018068875898,0.03573006466505872,246.0,-7.406563979223126,-10.69161008690778,4.362804878048779,-0.20489325009730738,1.0,1.1382113821138211,1.0,-2.495695609756097,0.0,0.0,7000.613821138211,0.0,0.0,15.0,0.0,20.0,261.7682926829268,30.0,576.130081300813,10.0,0.0,0.0,0.0
9,0.011205178578252846,0.010024440821626651,0.04041315415692414,264.0,-9.317073716329967,-10.62747026684813,9.16931818181819,-0.0630941482903811,1.0,1.1666666666666667,1.0,-2.4529636363636365,1.3088383838383846,0.0,6896.424242424242,59.89393939393939,0.0,7.753787878787879,0.0,19.393939393939394,471.6287878787879,29.09090909090909,543.9090909090909,9.696969696969697,0.0,0.0,18.636363636363637
10,0.011407839865442415,0.01003157653975469,0.04521650951795881,270.0,-8.855703569958854,-10.727392748663203,8.075802469135803,-0.02100381161525028,1.0,1.1814814814814816,1.0,-2.4611600000000027,1.180987654320988,0.0,6832.42962962963,54.91481481481482,0.0,9.714814814814815,0.0,19.48148148148148,413.68888888888887,29.22222222222222,554.6111111111111,9.74074074074074,0.0,0.0,15.944444444444445
11,0.011703882788239108,0.010039765586760488,0.05031979670404613,272.0,-7.842081086601305,-11.208627700595146,4.995710784313726,-0.2667209466462031,1.0,1.150735294117647,1.0,-2.5806816176470586,0.0,0.0,7135.731617647059,0.0,0.0,15.0,0.0,20.0,299.74264705882354,30.0,599.7058823529412,10.0,0.0,0.0,0.0
12,0.01206871585075437,0.010049510935016819,0.05598564548184105,328.0,-7.886871739498638,-10.713593616321615,5.773729674796748,-0.1813861556394754,1.0,1.2225609756097562,1.0,-2.4878048780487796,0.021392276422764225,0.0,7171.323170731707,1.2835365853658536,0.0,14.679878048780488,0.0,20.0,345.140243902439,30.0,573.935975609756,10.0,0.0,0.0,0.0
13,0.012268235589917466,0.01006078423757774,0.06211837324276291,308.0,-10.116769841269846,-11.000202246912965,9.493181818181817,-0.028486701730261816,1.0,1.2662337662337662,1.0,-2.5381605194805203,2.9004329004329006,0.0,7003.11038961039,122.1103896103896,0.0,4.191558441558442,0.0,18.31168831168831,395.56493506493507,27.467532467532468,540.974025974026,9.155844155844155,0.0,0.0,51.91558441558441
