,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_plat_revenue,P2_plat_revenue,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
249,0.09616700509361936,0.10509070070895296,0.15458473507604337,0.16032592196390294,0.9469899135998365,0.9471634580308528,318.0,298.0,499.67616,464.68,-11.41055115440115,-11.245108135479143,5.652191558441555,0.10121942896870964,0.0,1.0,1.0,65.1396103896104,67.89772727272727,1.0,1.0,1.4837662337662338,1.5655132467532467,0.011715367965367965,0.0,7066.277597402597,0.702922077922078,0.0,14.779220779220779,0.0,20.0,338.42857142857144,30.0,535.1655844155844,10.0,0.0,0.0,0.0
250,0.09680701089275182,0.1056996924442219,0.15607548311919336,0.16078357072461108,0.9472833404427432,0.9474447489393502,303.0,293.0,463.76976,447.81824000000006,-10.716635850111848,-11.150062953896855,4.326761744966447,0.012973490757036927,0.0,1.0,1.0,66.54530201342281,69.15268456375838,1.0,1.0,1.4916107382550337,1.5295100671140927,0.0,0.0,6964.1392617449665,0.0,0.0,15.0,0.0,20.0,259.6057046979866,30.0,520.1778523489933,10.0,0.0,0.0,0.0
251,0.09761074278814937,0.10623326613384698,0.1576104774210626,0.1620533842919109,0.9475552194277584,0.9477056595548611,296.0,310.0,473.38328,477.56608000000006,-11.081625517968458,-11.271485450250164,4.6585258525852575,0.05772270690369298,0.0,1.0,1.0,67.36633663366337,69.98514851485149,1.0,1.0,1.5115511551155116,1.5692233663366328,0.007013201320132013,0.0,6777.547854785478,0.4207920792079208,0.0,14.87953795379538,0.0,20.0,279.0907590759076,30.0,536.7277227722773,10.0,0.0,0.0,0.0
252,0.09803555677492073,0.10659517280196451,0.1581430555184757,0.16342492073712495,0.9478209089217381,0.9479637387275358,313.0,303.0,500.28296,476.10792000000004,-11.806716738816728,-11.308895921977971,6.262121212121211,0.10207277088086734,0.0,0.9967532467532467,1.0,66.06331168831169,68.75,1.0,1.0,1.4918831168831168,1.5850501298701287,0.22621753246753246,0.0,7042.355519480519,11.5762987012987,0.0,13.800324675324676,0.0,19.935064935064936,362.1542207792208,29.9025974025974,543.6818181818181,9.967532467532468,0.0,0.0,1.9967532467532467
253,0.09857262758751081,0.10649597406266377,0.1589786487673139,0.16383299911300303,0.9480794004108569,0.948218009699958,282.0,321.0,438.08064,463.0036,-12.431384729132136,-11.38793536193784,7.024847982310672,0.08397548876118635,0.0,0.9618573797678275,1.0,67.90547263681592,70.70646766169155,1.0,1.0,1.5323383084577114,1.4943353897180753,1.4389165284687682,0.0,7106.058043117745,62.87728026533997,0.0,9.044776119402986,0.0,19.23714759535655,335.1558872305141,28.855721393034827,509.9950248756219,9.618573797678275,0.0,0.0,23.45771144278607
254,0.09910366186397257,0.10670964291908074,0.15969955849423226,0.1648157100811535,0.9483331459755978,0.9484827500892525,278.0,309.0,423.44984,479.46344,-11.43765519117926,-11.408340194517102,5.555281090289606,0.026898432211540944,0.0,0.9931856899488927,1.0,70.19591141396934,72.86882453151618,1.0,1.0,1.526405451448041,1.53818275979557,0.4446053378762067,0.0,6631.301533219762,22.485519591141397,0.0,12.323679727427598,0.0,19.863713798977855,306.6405451448041,29.79557069846678,524.5945485519591,9.931856899488928,0.0,0.0,4.190800681431005
255,0.09944003154565074,0.10734214986620191,0.16047025043890503,0.16589569141347993,0.9485924797109802,0.9487416424152209,298.0,312.0,460.76536,487.42944,-11.433484562841521,-11.198594911447048,5.911803278688521,0.11324224472039049,0.0,1.0,1.0,69.37704918032787,71.92622950819673,1.0,1.0,1.5114754098360657,1.554417704918032,0.12461748633879781,0.0,7090.729508196721,7.477049180327869,0.0,14.065573770491802,0.0,20.0,347.2311475409836,30.0,530.567213114754,10.0,0.0,0.0,0.0
256,0.09954298376415677,0.10794840142171969,0.16165633506597996,0.16677396650378032,0.9488484211445973,0.9490039241808487,304.0,308.0,437.346,468.26608,-12.760473828976036,-11.167708647439431,7.821023965141619,0.20617371086385566,0.0,0.9575163398692811,1.0,69.76307189542484,72.3970588235294,1.0,1.0,1.5032679738562091,1.479758300653594,1.4190631808278873,0.0,7072.669934640523,59.01633986928105,0.0,8.679738562091503,0.0,19.15032679738562,384.11764705882354,28.725490196078432,504.4117647058824,9.57516339869281,0.0,0.0,26.127450980392158
257,0.0994924046866514,0.10872998275750137,0.16217602019891256,0.16813009406697033,0.9491046768777259,0.9492775409873144,314.0,323.0,429.26976,500.58224,-12.51985848159776,-11.242484112251573,6.49063317634746,0.11293879117858224,0.0,0.9403453689167975,1.0,69.35164835164835,72.00313971742543,1.0,1.0,1.5070643642072215,1.4597362637362634,1.6505232862375732,0.0,7067.133437990581,62.34379905808477,0.0,9.047095761381476,0.0,18.80690737833595,290.4065934065934,28.210361067503925,498.07378335949767,9.403453689167975,0.0,0.0,36.687598116169546
258,0.10046845433850228,0.10919210709171603,0.16292424172265274,0.16911456647259002,0.9493446334586718,0.9495216045820967,304.0,323.0,468.1912,514.9731200000001,-11.348898174729756,-11.315620012377536,5.433599149388621,0.1339931931994741,0.0,1.0,1.0,70.7049441786284,73.59011164274322,1.0,1.0,1.5151515151515151,1.5680451674641152,0.06871345029239767,0.0,6878.31259968102,4.12280701754386,0.0,14.282296650717702,0.0,20.0,321.89314194577355,30.0,536.2296650717703,10.0,0.0,0.0,0.0
