,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_plat_revenue,P2_plat_revenue,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
350,0.26806084798796087,0.0657309667695373,0.3333500285799691,0.16750457561779636,0.9652472979899789,0.9652385485327876,585.0,182.0,761.6586,315.24192,7.80908831908832,5.852564102564104,1.6109971509971504,0.001282051282051282,6.329406631762652,5.85128205128205,6.214150110375276,-11.529528487614076,-11.41343168307048,7.344828335506304,0.043239741394322295,0.0,0.984354628422425,1.0,120.78357235984355,127.496740547588,1.0,1.0,1.2372881355932204,1.4040423989569748,1.2290308561494998,0.0,6955.09517601043,64.11994784876141,0.0,7.423728813559322,0.0,19.687092568448502,366.94784876140807,29.53063885267275,514.542372881356,9.843546284224251,0.0,0.0,9.621903520208605
351,0.2687889320217385,0.06589436787144547,0.33572143104396757,0.1677154427458398,0.9653682387361308,0.965358154182033,603.0,181.0,784.2162000000001,314.51308000000006,6.703565505804306,4.282872928176795,0.9670812603648432,0.0,5.804697986577183,4.283977900552486,5.450450450450449,-10.948478263180265,-11.333015774858747,6.144706632653049,0.002667527855587,0.0,0.9910714285714286,1.0,119.08035714285714,125.63775510204081,1.0,1.0,1.2308673469387754,1.4014404081632632,0.7438137755102047,0.0,6746.947704081633,39.13775510204081,0.0,8.950255102040817,0.0,19.821428571428573,324.05357142857144,29.732142857142858,513.4426020408164,9.910714285714286,0.0,0.0,5.491071428571429
352,0.26916844418080066,0.06599729232799602,0.33654938219545416,0.16796206716786596,0.9654870804417728,0.9654752336944611,587.0,185.0,753.8480000000001,314.06984,7.964537194775696,4.033243243243246,1.9643100511073261,0.0,6.245153664302601,4.033603603603604,5.698909657320873,-11.621132322251006,-11.392086775480852,7.022452504317786,0.027263757359983223,0.0,0.9702072538860104,1.0,121.88601036269431,128.65414507772022,1.0,1.0,1.2396373056994818,1.3833132642487047,1.4935880829015549,0.0,7090.170984455958,71.29274611398964,0.0,6.961139896373057,0.0,19.40414507772021,331.7318652849741,29.10621761658031,506.8639896373057,9.702072538860104,0.0,0.0,18.322538860103627
353,0.2705634129373255,0.06598839988685858,0.3377985737980958,0.1681644553434688,0.9656015088549028,0.9655912659578291,586.0,200.0,776.8370000000001,369.84443999999996,3.966012514220704,7.557166666666665,0.0,0.43391666666666673,3.9681171786120593,7.124666666666667,4.771310432569974,-10.5941891998869,-11.499821020919663,4.879792196776925,-0.014838575399588988,0.0,1.0,1.0,123.264631043257,129.90966921119593,1.0,1.0,1.2544529262086515,1.45888223918575,0.11041136556403734,0.0,6968.874045801526,6.624681933842239,0.0,14.225190839694656,0.0,20.0,286.16284987277356,30.0,531.941475826972,10.0,0.0,0.0,0.0
354,0.27152899294879657,0.06603505381103639,0.3381749707854366,0.16828472493401828,0.9657165306901014,0.9657110313140773,607.0,196.0,796.0214,349.08636,5.728116419549695,5.810119047619048,1.0821526633717744,0.0,4.7257398101619215,5.8114795918367355,4.994094157208911,-11.039598394907987,-11.391920493179711,5.748132004981321,0.0413736320080245,0.0,0.987546699875467,1.0,120.80323785803238,127.48941469489415,1.0,1.0,1.244084682440847,1.426037061021171,0.8180157741801581,0.0,6704.125778331258,41.422166874221666,0.0,10.660024906600249,0.0,19.75093399750934,295.80697384806973,29.62640099626401,521.9800747198008,9.87546699875467,0.0,0.0,7.658779576587796
355,0.2722492625096728,0.06613776400927414,0.3388150565041643,0.16853521862884174,0.9658329003852495,0.9658225151378985,613.0,196.0,748.2644,331.90556000000004,7.49219684611203,5.0407312925170045,2.773626971179988,0.0,5.165654761904762,5.041751700680273,5.133531746031746,-11.986097637687134,-11.342954379737606,6.898269468479608,0.040795338890549315,0.0,0.934487021013597,1.0,121.66625463535229,128.19406674907293,1.0,1.0,1.242274412855377,1.335191545117428,2.1016481252575185,0.0,6848.603213844252,85.80840543881335,0.0,5.583436341161928,0.0,18.689740420271942,287.79728059332507,28.03461063040791,487.4412855377009,9.344870210135971,0.0,0.0,40.29048207663782
356,0.2726534030998163,0.06617339854104426,0.33936694692097363,0.16888644224322455,0.9659484556441208,0.9659426963880446,620.0,185.0,813.2026000000001,333.52927999999997,6.365913978494629,5.062522522522524,0.7642473118279569,0.0,5.6760348583877995,5.064144144144144,5.534002509410288,-11.056519109730845,-11.407407662614823,6.066376811594197,0.008676784398154083,0.0,0.9900621118012423,1.0,121.27701863354038,128.01242236024845,1.0,1.0,1.2298136645962734,1.4245116521739152,0.5886128364389234,0.0,6922.7453416149065,29.204968944099377,0.0,11.252173913043478,0.0,19.801242236024844,328.66583850931676,29.70186335403727,523.2024844720497,9.900621118012422,0.0,0.0,6.111801242236025
357,0.2732173375840329,0.06627157071903775,0.34049667241156345,0.16906640200737713,0.9660586036077521,0.9660523449951015,622.0,192.0,836.0346000000001,340.15492000000006,6.969801714898182,5.077083333333335,0.7519292604501605,0.0,6.270961642355483,5.078124999999999,5.987865677791511,-11.241767444717448,-11.549567890383292,6.523361998362003,0.01758423896578957,0.0,0.9938574938574939,1.0,123.1007371007371,129.78378378378378,1.0,1.0,1.2358722358722358,1.44495027027027,0.5745700245700244,0.0,6917.292383292383,30.696560196560196,0.0,10.604422604422604,0.0,19.877149877149876,356.9275184275184,29.815724815724817,532.6265356265357,9.938574938574938,0.0,0.0,3.7776412776412776
358,0.27384714353461936,0.06636225960421997,0.34080550898612405,0.16891228646837994,0.9661740159873722,0.9661673412045367,610.0,185.0,792.5942,323.34204,6.57693989071038,4.123423423423425,1.1977049180327874,0.0,5.536115795390669,4.125855855855856,5.200771208226221,-11.178159689028663,-11.356560322119662,6.005995807127881,0.0010010972358928864,0.0,0.9786163522012579,1.0,122.53836477987421,129.09056603773584,1.0,1.0,1.2327044025157232,1.4036933836477996,0.9189937106918243,0.0,6768.1509433962265,41.988679245283016,0.0,9.471698113207546,0.0,19.572327044025158,305.2201257861635,29.358490566037737,515.6012578616352,9.786163522012579,0.0,0.0,13.150943396226415
359,0.27407244873270536,0.06647777923680191,0.34246230570831204,0.16941172314172662,0.9662827215100535,0.9662806038172312,623.0,198.0,830.8506,352.45867999999996,7.289486356340297,3.9941077441077453,0.8591492776886032,0.0,6.51590785907859,3.9984848484848485,5.902808528085281,-11.35150676681553,-11.490693429800789,6.494742184328059,0.007147719862539044,0.0,0.9902557856272838,1.0,124.29232643118148,130.99147381242386,1.0,1.0,1.241169305724726,1.4413024116930573,0.6519488428745429,0.0,6976.853836784409,33.124238733252135,0.0,10.123020706455542,0.0,19.805115712545675,350.5676004872107,29.707673568818514,529.8928136419001,9.902557856272837,0.0,0.0,5.992691839220463
