,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_IDLE_TIME,P2_IDLE_TIME,P1_REVENUE,P2_REVENUE,P1_ACTUAL_INC,P2_ACTUAL_INC,P1_COST,P2_COST,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,OUT,mu,P1_INFORMED,P2_INFORMED,inc_dif,platform_id,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
300,0.131163073956375,0.15689594275195815,0.21456141426979375,0.22313745709508123,0.95795203355067,0.9578289981639507,37.0,37.0,243.44504504504505,252.73603603603604,58.70676756756758,56.63688648648649,42.584402702702704,41.858710810810805,16.122364864864867,14.77817567567568,8.243243243243244,0.0,85.05405405405405,6180.108108108108,14885.432432432432,18.551621621621614,61.801081081081065,57.67182702702701,15.450270270270266,14.417956756756752,72.08978378378377,42.22155675675676,0.0,1.0,1.0,1.0,0.0541765959507895,1.5,0.0,0.0,6902.581081081081,123.64864864864865,0.0,162.51351351351352,0.0,1855.162162162162,0.0,247.2972972972973,4324.945945945946,0.0,0.0,0.0,0.0,7982.851351351352
301,0.13645097502821582,0.16381617171871843,0.21582591210399463,0.22463232995074608,0.9581481121736553,0.9579902868962169,32.0,31.0,223.77760416666666,210.01129032258066,69.71475,73.53197419354838,50.89584375,52.76269999999999,18.81890625,20.76927419354839,10.285714285714286,0.0,88.5079365079365,7911.444444444444,13020.222222222223,25.47777777777778,79.11444444444442,71.59306666666666,19.778611111111104,17.898266666666657,89.49133333333336,51.814455555555575,0.0,1.0,1.0,1.0,-0.1607180904022302,1.492063492063492,0.0,0.0,5678.412698412699,154.28571428571428,0.0,204.47619047619048,0.0,2547.777777777778,0.0,308.57142857142856,5363.666666666667,0.0,0.0,0.0,0.0,7341.809523809524
302,0.13561702277589244,0.1588172637573625,0.21681630462920687,0.22661463596483375,0.9583167811539446,0.9581592647857886,31.0,41.0,233.5456989247312,259.14674796747966,61.80196129032258,53.54282926829269,44.251638709677415,39.68636585365855,17.550322580645165,13.856463414634144,8.208333333333334,0.0,87.36111111111111,6178.75,14887.444444444445,19.014722222222225,61.78750000000001,57.09884444444442,15.446875000000002,14.2747111111111,71.37355555555555,41.65196944444444,0.0,1.0,1.0,1.0,0.06693616835921946,1.5694444444444444,0.0,0.0,6918.777777777777,123.125,0.0,163.43055555555554,0.0,1901.4722222222222,0.0,246.25,4277.277777777777,0.0,0.0,0.0,0.0,7968.666666666667
303,0.1362782643493513,0.16019030419275063,0.21851682119241927,0.2275752662261055,0.9585058261905516,0.9583319954091317,36.0,35.0,249.1425925925926,236.80285714285714,58.373777777777796,61.89152,43.11669444444444,44.846734285714284,15.257083333333334,17.044785714285712,8.633802816901408,0.0,90.84507042253522,6455.338028169014,14583.577464788732,19.519436619718306,64.55338028169014,60.10787605633803,16.138345070422535,15.026969014084504,75.13484507042251,43.9695309859155,0.0,1.0,1.0,1.0,0.015019467161391308,1.4929577464788732,0.0,0.0,6567.450704225352,129.50704225352112,0.0,171.56338028169014,0.0,1951.943661971831,0.0,259.01408450704224,4503.394366197183,0.0,0.0,0.0,0.0,8016.12676056338
304,0.14010652725050654,0.16311167477779548,0.2184201784372122,0.2277976471549891,0.9586753837663562,0.9585106760132117,31.0,36.0,223.9575268817204,246.92361111111111,68.89878709677421,60.2255111111111,50.09806129032258,44.67127500000001,18.800725806451613,15.554236111111114,9.238805970149254,0.0,88.22388059701493,6822.537313432836,14177.850746268658,20.10835820895523,68.22537313432836,64.23851940298506,17.05634328358209,16.059629850746262,80.29814925373137,47.18217611940298,0.0,1.0,1.0,1.0,-0.0569483897715722,1.537313432835821,0.0,0.0,6704.358208955224,138.5820895522388,0.0,182.86567164179104,0.0,2010.8358208955224,0.0,277.1641791044776,4811.701492537313,0.0,0.0,0.0,0.0,7473.492537313433
305,0.13994395109816968,0.16398819622879898,0.21953388914689642,0.22757482220680939,0.9588446252319733,0.958661051988307,30.0,35.0,237.47555555555556,230.83285714285714,62.09242666666668,64.81855999999999,45.16659333333334,46.93841714285715,16.925833333333333,17.880142857142857,9.092307692307692,0.0,84.35384615384615,6975.876923076923,14033.923076923076,22.100769230769234,69.75876923076925,63.56034461538461,17.43969230769231,15.890086153846148,79.45043076923075,46.12065230769231,0.0,1.0,1.0,1.0,-0.033168734491315126,1.5384615384615385,0.0,0.0,6573.138461538461,136.3846153846154,0.0,180.04615384615386,0.0,2210.076923076923,0.0,272.7692307692308,4765.8,0.0,0.0,0.0,0.0,7460.784615384616
306,0.13924405123748287,0.16694707814955773,0.21838949198773144,0.22698064882725377,0.9590214041691928,0.958824357921335,34.0,32.0,249.87990196078434,220.7046875,57.23661176470588,71.99815000000002,42.09124411764705,52.76346249999999,15.14536764705882,19.234687500000003,9.303030303030303,0.0,88.62121212121212,6851.227272727273,14144.060606060606,20.320909090909094,68.51227272727276,64.3937212121212,17.12806818181819,16.098430303030298,80.49215151515153,47.265653030303056,0.0,1.0,1.0,1.0,-0.05881839225589224,1.4848484848484849,0.0,0.0,6882.909090909091,139.54545454545453,0.0,185.07575757575756,0.0,2032.090909090909,0.0,279.09090909090907,4819.136363636364,0.0,0.0,0.0,0.0,7261.151515151515
307,0.13499352754488164,0.15917205337267115,0.21727392511846028,0.22704784698815025,0.9591641587067875,0.9589879729638199,41.0,47.0,262.5642276422764,266.22304964539006,52.30891707317074,50.655931914893614,38.895075609756105,37.728219148936184,13.413841463414634,12.927712765957448,7.193181818181818,0.0,82.98863636363636,5261.681818181818,15871.102272727272,13.893863636363637,52.61681818181816,51.42607272727275,13.15420454545454,12.856518181818181,64.28259090909091,38.27186818181817,0.0,1.0,1.0,1.0,0.14265528266536334,1.5340909090909092,0.0,0.0,7290.431818181818,107.89772727272727,0.0,142.52272727272728,0.0,1389.3863636363637,0.0,215.79545454545453,3872.2954545454545,0.0,0.0,0.0,0.0,8580.670454545454
308,0.13404185450183967,0.15892189456276895,0.21683985663974878,0.22924621901980002,0.9593097751651815,0.959134602859612,38.0,40.0,251.4390350877193,249.45375,56.76071578947367,57.99499999999999,41.80676842105263,42.758125,14.953947368421053,15.236874999999998,8.256410256410257,0.0,84.65384615384616,6039.615384615385,15025.25641025641,17.40820512820513,60.39615384615385,57.39368205128203,15.099038461538463,14.3484205128205,71.74210256410255,42.29464358974359,0.0,1.0,1.0,1.0,0.052539346107894506,1.5128205128205128,0.0,0.0,7008.7692307692305,123.84615384615384,0.0,162.5897435897436,0.0,1740.820512820513,0.0,247.69230769230768,4298.794871794872,0.0,0.0,0.0,0.0,8016.48717948718
309,0.13423820322983632,0.16379480794489396,0.21877079085019105,0.23010037704964564,0.9594717630532312,0.9593382173996875,34.0,30.0,240.35441176470587,186.0322222222222,59.85741176470589,82.28677333333333,43.2982205882353,57.995189999999994,16.559191176470588,24.29158333333333,9.796875,0.0,90.890625,8073.5,12893.453125,27.700468750000013,80.73499999999997,70.37117500000001,20.183749999999993,17.592793749999995,87.96396875000003,50.187425,0.0,1.0,1.0,1.0,-0.124270273297491,1.46875,0.0,0.0,5367.671875,143.453125,0.0,194.6875,0.0,2770.046875,0.0,293.90625,5303.453125,0.0,0.0,0.0,0.0,7525.78125
