,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P1_plat_revenue,P2_plat_revenue,P1_daily_profit,P2_daily_profit,P1_remaining_capital,P2_remaining_capital,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,P1_hate,P2_hate,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
186,0.014410231428432592,0.016679341373118228,0.026307245914120172,0.026927043119725165,0.9210171819574178,0.9215006468121587,65.0,60.0,5.1066666666666665,4.309722222222223,0.0,0.0,5.1066666666666665,4.309722222222222,4.724133333333333,150.37879999999998,153.0216,-349.62120000000004,-346.97839999999997,5523.1447999999855,5667.215200000019,-15.393662177777776,-11.603699306821468,4.72413333333333,0.36654502879647455,0.0,1.0,1.0,26.168,26.264,1.0,1.0,1.48,2.427203200000002,0.0,6.552,6.688,0.0,6776.44,0.0,0.0,15.0,0.0,20.0,283.448,30.0,536.352,10.0,0.0,0.0,0.0
187,0.014380775515794565,0.016708850382558375,0.02635751724446,0.026991017556973817,0.9215798243899413,0.9220986212263171,71.0,75.0,4.176525821596243,4.942000000000001,0.0,0.0,4.1793427230046944,4.942,4.571118721461188,175.36840000000004,199.9984,-324.63159999999993,-300.0016,5198.513199999986,5367.213600000019,-16.164181183409436,-11.604388160966456,4.56974885844749,0.519939748603534,0.0,1.0,1.0,24.39041095890411,24.431506849315067,1.0,1.0,1.5136986301369864,2.571005479452054,0.0,7.006849315068493,6.97945205479452,0.0,6806.698630136986,0.0,0.0,15.0,0.0,20.0,274.1849315068493,30.0,572.3219178082192,10.0,0.0,0.0,0.0
188,0.01448439301093605,0.01678120201308222,0.02642565965712334,0.027060578375553136,0.9221199308663426,0.9227149574372393,62.0,78.0,3.6696236559139783,4.854273504273503,0.0,0.0,3.6736559139784943,4.86025641025641,4.334761904761905,140.112,189.67159999999998,-359.88800000000003,-310.3284,4838.625199999986,5056.885200000019,-14.842926865079367,-11.03356037808769,4.329642857142856,0.37429245453637017,0.0,1.0,1.0,25.542857142857144,25.614285714285714,1.0,1.0,1.5571428571428572,2.355597142857143,0.0,6.571428571428571,6.542857142857143,0.0,6538.0,0.0,0.0,15.0,0.0,20.0,259.7785714285714,30.0,518.4285714285714,10.0,0.0,0.0,0.0
189,0.014539786676535833,0.016822295172522237,0.02647826797376328,0.02715071193793111,0.922725823095383,0.9233114807461095,66.0,73.0,4.589141414141414,4.833789954337898,0.0,0.0,4.589141414141415,4.833789954337901,4.717625899280575,161.9676,170.40720000000002,-338.0324,-329.5928,4500.592799999986,4727.2924000000185,-15.184652478017577,-11.429499875268016,4.717625899280575,0.37305409538140843,0.0,1.0,1.0,26.02158273381295,26.165467625899282,1.0,1.0,1.525179856115108,2.391185611510792,0.0,6.697841726618705,6.942446043165468,0.0,6583.287769784172,0.0,0.0,15.0,0.0,20.0,283.0575539568345,30.0,527.3381294964029,10.0,0.0,0.0,0.0
190,0.014670868042985981,0.016856856098337855,0.02653764624842416,0.027206519256791312,0.9232920764411212,0.9238704532360094,47.0,54.0,4.009219858156029,4.595061728395062,0.0,0.0,4.009219858156029,4.59753086419753,4.323762376237624,105.06439999999999,117.7708,-394.9356,-382.2292,4105.657199999986,4345.063200000019,-13.983667849284936,-11.038885199651768,4.322442244224422,0.46286428148552505,0.0,1.0,1.0,27.801980198019802,27.831683168316832,1.0,1.0,1.5346534653465347,2.206289108910892,0.0,6.1683168316831685,6.178217821782178,0.0,6636.930693069307,0.0,0.0,15.0,0.0,20.0,259.34653465346537,30.0,481.1188118811881,10.0,0.0,0.0,0.0
191,0.014634764606765417,0.01690536171414141,0.02664430302370625,0.027269965564834405,0.9238860924593313,0.9244882129756639,74.0,68.0,6.642567567567568,4.460049019607844,0.0,0.0,6.642567567567568,4.460049019607843,5.597417840375587,183.30919999999998,153.35880000000003,-316.6908,-346.64119999999997,3788.966399999986,3998.4220000000187,-15.379894972613451,-11.069161210501482,5.597417840375589,0.48367981419344275,0.0,1.0,1.0,26.492957746478872,26.549295774647888,1.0,1.0,1.4788732394366197,2.370901408450704,0.0,7.02112676056338,6.802816901408451,0.0,6585.922535211268,0.0,0.0,15.0,0.0,20.0,335.84507042253523,30.0,522.2323943661971,10.0,0.0,0.0,0.0
192,0.014681632723241403,0.016909583502543953,0.02670923068226783,0.027312973723967515,0.9244301764344481,0.9250519301606268,67.0,70.0,5.353731343283581,5.028333333333332,0.0,0.0,5.357213930348259,5.028333333333333,5.1891727493917275,161.1708,183.02159999999998,-338.8292,-316.9784,3450.137199999986,3681.4436000000187,-16.04641060421736,-11.36220017215166,5.187469586374698,0.6307620511006609,0.0,1.0,1.0,26.204379562043794,26.277372262773724,1.0,1.0,1.510948905109489,2.512353284671533,0.0,7.678832116788321,7.430656934306569,0.0,7448.175182481752,0.0,0.0,15.0,0.0,20.0,311.24817518248176,30.0,557.6277372262774,10.0,0.0,0.0,0.0
193,0.014816990556852757,0.016945282206036007,0.026771522930927986,0.02736565738093995,0.925017579931409,0.9256328639251472,67.0,66.0,4.3482587064676625,4.811868686868686,0.0,0.0,4.348258706467662,4.811868686868688,4.578320802005012,156.39440000000002,160.78079999999997,-343.6056,-339.2192,3106.531599999986,3342.2244000000187,-15.098493233082706,-11.134510461152647,4.5783208020050115,0.4186001524481034,0.0,1.0,1.0,27.57894736842105,27.67669172932331,1.0,1.0,1.4962406015037595,2.384775939849626,0.0,6.345864661654136,6.593984962406015,0.0,6863.112781954887,0.0,0.0,15.0,0.0,20.0,274.69924812030075,30.0,525.7293233082706,10.0,0.0,0.0,0.0
194,0.014884797512288637,0.016980592865533013,0.02683031545891907,0.027390870686998164,0.9255554566831241,0.9261436053448128,65.0,61.0,4.340769230769229,5.561202185792352,0.0,0.0,4.34076923076923,5.561202185792349,4.931613756613757,145.9924,150.27159999999998,-354.0076,-349.7284,2752.5239999999862,2992.4960000000187,-15.031724360670195,-11.155901813614632,4.931613756613755,0.6384095516644109,0.0,1.0,1.0,28.72222222222222,28.825396825396826,1.0,1.0,1.4841269841269842,2.351301587301587,0.0,6.301587301587301,6.166666666666667,0.0,7403.81746031746,0.0,0.0,15.0,0.0,20.0,295.8968253968254,30.0,517.4047619047619,10.0,0.0,0.0,0.0
195,0.014941184960290179,0.0170408030636322,0.026902070592211124,0.02747157751807469,0.9260863520790501,0.9266173955651164,50.0,61.0,3.639333333333332,4.061748633879781,0.0,0.0,3.6393333333333335,4.065573770491803,3.8735735735735735,117.4024,136.038,-382.5976,-363.962,2369.926399999986,2628.5340000000188,-14.265505180180186,-11.158772939528975,3.8714714714714713,0.3966816120846343,0.0,1.0,1.0,28.666666666666668,28.73873873873874,1.0,1.0,1.5495495495495495,2.283246846846847,0.0,7.009009009009009,7.063063063063063,0.0,6737.225225225226,0.0,0.0,15.0,0.0,20.0,232.2882882882883,30.0,500.3693693693694,10.0,0.0,0.0,0.0
