,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_ACTUAL_WT,P2_ACTUAL_WT,P1_MATCHING_T,P2_MATCHING_T,P1_PICKUP_T,P2_PICKUP_T,PICKUP_T,P1_plat_revenue,P2_plat_revenue,P1_daily_profit,P2_daily_profit,P1_remaining_capital,P2_remaining_capital,P_U,PT_U,ACTUAL_WT,U_dif,OUT,mu,wu,nDAYS_HAILED,nDAYS_TRY,P1_INFORMED,P2_INFORMED,platform_id,plat_revenue,MATCHING_T,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
445,0.17502919069604933,0.19655288582886135,0.27096320366427507,0.28687490110405983,0.9738179879097738,0.9738492985450646,407.0,450.0,3.7807125307125267,3.109666666666669,0.0,0.0,3.7859131859131856,3.1138888888888885,3.4330416180474526,717.0528400000001,788.2226800000001,217.05284000000006,288.2226800000001,31465.84452000001,27580.01128000003,-11.552690798003365,-11.361873144754275,3.428354725787632,0.04788541362272508,0.0,1.0,1.0,180.83547257876313,185.8203033838973,1.0,1.0,1.5250875145857643,1.7564475145857665,0.0,0.0,7123.022170361727,0.0,0.0,15.0,0.0,20.0,205.70128354725787,30.0,526.8506417736289,10.0,0.0,0.0,0.0
446,0.17513805534621668,0.1965378071416681,0.27116835344897583,0.2874043785381758,0.9738833242619932,0.9739154044341124,402.0,428.0,3.364262023217245,3.640264797507792,0.0,0.0,3.3687396351575454,3.6439252336448598,3.5106425702811244,681.67624,748.42936,181.67624,248.42935999999997,31647.52076000001,27828.44064000003,-11.377993912315919,-11.246455562185538,3.5065863453815287,0.04470881387982095,0.0,1.0,1.0,183.2132530120482,188.11566265060242,1.0,1.0,1.5156626506024096,1.7230187951807228,0.0,0.0,7059.831325301205,0.0,0.0,15.0,0.0,20.0,210.39518072289155,30.0,514.9048192771085,10.0,0.0,0.0,0.0
447,0.17525302081790772,0.1966129599336454,0.27155371339321477,0.2872283487465999,0.9739502639366046,0.9739826994552278,372.0,425.0,3.1926971326164826,3.307529411764707,0.0,0.0,3.195698924731183,3.313176470588235,3.258343789209536,624.8379199999999,767.7401199999999,124.83791999999994,267.74011999999993,31772.358680000012,28096.18076000003,-11.435361236581624,-11.299104018996776,3.2539314094521132,0.0517610164153719,0.0,1.0,1.0,184.55708908406524,189.534504391468,1.0,1.0,1.533249686323714,1.7472748306148065,0.0,0.0,7133.434127979925,0.0,0.0,15.0,0.0,20.0,195.23588456712673,30.0,523.5784190715182,10.0,0.0,0.0,0.0
448,0.1754000653398857,0.19664950609512272,0.27163912009390684,0.28776361594167865,0.9740166463869309,0.9740484009293673,409.0,411.0,3.1590872045639733,3.3577858880778564,0.0,0.0,3.1680521597392013,3.3609894566098943,3.2647560975609755,692.33304,718.81768,192.33303999999998,218.81768,31964.691720000013,28314.99844000003,-11.277392394986444,-11.302192122362461,3.2586788617886224,0.026918418985644954,0.0,1.0,1.0,187.16585365853658,192.19146341463414,1.0,1.0,1.501219512195122,1.7209155121951243,0.0,0.0,7110.3963414634145,0.0,0.0,15.0,0.0,20.0,195.52073170731708,30.0,514.1451219512195,10.0,0.0,0.0,0.0
449,0.1755105541107606,0.19677693905085006,0.27234397363532253,0.28860888444516813,0.9740822955538144,0.9741121302604993,397.0,434.0,3.372586062132661,2.886827956989249,0.0,0.0,3.3759445843828715,2.8926651305683566,3.1235459286000804,697.68412,774.49064,197.68412,274.49064,32162.375840000015,28589.48908000003,-11.534595119668403,-11.4066452819399,3.118892900120338,0.043408821628398875,0.0,1.0,1.0,183.1552346570397,187.99638989169677,1.0,1.0,1.5222623345367028,1.7715701083032487,0.0,0.0,7050.784596871239,0.0,0.0,15.0,0.0,20.0,187.1335740072202,30.0,532.2503008423586,10.0,0.0,0.0,0.0
450,0.17566159788490704,0.19693722796525293,0.27188612854695954,0.2881113775193272,0.9741471801820141,0.9741778248339398,410.0,424.0,3.5067073170731717,3.14300314465409,0.0,0.0,3.510447154471545,3.144772012578616,3.324540367705835,706.6295600000001,743.23704,206.62956000000008,243.23703999999998,32369.005400000016,28832.72612000003,-11.4059689581668,-11.247780959517234,3.3218025579536405,0.04279004292077442,0.0,1.0,1.0,184.4928057553957,189.50959232613909,1.0,1.0,1.5083932853717026,1.738449160671464,0.0,0.0,7137.079136690648,0.0,0.0,15.0,0.0,20.0,199.3081534772182,30.0,520.4244604316547,10.0,0.0,0.0,0.0
451,0.17556230694639832,0.1970748945139014,0.2723066907453148,0.28794057616525437,0.9742140930217768,0.9742454274478912,398.0,411.0,4.214405360134002,2.4785077047850756,0.0,0.0,4.216959798994975,2.4815490673154907,3.3353110836423565,689.6232,726.6366800000001,189.6232,226.63668000000007,32558.62860000002,29059.362800000028,-11.48348891635763,-11.290184355100816,3.3325092707045734,0.07225928105099501,0.0,1.0,1.0,183.25339925834362,188.0346106304079,1.0,1.0,1.508034610630408,1.7506302595797278,0.0,0.0,7273.7144622991345,0.0,0.0,15.0,0.0,20.0,199.95055624227442,30.0,524.7663782447466,10.0,0.0,0.0,0.0
452,0.1756153240653847,0.19719568174212987,0.2715087657671641,0.2887577566718345,0.974280204007375,0.9743106544841637,398.0,415.0,4.170728643216079,3.2507630522088364,0.0,0.0,4.172403685092128,3.2535341365461843,3.703362033620336,694.3095599999999,744.8002799999999,194.30955999999992,244.80027999999993,32752.93816000002,29304.163080000028,-11.732147410140758,-11.251757382699473,3.701127511275119,0.10866804044837741,0.0,1.0,1.0,183.31734317343174,188.309963099631,1.0,1.0,1.5104551045510455,1.7701228044280455,0.0,0.0,7047.09717097171,0.0,0.0,15.0,0.0,20.0,222.06765067650676,30.0,531.7367773677737,10.0,0.0,0.0,0.0
453,0.17578522196602464,0.19735752400340076,0.2714683164548565,0.28908592862706434,0.9743459792074477,0.9743746137832593,376.0,439.0,3.934530141843971,2.9890660592255145,0.0,0.0,3.937455673758865,2.9939255884586182,3.4292229038854805,634.2450799999999,783.72896,134.24507999999992,283.72896000000003,32887.18324000002,29587.892040000028,-11.451049468302658,-11.167689526240391,3.425255623721882,0.08019398030767154,0.0,1.0,1.0,182.8515337423313,187.70674846625766,1.0,1.0,1.5386503067484663,1.7398454478527627,0.0,0.0,7155.353374233129,0.0,0.0,15.0,0.0,20.0,205.51533742331287,30.0,520.9128834355828,10.0,0.0,0.0,0.0
454,0.17592044651000685,0.19737003025784217,0.27117446385064103,0.29002734808722574,0.9744098067430988,0.9744400780714911,408.0,438.0,3.1877450980392132,3.756735159817353,0.0,0.0,3.1920751633986924,3.7596651445966516,3.4859338061465723,696.381,780.6069600000001,196.38099999999997,280.6069600000001,33083.56424000002,29868.49900000003,-11.50762565668506,-11.113253409224823,3.4823286052009492,0.10020953272846365,0.0,1.0,1.0,183.43026004728134,188.36170212765958,1.0,1.0,1.5177304964539007,1.7458486524822714,0.0,0.0,7116.276595744681,0.0,0.0,15.0,0.0,20.0,208.93971631205673,30.0,523.0591016548464,10.0,0.0,0.0,0.0
