,P1_EXPERIENCE_U,P2_EXPERIENCE_U,P1_WOM_U,P2_WOM_U,P1_MARKETING_U,P2_MARKETING_U,P1_OUT,P2_OUT,P1_IDLE_TIME,P2_IDLE_TIME,P1_REVENUE,P2_REVENUE,P1_ACTUAL_INC,P2_ACTUAL_INC,P1_COST,P2_COST,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,OUT,mu,P1_INFORMED,P2_INFORMED,inc_dif,platform_id,P1_hate,P2_hate,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
311,0.14408932649073944,0.012333214529858137,0.2146355421896387,0.12419166100819547,0.959902785596174,0.9600629473291944,40.0,9.0,236.0625,330.0722222222222,63.939679999999974,19.60355555555556,46.995430000000006,15.423833333333334,16.944250000000004,4.179722222222222,8.63265306122449,0.0,71.36734693877551,5839.897959183673,15199.775510204081,18.07387755102041,58.39897959183675,55.79631020408163,14.599744897959187,13.949077551020405,69.74538775510204,41.19656530612245,0.0,1.0,1.0,1.0,0.07713787396679102,1.183673469387755,0.32653061224489793,5.081632653061225,0.0,0.0,6584.142857142857,129.48979591836735,0.0,170.85714285714286,0.0,1807.3877551020407,0.0,258.9795918367347,4032.5102040816328,0.0,0.0,0.0,0.0,8615.632653061224
312,0.1458825874710659,0.011881741706887852,0.21507309088793758,0.12428880962332277,0.9600630611844357,0.9602194532291292,42.0,15.0,244.82817460317463,216.4188888888889,61.208533333333335,17.14346666666667,45.4937119047619,13.878800000000002,15.714821428571431,3.2646666666666673,7.526315789473684,0.0,69.82456140350877,4975.3859649122805,14241.122807017544,14.06017543859649,49.753859649122816,49.61246315789472,12.438464912280704,12.40311578947368,62.01557894736843,37.17399824561404,0.0,1.0,1.0,1.0,0.16724914324341325,1.263157894736842,0.2807017543859649,4.333333333333333,0.0,0.0,6318.087719298245,112.89473684210526,0.0,149.1578947368421,0.0,1406.017543859649,0.0,225.78947368421052,3569.3684210526317,0.0,0.0,0.0,0.0,9817.684210526315
313,0.14652531223231124,0.011844230737298664,0.21693173303065108,0.1243856387840766,0.9602271133698632,0.9603925727324204,40.0,10.0,242.73291666666668,314.3833333333333,62.254639999999995,27.721600000000006,46.25089,21.3366,16.003749999999997,6.385,8.38,0.0,71.68,5632.0,15423.78,16.5992,56.31999999999998,55.348031999999996,14.079999999999995,13.837007999999999,69.18504,41.26803199999999,0.0,1.0,1.0,1.0,0.07553691756272403,1.2,0.12,5.1,0.0,0.0,6944.9,125.7,0.0,166.12,0.0,1659.92,0.0,251.4,3972.08,0.0,0.0,0.0,0.0,8478.88
314,0.14815054759453533,0.011847158123469188,0.21725566448005348,0.12452083452039756,0.9603922522387456,0.9605503833626671,43.0,7.0,248.82170542635657,284.09523809523813,59.50065116279072,42.02971428571429,44.3262906976744,31.296499999999998,15.17436046511628,10.733214285714286,8.52,0.0,74.32,5821.04,15225.6,17.1968,58.21040000000002,57.05472,14.552600000000005,14.26368,71.3184,42.502119999999984,0.0,1.0,1.0,1.0,0.04789157706093192,1.14,0.24,5.1,0.0,0.0,7017.6,127.8,0.0,168.96,0.0,1719.68,0.0,255.6,4101.36,0.0,0.0,0.0,0.0,8208.0
315,0.1512436460679829,0.0118145684051523,0.21745374936138595,0.12463357386190291,0.960547934787014,0.9607102625108149,40.0,11.0,234.97625000000002,287.47727272727275,64.97764,24.503272727272726,47.935265,18.935090909090913,17.042375,5.568181818181819,8.784313725490197,0.0,69.29411764705883,5827.019607843137,14778.0,18.09,58.270196078431375,56.24787450980393,14.567549019607844,14.06196862745098,70.30984313725492,41.68032549019608,0.0,1.0,1.0,1.0,0.06630095228055378,1.2156862745098038,0.1568627450980392,4.568627450980392,0.0,0.0,6521.254901960784,131.76470588235293,0.0,175.1764705882353,0.0,1809.0,0.0,263.52941176470586,4018.0196078431372,0.0,0.0,0.0,0.0,8680.254901960785
316,0.1541370190535098,0.011519438379176095,0.21802486256965165,0.12472412407565374,0.9606937535070569,0.9608560364454948,36.0,12.0,227.0875,316.98611111111114,68.8747111111111,28.959999999999997,50.73721111111112,22.943749999999994,18.137500000000003,6.0162499999999985,8.979166666666666,0.0,72.83333333333333,6042.875,14973.729166666666,18.561458333333334,60.42875000000001,58.896033333333314,15.107187500000002,14.724008333333328,73.62004166666665,43.78884583333334,0.0,1.0,1.0,1.0,0.019067073626045424,1.25,0.0625,5.6875,0.0,0.0,6916.1875,134.6875,0.0,178.33333333333334,0.0,1856.1458333333333,0.0,269.375,4186.729166666667,0.0,0.0,0.0,0.0,8057.541666666667
317,0.15529760832572687,0.011470698412242212,0.218827705084588,0.1248220277602279,0.960844685556935,0.9609911620757555,42.0,5.0,246.66071428571428,279.52333333333337,60.241866666666674,45.48480000000001,44.77978333333334,34.16330000000001,15.462083333333336,11.321499999999999,8.957446808510639,0.0,74.17021276595744,6008.63829787234,15009.404255319148,17.80744680851064,60.086382978723414,58.67196595744682,15.021595744680853,14.667991489361704,73.3399574468085,43.65037021276598,0.0,1.0,1.0,1.0,0.022169126058110226,1.1063829787234043,0.14893617021276595,5.319148936170213,0.0,0.0,6632.468085106383,134.36170212765958,0.0,177.87234042553192,0.0,1780.7446808510638,0.0,268.72340425531917,4227.893617021276,0.0,0.0,0.0,0.0,8376.936170212766
318,0.14885131113066868,0.011507201998713058,0.22078898839929958,0.12491980169917415,0.9609906767620179,0.9611163207236831,49.0,9.0,258.243537414966,292.4888888888889,51.09897142857143,40.888888888888886,38.253665306122464,31.396666666666665,12.845306122448978,9.492222222222225,7.4655172413793105,0.0,74.41379310344827,4930.0,15813.448275862069,14.074482758620688,49.300000000000004,49.51464827586206,12.325000000000001,12.378662068965513,61.89331034482758,37.189648275862076,0.0,1.0,1.0,1.0,0.16689856012853788,1.1551724137931034,0.5172413793103449,4.862068965517241,0.0,0.0,7175.0344827586205,111.98275862068965,0.0,147.20689655172413,0.0,1407.448275862069,0.0,223.9655172413793,3522.551724137931,0.0,0.0,0.0,0.0,9010.810344827587
319,0.1478614951276268,0.01161028676065756,0.2207939439365165,0.12497734883363931,0.9611388584710758,0.9612804282910349,40.0,7.0,241.27416666666667,277.7904761904762,61.83156000000001,51.01257142857143,45.62556,39.40328571428571,16.205999999999996,11.609285714285715,9.063829787234043,0.0,74.25531914893617,6208.553191489362,14802.765957446809,19.218510638297875,62.085531914893615,60.22022127659575,15.521382978723404,15.055055319148938,75.2752765957447,44.69883829787234,0.0,1.0,1.0,1.0,-0.0013180622283230016,1.148936170212766,0.5319148936170213,4.74468085106383,0.0,0.0,6754.787234042553,135.95744680851064,0.0,179.80851063829786,0.0,1921.8510638297873,0.0,271.9148936170213,4286.702127659574,0.0,0.0,0.0,0.0,8047.978723404255
320,0.14429620547113686,0.0118745675122257,0.22109985490517764,0.12505511906714697,0.9612772681966516,0.9614293332149683,48.0,3.0,263.71215277777776,164.5611111111111,54.157599999999974,93.42933333333333,41.10140208333333,65.57016666666668,13.056197916666669,27.859166666666667,8.607843137254902,0.0,72.72549019607843,5570.78431372549,15472.78431372549,15.20549019607843,55.7078431372549,56.46770196078429,13.926960784313724,14.11692549019607,70.58462745098036,42.54074117647058,0.0,1.0,1.0,1.0,0.04702640733712839,1.0588235294117647,0.23529411764705882,5.1568627450980395,0.0,0.0,7233.509803921569,127.6470588235294,0.0,169.54901960784315,0.0,1520.549019607843,0.0,258.2352941176471,4050.235294117647,0.0,0.0,0.0,0.0,8239.274509803921
