,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
284,[[308  34]],2,327.21719999999993,147.25,[[319  27]],319,27,1.2,0.15,0.0,False
285,[[319  27]],1,217.97444000000002,141.50000000000003,[[316  25]],316,25,1.2,0.1,0.0,False
286,[[316  25]],1,106.24564,151.25,[[315  29]],315,29,1.2,0.05,0.0,False
287,[[315  29]],1,0.0,141.50000000000003,[[326  24]],326,24,1.2,0.0,0.0,False
288,[[326  24]],2,0.0,137.5,[[290  26]],290,26,1.2,0.0,0.0,False
289,[[290  26]],0,94.45814,161.25,[[315  33]],315,33,1.2,0.05,0.0,False
290,[[315  33]],1,0.0,160.99999999999997,[[354  29]],354,29,1.2,0.0,0.0,False
291,[[354  29]],2,0.0,161.0,[[334  31]],334,31,1.2,0.0,0.0,False
292,[[334  31]],2,0.0,177.25,[[349  36]],349,36,1.2,0.0,0.0,False
293,[[349  36]],2,0.0,150.25,[[321  28]],321,28,1.2,0.0,0.0,False
294,[[321  28]],2,0.0,162.0,[[328  32]],328,32,1.2,0.0,0.0,False
295,[[328  32]],1,0.0,162.99999999999997,[[352  30]],352,30,1.2,0.0,0.0,False
296,[[352  30]],2,0.0,175.25000000000003,[[331  37]],331,37,1.2,0.0,0.0,False
297,[[331  37]],0,109.9723,164.49999999999997,[[348  31]],348,31,1.2,0.05,0.0,False
298,[[348  31]],0,230.70756,191.5,[[356  41]],356,41,1.2,0.1,0.0,False
299,[[356  41]],0,358.58238,185.75,[[363  38]],363,38,1.2,0.15,0.0,False
300,[[363  38]],0,512.3179200000001,189.0,[[346  41]],346,41,1.2,0.2,0.0,False
301,[[346  41]],0,590.8586,192.5,[[340  43]],340,43,1.2,0.25,0.0,False
302,[[340  43]],0,690.44316,166.99999999999997,[[368  30]],368,30,1.2,0.3,0.0,False
303,[[368  30]],0,883.69652,157.0,[[338  29]],338,29,1.2,0.35,0.0,False
304,[[338  29]],0,896.4467200000001,173.0,[[372  32]],372,32,1.2,0.4,0.0,False
305,[[372  32]],0,1115.9397,174.0,[[366  33]],366,33,1.2,0.45,0.0,False
306,[[366  33]],2,1061.21826,160.75,[[363  28]],363,28,1.2,0.45,0.0,False
307,[[363  28]],2,1115.0540999999998,178.5,[[384  33]],384,33,1.2,0.45,0.0,False
308,[[384  33]],2,1144.8626399999998,119.25,[[357  12]],357,12,1.2,0.45,0.0,False
309,[[357  12]],0,1185.4152,149.75,[[369  23]],369,23,1.2,0.5,0.0,False
310,[[369  23]],0,1381.94166,169.49999999999997,[[368  31]],368,31,1.2,0.55,0.0,False
311,[[368  31]],2,1389.21772,144.75,[[369  21]],369,21,1.2,0.55,0.0,False
312,[[369  21]],1,1219.4202,129.25,[[377  14]],377,14,1.2,0.5,0.0,False
313,[[377  14]],2,1221.8966,143.5,[[344  23]],344,23,1.2,0.5,0.0,False
314,[[344  23]],2,1130.7487999999998,141.75,[[347  22]],347,22,1.2,0.5,0.0,False
315,[[347  22]],1,1039.46292,138.0,[[362  19]],362,19,1.2,0.45,0.0,False
316,[[362  19]],2,1060.31232,119.75,[[349  13]],349,13,1.2,0.45,0.0,False
317,[[349  13]],0,1166.0284000000001,110.74999999999999,[[353   9]],353,9,1.2,0.5,0.0,False
318,[[353   9]],2,1202.6131999999998,128.25,[[313  20]],313,20,1.2,0.5,0.0,False
319,[[313  20]],0,1159.58084,129.0,[[346  17]],346,17,1.2,0.55,0.0,False
320,[[346  17]],0,1430.4655199999997,137.5,[[350  20]],350,20,1.2,0.6,0.0,False
321,[[350  20]],2,1438.38816,128.25,[[323  19]],323,19,1.2,0.6,0.0,False
322,[[323  19]],1,1205.6308,130.25,[[361  16]],361,16,1.2,0.55,0.0,False
323,[[361  16]],1,1282.1259999999997,128.0,[[322  19]],322,19,1.2,0.5,0.0,False
