,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
5517,46537199,46496230,2020-10-27 17:28:00,1900-01-01 18:01:00,0 days 00:33:00,4.76536,52.41035,4.9563597,52.3971045,True,3.0,4847.0,1423.7075639057232,2.0,3215.0,528.0,"[['WALK', 805, 1048], ['BUS', 960, 7224], ['WALK', 74, 95], ['BUS', 2040, 14701], ['BUS', 215, 1199], ['WALK', 225, 280]]",19288
5518,46315402,287775057,2020-10-27 17:57:00,1900-01-01 18:01:00,0 days 00:04:00,4.8837191,52.3553936,4.878496,52.3636299,True,3.0,683.0,523.7313909707838,0.0,240.0,2.0,"[['WALK', 271, 322], ['BUS', 240, 1079], ['WALK', 170, 200]]",1351
5519,46404672,46345976,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.8998548,52.3754435,4.8736177,52.3623806,True,3.0,1337.0,620.7166466049688,1.0,732.0,80.0,"[['WALK', 504, 595], ['TRAM', 573, 1795], ['TRAM', 159, 539], ['WALK', 21, 25]]",3165
5520,4924402831,1057816391,2020-10-27 17:43:00,1900-01-01 18:01:00,0 days 00:18:00,4.8804591,52.3629861,4.8402892,52.3641548,True,3.0,1408.0,950.9715939756824,0.0,625.0,2.0,"[['WALK', 152, 177], ['TRAM', 625, 2990], ['WALK', 629, 773]]",3222
5521,46413715,46351122,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.8944476,52.3773476,4.8692546,52.3636625,True,3.0,1215.0,590.1783834488572,0.0,717.0,2.0,"[['WALK', 221, 267], ['TRAM', 717, 2538], ['WALK', 275, 322]]",3248
5522,46330371,46360091,2020-10-27 17:09:00,1900-01-01 17:10:00,0 days 00:01:00,4.8553701,52.3589349,4.8377939,52.3658586,True,3.0,1026.0,1046.0719323204069,0.0,174.0,2.0,"[['WALK', 617, 761], ['BUS', 174, 902], ['WALK', 233, 284]]",1992
5523,46346389,46332065,2020-10-27 17:08:00,1900-01-01 17:13:00,0 days 00:05:00,4.8780904,52.3625065,4.8563857,52.3593275,True,3.0,808.0,712.5026541268955,0.0,225.0,2.0,"[['WALK', 295, 368], ['TRAM', 225, 996], ['WALK', 286, 344]]",1933
5524,46344934,46351658,2020-10-27 17:23:00,1900-01-01 17:28:00,0 days 00:05:00,4.879663,52.3621213,4.876367,52.363799,True,1.0,397.0,495.8392405983984,0.0,0.0,0.0,"[['WALK', 397, 495]]",645
5525,2345374032,46332065,2020-10-27 17:30:00,1900-01-01 18:01:00,0 days 00:31:00,4.8364594,52.3671246,4.8563857,52.3593275,True,3.0,1376.0,1416.0609097675338,0.0,243.0,2.0,"[['WALK', 303, 386], ['BUS', 243, 1257], ['WALK', 828, 1029]]",3119
5526,31240668,280452516,2020-10-27 17:51:00,1900-01-01 17:56:00,0 days 00:05:00,4.8571429,52.3591046,4.8766521,52.3623788,True,3.0,664.0,486.8250751837729,0.0,265.0,2.0,"[['WALK', 256, 316], ['TRAM', 265, 1114], ['WALK', 141, 170]]",1522
5527,601499189,46372791,2020-10-27 17:32:00,1900-01-01 17:46:00,0 days 00:14:00,4.8700476,52.3638559,4.9265146,52.368792,True,3.0,1675.0,474.37948871226985,0.0,1265.0,2.0,"[['WALK', 321, 371], ['TRAM', 1265, 4901], ['WALK', 87, 102]]",5682
5528,46354113,46311341,2020-10-27 17:36:00,1900-01-01 17:41:00,0 days 00:05:00,4.8785623,52.3645899,4.8621424,52.354567,True,3.0,1032.0,593.6253684082307,0.0,522.0,2.0,"[['WALK', 328, 385], ['TRAM', 522, 2017], ['WALK', 180, 208]]",2175
5529,46360122,287776239,2020-10-27 17:49:00,1900-01-01 18:01:00,0 days 00:12:00,4.92678,52.3659158,4.8747571,52.3633667,True,3.0,1613.0,739.8509473658737,0.0,1019.0,2.0,"[['WALK', 198, 244], ['TRAM', 1019, 4300], ['WALK', 394, 495]]",4173
5530,46351658,1993559072,2020-10-27 17:15:00,1900-01-01 17:25:00,0 days 00:10:00,4.876367,52.363799,4.797072,52.3469473,True,3.0,1746.0,858.4556315691821,0.0,1038.0,2.0,"[['WALK', 226, 278], ['TRAM', 1038, 5898], ['WALK', 480, 579]]",6640
5531,280452516,722976564,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8766521,52.3623788,4.8759517,52.3619063,True,1.0,174.0,218.02966917074883,0.0,0.0,0.0,"[['WALK', 174, 217]]",615
5532,46342008,46351126,2020-10-27 17:06:00,1900-01-01 17:11:00,0 days 00:05:00,4.8674716,52.3614981,4.8788921,52.3636218,True,3.0,611.0,609.8360601447596,0.0,120.0,2.0,"[['WALK', 247, 310], ['TRAM', 120, 599], ['WALK', 242, 299]]",892
5533,46366122,5333535440,2020-10-27 17:53:00,1900-01-01 18:01:00,0 days 00:08:00,4.8533985,52.3673354,4.8548173,52.3564223,True,3.0,837.0,854.1473232976442,0.0,127.0,2.0,"[['WALK', 387, 482], ['TRAM', 127, 518], ['WALK', 321, 371]]",1426
5534,46342898,2352244639,2020-10-27 17:43:00,1900-01-01 17:46:00,0 days 00:03:00,4.868161,52.3616819,4.8732981,52.3657213,True,2.0,624.0,757.6778270602208,0.0,0.0,0.0,"[['WALK', 624, 757]]",929
5535,5366588311,46357388,2020-10-27 17:43:00,1900-01-01 17:48:00,0 days 00:05:00,4.8588292,52.3585661,4.8669047,52.3651936,True,3.0,826.0,867.2649172846204,0.0,127.0,2.0,"[['WALK', 50, 64], ['TRAM', 127, 515], ['WALK', 647, 802]]",1265
5536,46342707,46340766,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8821335,52.3616757,4.8732888,52.3611823,True,3.0,588.0,716.6207217968083,0.0,0.0,0.0,"[['WALK', 588, 716]]",785
5537,7027339018,46345919,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.8773013,52.3830336,4.8806523,52.362364,True,3.0,1023.0,508.0628195431345,0.0,601.0,2.0,"[['WALK', 12, 12], ['TRAM', 601, 2595], ['WALK', 408, 495]]",2553
5538,46336969,5333535440,2020-10-27 17:40:00,1900-01-01 18:01:00,0 days 00:21:00,4.8959873,52.3603497,4.8548173,52.3564223,True,3.0,1447.0,869.0072330732448,0.0,735.0,2.0,"[['WALK', 281, 336], ['TRAM', 735, 2883], ['WALK', 429, 532]]",3724
5539,5777055048,46344934,2020-10-27 17:20:00,1900-01-01 17:31:00,0 days 00:11:00,4.8950264,52.379837,4.879663,52.3621213,True,3.0,1418.0,978.9280225367394,0.0,573.0,2.0,"[['WALK', 558, 647], ['TRAM', 573, 1795], ['WALK', 285, 331]]",3042
5540,31240666,3176714997,2020-10-27 17:41:00,1900-01-01 17:52:00,0 days 00:11:00,4.8594366,52.3595136,4.8903917,52.3732205,True,3.0,1374.0,865.704736837435,0.0,690.0,2.0,"[['WALK', 675, 857], ['TRAM', 690, 2588], ['WALK', 7, 8]]",3438
5541,46354113,6933164026,2020-10-27 17:45:00,1900-01-01 17:50:00,0 days 00:05:00,4.8785623,52.3645899,4.8599315,52.3589709,True,3.0,624.0,477.1575112715964,0.0,225.0,2.0,"[['WALK', 356, 440], ['TRAM', 225, 996], ['WALK', 41, 36]]",1474
5542,2740053644,46346468,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.875321,52.3628266,4.8714474,52.3625354,True,1.0,264.0,325.4962631544982,0.0,0.0,0.0,"[['WALK', 264, 325]]",690
