,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,nDAYS_HAILED,INFORMED,MATCHING_T,VoT,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
0,0.010000000000001426,0.010000000000001426,0.011646476351983962,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,0.010000187935464986,0.010000309952194333,0.01571331440252725,30.0,54.06192,-61.638437902760906,-11.471498614564512,11.841111111111111,4.3529475625838945,1.0,1.0,1.0,8.047222222222222,10.303580880954831,0.0,6279.6,93.33333333333333,0.0,1.5,0.0,7.333333333333333,227.63333333333333,11.0,221.76666666666668,3.6666666666666665,0.0,0.0,389.5
2,0.010003151674123682,0.010001568846321559,0.024463280750781642,48.0,80.62488,-17.001818663271028,-11.238890216106093,9.286458333333332,0.5878915691737622,1.0,1.0208333333333333,1.0,1.7861111111111108,10.836253769133284,0.0,6938.270833333333,68.72916666666667,0.0,10.0,0.0,18.75,450.0208333333333,28.125,559.3541666666666,9.375,0.0,0.0,38.4375
3,0.010004289135592712,0.010003763785186106,0.03887304726824789,57.0,100.72272,-43.04673831245764,-10.358342013064897,11.129824561403508,3.166461526633925,1.0,1.0526315789473684,1.0,5.7973684210526315,9.8059578601831,0.0,6671.473684210527,132.05263157894737,0.0,3.1578947368421053,0.0,12.982456140350877,319.94736842105266,19.473684210526315,349.7368421052632,6.491228070175438,0.0,0.0,215.78947368421052
4,0.01000676624692475,0.010009386134211373,0.05520528511898121,65.0,108.71768,-32.63927647243307,-10.794209312754136,11.113846153846154,2.8874958342986843,1.0,1.0615384615384615,1.0,4.765384615384616,10.679811537126032,0.0,7481.384615384615,115.61538461538461,0.0,4.2153846153846155,0.0,14.461538461538462,380.9076923076923,21.692307692307693,424.2153846153846,7.230769230769231,0.0,0.0,170.30769230769232
5,0.010010579467706358,0.010018352608790738,0.06852871548331753,89.0,156.2132,-39.53110320153834,-11.21867223771886,11.234269662921347,3.744563934973732,1.0,1.0898876404494382,1.0,5.597003745318352,10.774063931678937,0.0,7658.730337078651,128.51685393258427,0.0,3.539325842696629,0.0,13.258426966292134,338.23595505617976,19.8876404494382,392.30337078651684,6.629213483146067,0.0,0.0,207.30337078651687
6,0.010017285411103078,0.010029259725939337,0.07779556301650398,84.0,143.35416,-16.259894406936088,-10.954599226389503,8.959325396825399,0.8023925353304984,1.0,1.1785714285714286,1.0,0.8200396825396824,10.733459382210432,0.0,8110.297619047619,27.238095238095237,0.0,11.857142857142858,0.0,19.285714285714285,488.35714285714283,28.928571428571427,569.297619047619,9.642857142857142,0.0,0.0,21.964285714285715
7,0.01002104099096563,0.010044206748559485,0.08407513150932465,121.0,201.43312000000003,-36.69685562668352,-10.239298646874131,10.912121212121214,4.4828864172467044,1.0,1.140495867768595,1.0,5.692699724517909,10.466166636078638,0.0,7361.0,158.58677685950414,0.0,1.7107438016528926,0.0,14.049586776859504,313.1652892561983,21.074380165289256,363.93388429752065,7.024793388429752,0.0,0.0,182.97520661157026
8,0.010032599014756453,0.010060206550734049,0.0884435510550289,123.0,208.86936,-14.091439846475135,-10.974634985915332,9.685230352303522,0.6303402376526153,1.0,1.170731707317073,1.0,0.7223577235772357,10.615698744409347,0.0,7285.357723577235,38.34146341463415,0.0,10.967479674796747,0.0,19.83739837398374,537.7723577235772,29.75609756097561,586.7073170731708,9.91869918699187,0.0,0.0,5.0
9,0.010042285820961276,0.01007474357720031,0.09159851996667144,111.0,199.13448,-13.24631205335995,-11.036301079107393,6.9849849849849885,0.41785018497438864,1.0,1.2342342342342343,1.0,0.21246246246246245,10.59140209098712,0.0,7609.720720720721,12.747747747747749,0.0,13.396396396396396,0.0,20.0,406.35135135135135,30.0,630.4234234234234,10.0,0.0,0.0,0.0
10,0.010064813246766465,0.010090964401055167,0.09395979633899511,142.0,245.54248,-12.487164018311432,-11.376642025123598,5.742723004694837,0.21017222377785938,1.0,1.2394366197183098,1.0,0.07711267605633802,10.703171667685355,0.0,7149.204225352113,4.626760563380282,0.0,14.471830985915492,0.0,20.0,339.9366197183099,30.0,603.3591549295775,10.0,0.0,0.0,0.0
11,0.01008602629775012,0.0101070908295183,0.09578238595931828,184.0,297.4984,-13.394700629209561,-10.518307756916073,7.413405797101448,0.3739470093861374,1.0,1.190217391304348,1.0,0.8003623188405793,10.32656842797675,0.0,7521.95652173913,37.994565217391305,0.0,11.277173913043478,0.0,19.67391304347826,396.7826086956522,29.51086956521739,545.7880434782609,9.83695652173913,0.0,0.0,10.027173913043478
12,0.010108030870790282,0.010123936114374859,0.09722622316918637,185.0,322.06352,-13.731131777972612,-11.075833609261716,7.71675675675675,0.3880378088988186,1.0,1.2162162162162162,1.0,0.5957657657657658,10.60298481027325,0.0,7056.027027027027,32.42162162162162,0.0,11.87027027027027,0.0,19.89189189189189,427.25945945945944,29.83783783783784,603.3405405405406,9.945945945945946,0.0,0.0,3.324324324324324
