====================================================================
====================================================================
New simulation started at:    2023-03-01 11:55:34.348820
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost,w_rew,w_mark,rew_normal,mark_normal
0,0,0,0,0.25,2.0,0,True,0.0,0,0,0.0,0.0,1100.0,0.9,0.1,0.0,0.0,
1,0,0,1,0.2,2.0,0,True,0.01,4,1,7.66,7.66,1100.0,0.9,0.1,0.00766,0.038461538461538464,
2,4,1,2,0.2,2.0,0,True,0.08,28,2,60.14,60.14,1100.0,0.9,0.1,0.06014,0.23076923076923078,
3,28,2,1,0.15,2.0,0,True,0.06,23,1,45.82,45.82,1100.0,0.9,0.1,0.04582,0.18461538461538463,
4,23,1,0,0.2,2.0,0,True,0.09,30,5,75.03,75.03,1100.0,0.9,0.1,0.07503,0.2692307692307692,
5,30,5,2,0.2,2.0,0,True,0.1,36,4,76.01,76.01,1100.0,0.9,0.1,0.07601000000000001,0.3076923076923077,
6,36,4,0,0.25,2.0,0,True,0.15,43,6,120.55,120.55,1100.0,0.9,0.1,0.12054999999999999,0.3769230769230769,
7,43,6,2,0.25,2.0,0,True,0.18,52,9,152.03,152.03,1100.0,0.9,0.1,0.15203,0.46923076923076923,
8,52,9,1,0.2,2.0,0,True,0.13,47,1,107.76,107.76,1100.0,0.9,0.1,0.10776000000000001,0.36923076923076925,
9,47,1,2,0.2,2.0,0,True,0.15,47,4,121.76,121.76,1100.0,0.9,0.1,0.12176000000000001,0.3923076923076923,
10,47,4,0,0.25,2.0,0,True,0.17,53,5,140.7,140.7,1100.0,0.9,0.1,0.1407,0.4461538461538462,
11,53,5,1,0.2,2.0,0,True,0.17,56,10,134.04,134.04,1100.0,0.9,0.1,0.13404,0.5076923076923077,
12,56,10,1,0.15,2.0,0,True,0.15,62,5,105.0,105.0,1100.0,0.9,0.1,0.105,0.5153846153846153,
13,62,5,1,0.1,2.0,0,True,0.11,61,9,67.54,67.54,1100.0,0.9,0.1,0.06754,0.5384615384615384,
14,61,9,1,0.05,2.0,0,True,0.08,54,11,29.96,29.96,1100.0,0.9,0.1,0.02996,0.5,
15,54,11,1,0.0,2.0,0,True,0.05,53,6,0.0,0.0,1100.0,0.9,0.1,0.0,0.45384615384615384,
16,53,6,1,0.0,2.0,0,True,0.05,65,5,0.0,0.0,1100.0,0.9,0.1,0.0,0.5384615384615384,
17,65,5,2,0.0,2.0,0,True,0.06,72,10,0.0,0.0,1100.0,0.9,0.1,0.0,0.6307692307692307,
18,72,10,2,0.0,2.0,0,True,0.06,65,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5923076923076923,
19,65,12,2,0.0,2.0,0,True,0.06,59,13,0.0,0.0,1100.0,0.9,0.1,0.0,0.5538461538461539,
20,59,13,2,0.0,2.0,0,True,0.06,61,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5615384615384615,
21,61,12,0,0.05,2.0,0,True,0.09,58,19,35.39,35.39,1100.0,0.9,0.1,0.03539,0.5923076923076923,
22,58,19,0,0.1,2.0,0,True,0.12,68,10,68.48,68.48,1100.0,0.9,0.1,0.06848,0.6,
23,68,10,1,0.05,2.0,0,True,0.11,76,17,45.14,45.14,1100.0,0.9,0.1,0.04514,0.7153846153846154,
24,76,17,2,0.05,2.0,0,True,0.09,60,19,36.65,36.65,1100.0,0.9,0.1,0.03665,0.6076923076923076,
25,60,19,1,0.0,2.0,0,True,0.06,60,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5538461538461539,
26,60,12,1,0.0,2.0,0,True,0.06,60,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5538461538461539,
27,60,12,1,0.0,2.0,0,True,0.06,67,15,0.0,0.0,1100.0,0.9,0.1,0.0,0.6307692307692307,
28,67,15,0,0.05,2.0,0,True,0.08,55,9,30.63,30.63,1100.0,0.9,0.1,0.030629999999999998,0.49230769230769234,
29,55,9,0,0.1,2.0,0,True,0.13,67,13,74.35,74.35,1100.0,0.9,0.1,0.07435,0.6153846153846154,
30,67,13,1,0.05,2.0,0,True,0.08,54,14,30.31,30.31,1100.0,0.9,0.1,0.03031,0.5230769230769231,
31,54,14,0,0.1,2.0,0,True,0.11,56,15,63.47,63.47,1100.0,0.9,0.1,0.06347,0.5461538461538461,
32,56,15,2,0.1,2.0,0,True,0.16,78,14,101.59,101.59,1100.0,0.9,0.1,0.10159,0.7076923076923077,
33,78,14,1,0.05,2.0,0,True,0.11,77,12,44.97,44.97,1100.0,0.9,0.1,0.044969999999999996,0.6846153846153846,
34,77,12,2,0.05,2.0,0,True,0.1,64,14,39.47,39.47,1100.0,0.9,0.1,0.03947,0.6,
35,64,14,2,0.05,2.0,0,True,0.1,70,13,37.62,37.62,1100.0,0.9,0.1,0.03762,0.6384615384615384,
36,70,13,2,0.05,2.0,0,True,0.09,60,13,33.02,33.02,1100.0,0.9,0.1,0.03302,0.5615384615384615,
37,60,13,0,0.1,2.0,0,True,0.13,72,13,77.03,77.03,1100.0,0.9,0.1,0.07703,0.6538461538461539,
38,72,13,0,0.15,2.0,0,True,0.16,66,10,115.1,115.1,1100.0,0.9,0.1,0.1151,0.5846153846153846,
39,66,10,1,0.1,2.0,0,True,0.13,66,15,75.28,75.28,1100.0,0.9,0.1,0.07528,0.6230769230769231,
40,66,15,2,0.1,2.0,0,True,0.1,54,12,59.4,59.4,1100.0,0.9,0.1,0.0594,0.5076923076923077,
41,54,12,1,0.05,2.0,0,True,0.09,64,11,39.48,39.48,1100.0,0.9,0.1,0.039479999999999994,0.5769230769230769,
42,64,11,2,0.05,2.0,0,True,0.1,71,11,42.78,42.78,1100.0,0.9,0.1,0.04278,0.6307692307692307,
43,71,11,2,0.05,2.0,0,True,0.1,67,13,39.18,39.18,1100.0,0.9,0.1,0.03918,0.6153846153846154,
44,67,13,2,0.05,2.0,0,True,0.1,71,16,42.02,42.02,1100.0,0.9,0.1,0.04202,0.6692307692307692,
45,71,16,2,0.05,2.0,0,True,0.09,58,16,34.13,34.13,1100.0,0.9,0.1,0.03413,0.5692307692307692,
46,58,16,1,0.0,2.0,0,True,0.06,63,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5769230769230769,
47,63,12,2,0.0,2.0,0,True,0.05,58,11,0.0,0.0,1100.0,0.9,0.1,0.0,0.5307692307692308,
48,58,11,1,0.0,2.0,0,True,0.06,63,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.5769230769230769,
49,63,12,2,0.0,2.0,0,True,0.06,61,18,0.0,0.0,1100.0,0.9,0.1,0.0,0.6076923076923076,
50,61,18,1,0.0,2.0,0,True,0.05,54,14,0.0,0.0,1100.0,0.9,0.1,0.0,0.5230769230769231,
51,54,14,1,0.0,2.0,0,True,0.06,70,8,0.0,0.0,1100.0,0.9,0.1,0.0,0.6,
52,70,8,0,0.05,2.0,0,True,0.09,65,14,35.48,35.48,1100.0,0.9,0.1,0.03548,0.6076923076923076,
53,65,14,1,0.0,2.0,0,True,0.07,79,13,0.0,0.0,1100.0,0.9,0.1,0.0,0.7076923076923077,
54,79,13,2,0.0,2.0,0,True,0.06,63,16,0.0,0.0,1100.0,0.9,0.1,0.0,0.6076923076923076,
55,63,16,2,0.0,2.0,0,True,0.06,59,14,0.0,0.0,1100.0,0.9,0.1,0.0,0.5615384615384615,
56,59,14,2,0.0,2.0,0,True,0.06,66,11,0.0,0.0,1100.0,0.9,0.1,0.0,0.5923076923076923,
57,66,11,1,0.0,2.0,0,True,0.06,62,15,0.0,0.0,1100.0,0.9,0.1,0.0,0.5923076923076923,
58,62,15,2,0.0,2.0,0,True,0.05,52,10,0.0,0.0,1100.0,0.9,0.1,0.0,0.47692307692307695,
59,52,10,2,0.0,2.0,0,True,0.05,50,12,0.0,0.0,1100.0,0.9,0.1,0.0,0.47692307692307695,
60,50,12,1,0.0,2.0,0,True,0.07,72,15,0.0,0.0,1100.0,0.9,0.1,0.0,0.6692307692307692,
61,72,15,2,0.0,2.0,0,True,0.07,79,13,0.0,0.0,1100.0,0.9,0.1,0.0,0.7076923076923077,
62,79,13,1,0.0,2.0,0,True,0.07,69,18,0.0,0.0,1100.0,0.9,0.1,0.0,0.6692307692307692,
63,69,18,1,0.0,2.0,0,True,0.06,61,16,0.0,0.0,1100.0,0.9,0.1,0.0,0.5923076923076923,
64,61,16,2,0.0,2.0,0,True,0.07,71,21,0.0,0.0,1100.0,0.9,0.1,0.0,0.7076923076923077,
65,71,21,2,0.0,2.0,0,True,0.06,60,14,0.0,0.0,1100.0,0.9,0.1,0.0,0.5692307692307692,
