====================================================================
====================================================================
New simulation started at:    2023-02-28 10:47:20.510108
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
75,61,7,2,0.55,2.0,0,True,324.05,49,11,324.05,324.05,1100.0
76,49,11,2,0.55,2.0,0,True,326.0,51,13,326.0,326.0,1100.0
77,51,13,1,0.5,2.0,0,True,433.62,70,10,433.62,433.62,1100.0
78,70,10,0,0.55,2.0,0,True,321.12,55,3,321.12,321.12,1100.0
79,55,3,2,0.55,2.0,0,True,356.46,57,8,356.46,356.46,1100.0
80,57,8,1,0.5,2.0,0,True,271.68,50,6,271.68,271.68,1100.0
81,50,6,2,0.5,2.0,0,True,321.87,54,9,321.87,321.87,1100.0
82,54,9,0,0.55,2.0,0,True,304.57,51,9,304.57,304.57,1100.0
83,51,9,1,0.5,2.0,0,True,372.23,69,3,372.23,372.23,1100.0
84,69,3,1,0.45,2.0,0,True,250.95,47,8,250.95,250.95,1100.0
85,47,8,1,0.4,2.0,0,True,264.31,56,9,264.31,264.31,1100.0
86,56,9,0,0.45,2.0,0,True,321.51,65,6,321.51,321.51,1100.0
87,65,6,1,0.4,2.0,0,True,280.58,59,9,280.58,280.58,1100.0
88,59,9,2,0.4,2.0,0,True,320.77,67,5,320.77,320.77,1100.0
89,67,5,0,0.45,2.0,0,True,361.47,75,7,361.47,361.47,1100.0
90,75,7,1,0.4,2.0,0,True,250.58,59,5,250.58,250.58,1100.0
91,59,5,2,0.4,2.0,0,True,315.03,67,12,315.03,315.03,1100.0
92,67,12,1,0.35,2.0,0,True,262.26,70,7,262.26,262.26,1100.0
93,70,7,1,0.3,2.0,0,True,201.95,59,6,201.95,201.95,1100.0
94,59,6,1,0.25,2.0,0,True,241.67,80,6,241.67,241.67,1100.0
95,80,6,1,0.2,2.0,0,True,153.78,68,8,153.78,153.78,1100.0
96,68,8,1,0.15,2.0,0,True,101.05,59,6,101.05,101.05,1100.0
97,59,6,1,0.1,2.0,0,True,81.69,71,12,81.69,81.69,1100.0
98,71,12,1,0.05,2.0,0,True,39.81,73,12,39.81,39.81,1100.0
99,73,12,1,0.0,2.0,0,True,0.0,56,11,0.0,0.0,1100.0
100,56,11,1,0.0,2.0,0.4,False,0.0,64,7,-284.03,0.0,0
101,64,7,1,0.0,2.0,0.4,False,0.0,67,12,-273.79,0.0,0
102,67,12,2,0.0,2.0,0.4,False,0.0,80,8,-359.35,0.0,0
103,80,8,1,0.0,2.0,0.4,False,0.0,54,12,-240.42,0.0,0
104,54,12,0,0.05,2.0,0.4,False,40.4,72,15,-277.32,40.4,0
105,72,15,2,0.05,2.0,0.4,False,33.72,62,15,-232.91,33.72,0
106,62,15,2,0.05,2.0,0.4,False,35.11,63,10,-240.81,35.11,0
107,63,10,2,0.05,2.0,0.4,False,34.59,61,13,-237.24,34.59,0
