====================================================================
====================================================================
New simulation started at:    2023-02-18 22:58:16.746404
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,1,0.15,2.0,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,0,0.2,2.0,0,True,0.03,8,0,16.36,16.36,1100.0
2,8,0,2,0.2,2.0,0,True,0.05,16,1,30.97,30.97,1100.0
3,16,1,2,0.2,2.0,0,True,0.06,18,2,35.53,35.53,1100.0
4,18,2,2,0.2,2.0,0,True,0.13,38,1,85.17,85.17,1100.0
5,38,1,1,0.15,2.0,0,True,0.12,39,0,73.75,73.75,1100.0
6,39,0,1,0.1,2.0,0,True,0.12,43,6,49.63,49.63,1100.0
7,43,6,1,0.05,2.0,0,True,0.11,53,3,27.7,27.7,1100.0
8,53,3,2,0.05,2.0,0,True,0.11,51,4,28.17,28.17,1100.0
9,51,4,2,0.05,2.0,0,True,0.12,52,7,30.71,30.71,1100.0
10,52,7,1,0.0,2.0,0,True,0.11,65,9,0.0,0.0,1100.0
11,65,9,0,0.05,2.0,0,True,0.11,43,14,24.12,24.12,1100.0
12,43,14,1,0.0,2.0,0,True,0.09,50,8,0.0,0.0,1100.0
13,50,8,0,0.05,2.0,0,True,0.13,60,6,32.51,32.51,1100.0
14,60,6,1,0.0,2.0,0,True,0.11,62,7,0.0,0.0,1100.0
15,62,7,1,0.0,2.0,0,True,0.08,44,10,0.0,0.0,1100.0
16,44,10,0,0.05,2.0,0,True,0.17,73,12,44.72,44.72,1100.0
17,73,12,0,0.1,2.0,0,True,0.19,67,15,80.98,80.98,1100.0
18,67,15,1,0.05,2.0,0,True,0.12,56,7,28.7,28.7,1100.0
19,56,7,1,0.0,2.0,0,True,0.12,67,12,0.0,0.0,1100.0
20,67,12,0,0.05,2.0,0,True,0.14,59,15,34.11,34.11,1100.0
21,59,15,1,0.0,2.0,0,True,0.11,60,10,0.0,0.0,1100.0
22,60,10,0,0.05,2.0,0,True,0.16,73,10,37.49,37.49,1100.0
23,73,10,2,0.05,2.0,0,True,0.14,61,15,30.28,30.28,1100.0
24,61,15,0,0.1,2.0,0,True,0.2,77,14,79.65,79.65,1100.0
25,77,14,2,0.1,2.0,0,True,0.17,59,16,67.47,67.47,1100.0
26,59,16,1,0.05,2.0,0,True,0.13,59,10,35.45,35.45,1100.0
27,59,10,1,0.0,2.0,0,True,0.11,59,14,0.0,0.0,1100.0
28,59,14,2,0.0,2.0,0,True,0.1,59,9,0.0,0.0,1100.0
29,59,9,2,0.0,2.0,0,True,0.1,49,14,0.0,0.0,1100.0
30,49,14,2,0.0,2.0,0,True,0.12,71,9,0.0,0.0,1100.0
31,71,9,2,0.0,2.0,0,True,0.11,60,13,0.0,0.0,1100.0
32,60,13,0,0.05,2.0,0,True,0.14,55,16,34.05,34.05,1100.0
33,55,16,2,0.05,2.0,0,True,0.14,60,10,37.03,37.03,1100.0
34,60,10,2,0.05,2.0,0,True,0.13,57,13,28.51,28.51,1100.0
35,57,13,1,0.0,2.0,0,True,0.14,71,18,0.0,0.0,1100.0
36,71,18,1,0.0,2.0,0,True,0.1,55,12,0.0,0.0,1100.0
37,55,12,2,0.0,2.0,0,True,0.12,67,8,0.0,0.0,1100.0
38,67,8,1,0.0,2.0,0,True,0.11,60,13,0.0,0.0,1100.0
39,60,13,2,0.0,2.0,0,True,0.12,60,18,0.0,0.0,1100.0
40,60,18,1,0.0,2.0,0,True,0.11,55,14,0.0,0.0,1100.0
41,55,14,2,0.0,2.0,0,True,0.12,62,16,0.0,0.0,1100.0
42,62,16,2,0.0,2.0,0,True,0.1,54,9,0.0,0.0,1100.0
43,54,9,1,0.0,2.0,0,True,0.11,55,16,0.0,0.0,1100.0
44,55,16,2,0.0,2.0,0,True,0.13,68,14,0.0,0.0,1100.0
45,68,14,2,0.0,2.0,0,True,0.14,79,14,0.0,0.0,1100.0
46,79,14,2,0.0,2.0,0,True,0.11,59,13,0.0,0.0,1100.0
47,59,13,2,0.0,2.0,0,True,0.11,57,13,0.0,0.0,1100.0
48,57,13,2,0.0,2.0,0,True,0.11,56,13,0.0,0.0,1100.0
49,56,13,2,0.0,2.0,0,True,0.1,61,6,0.0,0.0,1100.0
50,61,6,0,0.05,2.0,0,True,0.16,68,17,37.53,37.53,1100.0
51,68,17,1,0.0,2.0,0,True,0.14,79,14,0.0,0.0,1100.0
52,79,14,1,0.0,2.0,0,True,0.12,66,14,0.0,0.0,1100.0
53,66,14,2,0.0,2.0,0,True,0.11,57,17,0.0,0.0,1100.0
54,57,17,2,0.0,2.0,0,True,0.13,71,11,0.0,0.0,1100.0
55,71,11,0,0.05,2.0,0,True,0.16,67,16,37.1,37.1,1100.0
56,67,16,0,0.1,2.0,0,True,0.2,73,14,79.94,79.94,1100.0
57,73,14,1,0.05,2.0,0,True,0.17,67,20,39.02,39.02,1100.0
58,67,20,0,0.1,2.0,0,True,0.16,60,12,66.08,66.08,1100.0
59,60,12,1,0.05,2.0,0,True,0.14,60,15,35.57,35.57,1100.0
60,60,15,0,0.1,2.0,0,True,0.17,62,13,66.32,66.32,1100.0
61,62,13,0,0.15,2.0,0,True,0.24,71,17,129.86,129.86,1100.0
