====================================================================
====================================================================
New simulation started at:    2023-02-10 12:41:58.320527
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
425,23,8,2,0.1,2.0,0,False,29.46,26,3
426,26,3,1,0.05,2.0,0,False,24.0,39,9
427,39,9,1,0.0,2.0,0,False,0.0,37,3
428,37,3,0,0.05,2.0,0,False,13.26,29,9
429,29,9,0,0.1,2.0,0,False,33.54,32,7
430,32,7,1,0.05,2.0,0,False,12.19,25,5
431,25,5,2,0.05,2.0,0,False,11.88,23,5
432,23,5,0,0.1,2.0,0,False,34.92,28,6
433,28,6,0,0.15,2.0,0,False,39.92,30,4
434,30,4,2,0.15,2.0,0,False,49.16,30,1
435,30,1,1,0.1,2.0,0,False,36.87,32,6
436,32,6,2,0.1,2.0,0,False,39.6,35,6
437,35,6,0,0.15,2.0,0,False,50.59,34,6
438,34,6,1,0.1,2.0,0,False,46.19,42,8
439,42,8,1,0.05,2.0,0,False,11.55,20,3
440,20,3,0,0.1,2.0,0,False,33.18,26,6
441,26,6,0,0.15,2.0,0,False,53.64,36,3
442,36,3,1,0.1,2.0,0,False,33.32,31,7
443,31,7,2,0.1,2.0,0,False,28.78,27,7
444,27,7,1,0.05,2.0,0,False,15.6,31,3
445,31,3,0,0.1,2.0,0,False,36.95,36,6
446,36,6,0,0.15,2.0,0,False,60.78,36,8
447,36,8,0,0.2,2.0,0,False,68.5,32,6
448,32,6,1,0.15,2.0,0,False,61.18,33,8
449,33,8,0,0.2,2.0,0,False,68.82,29,5
450,29,5,2,0.2,2.0,0,False,63.13,29,5
451,29,5,1,0.15,2.0,0,False,55.78,37,5
452,37,5,0,0.2,2.0,0,False,59.86,30,5
453,30,5,0,0.25,2.0,0,False,103.42,41,8
454,41,8,1,0.2,2.0,0,False,67.61,27,6
455,27,6,2,0.2,2.0,0,False,68.24,37,7
456,37,7,0,0.25,2.0,0,False,83.2,32,10
457,32,10,2,0.25,2.0,0,False,50.29,20,7
458,20,7,2,0.25,2.0,0,False,98.15,36,6
459,36,6,0,0.3,2.0,0,False,134.65,43,1
460,43,1,1,0.25,2.0,0,False,101.55,34,3
461,34,3,2,0.25,2.0,0,False,91.55,30,3
462,30,3,0,0.3,2.0,0,False,88.07,26,5
463,26,5,1,0.25,2.0,0,False,118.7,38,6
464,38,6,1,0.2,2.0,0,False,44.32,25,3
465,25,3,1,0.15,2.0,0,False,49.89,30,5
466,30,5,2,0.15,2.0,0,False,48.1,27,2
467,27,2,1,0.1,2.0,0,False,41.47,38,5
468,38,5,1,0.05,2.0,0,False,20.69,37,5
469,37,5,2,0.05,2.0,0,False,17.02,29,4
470,29,4,0,0.1,2.0,0,False,43.19,39,5
471,39,5,0,0.15,2.0,0,False,60.19,35,7
472,35,7,2,0.15,2.0,0,False,56.85,32,11
473,32,11,2,0.15,2.0,0,False,32.45,25,6
474,25,6,0,0.2,2.0,0,False,89.84,38,5
475,38,5,1,0.15,2.0,0,False,54.81,33,5
476,33,5,2,0.15,2.0,0,False,60.9,36,6
477,36,6,1,0.1,2.0,0,False,41.63,38,3
478,38,3,0,0.15,2.0,0,False,66.72,38,3
479,38,3,0,0.2,2.0,0,False,66.92,29,5
480,29,5,2,0.2,2.0,0,False,53.07,24,8
481,24,8,0,0.25,2.0,0,False,108.59,42,10
482,42,10,0,0.3,2.0,0,False,76.98,24,2
483,24,2,0,0.35,2.0,0,False,128.95,34,5
484,34,5,0,0.4,2.0,0,False,124.41,27,8
485,27,8,1,0.35,2.0,0,False,107.01,26,2
486,26,2,2,0.35,2.0,0,False,117.24,32,3
487,32,3,1,0.3,2.0,0,False,92.86,28,3
488,28,3,0,0.35,2.0,0,False,117.0,31,5
489,31,5,0,0.4,2.0,0,False,147.61,34,7
490,34,7,1,0.35,2.0,0,False,134.8,31,5
491,31,5,1,0.3,2.0,0,False,134.28,40,2
492,40,2,1,0.25,2.0,0,False,92.2,32,7
493,32,7,0,0.3,2.0,0,False,85.19,28,5
494,28,5,0,0.35,2.0,0,False,128.48,33,4
495,33,4,1,0.3,2.0,0,False,168.01,47,4
496,47,4,0,0.35,2.0,0,False,139.29,36,6
497,36,6,0,0.4,2.0,0,False,159.98,39,2
498,39,2,2,0.4,2.0,0,False,150.8,33,7
499,33,7,1,0.35,2.0,0,False,145.82,33,4
500,33,4,0,0.4,2.0,0,False,129.75,31,5
501,31,5,2,0.4,2.0,0,False,117.7,29,5
502,29,5,2,0.4,2.0,0,False,148.27,30,0
503,30,0,1,0.35,2.0,0,False,167.29,38,9
504,38,9,0,0.4,2.0,0,False,155.85,34,3
505,34,3,0,0.45,2.0,0,False,151.63,28,5
506,28,5,0,0.5,2.0,0,False,186.48,32,4
507,32,4,2,0.5,2.0,0,False,99.25,21,1
508,21,1,0,0.55,2.0,0,False,212.9,31,4
509,31,4,2,0.55,2.0,0,False,210.63,31,4
510,31,4,0,0.6,2.0,0,False,137.48,25,4
511,25,4,2,0.6,2.0,0,False,223.55,34,5
512,34,5,2,0.6,2.0,0,False,288.99,46,3
513,46,3,0,0.65,2.0,0,False,170.74,25,2
514,25,2,1,0.6,2.0,0,False,228.53,40,3
515,40,3,0,0.65,2.0,0,False,197.42,26,3
516,26,3,2,0.65,2.0,0,False,214.92,30,3
517,30,3,0,0.7,2.0,0,False,251.47,24,8
518,24,8,1,0.65,2.0,0,False,266.56,35,3
519,35,3,2,0.65,2.0,0,False,279.08,36,4
520,36,4,2,0.65,2.0,0,False,197.63,28,2
521,28,2,1,0.6,2.0,0,False,276.34,40,5
522,40,5,0,0.65,2.0,0,False,190.96,28,3
523,28,3,2,0.65,2.0,0,False,204.72,31,10
524,31,10,1,0.6,2.0,0,False,222.15,38,3
525,38,3,0,0.65,2.0,0,False,264.79,38,4
526,38,4,2,0.65,2.0,0,False,242.88,38,1
527,38,1,1,0.6,2.0,0,False,222.99,35,4
528,35,4,2,0.6,2.0,0,False,213.0,30,4
529,30,4,1,0.55,2.0,0,False,161.66,27,3
530,27,3,1,0.5,2.0,0,False,162.12,30,4
531,30,4,1,0.45,2.0,0,False,147.61,31,2
532,31,2,2,0.45,2.0,0,False,122.48,28,2
533,28,2,0,0.5,2.0,0,False,289.75,51,7
534,51,7,0,0.55,2.0,0,False,209.16,34,5
535,34,5,1,0.5,2.0,0,False,212.48,43,4
536,43,4,2,0.5,2.0,0,False,188.71,32,2
537,32,2,2,0.5,2.0,0,False,178.31,33,0
538,33,0,1,0.45,2.0,0,False,123.9,24,6
539,24,6,1,0.4,2.0,0,False,137.91,33,3
540,33,3,2,0.4,2.0,0,False,142.6,32,2
541,32,2,1,0.35,2.0,0,False,109.0,32,6
542,32,6,2,0.35,2.0,0,False,85.92,22,4
543,22,4,0,0.4,2.0,0,False,137.31,31,2
544,31,2,1,0.35,2.0,0,False,120.05,31,3
545,31,3,1,0.3,2.0,0,False,109.91,32,6
546,32,6,0,0.35,2.0,0,False,115.93,29,4
547,29,4,2,0.35,2.0,0,False,136.43,34,4
548,34,4,0,0.4,2.0,0,False,171.38,37,6
549,37,6,1,0.35,2.0,0,False,90.96,25,4
550,25,4,1,0.3,2.0,0,False,93.89,24,3
551,24,3,1,0.25,2.0,0,False,84.16,28,3
552,28,3,1,0.2,2.0,0,False,75.14,31,5
553,31,5,2,0.2,2.0,0,False,60.84,27,3
554,27,3,1,0.15,2.0,0,False,52.79,31,4
555,31,4,0,0.2,2.0,0,False,73.95,35,2
556,35,2,0,0.25,2.0,0,False,91.39,31,5
557,31,5,0,0.3,2.0,0,False,173.97,51,4
558,51,4,1,0.25,2.0,0,False,74.55,28,3
559,28,3,1,0.2,2.0,0,False,90.47,36,1
560,36,1,1,0.15,2.0,0,False,52.42,35,3
561,35,3,2,0.15,2.0,0,False,61.75,39,5
562,39,5,0,0.2,2.0,0,False,92.28,36,3
563,36,3,0,0.25,2.0,0,False,111.46,40,5
564,40,5,2,0.25,2.0,0,False,105.58,35,5
565,35,5,0,0.3,2.0,0,False,141.59,39,3
566,39,3,0,0.35,2.0,0,False,98.74,29,4
567,29,4,2,0.35,2.0,0,False,117.18,34,4
568,34,4,2,0.35,2.0,0,False,102.71,27,6
569,27,6,0,0.4,2.0,0,False,136.73,31,4
570,31,4,1,0.35,2.0,0,False,133.42,35,3
571,35,3,2,0.35,2.0,0,False,134.22,34,2
572,34,2,0,0.4,2.0,0,False,123.56,29,5
573,29,5,2,0.4,2.0,0,False,147.7,32,2
574,32,2,0,0.45,2.0,0,False,278.9,49,3
575,49,3,0,0.5,2.0,0,False,139.41,29,7
576,29,7,0,0.55,2.0,0,False,226.17,34,5
577,34,5,0,0.6,2.0,0,False,269.08,38,9
578,38,9,1,0.55,2.0,0,False,187.71,29,4
579,29,4,1,0.5,2.0,0,False,228.61,38,6
580,38,6,2,0.5,2.0,0,False,182.77,33,0
581,33,0,2,0.5,2.0,0,False,138.8,29,4
582,29,4,2,0.5,2.0,0,False,148.81,22,1
583,22,1,1,0.45,2.0,0,False,163.79,34,2
584,34,2,0,0.5,2.0,0,False,167.48,30,7
585,30,7,2,0.5,2.0,0,False,235.16,38,3
586,38,3,2,0.5,2.0,0,False,195.29,33,2
587,33,2,2,0.5,2.0,0,False,169.23,33,6
588,33,6,1,0.45,2.0,0,False,236.89,44,0
589,44,0,2,0.45,2.0,0,False,172.08,34,2
590,34,2,0,0.5,2.0,0,False,154.15,27,3
591,27,3,2,0.5,2.0,0,False,136.04,24,4
592,24,4,1,0.45,2.0,0,False,196.91,36,2
593,36,2,1,0.4,2.0,0,False,126.55,27,4
594,27,4,1,0.35,2.0,0,False,88.53,23,3
595,23,3,2,0.35,2.0,0,False,125.44,33,5
596,33,5,0,0.4,2.0,0,False,130.78,28,6
597,28,6,0,0.45,2.0,0,False,189.77,35,5
598,35,5,2,0.45,2.0,0,False,138.53,31,4
599,31,4,0,0.5,2.0,0,False,170.45,31,3
600,31,3,1,0.45,2.0,0,False,187.33,38,2
601,38,2,2,0.45,2.0,0,False,132.16,24,2
602,24,2,1,0.4,2.0,0,False,123.77,25,3
603,25,3,0,0.45,2.0,0,False,204.05,39,5
604,39,5,0,0.5,2.0,0,False,196.6,34,1
605,34,1,2,0.5,2.0,0,False,183.37,34,4
606,34,4,1,0.45,2.0,0,False,156.02,30,4
607,30,4,1,0.4,2.0,0,False,121.69,31,2
608,31,2,1,0.35,2.0,0,False,133.4,32,2
609,32,2,2,0.35,2.0,0,False,135.67,33,4
610,33,4,0,0.4,2.0,0,False,137.53,36,2
611,36,2,0,0.45,2.0,0,False,156.02,28,0
612,28,0,1,0.4,2.0,0,False,191.82,38,4
613,38,4,1,0.35,2.0,0,False,147.3,37,6
614,37,6,1,0.3,2.0,0,False,108.69,27,2
615,27,2,0,0.35,2.0,0,False,122.95,32,4
616,32,4,0,0.4,2.0,0,False,118.81,28,4
617,28,4,1,0.35,2.0,0,False,140.24,30,4
618,30,4,0,0.4,2.0,0,False,131.14,27,4
619,27,4,0,0.45,2.0,0,False,160.5,28,8
620,28,8,0,0.5,2.0,0,False,188.57,36,1
621,36,1,0,0.55,2.0,0,False,203.18,29,3
622,29,3,0,0.6,2.0,0,False,187.9,28,3
623,28,3,0,0.65,2.0,0,False,231.71,30,3
624,30,3,1,0.6,2.0,0,False,266.63,37,8
625,37,8,2,0.6,2.0,0,False,203.55,33,4
626,33,4,2,0.6,2.0,0,False,183.46,31,0
627,31,0,1,0.55,2.0,0,False,165.66,27,8
628,27,8,2,0.55,2.0,0,False,156.55,32,3
629,32,3,1,0.5,2.0,0,False,193.7,31,3
630,31,3,2,0.5,2.0,0,False,157.09,27,2
631,27,2,1,0.45,2.0,0,False,124.96,26,9
632,26,9,0,0.5,2.0,0,False,217.64,36,5
633,36,5,0,0.55,2.0,0,False,194.32,31,7
634,31,7,1,0.5,2.0,0,False,219.45,42,3
635,42,3,1,0.45,2.0,0,False,153.48,29,4
636,29,4,2,0.45,2.0,0,False,195.51,38,4
637,38,4,1,0.4,2.0,0,False,164.94,35,2
638,35,2,1,0.35,2.0,0,False,149.82,34,1
639,34,1,0,0.4,2.0,0,False,138.05,29,8
640,29,8,2,0.4,2.0,0,False,151.3,35,4
641,35,4,0,0.45,2.0,0,False,166.89,34,5
642,34,5,2,0.45,2.0,0,False,175.25,35,4
643,35,4,0,0.5,2.0,0,False,179.36,32,0
644,32,0,0,0.55,2.0,0,False,217.7,36,2
645,36,2,1,0.5,2.0,0,False,213.09,37,3
646,37,3,1,0.45,2.0,0,False,108.34,21,5
647,21,5,2,0.45,2.0,0,False,168.22,32,3
648,32,3,2,0.45,2.0,0,False,185.25,37,2
649,37,2,0,0.5,2.0,0,False,167.74,31,4
650,31,4,2,0.5,2.0,0,False,132.58,22,5
651,22,5,0,0.55,2.0,0,False,204.05,35,4
652,35,4,0,0.6,2.0,0,False,251.79,38,2
653,38,2,2,0.6,2.0,0,False,220.9,30,1
654,30,1,2,0.6,2.0,0,False,213.79,30,6
655,30,6,1,0.55,2.0,0,False,205.64,30,1
656,30,1,0,0.6,2.0,0,False,220.04,32,1
657,32,1,2,0.6,2.0,0,False,255.74,37,3
658,37,3,1,0.55,2.0,0,False,202.18,28,5
659,28,5,0,0.6,2.0,0,False,236.41,30,4
660,30,4,0,0.65,2.0,0,False,198.24,30,2
661,30,2,2,0.65,2.0,0,False,214.71,27,3
662,27,3,1,0.6,2.0,0,False,188.49,28,4
663,28,4,2,0.6,2.0,0,False,231.66,37,4
664,37,4,1,0.55,2.0,0,False,208.31,32,2
665,32,2,2,0.55,2.0,0,False,191.81,31,2
666,31,2,2,0.55,2.0,0,False,147.9,24,3
667,24,3,2,0.55,2.0,0,False,136.64,20,6
668,20,6,0,0.6,2.0,0,False,181.65,28,1
669,28,1,2,0.6,2.0,0,False,249.72,36,1
670,36,1,0,0.65,2.0,0,False,145.98,20,3
671,20,3,0,0.7,2.0,0,False,176.56,23,4
672,23,4,1,0.65,2.0,0,False,264.68,36,2
673,36,2,0,0.7,2.0,0,False,255.92,34,0
674,34,0,2,0.7,2.0,0,False,270.87,35,1
675,35,1,2,0.7,2.0,0,False,239.07,31,3
676,31,3,0,0.75,2.0,0,False,302.42,36,2
677,36,2,1,0.7,2.0,0,False,278.78,35,3
678,35,3,1,0.65,2.0,0,False,221.35,36,3
679,36,3,1,0.6,2.0,0,False,265.81,38,3
680,38,3,1,0.55,2.0,0,False,191.36,33,4
681,33,4,1,0.5,2.0,0,False,170.14,28,1
682,28,1,1,0.45,2.0,0,False,135.65,27,5
683,27,5,0,0.5,2.0,0,False,213.36,39,3
684,39,3,0,0.55,2.0,0,False,197.61,33,5
685,33,5,2,0.55,2.0,0,False,185.97,29,2
686,29,2,1,0.5,2.0,0,False,217.4,36,4
687,36,4,0,0.55,2.0,0,False,181.04,29,2
688,29,2,0,0.6,2.0,0,False,191.39,32,5
689,32,5,2,0.6,2.0,0,False,179.73,29,1
690,29,1,1,0.55,2.0,0,False,212.08,36,4
691,36,4,2,0.55,2.0,0,False,215.13,34,3
692,34,3,1,0.5,2.0,0,False,223.09,37,3
693,37,3,2,0.5,2.0,0,False,176.04,34,3
694,34,3,0,0.55,2.0,0,False,250.78,35,3
695,35,3,0,0.6,2.0,0,False,210.85,31,4
696,31,4,0,0.65,2.0,0,False,193.55,27,3
697,27,3,2,0.65,2.0,0,False,246.49,29,3
698,29,3,0,0.7,2.0,0,False,301.15,35,3
699,35,3,0,0.75,2.0,0,False,326.6,39,6
700,39,6,1,0.7,2.0,0,False,287.61,36,2
701,36,2,2,0.7,2.0,0,False,262.69,32,1
702,32,1,2,0.7,2.0,0,False,202.78,25,3
703,25,3,1,0.65,2.0,0,False,257.82,33,4
704,33,4,0,0.7,2.0,0,False,258.94,34,5
705,34,5,0,0.75,2.0,0,False,205.64,25,4
706,25,4,2,0.75,2.0,0,False,226.87,26,5
707,26,5,2,0.75,2.0,0,False,310.83,39,3
708,39,3,1,0.7,2.0,0,False,232.41,31,2
709,31,2,2,0.7,2.0,0,False,205.74,27,6
710,27,6,0,0.75,2.0,0,False,237.23,30,3
711,30,3,0,0.8,2.0,0,False,110.55,15,3
712,15,3,1,0.75,2.0,0,False,216.57,28,3
713,28,3,1,0.7,2.0,0,False,239.58,34,8
714,34,8,0,0.75,2.0,0,False,347.19,38,3
715,38,3,2,0.75,2.0,0,False,294.84,35,4
716,35,4,0,0.8,2.0,0,False,298.29,31,3
717,31,3,2,0.8,2.0,0,False,252.16,31,5
718,31,5,0,0.85,2.0,0,False,251.23,28,4
719,28,4,1,0.8,2.0,0,False,371.8,38,3
720,38,3,1,0.75,2.0,0,False,316.1,37,2
721,37,2,2,0.75,2.0,0,False,178.4,20,4
722,20,4,0,0.8,2.0,0,False,284.83,32,7
723,32,7,0,0.85,2.0,0,False,343.87,35,1
724,35,1,2,0.85,2.0,0,False,317.31,28,4
725,28,4,0,0.9,2.0,0,False,434.48,42,4
726,42,4,2,0.9,2.0,0,False,150.15,17,3
727,17,3,0,0.95,2.0,0,False,354.72,32,2
728,32,2,0,1.0,2.0,0,False,274.44,26,4
729,26,4,0,1.0,2.0,0,False,416.38,37,5
730,37,5,1,0.95,2.0,0,False,378.71,31,2
731,31,2,1,0.9,2.0,0,False,292.54,33,3
732,33,3,1,0.85,2.0,0,False,253.48,30,1
733,30,1,2,0.85,2.0,0,False,315.62,33,4
734,33,4,1,0.8,2.0,0,False,280.48,35,5
735,35,5,2,0.8,2.0,0,False,381.41,39,0
736,39,0,1,0.75,2.0,0,False,335.98,35,2
737,35,2,1,0.7,2.0,0,False,245.49,28,5
738,28,5,1,0.65,2.0,0,False,181.15,27,3
739,27,3,1,0.6,2.0,0,False,188.5,29,6
740,29,6,1,0.55,2.0,0,False,125.34,21,2
741,21,2,2,0.55,2.0,0,False,160.43,27,3
742,27,3,2,0.55,2.0,0,False,229.7,37,0
743,37,0,0,0.6,2.0,0,False,263.28,41,6
744,41,6,2,0.6,2.0,0,False,184.42,30,6
745,30,6,2,0.6,2.0,0,False,193.33,30,1
746,30,1,2,0.6,2.0,0,False,232.76,35,3
747,35,3,1,0.55,2.0,0,False,222.04,34,5
748,34,5,0,0.6,2.0,0,False,183.08,29,2
749,29,2,2,0.6,2.0,0,False,192.42,32,6
750,32,6,0,0.65,2.0,0,False,193.94,27,2
751,27,2,2,0.65,2.0,0,False,205.23,25,2
752,25,2,1,0.6,2.0,0,False,248.54,33,6
753,33,6,2,0.6,2.0,0,False,238.68,40,3
754,40,3,1,0.55,2.0,0,False,169.3,28,2
755,28,2,1,0.5,2.0,0,False,173.25,30,3
756,30,3,1,0.45,2.0,0,False,172.34,36,2
757,36,2,1,0.4,2.0,0,False,200.94,43,5
758,43,5,0,0.45,2.0,0,False,175.31,34,3
759,34,3,1,0.4,2.0,0,False,165.81,36,6
760,36,6,0,0.45,2.0,0,False,168.74,31,2
761,31,2,2,0.45,2.0,0,False,164.75,33,6
762,33,6,2,0.45,2.0,0,False,181.58,36,4
763,36,4,2,0.45,2.0,0,False,156.13,30,5
764,30,5,1,0.4,2.0,0,False,134.77,29,2
765,29,2,0,0.45,2.0,0,False,176.1,31,3
766,31,3,2,0.45,2.0,0,False,190.88,34,7
767,34,7,1,0.4,2.0,0,False,153.75,37,2
768,37,2,2,0.4,2.0,0,False,121.95,27,2
769,27,2,2,0.4,2.0,0,False,151.09,33,2
770,33,2,0,0.45,2.0,0,False,160.51,31,3
771,31,3,0,0.5,2.0,0,False,248.45,42,3
772,42,3,2,0.5,2.0,0,False,131.7,28,4
773,28,4,2,0.5,2.0,0,False,190.72,33,1
774,33,1,0,0.55,2.0,0,False,138.69,22,3
775,22,3,2,0.55,2.0,0,False,204.84,35,5
776,35,5,1,0.5,2.0,0,False,124.53,24,1
777,24,1,2,0.5,2.0,0,False,201.85,32,1
778,32,1,0,0.55,2.0,0,False,194.76,26,3
779,26,3,1,0.5,2.0,0,False,175.07,30,3
780,30,3,2,0.5,2.0,0,False,177.13,31,2
781,31,2,0,0.55,2.0,0,False,209.89,35,2
782,35,2,2,0.55,2.0,0,False,217.04,32,2
783,32,2,2,0.55,2.0,0,False,263.52,45,4
784,45,4,2,0.55,2.0,0,False,259.19,45,4
785,45,4,0,0.6,2.0,0,False,197.87,29,4
786,29,4,2,0.6,2.0,0,False,239.2,31,4
787,31,4,0,0.65,2.0,0,False,280.27,38,3
788,38,3,2,0.65,2.0,0,False,201.69,29,1
789,29,1,0,0.7,2.0,0,False,284.65,36,3
790,36,3,2,0.7,2.0,0,False,258.57,34,3
791,34,3,0,0.75,2.0,0,False,354.42,39,1
792,39,1,2,0.75,2.0,0,False,211.31,24,6
793,24,6,1,0.7,2.0,0,False,233.26,30,7
794,30,7,0,0.75,2.0,0,False,225.57,28,5
795,28,5,0,0.8,2.0,0,False,251.18,24,4
796,24,4,2,0.8,2.0,0,False,369.82,42,6
797,42,6,1,0.75,2.0,0,False,243.53,26,4
798,26,4,1,0.7,2.0,0,False,313.8,36,5
799,36,5,0,0.75,2.0,0,False,231.32,29,1
