====================================================================
====================================================================
New simulation started at:    2023-02-27 10:11:59.435413
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
0,0,0,0,0.55,2.0,0,True,0.0,0,0,0.0,0.0,1100.0
1,0,0,0,0.6,2.0,0,True,23.14,3,1,23.14,23.14,1100.0
2,3,1,1,0.55,2.0,0,True,110.44,14,0,110.44,110.44,1100.0
3,14,0,0,0.6,2.0,0,True,151.66,20,3,151.66,151.66,1100.0
4,20,3,2,0.6,2.0,0,True,217.58,35,6,217.58,217.58,1100.0
5,35,6,1,0.55,2.0,0,True,186.86,29,5,186.86,186.86,1100.0
6,29,5,2,0.55,2.0,0,True,263.97,41,5,263.97,263.97,1100.0
7,41,5,1,0.5,2.0,0,True,243.42,41,3,243.42,243.42,1100.0
8,41,3,0,0.55,2.0,0,True,261.58,39,3,261.58,261.58,1100.0
9,39,3,0,0.6,2.0,0,True,345.43,53,9,345.43,345.43,1100.0
10,53,9,2,0.6,2.0,0,True,429.87,60,7,429.87,429.87,1100.0
11,60,7,2,0.6,2.0,0,True,322.91,55,5,322.91,322.91,1100.0
12,55,5,2,0.6,2.0,0,True,452.39,65,1,452.39,452.39,1100.0
13,65,1,2,0.6,2.0,0,True,473.5,72,6,473.5,473.5,1100.0
14,72,6,2,0.6,2.0,0,True,492.0,68,5,492.0,492.0,1100.0
15,68,5,2,0.6,2.0,0,True,476.33,65,13,476.33,476.33,1100.0
16,65,13,1,0.55,2.0,0,True,392.01,63,10,392.01,392.01,1100.0
17,63,10,0,0.6,2.0,0,True,385.78,62,6,385.78,385.78,1100.0
18,62,6,2,0.6,2.0,0,True,486.75,64,6,486.75,486.75,1100.0
19,64,6,1,0.55,2.0,0,True,425.18,62,5,425.18,425.18,1100.0
20,62,5,1,0.5,2.0,0,True,352.01,59,6,352.01,352.01,1100.0
21,59,6,0,0.55,2.0,0,True,302.8,51,4,302.8,302.8,1100.0
22,51,4,1,0.5,2.0,0,True,377.43,63,2,377.43,377.43,1100.0
23,63,2,1,0.45,2.0,0,True,353.53,74,6,353.53,353.53,1100.0
24,74,6,1,0.4,2.0,0,True,325.89,68,9,325.89,325.89,1100.0
25,68,9,1,0.35,2.0,0,True,238.39,59,5,238.39,238.39,1100.0
26,59,5,0,0.4,2.0,0,True,332.92,75,7,332.92,332.92,1100.0
27,75,7,1,0.35,2.0,0,True,218.68,54,8,218.68,218.68,1100.0
