====================================================================
====================================================================
New simulation started at:    2023-02-27 02:28:13.090139
Baseline: 
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
75,65,5,-,0.1,1.2,0,True,63.84,91,1,63.84,63.84,1100.0
76,91,1,-,0.1,1.2,0,True,54.04,70,10,54.04,54.04,1100.0
77,70,10,-,0.1,1.2,0,True,56.14,77,11,56.14,56.14,1100.0
78,77,11,-,0.1,1.2,0,True,53.84,72,15,53.84,53.84,1100.0
79,72,15,-,0.1,1.2,0,True,45.71,72,6,45.71,45.71,1100.0
80,72,6,-,0.1,1.2,0,True,47.42,67,9,47.42,47.42,1100.0
81,67,9,-,0.1,1.2,0,True,44.03,62,4,44.03,44.03,1100.0
82,62,4,-,0.1,1.2,0,True,62.55,90,3,62.55,62.55,1100.0
83,90,3,-,0.1,1.2,0,True,52.91,71,5,52.91,52.91,1100.0
84,71,5,-,0.1,1.2,0,True,56.48,74,9,56.48,56.48,1100.0
85,74,9,-,0.1,1.2,0,True,45.62,66,3,45.62,45.62,1100.0
86,66,3,-,0.1,1.2,0,True,56.8,78,6,56.8,56.8,1100.0
87,78,6,-,0.1,1.2,0,True,47.93,67,2,47.93,47.93,1100.0
88,67,2,-,0.1,1.2,0,True,50.59,67,4,50.59,50.59,1100.0
89,67,4,-,0.1,1.2,0,True,50.17,75,2,50.17,50.17,1100.0
90,75,2,-,0.1,1.2,0,True,42.5,60,13,42.5,42.5,1100.0
91,60,13,-,0.1,1.2,0,True,50.45,71,9,50.45,50.45,1100.0
92,71,9,-,0.1,1.2,0,True,47.58,71,6,47.58,47.58,1100.0
93,71,6,-,0.1,1.2,0,True,52.4,73,5,52.4,52.4,1100.0
94,73,5,-,0.1,1.2,0,True,52.71,77,8,52.71,52.71,1100.0
95,77,8,-,0.1,1.2,0,True,51.53,76,6,51.53,51.53,1100.0
96,76,6,-,0.1,1.2,0,True,55.64,76,4,55.64,55.64,1100.0
97,76,4,-,0.1,1.2,0,True,57.75,79,6,57.75,57.75,1100.0
98,79,6,-,0.1,1.2,0,True,46.36,68,4,46.36,46.36,1100.0
99,68,4,-,0.1,1.2,0,True,56.89,76,10,56.89,56.89,1100.0
100,76,10,-,0.1,1.2,0.4,False,-138.02,75,9,-138.02,54.43,0
101,75,9,-,0.1,1.2,0.4,False,-127.45,73,13,-127.45,49.91,0
102,73,13,-,0.1,1.2,0.4,False,-125.36,70,5,-125.36,49.65,0
103,70,5,-,0.1,1.2,0.4,False,-118.95,78,5,-118.95,47.75,0
104,78,5,-,0.1,1.2,0.4,False,-131.47,88,6,-131.47,55.12,0
105,88,6,-,0.1,1.2,0.4,False,-123.31,77,7,-123.31,53.15,0
106,77,7,-,0.1,1.2,0.4,False,-145.41,93,5,-145.41,64.94,0
